Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Mehdi Taremi,IRN,FW,Porto,30,1992,6.8,5,22,10,45.5,3.24,1.47,0.14,0.30,15.7,0,2,2,6.0,4.4,0.20,-1.0,-1.4
Ciprian Tătărușanu,ROU,GK,Milan,36,1986,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Nuno Tavares,POR,DF,Marseille,22,2000,6.0,0,12,1,8.3,2.00,0.17,0.00,0.00,26.9,0,0,0,0.4,0.4,0.03,-0.4,-0.4
James Tavernier,ENG,DF,Rangers,30,1991,5.4,1,4,2,50.0,0.74,0.37,0.00,0.00,24.2,2,1,1,1.1,0.3,0.07,-0.1,-0.3
Greg Taylor,SCO,DF,Celtic,24,1997,6.0,0,2,1,50.0,0.33,0.17,0.00,0.00,12.7,0,0,0,0.2,0.2,0.12,-0.2,-0.2
Kenneth Taylor,NED,MF,Ajax,20,2002,4.6,0,7,3,42.9,1.51,0.65,0.00,0.00,16.4,0,0,0,0.5,0.5,0.08,-0.5,-0.5
Lucas Taylor,BRA,DF,Shakhtar,27,1995,3.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Mavis Tchibota,CGO,FW,Maccabi Haifa,26,1996,1.0,0,4,1,25.0,3.87,0.97,0.00,0.00,22.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Aurélien Tchouaméni,FRA,MF,Real Madrid,22,2000,4.8,0,9,2,22.2,1.87,0.42,0.00,0.00,17.1,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Mathys Tel,FRA,FW,Bayern Munich,17,2005,1.6,0,7,1,14.3,4.34,0.62,0.00,0.00,21.1,0,0,0,0.6,0.6,0.09,-0.6,-0.6
Alex Telles,BRA,"DF,FW",Sevilla,29,1992,4.3,0,4,0,0.0,0.92,0.00,0.00,,18.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Marc-André ter Stegen,GER,GK,Barcelona,30,1992,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kévin Théophile-Catherine,FRA,DF,Dinamo Zagreb,32,1989,0.8,0,1,0,0.0,1.20,0.00,0.00,,9.5,0,0,0,0.0,0.0,0.03,0.0,0.0
Malick Thiaw,GER,DF,Milan,20,2001,3.1,0,3,0,0.0,0.98,0.00,0.00,,12.2,0,0,0,0.8,0.8,0.26,-0.8,-0.8
Mohamed Tijani,BEN,DF,Viktoria Plzeň,25,1997,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Malik Tillman,USA,MF,Rangers,20,2002,2.7,0,2,0,0.0,0.74,0.00,0.00,,20.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Jurriën Timber,NED,DF,Ajax,21,2001,5.9,0,2,0,0.0,0.34,0.00,0.00,,10.8,0,0,0,0.4,0.4,0.19,-0.4,-0.4
Fikayo Tomori,ENG,DF,Milan,24,1997,9.2,0,2,0,0.0,0.22,0.00,0.00,,18.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Sandro Tonali,ITA,MF,Milan,22,2000,11.7,0,9,1,11.1,0.77,0.09,0.00,0.00,21.6,0,0,0,0.6,0.6,0.07,-0.6,-0.6
Pablo Torre,ESP,"MF,FW",Barcelona,19,2003,1.1,1,1,1,100.0,0.95,0.95,1.00,1.00,14.9,0,0,0,0.4,0.4,0.39,+0.6,+0.6
Ferrán Torres,ESP,"FW,MF",Barcelona,22,2000,2.1,3,7,3,42.9,3.35,1.44,0.43,1.00,13.5,0,0,0,1.3,1.3,0.18,+1.7,+1.7
Andriy Totovytskyi,UKR,MF,Shakhtar,29,1993,0.2,0,1,0,0.0,5.29,0.00,0.00,,12.4,0,0,0,0.1,0.1,0.10,-0.1,-0.1
Kevin Trapp,GER,GK,Eint Frankfurt,32,1990,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Francisco Trincão,POR,"MF,FW",Sporting CP,22,1999,4.3,2,9,4,44.4,2.10,0.93,0.22,0.50,18.9,1,0,0,0.5,0.5,0.06,+1.5,+1.5
Anatolii Trubin,UKR,GK,Shakhtar,20,2001,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kostas Tsimikas,GRE,DF,Liverpool,26,1996,3.8,0,3,0,0.0,0.79,0.00,0.00,,17.6,1,0,0,0.1,0.1,0.04,-0.1,-0.1
