Player,Nation,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Ahmed Abdullahi,NGA,FW,Gent,19,2004,0.3,4,6,66.7,74,26,1,1,100.0,3,4,75.0,0,0,,0,0.0,0.0,0.0,1,2,0,0,2
Shuto Abe,JPN,MF,RWD Molenbeek,25,1997,16.4,525,697,75.3,8876,2426,238,298,79.9,217,273,79.5,49,75,65.3,1,1.3,1.3,-0.3,9,59,7,2,70
Abner,BRA,"DF,MF",RWD Molenbeek,27,1996,20.6,651,873,74.6,10746,3762,286,334,85.6,309,393,78.6,40,110,36.4,0,0.5,0.5,-0.5,7,44,9,3,73
Francis Abu,GHA,MF,Cercle Brugge,22,2001,4.5,163,231,70.6,2812,1107,65,88,73.9,76,98,77.6,13,32,40.6,0,0.1,0.3,-0.1,4,22,5,0,30
Tayo Adaramola,IRL,DF,RWD Molenbeek,19,2003,6.4,182,245,74.3,2884,1196,93,111,83.8,75,100,75.0,8,19,42.1,0,0.6,0.3,-0.6,4,15,7,5,22
Noah Adedeji,BEL,"MF,FW",Genk,18,2005,0.2,12,15,80.0,185,26,5,6,83.3,7,8,87.5,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Jonathan Afolabi,IRL,FW,Kortrijk,23,2000,4.4,58,86,67.4,771,198,35,45,77.8,12,27,44.4,5,5,100.0,0,0.5,0.1,-0.5,4,5,3,0,7
Brian Agbor,CMR,DF,Gent,22,2001,2.3,123,143,86.0,2616,837,37,43,86.0,69,73,94.5,17,25,68.0,0,0.0,0.0,0.0,1,11,0,0,10
Takahiro Akimoto,JPN,DF,OH Leuven,25,1998,2.9,99,129,76.7,1469,631,53,58,91.4,35,51,68.6,5,10,50.0,0,0.0,0.2,0.0,2,9,3,0,16
Carlos Alberto,BRA,"FW,MF",RWD Molenbeek,21,2002,7.3,76,104,73.1,971,264,47,55,85.5,21,30,70.0,1,6,16.7,0,0.8,0.6,-0.8,4,2,2,0,9
Josimar Alcocer,CRC,"FW,MF",Westerlo,19,2004,0.3,6,8,75.0,63,37,4,4,100.0,1,1,100.0,0,1,0.0,0,0.1,0.1,-0.1,1,0,0,0,0
Toby Alderweireld,BEL,DF,Antwerp,34,1989,28.9,2010,2335,86.1,45902,15314,411,473,86.9,1208,1279,94.4,376,543,69.2,4,2.8,1.4,+1.2,15,177,16,0,155
Ryan Alebiosu,ENG,"DF,MF",Kortrijk,21,2001,3.9,107,160,66.9,1623,652,54,68,79.4,43,68,63.2,5,10,50.0,1,1.1,0.6,-0.1,4,7,5,3,9
Teddy Alloh,FRA,DF,Eupen,21,2002,2.2,78,93,83.9,1119,284,41,46,89.1,32,39,82.1,2,2,100.0,1,0.2,0.1,+0.8,2,4,2,0,9
Éder Álvarez Balanta,COL,MF,Club Brugge,30,1993,5.5,226,292,77.4,3867,1187,99,122,81.1,95,119,79.8,20,34,58.8,0,0.0,0.1,0.0,0,23,0,0,29
Steven Alzate,COL,MF,Standard Liège,24,1998,18.5,864,1024,84.4,15634,4199,354,401,88.3,373,421,88.6,104,146,71.2,4,2.7,2.6,+1.3,17,78,13,0,96
Thierry Ambrose,GLP,FW,Kortrijk,26,1997,0.6,11,15,73.3,156,75,5,8,62.5,3,4,75.0,1,1,100.0,0,0.0,0.2,0.0,0,1,2,0,3
