Player,Nation,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Rodrigo Abascal,URU,DF,Boavista,29,1994,27.5,1285,1625,79.1,29048,12863,331,368,89.9,710,784,90.6,239,438,54.6,0,0.6,0.8,-0.6,9,90,7,6,83
Antonio Adán,ESP,GK,Sporting CP,36,1987,22.0,478,601,79.5,12116,8466,90,90,100.0,281,284,98.9,107,227,47.1,0,0.0,0.0,0.0,0,8,0,0,0
Dennis Adeniran,ENG,MF,Portimonense,24,1999,0.1,2,2,100.0,31,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Martin Agirregabiria,ESP,DF,Famalicão,27,1996,13.4,516,694,74.4,9276,3944,229,269,85.1,230,280,82.1,49,113,43.4,0,0.6,0.8,-0.6,9,41,18,10,52
Salvador Agra,POR,"FW,DF",Boavista,31,1991,27.3,840,1129,74.4,14919,4682,367,419,87.6,367,446,82.3,91,203,44.8,1,3.6,4.8,-2.6,45,41,41,21,89
Matheus Aiás,BRA,"FW,MF",Moreirense,26,1996,5.3,71,110,64.5,1107,362,29,42,69.0,25,33,75.8,6,15,40.0,0,0.2,0.2,-0.2,5,10,1,0,14
Alan,BRA,MF,Moreirense,23,2000,27.3,902,1161,77.7,14941,4547,463,518,89.4,337,390,86.4,78,187,41.7,4,4.0,3.4,0.0,70,116,22,2,164
Rafael Alcobia,POR,DF,Portimonense,20,2003,2.3,100,139,71.9,2214,985,25,28,89.3,53,60,88.3,21,45,46.7,0,0.1,0.0,-0.1,2,10,1,0,4
Alemão,BRA,DF,Portimonense,20,2002,26.3,912,1127,80.9,18895,7493,272,303,89.8,510,561,90.9,116,232,50.0,0,0.4,0.3,-0.4,5,42,2,0,43
Ali Alipour,IRN,FW,Gil Vicente FC,27,1995,8.9,103,158,65.2,1244,240,65,83,78.3,29,40,72.5,1,5,20.0,0,1.0,1.0,-1.0,6,3,5,0,11
Almeida,BRA,DF,Estrela,23,2000,5.4,191,248,77.0,3983,1425,48,60,80.0,111,122,91.0,30,61,49.2,1,0.1,0.0,+0.9,1,6,1,0,10
Pedro Álvaro,POR,DF,Estoril,23,2000,19.9,804,933,86.2,16441,6851,244,266,91.7,468,493,94.9,87,160,54.4,1,1.1,0.9,-0.1,5,35,3,1,31
Pedro Amador,POR,DF,Moreirense,24,1998,12.6,446,618,72.2,8372,3549,188,227,82.8,189,249,75.9,63,113,55.8,1,0.7,1.1,+0.3,10,21,14,10,27
Artur Jorge Marques Amorim,POR,DF,Farense,28,1994,5.5,143,184,77.7,3238,1019,29,32,90.6,93,102,91.2,21,45,46.7,0,0.1,0.0,-0.1,1,6,1,0,6
André André,POR,MF,Vitória,33,1989,7.3,329,377,87.3,5087,1559,179,196,91.3,122,133,91.7,17,29,58.6,3,2.5,2.0,+0.5,6,38,9,2,46
Andrew,BRA,GK,Gil Vicente FC,22,2001,32.0,814,1130,72.0,21091,14648,172,172,100.0,412,418,98.6,225,529,42.5,0,0.0,0.0,0.0,0,4,0,0,0
Jeremy Antonisse,CUW,FW,Moreirense,21,2002,6.1,146,200,73.0,2012,685,89,112,79.5,40,54,74.1,7,18,38.9,1,1.5,1.1,-0.5,12,9,7,3,23
Pedro Aparício,POR,"MF,FW",Moreirense,27,1995,3.7,89,126,70.6,1751,631,34,41,82.9,40,52,76.9,13,23,56.5,0,0.5,0.6,-0.5,6,14,5,0,20
Óscar Aranda,ESP,"FW,MF",Famalicão,21,2002,8.0,175,234,74.8,3485,1234,73,88,83.0,74,91,81.3,27,44,61.4,0,0.8,0.8,-0.8,11,33,4,1,40
Henrique Araújo,POR,FW,Famalicão,21,2002,7.6,124,161,77.0,1584,186,76,94,80.9,31,41,75.6,5,6,83.3,0,0.8,0.3,-0.8,8,2,2,0,11
Tiago Araújo,POR,"DF,MF",Estoril,22,2001,25.0,887,1236,71.8,16975,5676,363,439,82.7,381,495,77.0,120,237,50.6,1,3.2,2.2,-2.2,21,69,22,15,71
Tomás Araújo,POR,DF,Benfica,21,2002,5.4,383,428,89.5,6969,2906,164,181,90.6,177,188,94.1,38,51,74.5,0,0.3,0.4,-0.3,6,29,1,0,25
Gustavo Assuncao,POR,MF,Famalicão,23,2000,7.0,262,314,83.4,4986,1448,104,114,91.2,123,135,91.1,31,51,60.8,0,0.2,0.3,-0.2,5,24,4,2,23
Otavio Ataide,BRA,DF,Famalicão,21,2002,15.4,700,866,80.8,15434,5923,204,235,86.8,355,397,89.4,134,210,63.8,0,0.2,0.6,-0.2,4,44,4,4,45
Otavio Ataide,BRA,DF,Porto,21,2002,12.0,774,861,89.9,15462,4920,231,243,95.1,459,489,93.9,81,119,68.1,1,0.2,0.4,+0.8,5,81,3,0,86
Fredrik Aursnes,NOR,DF,Benfica,27,1995,31.0,1643,2000,82.2,26344,8427,841,938,89.7,652,757,86.1,105,185,56.8,7,7.1,6.3,-0.1,41,129,47,9,161
Chidozie Awaziem,NGA,DF,Boavista,26,1997,21.7,1001,1210,82.7,21431,8109,288,322,89.4,559,600,93.2,150,267,56.2,1,0.7,0.2,+0.3,4,62,2,0,58
Abdul Awudu,GHA,"FW,MF",Vizela,22,2001,2.1,42,53,79.2,617,108,25,31,80.6,14,16,87.5,1,2,50.0,0,0.1,0.1,-0.1,3,2,1,1,2
Amadou Ba-Sy,FRA,"FW,MF",Vizela,22,2001,1.3,16,25,64.0,200,80,12,15,80.0,4,7,57.1,0,1,0.0,0,0.0,0.0,0.0,1,2,0,0,3
