Player,Nation,Pos,Squad,Age,Born,90s,GoalsConceded,PKConceded,GoalsFK,GoalsCorner,CSC,PSxG,PSxG/SoT,PSxG+/-,PSxG/90,LaunchCompleted,LaunchAttempted,LaunchCompleted%,PassAttempted,ThrowAttempted,% of throws,PassAvgLen,GoalKicksAtt,% of GoalKicks(+35yards),GoalKicksAvgLen,OppCrosses,CrossesStopped,Stp%,NbrActionSweeper,NbrActionSweeper/90,AvgLenFromGoalLine
Julen Agirrezabala,ESP,GK,Athletic Club,23-318,2000,4.0,2,0,0,1,0,1.9,0.16,-0.1,-0.02,17,50,34.0,94,11,38.3,34.3,20,70.0,52.8,43,2,4.7,3,0.75,14.3
Oliver Baumann,GER,GK,Hoffenheim,34-159,1990,4.0,5,0,0,1,0,5.4,0.36,+0.4,+0.10,13,43,30.2,109,11,33.0,31.8,19,36.8,37.4,63,2,3.2,2,0.50,13.7
Hendrik Bonmann,GER,GK,Ludogorets,30-291,1994,2.0,2,0,0,0,0,2.7,0.26,+0.7,+0.36,14,40,35.0,67,11,38.8,37.6,19,73.7,46.9,41,4,9.8,3,1.50,12.3
Fabijan Buntić,CRO,GK,Qarabağ,27-258,1997,1.0,2,0,0,0,0,2.0,0.40,0.0,-0.01,0,2,0.0,10,3,20.0,27.4,3,0.0,22.0,9,1,11.1,1,1.00,12.0
Heorhiy Bushchan,UKR,GK,Dynamo Kyiv,30-161,1994,3.0,9,0,0,1,0,8.8,0.35,-0.2,-0.08,14,37,37.8,85,17,31.8,34.3,13,76.9,52.5,41,1,2.4,1,0.33,12.3
Jack Butland,ENG,GK,Rangers,31-243,1993,4.0,5,0,0,0,0,4.2,0.42,-0.8,-0.21,12,47,25.5,109,10,33.9,32.8,20,50.0,44.2,45,1,2.2,2,0.50,14.3
Marcin Bułka,POL,GK,Nice,25-035,1999,4.0,8,1,0,1,1,4.1,0.19,-2.9,-0.71,7,20,35.0,117,19,15.4,26.3,19,10.5,24.7,39,5,12.8,5,1.25,14.7
Colin Coosemans,BEL,GK,Anderlecht,32-097,1992,4.0,3,0,0,0,1,2.9,0.24,+0.9,+0.23,17,54,31.5,130,14,33.8,35.2,19,52.6,41.1,60,1,1.7,4,1.00,16.6
Diogo Costa,POR,GK,Porto,25-050,1999,4.0,8,0,0,2,0,7.2,0.34,-0.8,-0.21,21,49,42.9,134,16,29.9,31.6,23,39.1,34.2,61,1,1.6,10,2.50,19.2
Johan Dahlin,SWE,GK,Malmö,38-061,1986,2.5,4,0,0,0,0,3.3,0.30,-0.7,-0.28,1,13,7.7,37,10,21.6,25.6,25,20.0,27.4,25,1,4.0,2,0.80,19.4
