Player,Nation,Pos,Squad,Comp,Age,Born,90s,GoalsConceded,PKConceded,GoalsFK,GoalsCorner,CSC,PSxG,PSxG/SoT,PSxG+/-,PSxG/90,LaunchCompleted,LaunchAttempted,LaunchCompleted%,PassAttempted,ThrowAttempted,% of throws,PassAvgLen,GoalKicksAtt,% of GoalKicks(+35yards),GoalKicksAvgLen,OppCrosses,CrossesStopped,Stp%,NbrActionSweeper,NbrActionSweeper/90,AvgLenFromGoalLine
Marko Dmitrović,SRB,GK,Leganés,La Liga,32-267,1992,3.0,2,1,0,0,0,2.9,0.20,+0.9,+0.32,16,61,26.2,66,11,60.6,47.1,27,77.8,62.0,46,3,6.5,2,0.67,11.3
Gianluigi Donnarumma,ITA,GK,Paris S-G,Ligue 1,25-235,1999,5.0,4,1,0,1,0,4.3,0.23,+0.3,+0.06,8,29,27.6,122,21,14.8,24.8,25,44.0,32.6,43,1,2.3,4,0.80,15.9
Patrick Drewes,GER,GK,Bochum,Bundesliga,31-256,1993,6.0,14,1,0,1,0,13.7,0.36,-0.3,-0.06,79,169,46.7,212,19,56.6,38.6,56,87.5,56.7,107,6,5.6,11,1.83,14.5
Ederson,BRA,GK,Manchester City,Premier League,31-061,1993,7.0,8,1,0,1,1,8.3,0.36,+1.3,+0.19,23,57,40.4,236,20,21.6,28.5,14,42.9,39.9,67,1,1.5,14,2.00,18.5
Łukasz Fabiański,POL,GK,West Ham,Premier League,39-182,1985,0.5,1,0,0,0,0,1.2,0.40,+0.2,+0.42,1,4,25.0,6,3,33.3,37.5,2,100.0,76.5,6,0,0.0,0,0.00,6.0
Wladimiro Falcone,ITA,GK,Lecce,Serie A,29-188,1995,7.0,12,2,1,1,0,9.6,0.26,-2.4,-0.35,34,97,35.1,156,30,48.7,37.4,31,67.7,49.3,115,4,3.5,4,0.57,10.4
Mark Flekken,NED,GK,Brentford,Premier League,31-126,1993,7.0,13,0,0,0,1,11.1,0.25,-0.9,-0.13,62,130,47.7,347,23,32.3,34.2,31,58.1,47.8,94,6,6.4,10,1.43,14.2
Yahia Fofana,CIV,GK,Angers,Ligue 1,24-057,2000,7.0,13,0,0,1,0,13.5,0.34,+0.5,+0.07,30,84,35.7,161,34,38.5,34.8,45,48.9,39.0,88,9,10.2,6,0.86,10.7
Joan García,ESP,GK,Espanyol,La Liga,23-166,2001,9.0,13,1,0,3,0,15.9,0.27,+2.9,+0.32,38,130,29.2,262,45,37.4,36.4,50,64.0,50.1,163,11,6.7,11,1.22,13.2
Paulo Gazzaniga,ARG,GK,Girona,La Liga,32-289,1992,9.0,12,0,1,1,0,9.8,0.26,-2.2,-0.24,13,50,26.0,262,38,14.5,26.6,44,27.3,31.4,89,8,9.0,12,1.33,17.5
