Player,Nation,Pos,Squad,Comp,Age,Born,90s,GoalsConceded,PKConceded,GoalsFK,GoalsCorner,CSC,PSxG,PSxG/SoT,PSxG+/-,PSxG/90,LaunchCompleted,LaunchAttempted,LaunchCompleted%,PassAttempted,ThrowAttempted,% of throws,PassAvgLen,GoalKicksAtt,% of GoalKicks(+35yards),GoalKicksAvgLen,OppCrosses,CrossesStopped,Stp%,NbrActionSweeper,NbrActionSweeper/90,AvgLenFromGoalLine
Rui Silva,POR,GK,Betis,La Liga,30-253,1994,9.0,8,2,0,2,0,8.3,0.25,+0.3,+0.04,17,67,25.4,250,37,21.2,28.6,48,29.2,32.2,109,6,5.5,22,2.44,19.6
Antonio Sivera,ESP,GK,Alavés,La Liga,28-067,1996,9.0,15,2,1,0,0,15.4,0.35,+0.4,+0.04,83,189,43.9,196,19,70.9,47.3,67,74.6,55.6,93,3,3.2,8,0.89,16.9
Łukasz Skorupski,POL,GK,Bologna,Serie A,33-165,1991,5.0,8,0,0,1,1,7.1,0.36,+0.1,+0.01,15,41,36.6,158,24,20.3,29.8,27,33.3,36.3,58,4,6.9,6,1.20,12.7
Yann Sommer,SUI,GK,Inter,Serie A,35-305,1988,7.0,9,1,0,1,0,8.7,0.24,-0.3,-0.05,7,25,28.0,216,31,10.2,23.9,25,12.0,25.2,76,2,2.6,4,0.57,14.0
David Soria,ESP,GK,Getafe,La Liga,31-196,1993,9.0,7,1,0,0,0,7.3,0.28,+0.3,+0.03,42,137,30.7,119,16,66.4,49.2,68,85.3,60.9,109,4,3.7,8,0.89,13.0
Juan Soriano,ESP,GK,Leganés,La Liga,27-055,1997,6.0,7,0,0,1,1,8.8,0.36,+2.8,+0.47,36,120,30.0,131,20,56.5,43.9,54,85.2,62.8,130,7,5.4,0,0.00,8.4
Jason Steele,ENG,GK,Brighton,Premier League,34-060,1990,2.0,1,0,0,0,0,0.5,0.12,-0.5,-0.26,7,16,43.8,110,7,13.6,25.1,2,50.0,43.0,22,2,9.1,3,1.50,15.4
Zion Suzuki,JPN,GK,Parma,Serie A,22-057,2002,5.8,7,0,2,0,0,8.5,0.32,+1.5,+0.25,28,103,27.2,210,32,38.1,35.4,39,59.0,51.1,93,8,8.6,4,0.69,11.0
Mile Svilar,SRB,GK,Roma,Serie A,25-051,1999,7.0,5,1,0,0,0,7.7,0.27,+2.7,+0.38,16,72,22.2,212,25,21.7,30.5,42,61.9,48.5,91,2,2.2,2,0.29,12.5
Marc-André ter Stegen,GER,GK,Barcelona,La Liga,32-170,1992,5.5,5,1,0,0,0,4.6,0.25,-0.4,-0.08,13,28,46.4,186,31,13.4,27.3,17,17.6,29.9,64,3,4.7,6,1.09,13.9
Pietro Terracciano,ITA,GK,Fiorentina,Serie A,34-223,1990,3.0,3,0,0,0,0,3.1,0.24,+0.1,+0.03,8,25,32.0,78,14,28.2,28.8,11,27.3,26.5,20,1,5.0,3,1.00,17.0
Kevin Trapp,GER,GK,Eint Frankfurt,Bundesliga,34-101,1990,2.5,3,0,0,0,0,2.4,0.24,-0.6,-0.25,13,34,38.2,73,14,35.6,30.8,17,47.1,39.8,50,1,2.0,1,0.40,11.5
Mark Travers,IRL,GK,Bournemouth,Premier League,25-152,1999,1.0,1,0,0,0,0,1.2,0.40,+0.2,+0.19,6,12,50.0,16,3,62.5,40.3,2,100.0,68.0,6,0,0.0,2,2.00,16.0
Stefano Turati,ITA,GK,Monza,Serie A,23-042,2001,4.0,7,0,0,2,0,5.5,0.31,-1.5,-0.37,37,85,43.5,115,10,53.9,37.2,27,85.2,56.5,61,0,0.0,2,0.50,17.5
Sven Ulreich,GER,GK,Bayern Munich,Bundesliga,36-075,1988,1.0,0,0,0,0,0,0.0,,0.0,0.00,3,8,37.5,29,4,27.6,28.2,1,0.0,9.0,7,1,14.3,1,1.00,12.3
Nikola Vasilj,BIH,GK,St. Pauli,Bundesliga,28-320,1995,6.0,9,0,0,2,0,8.9,0.29,-0.1,-0.02,36,105,34.3,225,23,40.0,35.7,30,50.0,42.4,79,4,5.1,5,0.83,17.0
Devis Vásquez,COL,GK,Empoli,Serie A,26-158,1998,7.0,4,0,0,1,0,5.0,0.20,+1.0,+0.15,34,119,28.6,200,24,47.5,39.0,27,88.9,60.7,139,11,7.9,2,0.29,8.7
Bart Verbruggen,NED,GK,Brighton,Premier League,22-060,2002,5.0,9,2,1,0,0,8.5,0.34,-0.5,-0.10,17,41,41.5,182,24,20.9,26.6,8,37.5,35.1,33,2,6.1,11,2.20,18.0
Guglielmo Vicario,ITA,GK,Tottenham,Premier League,28-010,1996,7.0,8,0,0,1,0,9.1,0.39,+1.1,+0.15,3,16,18.8,269,49,5.9,20.2,16,0.0,14.8,77,9,11.7,17,2.43,16.6
Iván Villar,ESP,GK,Celta Vigo,La Liga,27-100,1997,4.0,9,0,0,3,2,8.2,0.40,+1.2,+0.30,3,22,13.6,82,15,14.6,24.0,35,28.6,26.9,65,1,1.5,5,1.25,14.8
Christian Walton,ENG,GK,Ipswich Town,Premier League,28-343,1995,1.0,2,0,0,0,0,2.3,0.47,+0.3,+0.33,6,14,42.9,36,7,33.3,30.4,6,33.3,31.3,16,1,6.3,1,1.00,13.8
Timon Weiner,GER,GK,Holstein Kiel,Bundesliga,25-273,1999,6.0,19,2,1,2,1,13.9,0.28,-4.1,-0.69,43,107,40.2,200,32,43.0,34.9,38,55.3,43.4,123,8,6.5,1,0.17,8.4
Robin Zentner,GER,GK,Mainz 05,Bundesliga,29-355,1994,6.0,10,1,1,1,0,10.8,0.28,+0.8,+0.13,35,110,31.8,173,37,44.5,38.4,52,63.5,51.3,146,10,6.8,14,2.33,14.7
Michael Zetterer,GER,GK,Werder Bremen,Bundesliga,29-097,1995,6.0,12,0,0,0,0,10.0,0.39,-2.0,-0.33,22,58,37.9,192,37,25.0,32.1,38,26.3,35.8,89,8,9.0,4,0.67,12.6
