Player,Nation,Pos,Squad,Age,Born,90s,GoalsConceded,PKConceded,GoalsFK,GoalsCorner,CSC,PSxG,PSxG/SoT,PSxG+/-,PSxG/90,LaunchCompleted,LaunchAttempted,LaunchCompleted%,PassAttempted,ThrowAttempted,% of throws,PassAvgLen,GoalKicksAtt,% of GoalKicks(+35yards),GoalKicksAvgLen,OppCrosses,CrossesStopped,Stp%,NbrActionSweeper,NbrActionSweeper/90,AvgLenFromGoalLine
Andrew,BRA,GK,Gil Vicente FC,23-129,2001,10.0,16,3,0,4,0,14.2,0.35,-1.8,-0.18,38,91,41.8,304,52,23.4,30.4,88,22.7,31.0,158,9,5.7,6,0.60,12.3
Gabriel Batista,BRA,GK,Santa Clara,26-157,1998,10.0,12,2,0,2,0,9.1,0.22,-2.9,-0.29,50,133,37.6,214,44,47.2,38.7,63,50.8,44.0,99,9,9.1,7,0.70,14.1
Ricardo Batista,POR,GK,Casa Pia,37-354,1986,1.0,1,1,0,0,0,0.8,0.02,-0.2,-0.23,1,2,50.0,31,3,6.5,24.7,3,0.0,18.7,10,0,0.0,2,2.00,14.7
Simão Bertelli,BRA,GK,AVS Futebol,31-158,1993,4.0,7,1,0,0,0,7.6,0.38,+0.6,+0.16,19,44,43.2,92,18,27.2,31.2,37,51.4,45.3,62,2,3.2,2,0.50,13.6
Bruno Brigido,BRA,GK,Estrela,33-243,1991,10.0,20,2,0,2,0,17.8,0.35,-2.2,-0.22,26,106,24.5,232,52,28.0,33.3,71,57.7,48.0,145,7,4.8,10,1.00,14.3
César,BRA,GK,Boavista,32-285,1992,4.0,6,0,0,2,0,6.0,0.35,0.0,+0.01,24,69,34.8,62,15,54.8,42.6,43,81.4,54.4,59,3,5.1,2,0.50,15.8
Diogo Costa,POR,GK,Porto,25-049,1999,10.0,4,1,0,0,0,7.4,0.31,+3.4,+0.34,40,94,42.6,334,45,22.2,28.6,49,40.8,38.3,103,3,2.9,10,1.00,19.3
Daniel Figueira,POR,GK,Estoril,26-110,1998,1.0,4,1,0,0,0,2.2,0.20,-1.8,-1.77,2,6,33.3,19,6,21.1,27.2,5,40.0,26.6,16,1,6.3,0,0.00,9.4
Lucas França,BRA,GK,Nacional,28-293,1996,9.0,13,1,0,2,0,14.7,0.37,+1.7,+0.19,48,130,36.9,192,32,42.7,37.2,83,57.8,45.8,147,13,8.8,8,0.89,12.5
João Gonçalves,POR,GK,Boavista,24-002,2000,4.0,2,0,0,0,0,3.5,0.43,+1.5,+0.37,31,88,35.2,74,3,70.3,48.7,36,100.0,64.3,58,1,1.7,1,0.25,14.0
Lukáš Horníček,CZE,GK,Braga,22-117,2002,1.0,0,0,0,0,0,0.5,0.49,+0.5,+0.49,0,10,0.0,23,4,43.5,38.2,4,0.0,14.5,14,1,7.1,3,3.00,19.2
Franco Israel,URU,GK,Sporting CP,24-199,2000,6.0,1,0,0,0,0,2.0,0.20,+1.0,+0.17,5,10,50.0,111,24,7.2,22.4,22,9.1,20.6,35,0,0.0,4,0.67,17.1
Jhonatan,BRA,GK,Rio Ave,33-183,1991,8.0,13,0,0,0,0,12.1,0.28,-0.9,-0.11,30,102,29.4,231,40,26.4,32.3,78,52.6,42.2,126,3,2.4,5,0.63,12.0
Luiz Lúcio Reis Júnior,BRA,GK,Famalicão,23-298,2001,1.0,0,0,0,0,0,0.3,0.17,+0.3,+0.35,11,24,45.8,32,7,59.4,44.6,6,83.3,57.8,17,3,17.6,2,2.00,10.7
Kewin,BRA,GK,Moreirense,29-013,1995,10.0,12,1,0,1,0,11.6,0.31,-0.4,-0.04,64,158,40.5,292,46,39.4,35.7,77,55.8,44.3,185,16,8.6,2,0.20,9.0
Vladen Kovačević,BIH,GK,Sporting CP,26-210,1998,4.0,2,0,0,0,0,2.6,0.29,+0.6,+0.16,6,15,40.0,72,12,16.7,24.1,11,27.3,29.6,40,3,7.5,2,0.50,12.7
Nico Mantl,GER,GK,Arouca,24-275,2000,10.0,19,5,1,3,0,18.6,0.34,-0.4,-0.04,45,103,43.7,287,47,24.4,28.2,82,40.2,36.7,162,9,5.6,16,1.60,16.2
Matheus,BRA,GK,Braga,32-111,1992,9.0,7,1,0,1,0,8.9,0.28,+1.9,+0.21,27,90,30.0,259,38,27.4,31.4,55,34.5,33.5,101,6,5.9,16,1.78,16.7
Cezary Miszta,POL,GK,Rio Ave,23-008,2001,2.0,7,0,0,0,0,5.7,0.38,-1.3,-0.66,9,29,31.0,48,11,37.5,35.5,20,55.0,46.0,26,2,7.7,2,1.00,13.6
Guillermo Ochoa,MEX,GK,AVS Futebol,39-117,1985,6.0,12,0,1,1,0,11.1,0.37,-0.9,-0.15,27,66,40.9,116,21,35.3,33.9,52,48.1,39.4,87,0,0.0,4,0.67,14.8
Joel Robles,ESP,GK,Estoril,34-143,1990,9.0,12,0,0,0,0,16.3,0.34,+4.3,+0.48,39,132,29.5,196,34,45.9,39.3,92,45.7,40.5,162,6,3.7,3,0.33,10.2
Patrick Sequeira,CRC,GK,Casa Pia,25-251,1999,9.0,12,1,0,0,1,11.0,0.25,0.0,0.00,42,144,29.2,212,48,41.5,36.8,75,74.7,53.7,133,15,11.3,8,0.89,12.1
Tomé,POR,GK,Boavista,17-327,2006,2.0,5,0,0,0,0,2.3,0.24,-2.7,-1.36,13,44,29.5,21,0,85.7,55.2,26,100.0,62.1,33,0,0.0,2,1.00,14.0
Anatolii Trubin,UKR,GK,Benfica,23-098,2001,9.0,6,0,0,0,0,6.9,0.33,+0.9,+0.10,12,25,48.0,163,36,9.8,23.1,41,22.0,30.6,53,2,3.8,7,0.78,15.9
