Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Salis Abdul Samed,GHA,MF,Lens,23,2000,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Abner,BRA,DF,Betis,23,2000,4.4,0,2,1,50.0,0.45,0.23,0.00,0.00,15.2,0,0,0,0.2,0.2,0.09,-0.2,-0.2
Zakaria Aboukhlal,MAR,FW,Toulouse,23,2000,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Tammy Abraham,ENG,FW,Roma,25,1997,0.9,0,3,0,0.0,3.25,0.00,0.00,,5.9,0,0,0,1.0,1.0,0.35,-1.0,-1.0
Peter Abrahamsson,SWE,GK,Häcken,35,1988,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Junior Adamu,AUT,FW,Freiburg,22,2001,1.4,1,2,1,50.0,1.40,0.70,0.50,1.00,15.1,0,0,0,0.2,0.2,0.10,+0.8,+0.8
Antonio Adán,ESP,GK,Sporting CP,36,1987,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Peter Ademo,NGA,MF,Sheriff Tiraspol,20,2003,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Simon Adingra,CIV,"FW,MF",Brighton,21,2002,5.9,1,19,7,36.8,3.21,1.18,0.05,0.14,13.2,0,0,0,1.9,1.9,0.10,-0.9,-0.9
Amine Adli,MAR,"MF,FW",Leverkusen,23,2000,10.9,1,31,11,35.5,2.85,1.01,0.03,0.09,14.9,0,0,0,3.4,3.4,0.11,-2.4,-2.4
Yacine Adli,FRA,MF,Milan,23,2000,2.5,0,2,1,50.0,0.81,0.41,0.00,0.00,24.9,1,0,0,0.1,0.1,0.04,-0.1,-0.1
David Affengruber,AUT,DF,Sturm Graz,22,2001,5.9,0,4,1,25.0,0.68,0.17,0.00,0.00,8.0,0,0,0,0.5,0.5,0.13,-0.5,-0.5
Nayef Aguerd,MAR,DF,West Ham,27,1996,4.5,1,4,2,50.0,0.88,0.44,0.25,0.50,8.3,0,0,0,0.4,0.4,0.11,+0.6,+0.6
Ruben Aguilar,FRA,DF,Lens,30,1993,1.2,0,1,1,100.0,0.83,0.83,0.00,0.00,17.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Ilias Akhomach,MAR,"MF,FW",Villarreal,19,2004,4.5,1,5,2,40.0,1.11,0.44,0.20,0.50,19.3,0,0,0,0.2,0.2,0.05,+0.8,+0.8
David Akpan Ankeye,NGA,FW,Sheriff Tiraspol,21,2002,4.5,1,10,4,40.0,2.24,0.90,0.10,0.25,16.8,0,0,0,1.3,1.3,0.13,-0.3,-0.3
Chuba Akpom,ENG,"FW,MF",Ajax,27,1995,2.1,3,12,7,58.3,5.74,3.35,0.25,0.43,12.7,0,0,0,2.4,2.4,0.20,+0.6,+0.6
Kerem Aktürkoğlu,TUR,FW,Galatasaray,24,1998,1.6,0,3,0,0.0,1.87,0.00,0.00,,18.1,0,0,0,0.4,0.4,0.13,-0.4,-0.4
Raúl Albiol,ESP,DF,Villarreal,37,1985,1.6,0,1,0,0.0,0.64,0.00,0.00,,18.2,0,0,0,0.0,0.0,0.03,0.0,0.0
