Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Rodrigo Abascal,URU,DF,Boavista,29,1994,27.5,2,12,4,33.3,0.44,0.15,0.17,0.50,22.3,4,0,0,1.4,1.4,0.12,+0.6,+0.6
Antonio Adán,ESP,GK,Sporting CP,36,1987,22.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Dennis Adeniran,ENG,MF,Portimonense,24,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Martin Agirregabiria,ESP,DF,Famalicão,27,1996,13.4,0,4,1,25.0,0.30,0.07,0.00,0.00,27.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Salvador Agra,POR,"FW,DF",Boavista,31,1991,27.3,3,27,10,37.0,0.99,0.37,0.11,0.30,23.9,6,0,0,2.3,2.3,0.08,+0.7,+0.7
Matheus Aiás,BRA,"FW,MF",Moreirense,26,1996,5.3,2,15,7,46.7,2.83,1.32,0.13,0.29,18.5,1,0,0,1.9,1.9,0.13,+0.1,+0.1
Alan,BRA,MF,Moreirense,23,2000,27.3,3,46,13,28.3,1.69,0.48,0.07,0.23,23.9,8,0,1,3.9,3.1,0.07,-0.9,-0.1
Rafael Alcobia,POR,DF,Portimonense,20,2003,2.3,0,1,0,0.0,0.44,0.00,0.00,,22.9,0,0,0,0.0,0.0,0.01,0.0,0.0
Alemão,BRA,DF,Portimonense,20,2002,26.3,2,10,3,30.0,0.38,0.11,0.20,0.67,13.5,0,0,0,0.7,0.7,0.07,+1.3,+1.3
Ali Alipour,IRN,FW,Gil Vicente FC,27,1995,8.9,2,13,3,23.1,1.46,0.34,0.08,0.33,14.4,0,1,1,2.7,1.9,0.15,-0.7,-0.9
Almeida,BRA,DF,Estrela,23,2000,5.4,0,1,0,0.0,0.19,0.00,0.00,,26.4,0,0,0,0.0,0.0,0.04,0.0,0.0
Pedro Álvaro,POR,DF,Estoril,23,2000,19.9,0,9,2,22.2,0.45,0.10,0.00,0.00,12.8,0,0,0,0.5,0.5,0.06,-0.5,-0.5
Pedro Amador,POR,DF,Moreirense,24,1998,12.6,0,5,0,0.0,0.40,0.00,0.00,,27.7,1,0,0,0.1,0.1,0.03,-0.1,-0.1
Artur Jorge Marques Amorim,POR,DF,Farense,28,1994,5.5,0,3,1,33.3,0.55,0.18,0.00,0.00,9.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2
André André,POR,MF,Vitória,33,1989,7.3,0,7,1,14.3,0.96,0.14,0.00,0.00,20.3,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Andrew,BRA,GK,Gil Vicente FC,22,2001,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jeremy Antonisse,CUW,FW,Moreirense,21,2002,6.1,0,15,4,26.7,2.46,0.66,0.00,0.00,19.5,0,0,0,1.6,1.6,0.11,-1.6,-1.6
Pedro Aparício,POR,"MF,FW",Moreirense,27,1995,3.7,1,5,2,40.0,1.37,0.55,0.20,0.50,10.0,0,0,0,0.9,0.9,0.18,+0.1,+0.1
Óscar Aranda,ESP,"FW,MF",Famalicão,21,2002,8.0,1,30,8,26.7,3.77,1.00,0.03,0.13,25.9,8,0,0,0.9,0.9,0.03,+0.1,+0.1
Henrique Araújo,POR,FW,Famalicão,21,2002,7.6,0,12,2,16.7,1.59,0.26,0.00,0.00,10.9,0,0,0,1.4,1.4,0.11,-1.4,-1.4
Tiago Araújo,POR,"DF,MF",Estoril,22,2001,25.0,2,31,9,29.0,1.24,0.36,0.06,0.22,22.1,2,0,0,1.6,1.6,0.05,+0.4,+0.4
Tomás Araújo,POR,DF,Benfica,21,2002,5.4,1,5,3,60.0,0.93,0.56,0.20,0.33,8.1,0,0,0,0.4,0.4,0.09,+0.6,+0.6
Gustavo Assuncao,POR,MF,Famalicão,23,2000,7.0,0,4,1,25.0,0.57,0.14,0.00,0.00,24.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Otavio Ataide,BRA,DF,Famalicão,21,2002,15.4,2,13,4,30.8,0.85,0.26,0.15,0.50,21.4,0,0,0,0.9,0.9,0.07,+1.1,+1.1
Otavio Ataide,BRA,DF,Porto,21,2002,12.0,0,10,3,30.0,0.83,0.25,0.00,0.00,17.6,0,0,0,0.9,0.9,0.09,-0.9,-0.9
Fredrik Aursnes,NOR,DF,Benfica,27,1995,31.0,2,18,5,27.8,0.58,0.16,0.11,0.40,15.5,0,0,0,2.6,2.6,0.14,-0.6,-0.6
Chidozie Awaziem,NGA,DF,Boavista,26,1997,21.7,0,13,3,23.1,0.60,0.14,0.00,0.00,10.0,0,0,0,1.1,1.1,0.09,-1.1,-1.1
Abdul Awudu,GHA,"FW,MF",Vizela,22,2001,2.1,0,3,0,0.0,1.46,0.00,0.00,,19.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Amadou Ba-Sy,FRA,"FW,MF",Vizela,22,2001,1.3,0,4,1,25.0,3.03,0.76,0.00,0.00,15.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Alexander Bah,DEN,DF,Benfica,25,1997,16.9,2,9,4,44.4,0.53,0.24,0.22,0.50,18.5,0,0,0,1.0,1.0,0.11,+1.0,+1.0
Elves Baldé,GNB,"FW,MF",Farense,23,1999,10.8,1,23,3,13.0,2.12,0.28,0.04,0.33,22.3,2,0,0,2.0,2.0,0.09,-1.0,-1.0
Robson Bambu,BRA,DF,Arouca,25,1997,9.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Daniel Bandeira,POR,MF,Vitória,23,2000,7.8,1,8,4,50.0,1.02,0.51,0.13,0.25,22.8,0,0,0,0.3,0.3,0.04,+0.7,+0.7
Simon Banza,COD,FW,Braga,26,1996,22.2,21,85,39,45.9,3.83,1.76,0.21,0.46,13.0,0,3,3,16.7,14.4,0.17,+4.3,+3.6
Rafael Barbosa,POR,"MF,FW",Farense,27,1996,9.5,1,18,8,44.4,1.89,0.84,0.06,0.13,22.3,0,0,0,1.4,1.4,0.08,-0.4,-0.4
Romário Baró,POR,"MF,FW",Porto,23,2000,2.5,0,4,0,0.0,1.60,0.00,0.00,,20.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Afonso Bastardo,POR,"FW,DF",Gil Vicente FC,18,2005,0.5,0,2,1,50.0,4.29,2.14,0.00,0.00,31.2,0,0,0,0.0,0.0,0.02,0.0,0.0
Afonso Bastardo,POR,MF,Sporting CP,18,2005,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Gilberto Batista,GNB,DF,Moreirense,19,2003,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ricardo Batista,POR,GK,Casa Pia,36,1986,30.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Roko Baturina,CRO,FW,Gil Vicente FC,23,2000,7.9,2,11,5,45.5,1.40,0.64,0.18,0.40,13.7,0,0,0,1.2,1.2,0.11,+0.8,+0.8
Bachir Belloumi,ALG,"FW,MF",Farense,21,2002,23.0,7,47,23,48.9,2.04,1.00,0.15,0.30,18.9,0,0,0,4.7,4.7,0.10,+2.3,+2.3
Fahem Benaissa Yahia,FRA,MF,Casa Pia,21,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Beni,ANG,MF,Casa Pia,21,2002,16.3,0,3,1,33.3,0.18,0.06,0.00,0.00,28.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Benny,POR,"MF,FW",Chaves,23,2000,14.1,1,13,3,23.1,0.92,0.21,0.08,0.33,22.1,2,0,0,0.9,0.9,0.07,+0.1,+0.1
Berna,ANG,"FW,DF",Boavista,19,2003,3.6,0,3,0,0.0,0.84,0.00,0.00,,30.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Juan Bernat,ESP,DF,Benfica,30,1993,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Emmanuel Boateng,GHA,FW,Rio Ave,27,1996,20.7,7,65,22,33.8,3.15,1.07,0.11,0.32,14.9,0,0,0,9.1,9.1,0.15,-2.1,-2.1
Kiko Bondoso,POR,"FW,MF",Vizela,27,1995,2.1,0,2,0,0.0,0.93,0.00,0.00,,7.6,0,0,0,0.2,0.2,0.12,-0.2,-0.2
Toni Borevkovic,CRO,DF,Vitória,26,1997,22.7,0,14,4,28.6,0.62,0.18,0.00,0.00,11.1,0,0,0,1.6,1.6,0.12,-1.6,-1.6
Gonçalo Borges,POR,"MF,FW",Porto,22,2001,3.2,0,9,2,22.2,2.78,0.62,0.00,0.00,16.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Cristian Borja,COL,DF,Braga,30,1993,27.2,1,13,4,30.8,0.48,0.15,0.08,0.25,23.5,0,0,0,0.3,0.3,0.03,+0.7,+0.7
Róbert Boženík,SVK,FW,Boavista,23,1999,28.6,9,107,36,33.6,3.74,1.26,0.08,0.25,15.6,0,0,0,13.0,13.0,0.12,-4.0,-4.0
Daniel Bragança,POR,MF,Sporting CP,24,1999,11.4,3,17,6,35.3,1.49,0.53,0.18,0.50,19.7,0,0,0,1.7,1.7,0.10,+1.3,+1.3
Bruno Brigido,BRA,GK,Estrela,32,1991,26.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Rafael Brito,POR,MF,Casa Pia,21,2002,3.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Bruma,POR,"FW,MF",Braga,28,1994,19.1,6,60,22,36.7,3.14,1.15,0.10,0.27,17.3,0,0,0,6.9,6.9,0.11,-0.9,-0.9
Jonathan Buatu Mananga,ANG,DF,Gil Vicente FC,29,1993,5.0,1,2,1,50.0,0.40,0.20,0.50,1.00,6.6,0,0,0,0.4,0.4,0.21,+0.6,+0.6
Leonel Bucca,ARG,"MF,FW",Estrela,24,1999,9.1,1,14,5,35.7,1.54,0.55,0.07,0.20,19.9,0,0,0,2.0,2.0,0.16,-1.0,-1.0
André Bukia,COD,"MF,FW",Arouca,28,1995,1.7,1,5,1,20.0,2.87,0.57,0.20,1.00,19.3,1,0,0,0.6,0.6,0.12,+0.4,+0.4
Fabijan Buntić,CRO,GK,Vizela,26,1997,27.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Aleksandar Busnić,SRB,"MF,FW",Vizela,25,1997,8.5,0,5,2,40.0,0.59,0.23,0.00,0.00,22.1,0,0,0,0.4,0.4,0.09,-0.4,-0.4
Oriol Busquets,ESP,MF,Arouca,24,1999,4.8,0,2,1,50.0,0.41,0.21,0.00,0.00,27.4,0,0,0,0.0,0.0,0.01,0.0,0.0
Rafael Bustamante,COL,MF,Vizela,23,1999,7.9,0,10,1,10.0,1.26,0.13,0.00,0.00,27.3,0,0,0,0.2,0.2,0.02,-0.2,-0.2
Leonardo Buta,POR,DF,Gil Vicente FC,21,2002,24.3,0,2,1,50.0,0.08,0.04,0.00,0.00,23.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Adrián Butzke,ESP,FW,Vitória,24,1999,4.1,0,4,1,25.0,0.98,0.24,0.00,0.00,27.3,0,0,1,1.3,0.5,0.12,-1.3,-0.5
Erick Cabaco,URU,DF,Estoril,28,1995,3.7,0,4,0,0.0,1.07,0.00,0.00,,10.3,0,0,0,0.4,0.4,0.09,-0.4,-0.4
Arthur Cabral,BRA,FW,Benfica,25,1998,14.8,6,54,27,50.0,3.66,1.83,0.11,0.22,15.4,0,0,1,8.4,7.6,0.14,-2.4,-1.6
