Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Ahmed Abdullahi,NGA,FW,Gent,19,2004,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Shuto Abe,JPN,MF,RWD Molenbeek,25,1997,16.4,1,16,6,37.5,0.98,0.37,0.06,0.17,21.5,0,0,0,1.3,1.3,0.08,-0.3,-0.3
Abner,BRA,"DF,MF",RWD Molenbeek,27,1996,20.6,0,6,1,16.7,0.29,0.05,0.00,0.00,17.5,0,0,0,0.6,0.6,0.10,-0.6,-0.6
Francis Abu,GHA,MF,Cercle Brugge,22,2001,4.5,0,5,2,40.0,1.10,0.44,0.00,0.00,27.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Tayo Adaramola,IRL,DF,RWD Molenbeek,19,2003,6.4,0,3,0,0.0,0.47,0.00,0.00,,17.0,0,0,0,0.3,0.3,0.09,-0.3,-0.3
Noah Adedeji,BEL,"MF,FW",Genk,18,2005,0.2,0,2,0,0.0,9.47,0.00,0.00,,17.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Jonathan Afolabi,IRL,FW,Kortrijk,23,2000,4.4,1,4,2,50.0,0.91,0.45,0.25,0.50,13.1,0,0,0,0.3,0.3,0.07,+0.7,+0.7
Brian Agbor,CMR,DF,Gent,22,2001,2.3,0,1,0,0.0,0.43,0.00,0.00,,8.0,0,0,0,0.1,0.1,0.13,-0.1,-0.1
Takahiro Akimoto,JPN,DF,OH Leuven,25,1998,2.9,0,1,0,0.0,0.34,0.00,0.00,,9.7,0,0,0,0.1,0.1,0.10,-0.1,-0.1
Carlos Alberto,BRA,"FW,MF",RWD Molenbeek,21,2002,7.3,2,10,6,60.0,1.37,0.82,0.20,0.33,10.6,0,0,0,1.8,1.8,0.18,+0.2,+0.2
Josimar Alcocer,CRC,"FW,MF",Westerlo,19,2004,0.3,0,1,0,0.0,3.75,0.00,0.00,,28.8,0,0,0,0.0,0.0,0.02,0.0,0.0
Toby Alderweireld,BEL,DF,Antwerp,34,1989,28.9,3,40,12,30.0,1.39,0.42,0.03,0.08,15.0,1,2,3,5.1,2.7,0.07,-2.1,-1.7
Ryan Alebiosu,ENG,"DF,MF",Kortrijk,21,2001,3.9,0,5,0,0.0,1.29,0.00,0.00,,19.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Teddy Alloh,FRA,DF,Eupen,21,2002,2.2,0,1,0,0.0,0.46,0.00,0.00,,13.6,0,0,0,0.0,0.0,0.04,0.0,0.0
Éder Álvarez Balanta,COL,MF,Club Brugge,30,1993,5.5,0,2,1,50.0,0.36,0.18,0.00,0.00,5.2,0,0,0,0.3,0.3,0.13,-0.3,-0.3
Steven Alzate,COL,MF,Standard Liège,24,1998,18.5,1,14,2,14.3,0.76,0.11,0.07,0.50,20.9,0,0,0,1.1,1.1,0.08,-0.1,-0.1
Thierry Ambrose,GLP,FW,Kortrijk,26,1997,0.6,0,1,0,0.0,1.70,0.00,0.00,,19.0,0,0,0,0.0,0.0,0.03,0.0,0.0
Mohamed Amoura,ALG,FW,Union SG,23,2000,15.9,17,77,35,45.5,4.83,2.20,0.21,0.46,16.0,0,1,1,10.7,9.9,0.13,+6.3,+6.1
Francis Amuzu,BEL,FW,Anderlecht,23,1999,6.3,3,19,5,26.3,3.01,0.79,0.16,0.60,17.8,1,0,0,1.0,1.0,0.05,+2.0,+2.0
Frederic Ananou,TOG,"DF,MF",Sint-Truiden,25,1997,6.0,0,2,0,0.0,0.33,0.00,0.00,,9.0,0,0,0,0.2,0.2,0.10,-0.2,-0.2
Stelios Andreou,CYP,DF,Charleroi,21,2002,26.8,1,4,1,25.0,0.15,0.04,0.25,1.00,12.6,0,0,0,1.1,1.1,0.29,-0.1,-0.1
Nilson Angulo,ECU,"FW,MF",Anderlecht,20,2003,0.5,1,1,1,100.0,1.87,1.87,1.00,1.00,3.9,0,0,0,0.9,0.9,0.94,+0.1,+0.1
Bill Antonio,ZIM,"MF,FW",Mechelen,20,2002,6.4,3,8,4,50.0,1.25,0.62,0.38,0.75,14.6,0,0,0,1.0,1.0,0.12,+2.0,+2.0
Kristian Arnstad,NOR,"DF,MF",Anderlecht,19,2003,7.2,0,7,0,0.0,0.98,0.00,0.00,,21.7,1,0,0,0.2,0.2,0.03,-0.2,-0.2
Tolu Arokodare,NGA,FW,Genk,22,2000,14.5,8,71,24,33.8,4.89,1.65,0.11,0.33,11.8,1,0,1,10.7,9.9,0.14,-2.7,-1.9
Gerardo Arteaga,MEX,DF,Genk,24,1998,13.4,0,11,1,9.1,0.82,0.07,0.00,0.00,21.9,0,0,0,0.7,0.7,0.07,-0.7,-0.7
Isaac Asante,GHA,"DF,MF",Mechelen,20,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Dirk Asare,BEL,MF,Mechelen,19,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Majeed Ashimeru,GHA,MF,Anderlecht,25,1997,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Christalino Atemona,GER,DF,Kortrijk,21,2002,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Lynnt Audoor,BEL,MF,Kortrijk,19,2003,4.5,0,1,0,0.0,0.22,0.00,0.00,,25.5,0,0,0,0.0,0.0,0.02,0.0,0.0
Ludwig Augustinsson,SWE,DF,Anderlecht,29,1994,18.1,0,15,3,20.0,0.83,0.17,0.00,0.00,15.8,0,0,0,0.9,0.9,0.06,-0.9,-0.9
Felipe Augusto,BRA,"FW,MF",Cercle Brugge,19,2004,4.9,1,12,2,16.7,2.43,0.41,0.08,0.50,13.8,0,0,0,1.0,1.0,0.08,0.0,0.0
Felipe Avenatti,URU,"FW,MF",Kortrijk,30,1993,17.4,3,41,10,24.4,2.35,0.57,0.05,0.20,15.4,0,1,1,4.5,4.3,0.11,-1.5,-2.3
Gastón Ávila,ARG,DF,Antwerp,21,2001,2.0,0,3,0,0.0,1.50,0.00,0.00,,25.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Youssouph Badji,SEN,"FW,MF",Charleroi,21,2001,10.4,0,29,9,31.0,2.78,0.86,0.00,0.00,11.4,0,0,0,2.7,2.7,0.09,-2.7,-2.7
Bilal Bafdili,BEL,"MF,FW",Mechelen,18,2004,1.9,2,6,4,66.7,3.16,2.11,0.33,0.50,16.8,0,0,0,1.3,1.3,0.26,+0.7,+0.7
Jonas Bager,DEN,DF,Charleroi,27,1996,16.7,0,3,1,33.3,0.18,0.06,0.00,0.00,9.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Brandon Baiye,BEL,MF,Eupen,22,2000,23.0,1,8,2,25.0,0.35,0.09,0.13,0.50,19.4,0,0,0,1.0,1.0,0.12,0.0,0.0
Michel-Ange Balikwisha,BEL,"FW,MF",Antwerp,22,2001,19.8,5,31,11,35.5,1.56,0.55,0.16,0.45,15.5,0,0,0,4.4,4.4,0.14,+0.6,+0.6
William Balikwisha,COD,MF,Standard Liège,24,1999,12.1,1,23,8,34.8,1.90,0.66,0.04,0.13,20.4,0,0,0,1.9,1.9,0.08,-0.9,-0.9
Sacha Banse,BFA,MF,Standard Liège,22,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ezechiel Banzuzi,NED,MF,OH Leuven,18,2005,19.4,2,21,7,33.3,1.08,0.36,0.10,0.29,14.2,0,0,0,2.1,2.1,0.10,-0.1,-0.1
Víctor Barberá,ESP,"FW,MF",Club Brugge,18,2004,0.4,0,1,0,0.0,2.81,0.00,0.00,,11.8,0,0,0,0.1,0.1,0.09,-0.1,-0.1
