Player,Nation,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Patrick van Aanholt,NED,DF,PSV Eindhoven,31,1990,1.5,88,6,23,38,27,1,88,3,2,66.7,1,33.3,47,255,44,0,3,0,2,0,54,9
Myenty Abena,SUR,DF,Ferencváros,27,1994,2.0,117,15,75,39,3,1,117,0,0,,0,,78,344,128,0,0,0,3,0,82,0
Matthis Abline,FRA,FW,Rennes,19,2003,1.6,46,2,3,21,22,12,46,3,2,66.7,1,33.3,31,237,128,5,3,4,4,0,33,7
Abner,BRA,DF,Betis,22,2000,1.3,60,7,31,18,13,3,60,4,3,75.0,1,25.0,27,118,57,1,2,1,2,0,25,3
Pape Abou Cissé,SEN,DF,Olympiacos,26,1995,3.3,251,38,153,89,9,7,251,1,0,0.0,1,100.0,155,650,299,2,1,1,2,1,167,1
Tammy Abraham,ENG,FW,Roma,24,1997,9.6,313,7,30,142,145,40,313,26,5,19.2,14,53.8,194,1035,332,14,9,7,19,13,227,52
Malik Abubakari,GHA,FW,HJK,22,2000,4.9,129,5,12,74,45,14,129,8,1,12.5,4,50.0,63,250,85,2,1,1,12,4,84,20
Marcos Acuña,ARG,DF,Sevilla,30,1991,7.9,501,23,119,192,197,8,501,26,12,46.2,14,53.8,242,1294,604,12,16,1,10,12,254,27
Junior Adamu,AUT,FW,RB Salzburg,21,2001,1.2,30,2,6,9,15,8,30,0,0,,0,,16,70,20,0,2,0,5,0,19,6
Antonio Adán,ESP,GK,Sporting CP,35,1987,6.3,260,236,259,1,0,0,260,1,1,100.0,0,0.0,170,760,435,0,0,0,0,0,132,0
Simon Adingra,CIV,"FW,DF",Union SG,20,2002,4.6,215,2,36,84,100,24,215,31,12,38.7,16,51.6,136,1050,578,17,9,11,11,8,150,40
Amine Adli,MAR,"FW,MF",Leverkusen,22,2000,3.1,196,2,14,99,88,15,196,20,13,65.0,5,25.0,120,728,334,10,9,2,11,2,142,36
David Affengruber,AUT,DF,Sturm Graz,21,2001,5.4,290,56,201,83,7,5,290,1,0,0.0,1,100.0,162,843,456,1,0,0,1,0,156,2
Ruben Aguilar,FRA,"DF,MF",Monaco,29,1993,1.4,98,2,22,51,25,1,98,0,0,,0,,69,440,262,7,3,0,1,0,66,7
Tosin Aiyegun,BEN,FW,Zürich,24,1998,5.3,121,2,4,45,75,20,121,16,9,56.3,6,37.5,74,568,285,13,9,6,7,4,88,26
Albian Ajeti,SUI,FW,Sturm Graz,25,1997,3.4,91,3,3,34,55,16,91,14,5,35.7,7,50.0,56,310,82,3,4,1,11,4,59,19
Samet Akaydın,TUR,DF,Fenerbahçe,28,1994,2.0,152,12,81,68,6,6,152,2,2,100.0,0,0.0,79,467,254,1,0,0,2,1,97,0
Maghnes Akliouche,FRA,"FW,MF",Monaco,20,2002,0.5,30,0,5,6,20,3,30,6,3,50.0,2,33.3,22,141,72,1,1,0,2,1,19,6
Paul Akouokou,CIV,MF,Betis,24,1997,4.0,246,7,51,169,26,1,246,2,2,100.0,0,0.0,163,767,364,3,4,0,3,0,186,2
Jordi Alba,ESP,DF,Barcelona,33,1989,0.7,62,3,11,23,28,3,62,2,2,100.0,0,0.0,33,168,97,2,1,1,1,0,38,9
Luis Alberto,ESP,MF,Lazio,29,1992,3.4,321,3,33,192,97,4,321,4,3,75.0,1,25.0,258,1413,670,12,18,0,6,2,262,18
Doğan Alemdar,TUR,GK,Rennes,19,2002,1.4,46,39,46,0,0,0,46,0,0,,0,,26,120,41,0,0,0,0,0,20,0
Mohamed Ali Cho,FRA,"MF,FW",Real Sociedad,18,2004,1.3,53,1,3,9,43,3,53,12,5,41.7,5,41.7,37,257,101,5,3,2,7,0,44,12
Ezgjan Alioski,MKD,DF,Fenerbahçe,30,1992,3.5,266,3,35,128,104,5,266,2,1,50.0,1,50.0,125,506,252,5,7,0,8,1,180,26
Fidan Aliti,KVX,DF,Zürich,28,1993,3.5,172,11,65,83,24,2,172,0,0,,0,,88,297,143,0,1,0,3,0,107,0
Richard Almeida,AZE,MF,Qarabağ,33,1989,3.4,289,5,64,185,40,0,289,6,2,33.3,4,66.7,172,804,336,2,2,0,2,1,212,5
Marcos Alonso,ESP,DF,Barcelona,31,1990,0.8,65,8,28,29,8,1,65,0,0,,0,,36,235,130,1,2,0,1,0,45,0
Omri Altman,ISR,"FW,MF",AÉK Lárnaka,28,1994,4.2,141,6,20,60,62,13,141,17,6,35.3,6,35.3,86,555,237,13,6,3,9,8,103,21
Edson Álvarez,MEX,MF,Ajax,24,1997,2.0,185,11,34,142,10,2,185,3,2,66.7,1,33.3,128,528,328,2,3,0,1,1,132,4
Nadiem Amiri,GER,"MF,FW",Leverkusen,25,1996,3.0,227,0,30,127,72,4,227,11,4,36.4,7,63.6,155,761,338,6,9,0,7,4,186,12
Isak Amundsen,NOR,DF,Bodø/Glimt,22,1999,0.4,43,7,27,16,0,0,43,0,0,,0,,31,236,139,0,0,0,1,0,38,0
Felipe Anderson,BRA,FW,Lazio,29,1993,4.9,256,1,25,107,132,26,256,20,8,40.0,9,45.0,206,1171,502,15,13,5,13,7,194,60
Joel Andersson,SWE,DF,Midtjylland,25,1996,4.2,237,14,83,114,43,1,237,1,1,100.0,0,0.0,90,343,129,2,2,0,4,1,99,5
Leandro Andrade,CPV,"FW,MF",Qarabağ,22,1999,0.8,35,0,7,13,16,2,35,5,0,0.0,4,80.0,23,204,85,2,3,2,3,0,21,4
Valdemar Andreasen,DEN,FW,Midtjylland,17,2005,1.3,48,0,7,21,20,0,48,1,0,0.0,1,100.0,27,140,47,2,2,0,5,3,28,4
Henry Andreou,CYP,MF,AÉK Lárnaka,21,2001,0.0,1,0,0,1,0,0,1,0,0,,0,,1,2,1,0,0,0,0,0,1,0
Robert Andrich,GER,MF,Leverkusen,27,1994,6.3,398,16,94,254,53,7,398,5,4,80.0,1,20.0,219,1073,533,7,13,1,4,1,280,2
Oleksandr Andriyevskyi,UKR,MF,Dynamo Kyiv,28,1994,1.0,71,0,13,50,10,1,71,1,1,100.0,0,0.0,43,289,162,2,2,0,2,0,46,2
Thanasis Androutsos,GRE,DF,Olympiacos,25,1997,1.0,67,2,24,21,23,1,67,1,0,0.0,0,0.0,46,259,104,1,4,0,2,3,44,8
Ángel,ESP,DF,AÉK Lárnaka,29,1993,4.9,273,16,92,124,62,7,273,11,4,36.4,5,45.5,167,1044,601,11,6,0,8,2,162,12
Karim Ansarifard,IRN,FW,AC Omonia,32,1990,2.2,75,3,9,33,33,9,75,6,1,16.7,4,66.7,42,187,54,1,2,1,9,4,52,14
Marcos Antônio,BRA,MF,Lazio,22,2000,1.6,129,4,33,82,14,0,129,1,1,100.0,0,0.0,115,487,202,2,1,0,2,0,105,0
Antony,BRA,FW,Manchester Utd,22,2000,7.0,373,3,39,127,215,26,373,37,14,37.8,11,29.7,271,1613,756,28,19,8,16,9,278,81
Dennis Appiah,FRA,"DF,FW",Nantes,30,1992,3.2,197,14,68,69,60,5,197,3,0,0.0,3,100.0,80,491,229,11,3,1,6,3,89,19
Youssef El-Arabi,MAR,"FW,MF",Olympiacos,35,1987,1.8,90,1,11,43,36,5,90,4,2,50.0,2,50.0,56,228,72,2,1,0,11,4,68,8
Paulus Arajuuri,FIN,DF,HJK,34,1988,0.5,18,6,17,1,0,0,18,0,0,,0,,11,59,6,0,1,0,0,0,8,0
Aritz Arambarri,ESP,DF,Real Sociedad,24,1998,0.7,40,0,16,10,14,0,40,0,0,,0,,22,81,12,0,0,0,0,0,24,2
Willian Arão,BRA,MF,Fenerbahçe,29,1992,3.5,175,3,37,119,20,3,175,3,0,0.0,3,100.0,62,259,135,1,4,0,2,3,109,1
Ronald Araújo,URU,DF,Barcelona,23,1999,1.9,101,7,42,44,16,3,101,3,2,66.7,0,0.0,55,460,246,3,1,0,3,0,68,3
Arthur,BRA,"DF,MF",Sporting CP,24,1998,2.0,122,1,16,52,56,8,122,11,6,54.5,5,45.5,89,700,403,13,15,2,6,3,91,20
Emam Ashour,EGY,"FW,MF",Midtjylland,24,1998,0.8,42,0,6,16,22,2,42,7,2,28.6,5,71.4,21,142,41,2,4,1,4,1,21,5
Lorenz Assignon,TOG,DF,Rennes,22,2000,3.3,198,10,43,88,69,10,198,7,5,71.4,2,28.6,114,779,356,13,3,2,6,4,110,16
Iyayi Atiemwen,NGA,FW,Sheriff Tiraspol,26,1996,3.6,146,2,18,70,61,6,145,12,5,41.7,7,58.3,69,499,181,5,4,2,15,6,89,6
Noah Atubolu,GER,GK,Freiburg,20,2002,1.0,46,39,46,0,0,0,46,0,0,,0,,21,136,60,0,0,0,0,0,18,0
Donis Avdijaj,KVX,"MF,FW",Zürich,25,1996,0.9,35,1,5,12,18,2,35,2,0,0.0,2,100.0,20,139,33,0,1,0,1,0,26,9
Irakli Azarov,GEO,DF,Red Star,20,2002,0.1,6,0,1,3,2,0,6,0,0,,0,,4,13,0,0,0,0,0,0,4,0
Serdar Aziz,TUR,DF,Fenerbahçe,31,1990,5.0,360,16,154,196,13,6,360,0,0,,0,,160,684,388,3,2,0,3,2,251,1
Sardar Azmoun,IRN,FW,Leverkusen,27,1995,3.0,98,1,15,34,50,14,98,8,4,50.0,3,37.5,52,240,52,3,1,3,7,6,69,17
Oussama El Azzouzi,MAR,MF,Union SG,21,2001,1.6,109,5,35,61,15,2,109,3,2,66.7,1,33.3,50,209,101,3,1,1,5,3,61,3
Ousseynou Ba,SEN,DF,Olympiacos,26,1995,2.0,139,35,99,42,0,0,139,1,0,0.0,1,100.0,82,379,107,0,0,0,0,1,85,0
Fouad Bachirou,COM,MF,AC Omonia,32,1990,1.0,35,2,11,23,1,0,35,2,2,100.0,0,0.0,14,80,30,1,0,0,0,2,11,0
Loïc Bade,FRA,DF,Sevilla,22,2000,5.8,277,35,138,129,10,4,277,0,0,,0,,151,667,276,1,1,0,2,0,144,0
Nikolai Baden Frederiksen,DEN,FW,Ferencváros,22,2000,0.1,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,1,0
Benoît Badiashile,FRA,DF,Monaco,21,2001,5.0,328,35,112,196,23,4,328,0,0,,0,,241,1244,649,4,5,0,0,0,218,1
Cédric Badolo,BFA,"MF,FW",Sheriff Tiraspol,23,1998,6.0,262,3,41,128,97,6,262,12,3,25.0,7,58.3,131,783,364,11,9,3,22,13,154,19
Anastasios Bakasetas,GRE,MF,Trabzonspor,29,1993,5.1,408,4,31,235,149,9,408,6,3,50.0,0,0.0,295,1166,495,12,9,3,6,2,320,22
Johan Bakayoko,BEL,FW,PSV Eindhoven,19,2003,2.7,133,1,17,50,67,14,133,11,4,36.4,6,54.5,82,525,293,10,9,0,5,2,92,34
Mitchel Bakker,NED,"DF,MF",Leverkusen,22,2000,5.7,388,8,76,184,131,13,388,20,11,55.0,7,35.0,208,1097,533,19,13,3,10,4,257,45
Alejandro Balde,ESP,DF,Barcelona,18,2003,1.3,76,1,30,24,24,5,76,10,6,60.0,1,10.0,48,330,161,6,5,2,4,5,45,8
Simon Banza,COD,FW,Braga,25,1996,2.0,56,1,2,25,30,10,56,1,1,100.0,0,0.0,26,90,29,3,1,2,7,2,46,13
Enis Bardhi,MKD,"MF,FW",Trabzonspor,27,1995,3.6,158,5,24,75,62,7,158,5,3,60.0,2,40.0,111,592,275,6,6,4,6,7,113,16
Brandon Barker,ENG,"FW,MF",AC Omonia,25,1996,2.1,72,2,10,35,30,1,72,3,2,66.7,1,33.3,48,314,160,3,3,0,6,4,55,5
Enzo Barrenechea,ARG,MF,Juventus,21,2001,0.1,10,2,5,4,1,0,10,1,0,0.0,1,100.0,4,24,0,0,0,0,1,0,4,0
Ander Barrenetxea,ESP,MF,Real Sociedad,20,2001,0.1,7,0,2,2,4,0,7,1,1,100.0,0,0.0,5,41,15,1,1,0,0,0,4,0
Marc Bartra,ESP,DF,Trabzonspor,31,1991,6.0,519,46,200,275,44,9,519,7,5,71.4,2,28.6,336,1809,1116,6,8,0,8,2,378,7
Toma Bašić,CRO,MF,Lazio,25,1996,2.2,115,4,19,63,33,7,115,4,2,50.0,2,50.0,92,546,264,8,3,1,3,2,89,12
Calvin Bassey,NGA,DF,Ajax,22,1999,2.0,231,14,64,157,10,3,231,1,0,0.0,0,0.0,184,723,360,0,2,0,2,0,182,1
Michy Batshuayi,BEL,FW,Fenerbahçe,28,1993,3.7,111,4,12,49,52,22,110,10,5,50.0,5,50.0,71,280,103,5,2,2,11,8,94,30
Altay Bayındır,TUR,GK,Fenerbahçe,24,1998,8.0,240,188,240,0,0,0,240,0,0,,0,,134,692,445,0,0,0,2,0,108,0
Toral Bayramov,AZE,DF,Qarabağ,21,2001,2.6,154,2,38,72,45,7,154,4,2,50.0,2,50.0,72,459,176,4,5,0,3,2,88,20
Sheraldo Becker,SUR,FW,Union Berlin,27,1995,9.5,300,2,15,90,198,36,300,15,7,46.7,7,46.7,200,1642,904,41,24,15,21,9,213,85
Donny van de Beek,NED,MF,Manchester Utd,25,1997,0.8,30,0,4,15,11,2,30,0,0,,0,,19,60,9,1,1,0,1,1,23,6
Kevin Behrens,GER,FW,Union Berlin,31,1991,3.8,156,10,12,85,61,19,156,2,1,50.0,1,50.0,73,369,104,3,4,1,12,6,117,22
Felix Beijmo,SWE,DF,Malmö,24,1998,5.6,459,30,161,239,62,4,459,4,1,25.0,1,25.0,236,1403,969,12,3,1,5,1,271,13
Karim Bellarabi,GER,FW,Leverkusen,32,1990,0.1,4,1,2,1,1,1,4,0,0,,0,,2,11,8,0,0,0,0,0,4,1
Héctor Bellerín,ESP,"DF,MF",Sporting CP,27,1995,0.9,87,1,24,28,35,5,87,7,3,42.9,4,57.1,48,231,127,2,1,1,4,0,53,20
Jeanuël Belocian,FRA,DF,Rennes,17,2005,3.3,239,15,93,145,3,1,239,0,0,,0,,198,986,463,0,1,0,0,0,196,0
Andrea Belotti,ITA,FW,Roma,28,1993,8.6,277,4,19,103,157,41,277,14,3,21.4,7,50.0,190,1014,332,12,4,6,33,10,223,53
Eliesse Ben Seghir,MAR,FW,Monaco,17,2005,1.4,85,1,3,49,35,4,85,9,1,11.1,6,66.7,67,438,208,6,7,0,3,1,63,15
Wissam Ben Yedder,FRA,FW,Monaco,31,1990,5.8,197,0,3,78,118,31,195,5,4,80.0,1,20.0,143,750,274,8,4,6,13,7,133,38
Walter Benítez,ARG,GK,PSV Eindhoven,29,1993,7.0,211,193,211,0,0,0,211,0,0,,0,,108,509,285,0,0,0,0,0,83,0
Patrick Berg,NOR,MF,Bodø/Glimt,24,1997,5.0,316,14,79,173,69,0,316,3,1,33.3,1,33.3,149,918,494,5,4,0,4,2,213,6
Steven Berghuis,NED,"MF,FW",Ajax,30,1991,2.0,157,4,13,92,53,5,157,5,3,60.0,2,40.0,121,573,180,6,5,2,3,2,123,25
Steven Bergwijn,NED,"FW,MF",Ajax,24,1997,1.7,89,1,2,40,48,4,89,5,2,40.0,2,40.0,69,383,179,5,7,2,6,3,72,24
Bernardo,BRA,DF,RB Salzburg,27,1995,1.0,79,6,39,37,3,0,79,0,0,,0,,56,288,117,2,2,0,1,0,48,2
Muhamed Bešić,BIH,MF,Ferencváros,29,1992,3.6,205,11,55,121,32,1,205,6,3,50.0,2,33.3,117,844,408,8,4,1,4,2,118,5
Artem Besyedin,UKR,FW,Dynamo Kyiv,26,1996,2.8,86,1,6,53,28,3,86,2,0,0.0,1,50.0,43,164,41,1,1,0,8,3,56,11
Roman Bezus,UKR,MF,AC Omonia,31,1990,2.2,133,3,12,75,47,6,133,6,2,33.3,2,33.3,84,376,146,1,5,0,8,1,100,13
Pep Biel,ESP,"MF,FW",Olympiacos,25,1996,4.4,182,5,21,89,73,8,182,14,4,28.6,9,64.3,103,489,169,3,6,1,11,6,124,23
Justin Bijlow,NED,GK,Feyenoord,24,1998,8.3,357,318,354,3,0,0,357,0,0,,0,,255,1188,579,0,0,0,1,0,170,0
Emmanuel van de Blaak,NED,DF,PSV Eindhoven,17,2005,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Ludovic Blas,FRA,"MF,FW",Nantes,24,1997,7.5,390,0,31,186,185,28,390,51,26,51.0,21,41.2,277,2028,1026,32,24,11,17,19,290,56
Myron Boadu,NED,"FW,MF",Monaco,21,2001,1.3,44,1,2,21,22,5,44,2,1,50.0,1,50.0,31,92,41,1,2,2,4,5,31,13
Franck Boli,CIV,FW,Ferencváros,28,1993,1.2,41,1,5,22,16,4,41,6,4,66.7,2,33.3,24,130,42,1,3,1,8,1,29,2
Valerii Bondar,UKR,DF,Shakhtar,23,1999,3.3,242,41,169,73,0,0,242,0,0,,0,,158,556,250,0,0,0,1,0,184,0
Artem Bondarenko,UKR,MF,Shakhtar,21,2000,3.9,224,11,72,122,33,2,223,5,3,60.0,1,20.0,140,724,271,3,6,0,10,5,174,5
Victor Boniface,NGA,FW,Union SG,21,2000,8.6,314,6,16,170,133,37,314,48,23,47.9,21,43.8,207,1492,564,23,11,10,35,23,248,54
Leonardo Bonucci,ITA,DF,Juventus,35,1987,1.5,125,25,75,49,1,0,125,0,0,,0,,94,476,215,0,0,0,0,0,88,0
Nikola Boranijašević,SRB,DF,Zürich,30,1992,5.6,314,19,93,140,82,6,314,7,5,71.4,2,28.6,149,770,381,10,7,1,7,2,173,29
Kady Borges,BRA,"MF,FW",Qarabağ,26,1996,5.7,306,6,31,112,173,27,306,27,13,48.1,11,40.7,170,1030,522,22,17,7,17,8,178,31
Cristian Borja,COL,DF,Braga,29,1993,0.2,15,1,6,8,1,0,15,0,0,,0,,10,31,8,0,0,0,0,0,9,0
Milan Borjan,CAN,GK,Red Star,34,1987,6.0,219,182,214,5,0,0,219,0,0,,0,,130,763,531,0,0,0,0,0,101,0
Aleksandar Borković,AUT,DF,Sturm Graz,23,1999,1.1,57,9,38,18,1,0,57,1,0,0.0,0,0.0,29,96,55,0,0,0,1,0,35,1
Endre Botka,HUN,DF,Ferencváros,27,1994,5.6,285,35,136,115,36,2,285,8,2,25.0,4,50.0,132,657,338,2,2,0,2,5,116,6
Andreas Bouchalakis,GRE,MF,Olympiacos,29,1993,4.1,253,7,70,165,20,1,253,1,1,100.0,0,0.0,158,625,306,1,3,0,3,2,179,5
Nassim Boujellab,MAR,MF,HJK,23,1999,2.7,111,5,25,44,43,12,111,5,0,0.0,4,80.0,64,304,146,6,4,2,5,2,75,10
Yassine Bounou,MAR,GK,Sevilla,31,1991,6.7,210,146,205,5,0,0,210,0,0,,0,,122,579,359,0,0,0,0,0,98,0
Benjamin Bourigeaud,FRA,"MF,FW",Rennes,28,1994,5.7,356,10,52,153,153,9,356,7,2,28.6,5,71.4,225,1067,429,9,10,1,7,3,221,30
Edoardo Bove,ITA,MF,Roma,20,2002,2.8,131,3,35,63,35,8,131,4,2,50.0,2,50.0,75,346,143,2,4,1,2,4,74,2
Josh Bowler,ENG,FW,Olympiacos,23,1999,2.0,61,0,13,33,18,4,61,8,2,25.0,6,75.0,48,433,235,8,3,2,2,3,49,10
Denys Boyko,UKR,GK,Dynamo Kyiv,34,1988,2.0,83,77,83,0,0,0,83,0,0,,0,,50,228,118,0,0,0,0,0,38,0
Umut Bozok,TUR,"FW,MF",Trabzonspor,25,1996,2.6,89,0,6,45,38,7,89,1,1,100.0,0,0.0,58,229,64,1,1,1,7,5,70,15
Jarrad Branthwaite,ENG,DF,PSV Eindhoven,20,2002,2.9,165,24,90,72,3,0,165,0,0,,0,,100,333,137,0,1,0,1,1,111,0
