Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Paul Nardi,FRA,GK,Gent,29,1994,10,900,90,33.3,10.0,10,90,10,0,,4,1.82,15,12,+3,+0.30,-0.30,15.9,12.7,+3.1,+0.31,+0.12
Flávio Nazinho,POR,"DF,FW",Cercle Brugge,20,2003,20,"1,130",57,41.9,12.6,14,69,2,6,27,1,1.32,19,17,+2,+0.16,-0.30,21.4,17.4,+4.0,+0.32,-0.12
Roman Neustädter,RUS,DF,Westerlo,35,1988,25,"2,095",84,77.6,23.3,25,84,20,0,,3,1.00,30,40,-10,-0.43,-0.13,32.4,37.0,-4.6,-0.20,+0.37
Pierre-Yves Ngawa,BEL,"DF,MF",OH Leuven,31,1992,4,67,17,2.5,0.7,0,,0,4,17,7,0.80,2,2,0,0.00,+0.44,1.1,2.7,-1.6,-2.22,-1.90
Julien Ngoy,BEL,"FW,MF",Mechelen,25,1997,3,139,46,5.1,1.5,2,65,0,1,10,0,0.33,1,2,-1,-0.65,-0.86,0.3,3.9,-3.6,-2.33,-2.45
Nathan Ngoy,BEL,DF,Standard Liège,20,2003,15,"1,180",79,43.7,13.1,13,85,9,2,38,3,1.40,15,17,-2,-0.15,+0.20,13.6,19.1,-5.5,-0.42,-0.05
Adam Nhaili,BEL,MF,Sint-Truiden,17,2005,0,,,,,0,,0,0,,2,1.00,,,,,,,,,,
Casper Nielsen,DEN,MF,Club Brugge,29,1994,24,"1,276",53,47.3,14.2,14,74,5,10,24,1,1.81,29,12,+17,+1.20,+0.19,27.2,10.5,+16.7,+1.18,+0.10
Bart Nieuwkoop,NED,DF,Union SG,27,1996,2,180,90,6.7,2.0,2,90,2,0,,0,3.00,3,0,+3,+1.50,+0.46,4.3,0.7,+3.5,+1.76,+0.77
Gustaf Nilsson,SWE,FW,Union SG,26,1997,25,"1,452",58,53.8,16.1,16,78,4,9,23,1,1.97,35,17,+18,+1.12,+0.11,30.6,17.5,+13.1,+0.81,-0.50
Ken Nkuba,BEL,"MF,DF",Charleroi,21,2002,4,157,39,5.8,1.7,1,70,0,3,29,0,0.25,1,7,-6,-3.44,-2.87,1.4,4.0,-2.6,-1.48,-1.10
Ken Nkuba,BEL,"DF,FW",Genk,21,2002,4,43,11,1.6,0.5,0,,0,4,11,3,0.60,1,1,0,0.00,-0.68,1.3,1.2,0.0,+0.09,-0.79
Lucas Noubi,BEL,DF,Standard Liège,18,2005,13,"1,061",82,39.3,11.8,11,90,10,2,37,2,0.95,14,14,0,0.00,+0.44,15.5,13.9,+1.7,+0.14,+0.87
