Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Rodrigo Abascal,URU,DF,Boavista,29,1994,29,"2,479",85,81.0,27.5,29,85,26,0,,1,0.93,31,47,-16,-0.58,+0.50,29.3,42.9,-13.6,-0.49,+0.16
Antonio Adán,ESP,GK,Sporting CP,36,1987,22,"1,980",90,64.7,22.0,22,90,22,0,,0,2.55,63,22,+41,+1.86,-0.30,47.3,17.9,+29.4,+1.34,-0.06
Dennis Adeniran,ENG,MF,Portimonense,24,1999,1,6,6,0.2,0.1,0,,0,1,6,3,0.00,0,2,-2,-30.00,-29.09,0.0,0.4,-0.4,-6.35,-5.73
Martin Agirregabiria,ESP,DF,Famalicão,27,1996,24,"1,207",50,39.4,13.4,13,79,5,11,16,10,1.46,11,14,-3,-0.22,-0.18,10.6,18.9,-8.2,-0.62,-0.54
Salvador Agra,POR,"FW,DF",Boavista,31,1991,31,"2,459",79,80.4,27.3,31,79,8,0,,0,0.90,28,49,-21,-0.77,-0.47,25.3,38.9,-13.5,-0.50,+0.14
Matheus Aiás,BRA,"FW,MF",Moreirense,26,1996,18,477,27,15.6,5.3,5,73,1,13,9,7,1.89,9,6,+3,+0.57,+0.64,5.8,4.9,+0.9,+0.16,+0.18
Alan,BRA,MF,Moreirense,23,2000,33,"2,454",74,80.2,27.3,29,82,5,4,21,0,1.64,27,26,+1,+0.04,+0.04,25.9,25.5,+0.4,+0.02,+0.03
Rafael Alcobia,POR,DF,Portimonense,20,2003,3,203,68,6.6,2.3,2,90,2,1,23,17,0.33,1,7,-6,-2.66,-1.81,1.4,4.7,-3.3,-1.45,-0.87
Alemão,BRA,DF,Portimonense,20,2002,27,"2,367",88,77.4,26.3,27,88,23,0,,0,1.04,28,49,-21,-0.80,+0.76,25.6,43.8,-18.2,-0.69,-0.28
Ali Alipour,IRN,FW,Gil Vicente FC,27,1995,19,804,42,26.3,8.9,9,65,2,10,22,1,1.11,7,8,-1,-0.11,+0.25,11.1,9.3,+1.8,+0.20,+0.62
Almeida,BRA,DF,Estrela,23,2000,7,486,69,15.9,5.4,5,90,5,2,18,8,1.29,7,9,-2,-0.37,+0.26,5.3,9.0,-3.7,-0.68,-0.44
Gonçalo Almeida,POR,DF,Boavista,20,2003,0,,,,,0,,0,0,,9,,,,,,,,,,,
Pedro Álvaro,POR,DF,Estoril,23,2000,20,"1,787",89,58.4,19.9,20,89,18,0,,2,1.05,31,30,+1,+0.05,+0.76,22.3,34.5,-12.2,-0.61,-0.60
Pedro Amador,POR,DF,Moreirense,24,1998,21,"1,130",54,36.9,12.6,14,77,4,7,8,10,1.52,14,13,+1,+0.08,+0.08,12.4,12.4,-0.1,0.00,-0.02
Artur Jorge Marques Amorim,POR,DF,Farense,28,1994,9,493,55,16.1,5.5,5,90,5,4,11,14,1.22,9,10,-1,-0.18,-0.04,7.1,10.1,-3.0,-0.55,-0.26
André André,POR,MF,Vitória,33,1989,18,653,36,21.3,7.3,6,72,0,12,19,8,1.56,10,9,+1,+0.14,-0.35,9.9,9.5,+0.4,+0.06,-0.14
Andrew,BRA,GK,Gil Vicente FC,22,2001,32,"2,880",90,94.1,32.0,32,90,32,0,,0,1.09,38,46,-8,-0.25,+0.75,37.1,47.6,-10.5,-0.33,-1.13
Jeremy Antonisse,CUW,FW,Moreirense,21,2002,24,548,23,17.9,6.1,2,56,0,22,20,0,1.67,12,7,+5,+0.82,+0.96,8.2,6.8,+1.5,+0.24,+0.28
Pedro Aparício,POR,"MF,FW",Moreirense,27,1995,15,329,22,10.8,3.7,2,84,1,13,12,11,1.27,4,8,-4,-1.09,-1.26,3.4,4.9,-1.5,-0.42,-0.48
Óscar Aranda,ESP,"FW,MF",Famalicão,21,2002,21,717,34,23.4,8.0,8,63,0,13,17,6,1.00,6,6,0,0.00,+0.15,7.5,8.4,-0.9,-0.11,+0.24
Brian Araújo,FRA,GK,Gil Vicente FC,23,2000,0,,,,,0,,0,0,,20,,,,,,,,,,,
Henrique Araújo,POR,FW,Famalicão,21,2002,20,680,34,22.2,7.6,7,72,0,13,14,7,1.25,8,6,+2,+0.26,+0.49,6.8,7.5,-0.7,-0.09,+0.25
Tiago Araújo,POR,"DF,MF",Estoril,22,2001,29,"2,253",78,73.6,25.0,27,83,14,2,9,1,1.03,34,39,-5,-0.20,+0.25,28.7,37.8,-9.2,-0.36,+0.05
Tomás Araújo,POR,DF,Benfica,21,2002,13,482,37,15.8,5.4,5,80,3,8,10,15,2.77,16,4,+12,+2.24,+0.95,13.5,4.8,+8.7,+1.63,+0.36
Joaquín Ariel Novillo,ARG,DF,Vizela,25,1998,0,,,,,0,,0,0,,5,,,,,,,,,,,
Gustavo Assuncao,POR,MF,Famalicão,23,2000,20,627,31,20.5,7.0,5,79,1,15,15,8,1.19,9,10,-1,-0.14,-0.03,7.3,9.6,-2.3,-0.34,-0.06
Otavio Ataide,BRA,DF,Famalicão,21,2002,17,"1,382",81,45.2,15.4,15,90,15,2,16,0,1.12,14,17,-3,-0.20,-0.14,13.6,18.4,-4.8,-0.31,-0.04
