Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Patrick van Aanholt,NED,"MF,DF",PSV Eindhoven,32,1990,2,99,50,13.8,1.1,1,90,1,1,9,6,2.50,2,1,+1,+0.91,+1.63,2.3,1.1,+1.2,+1.10,+1.27
Brenden Aaronson,USA,MF,Union Berlin,22,2000,6,137,23,25.4,1.5,1,69,0,5,14,0,0.33,1,4,-3,-1.97,-1.75,1.5,3.1,-1.6,-1.04,-0.08
Salis Abdul Samed,GHA,MF,Lens,23,2000,6,495,83,91.7,5.5,6,83,5,0,,0,1.33,6,10,-4,-0.73,+1.27,6.0,6.3,-0.3,-0.05,+2.10
Francesco Acerbi,ITA,DF,Inter,35,1988,6,423,71,56.4,4.7,4,90,4,2,32,1,1.50,6,4,+2,+0.43,+0.15,11.0,4.8,+6.2,+1.42,+1.08
Elias Achouri,TUN,"FW,MF",FC Copenhagen,24,1999,8,552,69,76.7,6.1,7,74,0,1,31,0,1.31,8,9,-1,-0.16,+1.44,6.0,10.1,-4.1,-0.66,-0.86
Marcos Acuña,ARG,DF,Sevilla,31,1991,3,198,66,36.7,2.2,2,90,2,1,18,0,0.33,4,7,-3,-1.36,-0.84,2.9,5.3,-2.4,-1.09,-0.44
Karim Adeyemi,GER,FW,Dortmund,21,2002,12,707,59,60.4,7.9,8,74,1,4,28,0,1.92,10,7,+3,+0.38,-0.20,10.3,13.8,-3.5,-0.44,+0.12
Yacine Adli,FRA,MF,Milan,23,2000,3,123,41,22.8,1.4,1,76,0,2,24,3,0.33,1,4,-3,-2.20,-2.20,2.1,2.1,-0.1,-0.04,-0.46
Ruben Aguilar,FRA,DF,Lens,30,1993,2,100,50,18.5,1.1,1,90,1,1,10,3,3.00,2,1,+1,+0.90,+2.13,1.4,1.8,-0.3,-0.30,-0.09
Manuel Akanji,SUI,"DF,MF",Manchester City,28,1995,8,665,83,71.5,7.4,7,90,5,1,33,2,2.50,19,11,+8,+1.08,-1.29,13.9,6.1,+7.8,+1.05,-2.33
Nathan Aké,NED,"DF,MF",Manchester City,28,1995,7,384,55,41.3,4.3,3,90,3,4,29,2,3.00,15,4,+11,+2.58,+1.92,14.5,1.7,+12.9,+3.02,+2.22
Kerem Aktürkoğlu,TUR,"MF,FW",Galatasaray,24,1998,6,440,73,81.5,4.9,5,82,3,1,31,0,1.75,7,9,-2,-0.41,+0.49,8.6,8.6,0.0,-0.01,+0.33
David Alaba,AUT,DF,Real Madrid,31,1992,3,250,83,20.8,2.8,3,83,2,0,,3,3.00,6,3,+3,+1.08,+0.13,9.1,2.5,+6.6,+2.37,+2.28
Ángel Alarcón,ESP,FW,Barcelona,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
Luis Alberto,ESP,MF,Lazio,30,1992,8,642,80,89.2,7.1,8,80,3,0,,0,1.63,6,10,-4,-0.56,-2.87,9.4,10.5,-1.1,-0.16,-0.20
Toby Alderweireld,BEL,DF,Antwerp,34,1989,5,450,90,83.3,5.0,5,90,5,0,,0,1.29,6,15,-9,-1.80,+0.20,5.6,8.9,-3.2,-0.65,+0.97
Rúnar Alex Rúnarsson,ISL,GK,FC Copenhagen,28,1995,0,,,,,0,,0,0,,2,,,,,,,,,,,
Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,19,2004,4,131,33,18.2,1.5,1,73,0,3,19,1,2.00,0,1,-1,-0.69,-1.15,1.1,1.6,-0.5,-0.34,-1.01
Max Alleyne,ENG,DF,Manchester City,17,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
Miguel Almirón,PAR,FW,Newcastle Utd,29,1994,6,413,69,76.5,4.6,4,85,3,2,37,0,0.83,5,6,-1,-0.22,-0.22,5.4,10.1,-4.7,-1.02,+0.22
Marcos Alonso,ESP,"DF,FW",Barcelona,32,1990,3,139,46,15.4,1.5,2,64,0,1,11,4,2.00,2,2,0,0.00,-0.71,2.3,1.1,+1.2,+0.79,+0.27
Barış Alper Yılmaz,TUR,"FW,MF",Galatasaray,23,2000,6,127,21,23.5,1.4,0,,0,6,21,0,1.75,5,4,+1,+0.71,+1.58,3.6,2.9,+0.6,+0.45,+0.68
Julián Álvarez,ARG,"MF,FW",Manchester City,23,2000,7,282,40,30.3,3.1,2,90,2,5,20,3,2.43,12,2,+10,+3.19,+2.50,7.4,2.5,+4.9,+1.75,+0.04
Mohamed Aly Camara,GUI,DF,Young Boys,25,1997,5,450,90,83.3,5.0,5,90,5,0,,1,1.14,6,11,-5,-1.00,0.00,4.8,14.5,-9.7,-1.94,-2.74
