Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Player href
Alessandro Deiola,ITA,MT,Cagliari,29-074,1995,6,5,396,4.4,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.5,3,10,11,0.00,0.00,0.00,0.00,0.00,0.07,0.04,0.11,0.07,0.11,https://fbref.com/fr/joueurs/7f267d66/Alessandro-Deiola
Enrico Del Prato,ITA,DF,Parma,24-339,1999,6,4,464,5.2,1,0,1,1,0,0,1,0,0.1,0.1,0.6,0.8,0,11,4,0.19,0.00,0.19,0.19,0.19,0.03,0.12,0.15,0.03,0.15,https://fbref.com/fr/joueurs/4c6f9258/Enrico-Del-Prato
Fisayo Dele-Bashiru,NGA,MT,Lazio,23-251,2001,3,2,159,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,3,12,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,https://fbref.com/fr/joueurs/121a4fb8/Fisayo-Dele-Bashiru
Ali Dembélé,FRA,DF,Torino,20-283,2004,4,0,50,0.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/eb3df7d9/Ali-Dembele
Michele Di Gregorio,ITA,GB,Juventus,27-079,1997,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/4e0c8d66/Michele-Di-Gregorio
Giovanni Di Lorenzo,ITA,DF,Napoli,31-071,1993,7,7,630,7.0,2,0,2,2,0,0,0,0,0.9,0.9,0.8,1.7,8,49,33,0.29,0.00,0.29,0.29,0.29,0.13,0.12,0.24,0.13,0.24,https://fbref.com/fr/joueurs/230a2fac/Giovanni-Di-Lorenzo
Boulaye Dia,SEN,"MT,AT",Lazio,27-333,1996,6,5,420,4.7,3,0,3,3,0,0,0,0,1.7,1.7,0.7,2.3,5,13,24,0.64,0.00,0.64,0.64,0.64,0.35,0.14,0.49,0.35,0.49,https://fbref.com/fr/joueurs/244bc2c8/Boulaye-Dia
Federico Dimarco,ITA,DF,Inter,26-339,1997,7,7,569,6.3,1,1,2,1,0,0,1,0,1.1,1.1,1.7,2.8,12,22,72,0.16,0.16,0.32,0.16,0.32,0.17,0.27,0.44,0.17,0.44,https://fbref.com/fr/joueurs/970b8574/Federico-Dimarco
Berat Djimsiti,ALB,DF,Atalanta,31-238,1993,6,6,540,6.0,0,0,0,0,0,0,1,0,0.6,0.6,0.5,1.1,8,30,10,0.00,0.00,0.00,0.00,0.00,0.10,0.08,0.18,0.10,0.18,https://fbref.com/fr/joueurs/6eee05f1/Berat-Djimsiti
Dodô,BRA,DF,Fiorentina,25-332,1998,7,7,630,7.0,0,0,0,0,0,0,3,0,0.1,0.1,1.3,1.3,36,33,46,0.00,0.00,0.00,0.00,0.00,0.01,0.18,0.19,0.01,0.19,https://fbref.com/fr/joueurs/b5f7d10b/Dodo
Patrick Dorgu,DEN,"AT,DF",Lecce,19-354,2004,6,6,494,5.5,1,0,1,1,0,0,1,1,1.6,1.6,0.1,1.8,21,9,32,0.18,0.00,0.18,0.18,0.18,0.30,0.02,0.32,0.30,0.32,https://fbref.com/fr/joueurs/e6536124/Patrick-Dorgu
Alberto Dossena,ITA,DF,Como,26-001,1998,6,6,514,5.7,0,1,1,0,0,0,0,0,0.2,0.2,0.4,0.6,1,17,0,0.00,0.18,0.18,0.00,0.18,0.03,0.08,0.11,0.03,0.11,https://fbref.com/fr/joueurs/61efb926/Alberto-Dossena
Issa Doumbia,CIV,MT,Venezia,20-364,2003,6,1,146,1.6,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,5,4,0.00,0.00,0.00,0.00,0.00,0.12,0.02,0.14,0.12,0.14,https://fbref.com/fr/joueurs/b74fc282/Issa-Doumbia
Artem Dovbyk,UKR,AT,Roma,27-115,1997,7,7,610,6.8,3,0,3,3,0,0,0,0,3.3,3.3,0.3,3.5,4,3,47,0.44,0.00,0.44,0.44,0.44,0.48,0.04,0.52,0.48,0.52,https://fbref.com/fr/joueurs/5b847bb0/Artem-Dovbyk
Ondrej Duda,SVK,MT,Hellas Verona,29-314,1994,5,4,383,4.3,0,1,1,0,0,0,4,0,0.2,0.2,1.2,1.4,3,21,5,0.00,0.23,0.23,0.00,0.23,0.04,0.28,0.32,0.04,0.32,https://fbref.com/fr/joueurs/79ca3e23/Ondrej-Duda
Denzel Dumfries,NED,DF,Inter,28-179,1996,5,1,164,1.8,1,0,1,1,0,0,1,0,0.6,0.6,0.1,0.7,5,3,9,0.55,0.00,0.55,0.55,0.55,0.35,0.06,0.41,0.35,0.41,https://fbref.com/fr/joueurs/481c9ece/Denzel-Dumfries
Alfred Duncan,GHA,MT,Venezia,31-218,1993,4,4,333,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,3,10,5,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,https://fbref.com/fr/joueurs/528492ea/Alfred-Duncan
