Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Player href
Frederic Guilbert,FRA,DF,Lecce,29-295,1994,4,4,288,3.2,0,0,0,0,0,0,0,1,0.1,0.1,0.7,0.8,8,13,3,0.00,0.00,0.00,0.00,0.00,0.03,0.23,0.26,0.03,0.26,https://fbref.com/fr/joueurs/5d8d7454/Frederic-Guilbert
Albert Guðmundsson,ISL,MT,Fiorentina,27-121,1997,3,2,191,2.1,3,0,3,1,2,2,0,0,1.8,0.2,0.0,0.2,8,9,6,1.41,0.00,1.41,0.47,0.47,0.86,0.00,0.86,0.12,0.12,https://fbref.com/fr/joueurs/b79858d5/Albert-Gudmundsson
Emmanuel Gyasi,GHA,"DF,AT",Empoli,30-277,1994,7,7,629,7.0,2,0,2,2,0,0,2,0,1.2,1.2,0.0,1.3,4,9,22,0.29,0.00,0.29,0.29,0.29,0.18,0.01,0.18,0.18,0.18,https://fbref.com/fr/joueurs/f9758dae/Emmanuel-Gyasi
Christian Gytkjær,DEN,AT,Venezia,34-161,1990,6,2,171,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,0,7,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.11,0.09,0.11,https://fbref.com/fr/joueurs/9250bcff/Christian-Gytkjaer
Nicolas Haas,SUI,MT,Empoli,28-265,1996,6,0,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/fa449bba/Nicolas-Haas
Saad El Haddad,MAR,MT,Venezia,19-082,2005,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/7b12dccc/Saad-El-Haddad
Antoine Hainaut,FRA,"DF,MT",Parma,22-239,2002,5,1,168,1.9,1,0,1,1,0,0,0,0,0.5,0.5,0.3,0.9,4,11,15,0.54,0.00,0.54,0.54,0.54,0.28,0.18,0.46,0.28,0.46,https://fbref.com/fr/joueurs/6503f220/Antoine-Hainaut
Mohamed Haj,TUN,MT,Parma,19-202,2005,2,0,37,0.4,0,2,2,0,0,0,1,0,0.3,0.3,0.5,0.8,1,3,3,0.00,4.86,4.86,0.00,4.86,0.71,1.22,1.93,0.71,1.93,https://fbref.com/fr/joueurs/eb7dc619/Mohamed-Haj
Ridgeciano Haps,SUR,DF,Venezia,31-124,1993,4,3,266,3.0,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,4,4,5,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,https://fbref.com/fr/joueurs/c8d7131c/Ridgeciano-Haps
Abdou Harroui,NED,"AT,MT",Hellas Verona,26-275,1998,4,2,170,1.9,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,7,3,16,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,https://fbref.com/fr/joueurs/65fd099c/Abdou-Harroui
Liam Henderson,SCO,MT,Empoli,28-172,1996,7,6,549,6.1,0,0,0,0,0,0,1,0,0.1,0.1,1.1,1.1,3,24,9,0.00,0.00,0.00,0.00,0.00,0.01,0.17,0.19,0.01,0.19,https://fbref.com/fr/joueurs/d7918b13/Liam-Henderson
Mario Hermoso,ESP,DF,Roma,29-118,1995,4,0,75,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/555f3a0b/Mario-Hermoso
Theo Hernández,FRA,DF,Milan,27-008,1997,7,5,485,5.4,2,2,4,2,0,1,0,1,1.2,0.4,0.5,0.9,16,33,32,0.37,0.37,0.74,0.37,0.74,0.22,0.09,0.31,0.07,0.17,https://fbref.com/fr/joueurs/d4c9725f/Theo-Hernandez
Hernani,BRA,MT,Parma,30-201,1994,4,3,248,2.8,1,0,1,0,1,1,0,0,0.9,0.1,0.3,0.4,5,19,9,0.36,0.00,0.36,0.00,0.00,0.33,0.11,0.45,0.05,0.16,https://fbref.com/fr/joueurs/6f5ead86/Hernani
Isak Hien,SWE,DF,Atalanta,25-275,1999,4,4,294,3.3,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,1,4,0,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,https://fbref.com/fr/joueurs/12806697/Isak-Hien
Emil Holm,SWE,"DF,MT",Bologna,24-154,2000,2,1,97,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,5,5,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,https://fbref.com/fr/joueurs/c2357b65/Emil-Holm
Elseid Hysaj,ALB,DF,Lazio,30-237,1994,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/2f3452eb/Elseid-Hysaj
Jay Idzes,IDN,DF,Venezia,24-134,2000,6,6,517,5.7,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.3,1,16,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,https://fbref.com/fr/joueurs/a54ef587/Jay-Idzes
Jonathan Ikone,FRA,"MT,AT",Fiorentina,26-165,1998,5,0,112,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,7,4,14,0.00,0.00,0.00,0.00,0.00,0.09,0.05,0.14,0.09,0.14,https://fbref.com/fr/joueurs/42eaa028/Jonathan-Ikone
Ivan Ilić,SRB,MT,Torino,23-211,2001,7,6,508,5.6,1,0,1,1,0,0,2,0,0.9,0.9,0.6,1.5,15,21,29,0.18,0.00,0.18,0.18,0.18,0.16,0.11,0.27,0.16,0.27,https://fbref.com/fr/joueurs/bb376bed/Ivan-Ilic
Samuel Iling-Junior,ENG,"AT,MT",Bologna,21-010,2003,3,0,93,1.0,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.3,5,7,24,0.97,0.00,0.97,0.97,0.97,0.13,0.11,0.25,0.13,0.25,https://fbref.com/fr/joueurs/ba492306/Samuel-Iling-Junior
Alessio Iovine,ITA,DF,Como,33-256,1991,3,3,225,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,https://fbref.com/fr/joueurs/083d7173/Alessio-Iovine
Gustav Isaksen,DEN,"AT,MT",Lazio,23-178,2001,7,4,354,3.9,1,1,2,1,0,0,2,0,0.9,0.9,0.5,1.3,15,2,56,0.25,0.25,0.51,0.25,0.51,0.22,0.12,0.34,0.22,0.34,https://fbref.com/fr/joueurs/5715bb71/Gustav-Isaksen
Ardian Ismajli,ALB,DF,Empoli,28-014,1996,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,https://fbref.com/fr/joueurs/6b635f5c/Ardian-Ismajli
Armando Izzo,ITA,DF,Monza,32-226,1992,7,7,595,6.6,0,1,1,0,0,0,4,0,0.0,0.0,0.2,0.2,5,18,4,0.00,0.15,0.15,0.00,0.15,0.00,0.02,0.03,0.00,0.03,https://fbref.com/fr/joueurs/89976232/Armando-Izzo
Ali Jasim,IRQ,AT,Como,20-268,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/1a927a6f/Ali-Jasim
Gaby Jean,FRA,DF,Lecce,24-238,2000,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/5f130a19/Gaby-Jean
Juan Jesus,BRA,DF,Napoli,33-126,1991,1,1,78,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,7,2,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,https://fbref.com/fr/joueurs/79083382/Juan-Jesus
Jesse Joronen,FIN,GB,Venezia,31-207,1993,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/7f66ea09/Jesse-Joronen
Luka Jović,SRB,AT,Milan,26-296,1997,3,1,79,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,1,4,7,0.00,0.00,0.00,0.00,0.00,0.08,0.06,0.14,0.08,0.14,https://fbref.com/fr/joueurs/4d8cd038/Luka-Jovic
Christian Kabasele,BEL,DF,Udinese,33-233,1991,6,4,397,4.4,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.5,1,22,2,0.23,0.00,0.23,0.23,0.23,0.11,0.00,0.11,0.11,0.11,https://fbref.com/fr/joueurs/914ab9a1/Christian-Kabasele
Pierre Kalulu,FRA,DF,Juventus,24-131,2000,5,4,357,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,5,23,5,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,https://fbref.com/fr/joueurs/85f7d1be/Pierre-Kalulu
Hassane Kamara,CIV,DF,Udinese,30-223,1994,5,4,325,3.6,0,1,1,0,0,0,3,1,0.1,0.1,0.5,0.6,11,5,13,0.00,0.28,0.28,0.00,0.28,0.02,0.14,0.16,0.02,0.16,https://fbref.com/fr/joueurs/19a12bed/Hassane-Kamara
Yann Karamoh,FRA,AT,Torino,26-098,1998,4,0,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,5,4,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.38,0.00,0.38,https://fbref.com/fr/joueurs/8b66d9cc/Yann-Karamoh
Jesper Karlsson,SWE,AT,Bologna,26-081,1998,3,1,94,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,4,16,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,https://fbref.com/fr/joueurs/7952d0c2/Jesper-Karlsson
Jesper Karlström,SWE,MT,Udinese,29-115,1995,7,6,556,6.2,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,6,21,4,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.01,0.07,https://fbref.com/fr/joueurs/e0a1f4eb/Jesper-Karlstrom
Lior Kasa,ISR,MT,Genoa,19-017,2005,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.09,0.29,0.38,0.09,0.38,https://fbref.com/fr/joueurs/7987ef17/Lior-Kasa
Grigoris Kastanos,CYP,"MT,AT",Hellas Verona,26-258,1998,6,4,277,3.1,1,1,2,1,0,0,1,0,0.2,0.2,0.7,0.9,3,8,8,0.32,0.32,0.65,0.32,0.65,0.08,0.21,0.29,0.08,0.29,https://fbref.com/fr/joueurs/2a82aa85/Grigoris-Kastanos
Michael Kayode,ITA,"DF,AT",Fiorentina,20-096,2004,2,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,0,1,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.49,0.49,0.49,https://fbref.com/fr/joueurs/e19660a8/Michael-Kayode
Moise Kean,ITA,AT,Fiorentina,24-229,2000,7,7,618,6.9,2,1,3,2,0,1,0,0,4.6,3.8,0.7,4.5,6,5,29,0.29,0.15,0.44,0.29,0.44,0.66,0.11,0.77,0.55,0.65,https://fbref.com/fr/joueurs/3d50bcdb/Moise-Kean
Mandela Keita,BEL,MT,Parma,22-157,2002,2,0,20,0.2,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.30,https://fbref.com/fr/joueurs/f5692b25/Mandela-Keita
Marc-Oliver Kempf,GER,DF,Como,29-260,1995,5,5,450,5.0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,0,18,0,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,https://fbref.com/fr/joueurs/815c314f/Marc-Oliver-Kempf
Kialonda,ANG,DF,Lecce,27-017,1997,7,7,630,7.0,0,1,1,0,0,0,1,0,0.2,0.2,0.3,0.6,1,5,1,0.00,0.14,0.14,0.00,0.14,0.04,0.05,0.08,0.04,0.08,https://fbref.com/fr/joueurs/34e4dc3b/Kialonda
Magnus Kofod Andersen,DEN,MT,Venezia,25-157,1999,5,3,268,3.0,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.2,2,8,5,0.34,0.00,0.34,0.34,0.34,0.04,0.04,0.08,0.04,0.08,https://fbref.com/fr/joueurs/a4731ebc/Magnus-Kofod-Andersen
Sead Kolašinac,BIH,DF,Atalanta,31-116,1993,4,4,348,3.9,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,10,25,14,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.13,0.02,0.13,https://fbref.com/fr/joueurs/3935e52e/Sead-Kolasinac
Manu Koné,FRA,MT,Roma,23-150,2001,5,3,264,2.9,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,10,18,6,0.00,0.00,0.00,0.00,0.00,0.20,0.04,0.24,0.20,0.24,https://fbref.com/fr/joueurs/86574238/Manu-Kone
Teun Koopmeiners,NED,MT,Juventus,26-229,1998,5,4,360,4.0,0,1,1,0,0,0,0,0,1.2,1.2,0.6,1.9,7,19,31,0.00,0.25,0.25,0.00,0.25,0.31,0.16,0.47,0.31,0.47,https://fbref.com/fr/joueurs/a26fb8aa/Teun-Koopmeiners
Odilon Kossounou,CIV,DF,Atalanta,23-284,2001,2,2,152,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,5,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,https://fbref.com/fr/joueurs/1f3afdcb/Odilon-Kossounou
Christian Kouamé,CIV,"MT,AT",Fiorentina,26-313,1997,6,3,298,3.3,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,5,11,23,0.00,0.00,0.00,0.00,0.00,0.06,0.10,0.16,0.06,0.16,https://fbref.com/fr/joueurs/58e933d2/Christian-Kouame
Mateusz Kowalski,POL,MT,Parma,19-085,2005,1,1,56,0.6,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,0,2,0.00,0.00,0.00,0.00,0.00,0.69,0.00,0.69,0.69,0.69,https://fbref.com/fr/joueurs/d2bb908c/Mateusz-Kowalski
Thomas Kristensen,DEN,DF,Udinese,22-271,2002,3,2,188,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/fadf9a05/Thomas-Kristensen
Nikola Krstović,MNE,AT,Lecce,24-192,2000,7,7,602,6.7,2,0,2,2,0,0,0,0,2.7,2.7,0.2,2.9,8,13,26,0.30,0.00,0.30,0.30,0.30,0.40,0.03,0.44,0.40,0.44,https://fbref.com/fr/joueurs/473803c9/Nikola-Krstovic
Khvicha Kvaratskhelia,GEO,"MT,AT",Napoli,23-245,2001,7,7,521,5.8,3,2,5,3,0,0,1,0,1.8,1.8,2.5,4.3,28,21,41,0.52,0.35,0.86,0.52,0.86,0.32,0.42,0.74,0.32,0.74,https://fbref.com/fr/joueurs/dea88efd/Khvicha-Kvaratskhelia
Giorgos Kyriakopoulos,GRE,DF,Monza,28-252,1996,7,7,630,7.0,0,1,1,0,0,0,1,0,0.1,0.1,0.4,0.5,11,23,22,0.00,0.14,0.14,0.00,0.14,0.01,0.06,0.07,0.01,0.07,https://fbref.com/fr/joueurs/0a483542/Giorgos-Kyriakopoulos
Mathis Lambourde,FRA,"DF,MT",Hellas Verona,18-279,2006,2,0,7,0.1,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.2,1,0,1,12.86,0.00,12.86,12.86,12.86,0.84,1.00,1.84,0.84,1.84,https://fbref.com/fr/joueurs/0da3d7ab/Mathis-Lambourde
Gianluca Lapadula,PER,"AT,MT",Cagliari,34-250,1990,4,0,90,1.0,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,2,3,6,0.00,0.00,0.00,0.00,0.00,0.51,0.03,0.54,0.51,0.54,https://fbref.com/fr/joueurs/2ead2809/Gianluca-Lapadula
Valentino Lazaro,AUT,DF,Torino,28-204,1996,7,7,569,6.3,0,2,2,0,0,0,1,0,0.5,0.5,1.2,1.6,7,21,43,0.00,0.32,0.32,0.00,0.32,0.08,0.18,0.26,0.08,0.26,https://fbref.com/fr/joueurs/016ff750/Valentino-Lazaro
Darko Lazović,SRB,"MT,AT",Hellas Verona,34-029,1990,7,7,515,5.7,1,3,4,0,1,1,0,0,1.5,0.8,1.5,2.2,6,14,29,0.17,0.52,0.70,0.00,0.52,0.27,0.25,0.52,0.13,0.39,https://fbref.com/fr/joueurs/5128bde4/Darko-Lazovic
Manuel Lazzari,ITA,DF,Lazio,30-320,1993,7,7,497,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,28,30,28,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,https://fbref.com/fr/joueurs/02caf6e0/Manuel-Lazzari
Enzo Le Fée,FRA,MT,Roma,24-254,2000,2,1,89,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3,5,1,0.00,0.00,0.00,0.00,0.00,0.18,0.10,0.28,0.18,0.28,https://fbref.com/fr/joueurs/6f806d99/Enzo-Le-Fee
Rafael Leão,POR,AT,Milan,25-126,1999,7,6,512,5.7,1,3,4,1,0,0,0,0,2.0,2.0,1.8,3.8,34,27,75,0.18,0.53,0.70,0.18,0.70,0.36,0.31,0.67,0.36,0.67,https://fbref.com/fr/joueurs/20730eae/Rafael-Leao
Nunzio Lella,ITA,MT,Venezia,24-078,2000,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/c149e8a6/Nunzio-Lella
Karol Linetty,POL,MT,Torino,29-255,1995,6,5,445,4.9,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,5,9,3,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,https://fbref.com/fr/joueurs/d023d70f/Karol-Linetty
Dailon Livramento,CPV,"AT,MT",Hellas Verona,23-163,2001,5,3,244,2.7,1,0,1,1,0,0,1,0,0.7,0.7,0.3,1.0,7,2,15,0.37,0.00,0.37,0.37,0.37,0.27,0.10,0.37,0.27,0.37,https://fbref.com/fr/joueurs/c115db1e/Dailon-Livramento
Stanislav Lobotka,SVK,MT,Napoli,29-324,1994,7,7,607,6.7,0,0,0,0,0,0,2,0,0.2,0.2,0.6,0.8,9,38,10,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11,https://fbref.com/fr/joueurs/e1cbb531/Stanislav-Lobotka
Manuel Locatelli,ITA,MT,Juventus,26-280,1998,6,6,450,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,45,3,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.02,https://fbref.com/fr/joueurs/a8a874f1/Manuel-Locatelli
Ruben Loftus-Cheek,ENG,MT,Milan,28-265,1996,6,4,409,4.5,0,0,0,0,0,0,1,0,0.3,0.3,1.1,1.4,10,25,18,0.00,0.00,0.00,0.00,0.00,0.07,0.23,0.30,0.07,0.30,https://fbref.com/fr/joueurs/e97fd090/Ruben-Loftus-Cheek
Ademola Lookman,NGA,"MT,AT",Atalanta,26-360,1997,4,3,283,3.1,2,2,4,1,1,1,0,0,2.5,1.7,1.7,3.4,16,12,41,0.64,0.64,1.27,0.32,0.95,0.79,0.53,1.32,0.54,1.07,https://fbref.com/fr/joueurs/7c104bb7/Ademola-Lookman
Sandi Lovrić,SVN,MT,Udinese,26-200,1998,6,4,311,3.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.5,7,17,8,0.00,0.00,0.00,0.00,0.00,0.13,0.01,0.13,0.13,0.13,https://fbref.com/fr/joueurs/966eea58/Sandi-Lovric
Lorenzo Lucca,ITA,AT,Udinese,24-034,2000,7,6,460,5.1,3,0,3,3,0,0,2,0,0.9,0.9,0.1,1.0,2,4,19,0.59,0.00,0.59,0.59,0.59,0.17,0.02,0.19,0.17,0.19,https://fbref.com/fr/joueurs/83c06f3a/Lorenzo-Lucca
Jhon Lucumí,COL,DF,Bologna,26-110,1998,5,3,304,3.4,0,0,0,0,0,0,2,1,0.1,0.1,0.0,0.1,4,16,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,https://fbref.com/fr/joueurs/80490d7f/Jhon-Lucumi
José Luis Palomino,ARG,DF,Cagliari,34-283,1990,3,0,87,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/921f6058/Jose-Luis-Palomino
Douglas Luiz,BRA,MT,Juventus,26-158,1998,6,1,182,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,11,13,4,0.00,0.00,0.00,0.00,0.00,0.03,0.20,0.23,0.03,0.23,https://fbref.com/fr/joueurs/6f7d826d/Douglas-Luiz
Romelu Lukaku,BEL,AT,Napoli,31-154,1993,5,4,346,3.8,3,4,7,2,1,1,1,0,2.2,1.4,1.0,2.4,3,6,40,0.78,1.04,1.82,0.52,1.56,0.56,0.27,0.83,0.36,0.63,https://fbref.com/fr/joueurs/5eae500a/Romelu-Lukaku
Sebastiano Luperto,ITA,DF,Cagliari,28-038,1996,7,7,630,7.0,0,1,1,0,0,0,0,0,0.5,0.5,0.7,1.2,9,26,3,0.00,0.14,0.14,0.00,0.14,0.07,0.10,0.17,0.07,0.17,https://fbref.com/fr/joueurs/997fff07/Sebastiano-Luperto
Zito Luvumbo,ANG,"AT,MT",Cagliari,22-219,2002,7,6,481,5.3,0,1,1,0,0,0,0,0,0.9,0.9,0.8,1.8,15,11,41,0.00,0.19,0.19,0.00,0.19,0.17,0.16,0.33,0.17,0.33,https://fbref.com/fr/joueurs/b09e0873/Zito-Luvumbo
Charalambos Lykogiannis,GRE,DF,Bologna,30-358,1993,5,5,402,4.5,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,4,28,15,0.00,0.22,0.22,0.00,0.22,0.01,0.06,0.07,0.01,0.07,https://fbref.com/fr/joueurs/5efc5389/Charalambos-Lykogiannis
Giangiacomo Magnani,ITA,DF,Hellas Verona,29-010,1995,6,3,297,3.3,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,1,8,4,0.00,0.00,0.00,0.00,0.00,0.14,0.01,0.15,0.14,0.15,https://fbref.com/fr/joueurs/cce9f582/Giangiacomo-Magnani
Mike Maignan,FRA,GB,Milan,29-103,1995,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/fcb38f57/Mike-Maignan
Antoine Makoumbou,CGO,MT,Cagliari,26-088,1998,4,3,213,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,https://fbref.com/fr/joueurs/f37f3522/Antoine-Makoumbou
Daniel Maldini,ITA,MT,Monza,23-003,2001,7,7,508,5.6,1,0,1,1,0,0,2,0,0.8,0.8,0.1,0.8,11,17,25,0.18,0.00,0.18,0.18,0.18,0.13,0.02,0.15,0.13,0.15,https://fbref.com/fr/joueurs/801831fe/Daniel-Maldini
Youssef Maleh,MAR,MT,Empoli,26-053,1998,4,3,266,3.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,0,10,5,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,https://fbref.com/fr/joueurs/4c8845f7/Youssef-Maleh
Ruslan Malinovskyi,UKR,"MT,AT",Genoa,31-163,1993,5,2,224,2.5,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.7,1,19,6,0.00,0.00,0.00,0.00,0.00,0.06,0.21,0.26,0.06,0.26,https://fbref.com/fr/joueurs/48d5bd33/Ruslan-Malinovskyi
Dennis Man,ROU,AT,Parma,26-049,1998,7,7,564,6.3,3,1,4,3,0,0,0,0,1.9,1.9,1.7,3.6,23,19,48,0.48,0.16,0.64,0.48,0.64,0.30,0.27,0.57,0.30,0.57,https://fbref.com/fr/joueurs/2079b3cc/Dennis-Man
Gianluca Mancini,ITA,DF,Roma,28-180,1996,7,7,597,6.6,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7,17,35,6,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11,https://fbref.com/fr/joueurs/5aa53281/Gianluca-Mancini
Rolando Mandragora,ITA,MT,Fiorentina,27-107,1997,5,4,267,3.0,0,0,0,0,0,0,3,0,0.1,0.1,0.7,0.8,4,13,2,0.00,0.00,0.00,0.00,0.00,0.05,0.22,0.27,0.05,0.27,https://fbref.com/fr/joueurs/c7259b83/Rolando-Mandragora
Alberto Manzoni,ITA,MT,Atalanta,19-111,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.94,0.94,0.94,https://fbref.com/fr/joueurs/08cda374/Alberto-Manzoni
Filip Marchwiński,POL,MT,Lecce,22-278,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/55a88fd9/Filip-Marchwinski
Pablo Marí,ESP,DF,Monza,31-044,1993,7,7,630,7.0,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.2,1,16,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,https://fbref.com/fr/joueurs/aa54ec6f/Pablo-Mari
Mirko Marić,CRO,AT,Monza,29-151,1995,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/78338347/Mirko-Maric
Răzvan Marin,ROU,MT,Cagliari,28-144,1996,7,5,460,5.1,2,0,2,1,1,1,2,0,1.3,0.5,0.9,1.4,10,22,10,0.39,0.00,0.39,0.20,0.20,0.26,0.17,0.43,0.11,0.28,https://fbref.com/fr/joueurs/7fac99d4/Razvan-Marin
