Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Player href
Tyler Dibling,ENG,"AT,MT",Southampton,18-216,2006,7,4,371,4.1,1,0,1,1,0,0,2,0,0.9,0.9,0.8,1.6,22,17,23,0.24,0.00,0.24,0.24,0.24,0.22,0.18,0.40,0.22,0.40,https://fbref.com/fr/joueurs/bdcc89ae/Tyler-Dibling
Lucas Digne,FRA,DF,Aston Villa,31-086,1993,7,7,518,5.8,0,2,2,0,0,0,1,0,0.0,0.0,1.1,1.1,2,10,27,0.00,0.35,0.35,0.00,0.35,0.01,0.19,0.20,0.01,0.20,https://fbref.com/fr/joueurs/1b84dbe1/Lucas-Digne
Issa Diop,FRA,DF,Fulham,27-279,1997,5,3,280,3.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,7,1,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.06,0.06,0.06,https://fbref.com/fr/joueurs/a712ca2b/Issa-Diop
Axel Disasi,FRA,DF,Chelsea,26-217,1998,2,1,94,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/ad82197c/Axel-Disasi
Roman Dixon,ENG,DF,Everton,19-293,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/6fba4dba/Roman-Dixon
Matt Doherty,IRL,DF,Wolves,32-272,1992,4,2,210,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,6,8,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.10,0.03,0.10,https://fbref.com/fr/joueurs/d557d734/Matt-Doherty
Jeremy Doku,BEL,AT,Manchester City,22-140,2002,6,4,335,3.7,1,0,1,1,0,0,0,0,0.3,0.3,1.0,1.3,40,11,51,0.27,0.00,0.27,0.27,0.27,0.08,0.28,0.36,0.08,0.36,https://fbref.com/fr/joueurs/fffea3e5/Jeremy-Doku
Nicolás Domínguez,ARG,"MT,AT",Nott'ham Forest,26-108,1998,5,2,177,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,1,6,4,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.08,0.07,0.08,https://fbref.com/fr/joueurs/20b3a502/Nicolas-Dominguez
Abdoulaye Doucouré,MLI,MT,Everton,31-287,1993,6,5,396,4.4,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,5,13,11,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,https://fbref.com/fr/joueurs/02b29014/Abdoulaye-Doucoure
Cheick Doucouré,MLI,MT,Crystal Palace,24-280,2000,3,1,93,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,https://fbref.com/fr/joueurs/ce4f40c7/Cheick-Doucoure
Flynn Downes,ENG,MT,Southampton,25-268,1999,7,7,630,7.0,0,0,0,0,0,0,3,0,0.3,0.3,0.8,1.1,12,31,15,0.00,0.00,0.00,0.00,0.00,0.04,0.12,0.15,0.04,0.15,https://fbref.com/fr/joueurs/69fdb896/Flynn-Downes
Tommy Doyle,ENG,MT,Wolves,22-363,2001,5,0,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,12,2,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10,https://fbref.com/fr/joueurs/5526deb1/Tommy-Doyle
Radu Drăgușin,ROU,DF,Tottenham,22-254,2002,2,1,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,https://fbref.com/fr/joueurs/620922ed/Radu-Dragusin
Lewis Dunk,ENG,DF,Brighton,32-328,1991,7,7,615,6.8,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.6,7,55,1,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,https://fbref.com/fr/joueurs/282f75f3/Lewis-Dunk
Jhon Durán,COL,AT,Aston Villa,20-306,2003,7,0,191,2.1,4,0,4,4,0,0,1,0,2.1,2.1,0.0,2.1,2,5,13,1.88,0.00,1.88,1.88,1.88,0.97,0.02,0.99,0.97,0.99,https://fbref.com/fr/joueurs/414184f7/Jhon-Duran
Ederson,BRA,GB,Manchester City,31-058,1993,7,7,630,7.0,0,1,1,0,0,0,3,0,0.0,0.0,0.4,0.4,0,1,0,0.00,0.14,0.14,0.00,0.14,0.00,0.05,0.05,0.00,0.05,https://fbref.com/fr/joueurs/3bb7b8b4/Ederson
George Edmundson,ENG,DF,Ipswich Town,27-044,1997,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/46ff3923/George-Edmundson
Odsonne Édouard,FRA,"MT,AT",Crystal Palace,26-272,1998,2,1,115,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,2,4,7,0.00,0.00,0.00,0.00,0.00,0.31,0.04,0.34,0.31,0.34,https://fbref.com/fr/joueurs/0562b7f1/Odsonne-Edouard
Odsonne Édouard,FRA,AT,Leicester City,26-272,1998,3,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15,https://fbref.com/fr/joueurs/0562b7f1/Odsonne-Edouard
Samuel Edozie,ENG,"DF,AT",Southampton,21-260,2003,2,0,65,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6,4,23,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14,https://fbref.com/fr/joueurs/007414dd/Samuel-Edozie
Anthony Elanga,SWE,AT,Nott'ham Forest,22-170,2002,7,4,361,4.0,0,1,1,0,0,0,1,0,0.6,0.6,0.6,1.1,11,8,22,0.00,0.25,0.25,0.00,0.25,0.14,0.14,0.28,0.14,0.28,https://fbref.com/fr/joueurs/2fba6108/Anthony-Elanga
Harvey Elliott,ENG,AT,Liverpool,21-193,2003,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/b9e1436c/Harvey-Elliott
Yunus Emre Konak,TUR,"MT,AT",Brentford,18-278,2006,3,0,19,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,1,0.00,0.00,0.00,0.00,0.00,0.72,0.00,0.72,0.72,0.72,https://fbref.com/fr/joueurs/e02b5b36/Yunus-Emre-Konak
Julio Enciso,PAR,"MT,AT",Brighton,20-265,2004,5,0,80,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3,4,7,0.00,0.00,0.00,0.00,0.00,0.18,0.15,0.33,0.18,0.33,https://fbref.com/fr/joueurs/9cfbad36/Julio-Enciso
Wataru Endo,JPN,MT,Liverpool,31-248,1993,2,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.58,0.00,0.58,https://fbref.com/fr/joueurs/c149016b/Wataru-Endo
Christian Eriksen,DEN,MT,Manchester Utd,32-243,1992,5,3,260,2.9,0,0,0,0,0,0,2,0,0.0,0.0,1.4,1.4,2,17,11,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.50,https://fbref.com/fr/joueurs/980522ec/Christian-Eriksen
Pervis Estupiñán,ECU,DF,Brighton,26-267,1998,4,2,235,2.6,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,8,15,27,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.11,0.02,0.11,https://fbref.com/fr/joueurs/d38fdf53/Pervis-Estupinan
Evanilson,BRA,AT,Bournemouth,25-008,1999,6,6,433,4.8,1,0,1,1,0,1,0,0,2.5,1.7,0.6,2.3,3,5,9,0.21,0.00,0.21,0.21,0.21,0.51,0.12,0.64,0.35,0.47,https://fbref.com/fr/joueurs/6f3cc2fe/Evanilson
Jonny Evans,NIR,DF,Manchester Utd,36-285,1988,3,1,114,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,5,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,https://fbref.com/fr/joueurs/f8fcd2a5/Jonny-Evans
