Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Player href
Hugo Magnetti,FRA,MT,Brest,26-137,1998,6,5,480,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,2,14,6,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.06,0.01,0.06,https://fbref.com/fr/joueurs/d4d35152/Hugo-Magnetti
Frank Magri,CMR,"AT,MT",Toulouse,25-040,1999,6,4,278,3.1,0,0,0,0,0,0,1,1,0.4,0.4,0.1,0.6,3,6,17,0.00,0.00,0.00,0.00,0.00,0.14,0.04,0.18,0.14,0.18,https://fbref.com/fr/joueurs/42fdb11d/Frank-Magri
Ainsley Maitland-Niles,ENG,"DF,MT",Lyon,27-046,1997,7,5,458,5.1,1,0,1,1,0,0,0,0,0.5,0.5,1.3,1.8,3,25,18,0.20,0.00,0.20,0.20,0.20,0.09,0.25,0.35,0.09,0.35,https://fbref.com/fr/joueurs/e3a5814e/Ainsley-Maitland-Niles
Hianga Mananga Mbock,FRA,MT,Brest,24-291,1999,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,https://fbref.com/fr/joueurs/0f86995c/Hianga-Mananga-Mbock
Steve Mandanda,FRA,GB,Rennes,39-200,1985,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,https://fbref.com/fr/joueurs/1d2d5cc8/Steve-Mandanda
Aïssa Mandi,ALG,DF,Lille,32-358,1991,4,4,316,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,20,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/fbd6378b/Aissa-Mandi
Orel Mangala,BEL,MT,Lyon,26-210,1998,1,1,67,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,7,3,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.10,0.07,0.10,https://fbref.com/fr/joueurs/a572e291/Orel-Mangala
Sekou Mara,FRA,"AT,MT",Strasbourg,22-076,2002,6,0,120,1.3,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,1,2,6,0.00,0.00,0.00,0.00,0.00,0.12,0.05,0.17,0.12,0.17,https://fbref.com/fr/joueurs/3544641e/Sekou-Mara
Marquinhos,BRA,DF,Paris S-G,30-153,1994,6,5,448,5.0,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,11,35,1,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,https://fbref.com/fr/joueurs/d5f2f82b/Marquinhos
Jonas Martin,FRA,"MT,AT",Brest,34-188,1990,7,3,274,3.0,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,4,10,3,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.14,0.04,0.14,https://fbref.com/fr/joueurs/468fdbad/Jonas-Martin
Clinton Mata,ANG,DF,Lyon,31-342,1992,6,6,540,6.0,0,2,2,0,0,0,2,0,0.1,0.1,0.4,0.5,7,23,9,0.00,0.33,0.33,0.00,0.33,0.02,0.07,0.09,0.02,0.09,https://fbref.com/fr/joueurs/55abe554/Clinton-Mata
Eliot Matazo,BEL,MT,Monaco,22-242,2002,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/15944afd/Eliot-Matazo
Nemanja Matić,SRB,MT,Lyon,36-074,1988,5,4,358,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,8,27,1,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,https://fbref.com/fr/joueurs/eb7822d7/Nemanja-Matic
Azor Matusiwa,NED,MT,Rennes,26-169,1998,7,7,615,6.8,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,3,43,4,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.11,0.04,0.11,https://fbref.com/fr/joueurs/a17a94d6/Azor-Matusiwa
Neal Maupay,FRA,AT,Marseille,28-061,1996,5,2,155,1.7,1,0,1,1,0,0,3,1,0.4,0.4,0.1,0.5,2,2,12,0.58,0.00,0.58,0.58,0.58,0.23,0.08,0.32,0.23,0.32,https://fbref.com/fr/joueurs/4bcf39f6/Neal-Maupay
Christian Mawissa,FRA,DF,Monaco,19-179,2005,2,2,163,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/2c70d915/Christian-Mawissa
Senny Mayulu,FRA,"MT,DF",Paris S-G,18-150,2006,4,0,48,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,2,2,5,0.00,0.00,0.00,0.00,0.00,0.23,0.26,0.49,0.23,0.49,https://fbref.com/fr/joueurs/bac89b96/Senny-Mayulu
Ethan Mbappé,FRA,"MT,AT",Lille,17-290,2006,3,1,77,0.9,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,1,4,9,0.00,0.00,0.00,0.00,0.00,0.86,0.00,0.86,0.86,0.86,https://fbref.com/fr/joueurs/d595de71/Ethan-Mbappe
