Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Player href
Mohamed Ali Cho,FRA,AT,Nice,20-269,2004,6,6,428,4.8,2,0,2,2,0,0,0,0,1.2,1.2,0.7,1.9,13,9,37,0.42,0.00,0.42,0.42,0.42,0.25,0.15,0.40,0.25,0.40,https://fbref.com/fr/joueurs/f8405304/Mohamed-Ali-Cho
Jim Allevinah,GAB,AT,Angers,29-230,1995,4,3,223,2.5,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2,13,18,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.10,0.08,0.10,https://fbref.com/fr/joueurs/1956b948/Jim-Allevinah
Jordan Amavi,FRA,DF,Brest,30-219,1994,5,4,344,3.8,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,9,13,3,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,https://fbref.com/fr/joueurs/22721b88/Jordan-Amavi
Kelvin Amian,FRA,DF,Nantes,26-249,1998,6,5,467,5.2,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.3,13,22,20,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,https://fbref.com/fr/joueurs/bcc81786/Kelvin-Amian
Michael Amir Murillo,PAN,DF,Marseille,28-246,1996,7,7,627,7.0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,6,25,20,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,https://fbref.com/fr/joueurs/349cae8f/Michael-Amir-Murillo
Mathis Amougou,FRA,MT,Saint-Étienne,18-270,2006,7,7,537,6.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,4,26,4,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,https://fbref.com/fr/joueurs/f93cca97/Mathis-Amougou
Benjamin André,FRA,MT,Lille,34-072,1990,6,6,532,5.9,0,0,0,0,0,0,3,0,0.2,0.2,0.3,0.5,5,49,9,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09,https://fbref.com/fr/joueurs/ef9c1c95/Benjamin-Andre
Dennis Appiah,FRA,DF,Saint-Étienne,32-127,1992,6,4,437,4.9,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.4,10,24,14,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,https://fbref.com/fr/joueurs/feb5d3ab/Dennis-Appiah
Carlens Arcus,HAI,DF,Angers,28-108,1996,7,6,478,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,8,12,14,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,https://fbref.com/fr/joueurs/5e837126/Carlens-Arcus
Hákon Arnar Haraldsson,ISL,MT,Lille,21-187,2003,3,2,168,1.9,0,1,1,0,0,0,0,0,0.5,0.5,0.2,0.6,8,18,12,0.00,0.54,0.54,0.00,0.54,0.25,0.08,0.33,0.25,0.33,https://fbref.com/fr/joueurs/e2ae54db/Hakon-Arnar-Haraldsson
