Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Nicolás Acevedo,URU,MF,Bahia,23,1999,21.9,7,1,1,39,34,0,12,27,46,0,0,0,174,22,29,43.1
Luiz Adriano,BRA,FW,Internacional,35,1987,14.8,1,1,0,14,21,3,0,9,7,0,0,0,30,25,33,43.1
Adriel,BRA,GK,Grêmio,22,2001,2.0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,
Adryelson,BRA,DF,Botafogo (RJ),24,1998,33.3,6,1,0,20,19,0,0,61,20,0,0,0,127,92,45,67.2
Adson,BRA,"FW,MF",Corinthians,22,2000,9.5,0,0,0,11,20,5,10,8,26,0,0,0,52,7,4,63.6
Adyson,BRA,"FW,MF",América (MG),17,2005,2.7,1,0,0,6,7,0,31,5,5,0,0,0,16,0,0,
Washington Aguerre,URU,GK,América (MG),29,1993,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Carlos Alberto,BRA,"FW,MF",Botafogo (RJ),20,2002,3.3,0,0,0,5,7,0,5,1,0,1,0,0,14,4,7,36.4
Yuri Alberto,BRA,FW,Corinthians,21,2001,30.2,6,0,0,66,71,15,13,4,14,1,0,0,67,62,80,43.7
Ale,BRA,MF,América (MG),32,1990,15.8,7,1,1,31,24,1,11,28,17,0,0,0,145,20,10,66.7
Alexandre Alemão,BRA,FW,Internacional,24,1998,3.8,2,0,0,12,14,1,2,1,5,0,0,0,17,6,18,25.0
Alerrandro,BRA,"FW,MF",Red Bull Bragantino,23,2000,4.5,3,1,0,9,9,5,1,0,2,0,0,0,6,4,20,16.7
Alesson,BRA,"FW,MF",Goiás,23,1999,7.3,3,0,0,11,9,10,23,1,10,0,0,0,31,14,15,48.3
Alex,BRA,DF,Santos,23,1999,5.1,1,0,0,4,5,0,0,8,7,0,0,0,21,6,6,50.0
Caio Alexandre,BRA,MF,Fortaleza,23,1999,29.2,4,0,0,56,42,4,27,24,42,0,0,0,188,8,20,28.6
Matheus Alexandre,BRA,DF,Cuiabá,23,1999,33.1,5,0,0,36,12,4,72,42,58,0,1,0,177,39,31,55.7
Alexsander,BRA,"MF,DF",Fluminense,19,2003,13.3,3,0,0,27,19,1,17,10,19,0,1,0,74,11,14,44.0
Alison,BRA,MF,Santos,29,1993,1.5,0,0,0,1,1,0,0,3,1,0,0,0,9,3,2,60.0
Alisson,BRA,"MF,DF",Atlético Mineiro,17,2005,0.5,1,0,0,3,1,0,3,0,2,0,0,0,5,0,1,0.0
Alisson,BRA,"MF,FW",São Paulo,29,1993,23.9,2,0,0,39,45,2,59,28,32,1,0,0,121,16,29,35.6
Allan,BRA,MF,Flamengo,25,1997,5.4,1,0,0,10,9,0,3,8,7,0,0,0,38,2,3,40.0
Allano,BRA,FW,Goiás,27,1995,13.7,5,0,0,21,42,5,13,11,20,0,0,0,80,27,20,57.4
Henrique Almeida,BRA,FW,América (MG),31,1991,1.7,0,0,0,5,1,1,2,0,1,0,1,0,4,3,10,23.1
Rodrigo Alves,BRA,MF,Vasco da Gama,20,2002,3.9,1,0,0,4,2,0,0,3,5,0,0,0,14,3,4,42.9
Anderson,BRA,GK,Cruzeiro,24,1998,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Anderson,BRA,"FW,MF",Goiás,24,1998,14.3,1,0,0,25,21,1,20,3,16,0,0,0,90,3,15,16.7
André,BRA,DF,Bahia,19,2003,1.4,1,0,0,2,1,0,9,1,1,0,0,0,5,2,0,100.0
André,BRA,"MF,DF",Fluminense,21,2001,29.4,11,1,0,41,49,0,5,31,37,0,0,0,214,12,14,46.2
Ângelo,BRA,"FW,MF",Santos,18,2004,6.0,1,0,0,8,9,4,8,5,8,0,0,0,31,3,8,27.3
Maurício Antônio,BRA,DF,Coritiba,30,1992,2.0,0,0,0,2,0,0,0,5,0,0,0,0,11,4,2,66.7
Apodi,BRA,"FW,MF",Goiás,36,1986,4.2,3,0,0,12,3,5,6,2,4,1,0,0,8,9,8,52.9
Guilherme Arana,BRA,DF,Atlético Mineiro,25,1997,26.5,2,1,0,20,26,0,100,32,29,0,0,0,116,25,30,45.5
Charles Aránguiz,CHI,MF,Internacional,33,1989,14.1,3,0,0,19,18,0,7,10,16,0,0,0,73,14,7,66.7
João Araújo,BRA,MF,Grêmio,17,2005,0.1,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,100.0
Luiz Araújo,BRA,FW,Flamengo,26,1996,8.7,2,1,0,19,26,1,38,8,16,1,0,0,43,8,5,61.5
Matheus Araújo,BRA,"MF,FW",Corinthians,20,2002,6.5,0,0,0,11,8,1,13,9,7,0,0,0,44,6,9,40.0
Michel Araujo,URU,"FW,MF",São Paulo,26,1996,19.6,3,0,0,33,42,2,61,11,25,1,3,0,93,33,36,47.8
Robert Arboleda,ECU,DF,São Paulo,31,1991,19.1,1,1,0,7,13,5,0,13,21,0,0,0,90,56,32,63.6
Jhon Arias,COL,"FW,MF",Fluminense,25,1997,26.5,5,1,0,41,72,9,158,9,31,1,0,0,142,17,32,34.7
Luciano Arriagada,CHI,"FW,MF",Ath Paranaense,20,2002,2.1,0,0,0,14,6,0,1,0,1,0,0,0,12,4,14,22.2
Arthur,BRA,"FW,MF",Cruzeiro,24,1998,15.0,3,0,0,25,25,5,29,5,7,0,0,0,61,4,13,23.5
Arthur,BRA,DF,América (MG),19,2003,1.0,0,0,0,7,2,0,3,1,1,0,1,0,8,2,1,66.7
Arthur,BRA,"DF,FW",Fluminense,18,2004,0.2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,
Artur,BRA,FW,Palmeiras,24,1998,21.1,2,0,0,14,36,8,80,7,10,0,0,0,87,10,14,41.7
Eduard Atuesta,COL,MF,Palmeiras,25,1997,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Felipe Augusto,BRA,"FW,MF",Corinthians,18,2004,3.6,0,0,0,8,10,1,1,1,2,0,0,0,11,12,15,44.4
