Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Ivan Provedel,ITA,GK,Lazio,30-235,1994,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Lukáš Provod,CZE,MF,Slavia Prague,28-015,1996,2.2,0,0,0,3,4,0,20,1,0,0,0,0,7,2,3,40.0
Ahmed Qasem,SWE,"FW,MF",Elfsborg,21-118,2003,2.9,1,0,0,4,3,1,3,3,0,0,1,0,10,2,6,25.0
Risto Radunović,MNE,DF,FCSB,32-187,1992,2.5,0,0,0,3,0,0,7,1,3,0,0,0,18,1,1,50.0
Elías Rafn Ólafsson,ISL,GK,Midtjylland,24-241,2000,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
Baba Rahman,GHA,DF,PAOK,30-128,1994,2.3,0,0,0,2,5,0,3,0,4,0,0,1,14,3,4,42.9
Cristian Ramírez,ECU,"DF,FW",Ferencváros,30-087,1994,2.0,0,0,0,3,0,0,4,4,5,0,0,0,7,3,0,100.0
Marcus Rashford,ENG,FW,Manchester Utd,27-007,1997,2.2,1,0,0,1,1,1,5,1,2,0,0,0,6,2,2,50.0
Milot Rashica,KVX,FW,Beşiktaş,28-132,1996,1.8,0,0,0,2,3,0,11,2,2,0,0,0,7,0,2,0.0
Haruna Rasid Njie,GAM,"DF,MF",FK Rīgas FS,19-045,2005,2.2,0,0,0,2,2,0,0,4,5,0,0,0,19,0,1,0.0
Nicolas Raskin,BEL,MF,Rangers,23-258,2001,1.4,0,0,0,5,1,0,1,1,4,0,0,0,14,1,4,20.0
Christian Rasmussen,DEN,"FW,MF",Ajax,21-293,2003,1.7,0,0,0,4,4,0,1,0,1,2,0,0,12,1,1,50.0
Mathias Rasmussen,NOR,MF,Union SG,26-348,1997,2.7,0,0,0,2,0,0,11,3,5,0,0,0,13,5,0,100.0
Youri Regeer,NED,MF,Twente,21-081,2003,2.9,0,0,0,3,3,0,0,4,4,0,0,0,14,3,3,50.0
Álex Remiro,ESP,GK,Real Sociedad,29-228,1995,2.0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,100.0
Devyne Rensch,NED,DF,Ajax,21-294,2003,3.0,0,0,0,2,2,0,2,11,2,0,0,0,14,4,2,66.7
Panagiotis Retsos,GRE,DF,Olympiacos,26-090,1998,2.7,1,0,0,5,1,0,2,8,4,0,0,0,18,7,4,63.6
Yuri Ribeiro,POR,DF,Braga,27-288,1997,1.1,1,0,0,2,1,0,3,2,0,0,0,0,1,0,0,
Ricardinho,BRA,FW,Viktoria Plzeň,23-198,2001,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Ricardo,BRA,GK,Malmö,31-263,1993,1.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Richarlison,BRA,FW,Tottenham,27-181,1997,0.7,0,0,0,1,0,2,0,0,2,0,0,0,5,1,0,100.0
Rick,BRA,FW,Ludogorets,25-066,1999,2.9,2,0,0,4,9,0,10,2,2,0,0,0,17,2,4,33.3
Søren Rieks,DEN,"FW,MF",Malmö,37-214,1987,0.2,0,0,0,1,1,0,0,0,0,0,0,0,1,1,3,25.0
Mats Rits,BEL,MF,Anderlecht,31-112,1993,2.0,1,0,0,3,1,0,9,1,3,0,0,0,11,3,4,42.9
Rodinei,BRA,"FW,DF",Olympiacos,32-283,1992,2.9,1,0,0,4,3,1,7,6,2,0,0,0,18,3,2,60.0
Kevin Rodríguez,ECU,FW,Union SG,24-248,2000,2.4,0,0,0,5,4,2,3,0,3,0,0,0,9,5,10,33.3
Alessio Romagnoli,ITA,DF,Lazio,29-300,1995,2.2,1,0,0,1,0,1,0,1,2,0,0,0,7,1,8,11.1
Julio Romão,BRA,MF,Qarabağ,26-223,1998,1.6,0,1,0,6,0,0,0,2,9,0,0,0,10,0,0,
Mohamed Ali Ben Romdhane,TUN,"FW,DF",Ferencváros,25-062,1999,0.8,0,0,0,2,1,0,2,0,3,0,0,0,5,0,0,
Cristian Romero,ARG,DF,Tottenham,26-194,1998,1.0,0,0,0,2,0,0,0,1,1,0,0,0,5,7,1,87.5
Philippe Rommens,BEL,MF,Ferencváros,27-079,1997,2.0,0,0,0,3,1,0,7,2,3,0,0,0,6,0,2,0.0
Bart van Rooij,NED,DF,Twente,23-165,2001,3.0,1,0,0,3,6,0,6,3,6,0,0,0,12,3,2,60.0
Pablo Rosario,NED,MF,Nice,27-305,1997,2.8,1,1,0,3,3,0,1,2,0,0,0,0,11,3,4,42.9
Otto Rosengren,SWE,MF,Malmö,21-175,2003,0.7,0,0,0,2,2,0,5,0,0,0,0,0,1,1,1,50.0
Colin Rosler,NOR,DF,Malmö,24-199,2000,4.0,1,0,0,3,1,0,1,2,1,0,0,0,14,4,4,50.0
Daan Rots,NED,MF,Twente,23-105,2001,0.4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0.0
Nicolò Rovella,ITA,MF,Lazio,22-339,2001,1.8,0,0,0,3,3,0,1,5,3,0,0,0,15,0,1,0.0
Valentyn Rubchynskyi,UKR,"MF,FW",Dynamo Kyiv,22-266,2002,1.1,1,0,0,2,0,0,0,0,0,0,0,0,6,0,0,
Daniele Rugani,ITA,DF,Ajax,30-101,1994,0.8,0,0,0,0,1,0,0,2,1,0,0,0,5,2,3,40.0
Georgi Rusev,BUL,FW,Ludogorets,26-128,1998,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Rwan,BRA,"FW,MF",Ludogorets,23-171,2001,1.9,0,0,0,4,8,0,0,0,0,0,0,0,4,7,6,53.8
Noah Sadiki,COD,MF,Union SG,19-326,2004,2.6,0,0,0,3,2,1,0,2,3,0,0,0,12,0,2,0.0
Ibrahim Sadiq,GHA,FW,AZ Alkmaar,24-184,2000,0.6,0,0,0,2,3,0,3,0,0,0,0,0,0,0,0,
Umar Sadiq,NGA,FW,Real Sociedad,27-279,1997,1.5,0,0,0,5,2,1,2,0,0,0,0,0,3,0,7,0.0
Allan Saint-Maximin,FRA,FW,Fenerbahçe,27-240,1997,1.2,0,0,0,0,1,0,6,0,0,0,0,0,7,0,1,0.0
Anass Salah-Eddine,NED,"DF,MF",Twente,22-294,2002,2.9,0,0,0,2,3,0,4,4,6,0,0,0,12,2,2,50.0
Saldanha,BRA,"MF,FW",Ferencváros,25-081,1999,1.0,0,0,0,3,2,0,1,0,2,0,0,0,4,1,1,50.0
Ulrik Saltnes,NOR,MF,Bodø/Glimt,31-363,1992,1.2,0,0,0,1,2,0,1,3,3,0,0,0,6,0,3,0.0
Oihan Sancet,ESP,MF,Athletic Club,24-196,2000,1.2,0,0,0,0,3,0,2,0,0,0,0,0,2,0,2,0.0
Davinson Sánchez,COL,DF,Galatasaray,28-148,1996,3.0,0,0,0,5,5,0,1,4,5,0,0,0,19,11,5,68.8
Kauã Santos,BRA,GK,Eint Frankfurt,21-210,2003,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Gabriel Sara,BRA,MF,Galatasaray,25-134,1999,3.0,0,0,0,3,5,0,17,3,4,0,0,0,16,1,0,100.0
Killian Sardella,BEL,DF,Anderlecht,22-189,2002,1.4,1,0,0,1,2,0,5,1,4,0,0,0,4,1,1,50.0
Joan Sastre Vanrell,ESP,DF,PAOK,27-191,1997,1.5,1,0,0,2,1,0,4,1,1,0,0,0,5,2,2,50.0
Roberts Savaļnieks,LVA,DF,FK Rīgas FS,31-277,1993,2.0,0,0,0,1,0,0,14,3,0,0,0,0,6,0,2,0.0
Stefan Schwab,AUT,MF,PAOK,34-041,1990,0.7,0,0,0,0,1,0,4,0,2,0,0,0,4,2,1,66.7
Stephan El Shaarawy,ITA,DF,Roma,32-011,1992,0.3,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,100.0
