Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Renato Augusto,BRA,"MF,FW",Fluminense,36-252,1988,3.5,0,0,0,4,2,4,3,5,5,0,0,0,11,2,4,33.3
Yarlen Augusto,BRA,MF,Botafogo (RJ),18-240,2006,0.9,1,0,0,2,0,0,0,1,1,0,0,0,1,1,4,20.0
Pablo Baianinho,BRA,"MF,DF",Vitória,21-075,2003,0.3,1,0,0,2,1,0,3,0,0,0,0,0,1,0,0,
Gabriel Baralhas,BRA,MF,Atl Goianiense,26-007,1998,19.6,6,0,0,21,27,2,10,27,23,0,0,0,94,24,25,49.0
Danilo Barbosa,BRA,MF,Botafogo (RJ),28-232,1996,12.7,4,0,0,19,17,0,0,25,22,1,0,0,69,18,17,51.4
Diogo Barbosa,BRA,DF,Fluminense,32-061,1992,12.6,6,0,0,16,13,0,24,8,16,0,0,0,55,12,5,70.6
Gabriel Barbosa,BRA,"FW,MF",Flamengo,28-048,1996,5.3,2,0,0,1,5,7,6,0,2,0,0,0,9,1,3,25.0
Lucas Barbosa,BRA,FW,Juventude,23-238,2001,20.9,9,1,0,48,30,5,43,16,32,0,0,0,79,45,52,46.4
Alexander Barboza,ARG,DF,Botafogo (RJ),29-215,1995,15.6,6,1,0,26,3,1,2,19,10,0,1,0,71,50,24,67.6
Mateo Barcia,URU,"MF,FW",Criciúma,23-241,2001,0.3,0,0,0,3,0,0,1,1,3,0,0,0,1,1,3,25.0
Álvaro Barreal,ARG,"MF,FW",Cruzeiro,24-061,2000,13.1,5,0,0,19,18,2,55,4,19,0,0,0,59,3,10,23.1
Barreto,BRA,MF,Criciúma,28-312,1995,19.5,3,0,0,39,19,2,5,13,25,0,1,0,105,26,10,72.2
Gabriel Barros,BRA,"FW,MF",Atl Goianiense,22-358,2001,0.9,2,1,1,4,1,0,2,0,1,0,0,0,4,1,1,50.0
Bastos,ANG,DF,Botafogo (RJ),33-204,1991,25.1,5,0,0,30,6,2,1,26,24,0,1,0,98,47,21,69.1
Rodrigo Battaglia,ARG,"DF,MF",Atlético Mineiro,33-097,1991,20.4,7,2,2,29,12,0,2,10,20,0,0,0,79,47,28,62.7
José Luis Rodríguez Bebanz,URU,DF,Vasco da Gama,27-217,1997,6.2,0,0,0,3,2,0,34,6,11,0,0,0,22,13,7,65.0
Muriel Becker,BRA,GK,Vitória,37-246,1987,1.0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,50.0
Ramiro Benetti,BRA,MF,Cruzeiro,31-148,1993,12.0,2,0,0,19,9,1,17,15,14,0,0,0,45,13,14,48.1
Bento,BRA,GK,Ath Paranaense,25-129,1999,7.0,1,0,0,1,0,0,0,0,0,0,1,0,4,2,0,100.0
Alexandro Bernabei,ARG,DF,Internacional,24-023,2000,13.9,1,0,0,25,7,2,60,28,20,0,0,0,82,23,13,63.9
Facundo Bernal,URU,MF,Fluminense,21-057,2003,5.1,2,0,0,7,5,0,0,5,3,0,0,0,21,10,3,76.9
Bernard,BRA,"MF,FW",Atlético Mineiro,32-039,1992,6.4,1,0,0,13,6,1,24,2,7,0,0,0,28,0,2,0.0
Raul Bicalho,BRA,DF,Corinthians,25-176,1999,1.0,0,0,0,0,0,0,1,4,0,0,0,0,1,1,4,20.0
Matheus Bidu,BRA,DF,Corinthians,25-166,1999,8.6,2,0,0,8,15,1,25,13,11,0,0,0,55,2,8,20.0
Biel,BRA,"FW,MF",Bahia,23-199,2001,7.7,2,0,0,6,17,2,15,5,4,0,0,0,22,1,5,16.7
Biro,BRA,"MF,DF",Corinthians,20-180,2004,0.2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Damián Bobadilla,PAR,MF,São Paulo,23-098,2001,11.3,3,0,0,23,2,0,8,8,18,0,0,0,57,1,4,20.0
Yannick Bolasie,COD,FW,Criciúma,35-146,1989,20.1,3,0,0,28,18,10,39,3,16,0,0,0,57,30,40,42.9
Thiago Borbas,URU,FW,Red Bull Bragantino,22-193,2002,10.6,3,0,0,21,10,2,1,2,4,0,0,0,22,31,78,28.4
Marllon Borges,BRA,DF,Cuiabá,32-184,1992,24.0,3,0,0,20,9,0,1,26,20,1,1,0,80,65,31,67.7
Pedro Borges,BRA,MF,Fortaleza,27-228,1997,12.9,7,0,0,31,22,0,1,20,31,0,1,0,64,22,17,56.4
Rafael Borré,COL,FW,Internacional,29-032,1995,12.6,5,0,0,22,11,10,8,3,8,0,0,0,33,40,41,49.4
Danilo Boza,BRA,DF,Juventude,26-164,1998,22.5,2,0,0,3,11,0,6,21,9,0,0,0,80,57,31,64.8
Martin Braithwaite,DEN,FW,Grêmio,33-134,1991,7.9,0,0,0,13,8,2,2,1,2,0,0,1,19,19,14,57.6
Breno,BRA,FW,Fortaleza,28-267,1996,18.7,4,0,0,13,52,6,67,4,5,2,0,0,77,10,18,35.7
Breno,BRA,MF,Corinthians,19-240,2005,13.6,5,0,0,21,26,1,12,15,11,0,0,0,66,10,6,62.5
José Breno,BRA,MF,Vitória,20-133,2004,0.1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,
Emanuel Brítez,ARG,DF,Fortaleza,32-205,1992,22.0,10,2,1,22,12,2,8,22,32,0,0,0,79,50,27,64.9
Bruninho,BRA,"FW,MF",Red Bull Bragantino,21-217,2003,0.9,0,0,0,1,4,0,0,0,0,0,0,0,5,0,1,0.0
Fabrício Bruno,BRA,DF,Flamengo,28-248,1996,19.6,3,0,0,5,9,0,4,12,13,0,0,0,65,25,12,67.6
Fabricio Bustos,ARG,DF,Internacional,28-172,1996,9.6,4,0,0,17,8,1,26,11,23,0,0,0,43,7,10,41.2
Rafael Cabral,BRA,GK,Grêmio,34-150,1990,5.1,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,100.0
Cacá,BRA,DF,Corinthians,25-175,1999,22.8,4,1,0,25,12,0,1,13,13,0,1,2,65,61,36,62.9
Raúl Cáceres,PAR,DF,Vitória,33-029,1991,10.9,0,0,0,14,4,2,55,9,14,0,0,0,30,14,8,63.6
Caetano,BRA,DF,Corinthians,25-115,1999,3.1,2,1,1,5,1,0,0,4,3,0,0,0,9,2,5,28.6
Jonathan Cafu,BRA,"FW,MF",Cuiabá,33-099,1991,13.5,1,0,0,18,22,1,44,9,11,0,0,0,64,15,25,37.5
Rodrigo Caio,BRA,DF,Grêmio,31-061,1993,2.2,0,0,0,3,2,0,0,1,4,0,1,0,4,8,6,57.1
Caíque,BRA,GK,Grêmio,27-078,1997,3.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Calebe,BRA,"FW,MF",Fortaleza,24-170,2000,0.5,1,0,0,2,1,0,2,0,0,0,0,0,4,0,0,
Lucas Calegari,BRA,DF,Fluminense,22-233,2002,0.9,0,0,0,3,3,0,2,1,4,0,1,0,7,1,0,100.0
Jonathan Calleri,ARG,FW,São Paulo,31-024,1993,19.8,6,0,0,34,42,21,24,3,9,1,0,0,24,58,47,55.2
Patric Calmon PK,BRA,DF,Vitória,30-104,1994,5.5,0,1,0,6,3,2,27,15,5,0,0,0,21,11,3,78.6
Gustavo Campanharo,BRA,MF,Atl Goianiense,32-196,1992,0.2,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,100.0
Joel Campbell,CRC,"MF,FW",Atl Goianiense,32-113,1992,6.0,3,0,0,2,7,0,16,2,10,0,0,0,30,6,12,33.3
Camutanga,BRA,DF,Vitória,31-020,1993,5.0,1,1,0,3,2,0,0,2,5,0,0,0,14,12,9,57.1
Yerson Candelo,COL,DF,Criciúma,32-236,1992,0.3,0,0,0,0,0,0,3,1,1,0,0,0,2,0,0,
Luan Cândido,BRA,DF,Red Bull Bragantino,23-258,2001,20.0,5,0,0,36,7,3,6,30,27,0,0,0,51,53,24,68.8
Germán Cano,ARG,FW,Fluminense,36-258,1988,13.9,3,0,0,5,6,1,5,1,5,0,0,0,25,5,16,23.8
Agustín Canobbio,URU,"FW,MF",Ath Paranaense,26-016,1998,11.7,5,1,1,13,24,7,29,4,16,0,0,0,61,6,7,46.2
Juninho Capixaba,BRA,"DF,MF",Red Bull Bragantino,27-103,1997,13.1,3,0,0,19,25,1,23,23,28,0,0,0,70,36,27,57.1
