Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,GoalsConceded,GoalsConceded90,SoTAgainst,Saves,Saves%,W,D,L,CleanSheet,CleanSheet%,PKatt,PKConcede,PKSaved,PKMissed,PKSaved%
Sinan Bolat,TUR,GK,Westerlo,36-065,1988,11,11,990,11.0,20,1.82,62,42,71.0,4,3,4,1,9.1,2,2,0,0,0.0
Colin Coosemans,BEL,GK,Anderlecht,32-096,1992,13,13,"1,170",13.0,12,0.92,66,52,81.8,5,5,3,5,38.5,2,0,2,0,100.0
Jo Coppens,BEL,GK,Sint-Truiden,33-322,1990,3,3,270,3.0,11,3.67,18,7,44.4,0,0,3,0,0.0,1,1,0,0,0.0
Ortwin De Wolf,BEL,GK,Mechelen,27-198,1997,13,13,"1,170",13.0,17,1.31,60,44,78.3,6,3,4,5,38.5,4,4,0,0,0.0
Théo Defourny,BEL,GK,Charleroi,32-196,1992,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,
Maxime Delanghe,BEL,GK,Cercle Brugge,23-168,2001,4,4,360,4.0,4,1.00,11,7,63.6,2,1,1,2,50.0,0,0,0,0,
Martin Delavallée,BEL,GK,Charleroi,20-234,2004,1,1,90,1.0,2,2.00,7,5,71.4,0,0,1,0,0.0,0,0,0,0,
Julien Devriendt,BEL,GK,Dender,25-348,1998,2,2,180,2.0,6,3.00,21,15,76.2,0,0,2,0,0.0,1,1,0,0,0.0
Guillaume Dietsch,FRA,GK,Dender,23-204,2001,1,0,49,0.5,1,1.84,2,1,50.0,0,0,0,0,,0,0,0,0,
Matthieu Epolo,BEL,GK,Standard Liège,20-297,2004,13,13,"1,170",13.0,13,1.00,56,43,76.8,5,3,5,6,46.2,1,0,1,0,100.0
Patrik Gunnarsson,ISL,GK,Kortrijk,23-358,2000,11,11,922,10.2,16,1.56,36,21,55.6,3,2,6,1,9.1,0,0,0,0,
Leo Kokubo,JPN,GK,Sint-Truiden,23-289,2001,10,10,900,10.0,12,1.20,43,31,74.4,3,5,2,3,30.0,1,1,0,0,0.0
Mohamed Koné,CIV,GK,Charleroi,22-245,2002,11,11,990,11.0,12,1.09,41,29,75.6,4,2,5,4,36.4,3,2,1,0,33.3
Senne Lammens,BEL,GK,Antwerp,22-123,2002,13,13,"1,170",13.0,10,0.77,63,52,85.7,7,2,4,5,38.5,3,1,2,0,66.7
Tobe Leysen,BEL,GK,OH Leuven,22-243,2002,13,13,"1,170",13.0,17,1.31,45,29,62.2,3,6,4,3,23.1,0,0,0,0,
Davor Matijas,CRO,GK,Beerschot,25-076,1999,7,7,630,7.0,18,2.57,31,13,51.6,0,1,6,1,14.3,3,3,0,0,0.0
Simon Mignolet,BEL,GK,Club Brugge,36-246,1988,13,13,"1,170",13.0,14,1.08,46,33,73.9,7,3,3,4,30.8,2,2,0,0,0.0
Anthony Moris,LUX,GK,Union SG,34-192,1990,13,13,"1,170",13.0,12,0.92,39,27,69.2,3,7,3,7,53.8,1,0,0,1,
Mike Penders,BEL,GK,Genk,19-099,2005,2,2,180,2.0,3,1.50,6,3,50.0,0,1,1,1,50.0,0,0,0,0,
Lucas Pirard,BEL,GK,Kortrijk,29-242,1995,1,0,68,0.8,3,3.97,7,4,57.1,0,0,0,0,,0,0,0,0,
Davy Roef,BEL,GK,Gent,30-275,1994,13,13,"1,170",13.0,12,0.92,79,67,86.1,5,4,4,5,38.5,1,1,0,0,0.0
Nick Shinton,BEL,GK,Beerschot,23-181,2001,6,6,540,6.0,10,1.67,48,39,81.3,1,2,3,1,16.7,1,1,0,0,0.0
Hendrik Van Crombrugge,BEL,GK,Genk,31-191,1993,11,11,990,11.0,12,1.09,36,24,66.7,10,0,1,5,45.5,1,0,0,1,
Koen Van Langendonck,BEL,GK,Westerlo,35-151,1989,2,2,180,2.0,2,1.00,7,5,85.7,1,0,1,1,50.0,1,1,0,0,0.0
Tom Vandenberghe,BEL,GK,Kortrijk,32-082,1992,2,2,180,2.0,4,2.00,9,6,66.7,1,0,1,1,50.0,1,1,0,0,0.0
Michael Verrips,NED,GK,Dender,27-340,1996,11,11,941,10.5,15,1.43,51,36,74.5,4,4,3,3,27.3,2,2,0,0,0.0
Warleson,BRA,GK,Cercle Brugge,28-068,1996,9,9,810,9.0,17,1.89,47,30,63.8,2,2,5,0,0.0,0,0,0,0,
