Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,GoalsConceded,GoalsConceded90,SoTAgainst,Saves,Saves%,W,D,L,CleanSheet,CleanSheet%,PKatt,PKConcede,PKSaved,PKMissed,PKSaved%
Alisson,BRA,GK,Liverpool,32-036,1992,2,2,180,2.0,1,0.50,4,3,75.0,2,0,0,1,50.0,0,0,0,0,
David von Ballmoos,SUI,GK,Young Boys,29-313,1994,2,2,180,2.0,4,2.00,13,8,69.2,0,0,2,0,0.0,1,0,1,0,100.0
Walter Benítez,ARG,GK,PSV Eindhoven,31-293,1993,3,3,270,3.0,2,0.67,14,12,85.7,1,2,0,1,33.3,0,0,0,0,
Marco Bizot,NED,GK,Brest,33-242,1991,4,4,360,4.0,3,0.75,13,11,76.9,3,1,0,1,25.0,0,0,0,0,
Janis Blaswich,GER,GK,RB Salzburg,33-189,1991,4,3,292,3.2,9,2.77,19,10,52.6,1,0,2,0,0.0,0,0,0,0,
Marco Carnesecchi,ITA,GK,Atalanta,24-129,2000,4,4,360,4.0,0,0.00,4,4,100.0,2,2,0,4,100.0,0,0,0,0,
Lucas Chevalier,FRA,GK,Lille,23-001,2001,4,4,360,4.0,4,1.00,18,14,83.3,2,1,1,1,25.0,1,1,0,0,0.0
Thibaut Courtois,BEL,GK,Real Madrid,32-180,1992,2,2,180,2.0,3,1.50,14,11,78.6,2,0,0,0,0.0,0,0,0,0,
Michele Di Gregorio,ITA,GK,Juventus,27-103,1997,3,3,238,2.6,3,1.13,10,7,70.0,2,1,0,0,0.0,0,0,0,0,
Gianluigi Donnarumma,ITA,GK,Paris S-G,25-256,1999,3,3,270,3.0,5,1.67,11,6,54.5,0,1,2,0,0.0,0,0,0,0,
Joel Drommel,NED,GK,PSV Eindhoven,27-357,1996,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,
Ederson,BRA,GK,Manchester City,31-082,1993,2,2,180,2.0,4,2.00,9,5,77.8,0,1,1,1,50.0,2,2,0,0,0.0
