Player,Nation,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Gustavo Mosquito,BRA,FW,Vitória,27-040,1997,3.7,103,2,21,43,43,5,102,15,4,26.7,9,60.0,60,508,235,8,7,2,4,3,70,16
Gustavo Mosquito,BRA,FW,Corinthians,27-040,1997,4.5,155,1,12,67,78,12,155,16,4,25.0,10,62.5,102,649,275,9,7,6,6,10,117,39
Jean Mota,BRA,MF,Vitória,31-002,1993,4.1,267,3,41,152,78,8,267,4,0,0.0,2,50.0,157,664,350,3,8,0,7,5,179,18
Hugo Moura,BRA,MF,Vasco da Gama,26-288,1998,17.1,910,39,209,566,153,10,910,14,8,57.1,6,42.9,503,2452,1259,15,28,0,11,12,607,21
Lucas Moura,BRA,"FW,MF",São Paulo,32-065,1992,18.0,970,19,95,530,361,53,968,72,33,45.8,29,40.3,594,3716,1810,55,45,9,44,33,763,106
Mycael,BRA,GK,Ath Paranaense,20-219,2004,6.4,186,161,186,0,0,0,186,0,0,,0,,86,480,228,0,0,0,1,0,71,0
Léo Naldi,BRA,MF,Vitória,23-060,2001,11.6,525,31,134,321,72,8,525,12,2,16.7,8,66.7,294,1526,668,11,7,0,13,8,311,18
Matheus Nascimento,BRA,FW,Botafogo (RJ),20-228,2004,0.3,6,0,0,2,4,1,6,0,0,,0,,4,24,22,1,1,0,2,0,5,1
Nata,BRA,DF,Grêmio,23-134,2001,5.6,240,45,142,97,2,0,240,0,0,,0,,97,350,134,0,0,0,0,1,119,0
Nathan,BRA,DF,Internacional,23-042,2001,0.1,7,0,3,2,2,1,7,1,1,100.0,0,0.0,6,14,3,0,0,0,0,0,5,0
Nathan,BRA,"FW,MF",Grêmio,28-218,1996,3.6,129,1,11,64,57,9,129,9,4,44.4,5,55.6,68,361,176,6,5,0,5,7,90,18
Kaiky Naves,BRA,DF,Palmeiras,22-162,2002,8.1,505,48,221,264,23,5,505,1,1,100.0,0,0.0,267,1538,1012,2,2,0,5,0,305,2
Nenê,BRA,"MF,FW",Juventude,43-090,1981,14.8,706,3,69,319,325,29,706,26,12,46.2,11,42.3,357,1628,755,22,17,5,32,15,454,78
Neris,BRA,DF,Cruzeiro,32-122,1992,3.4,180,23,91,85,6,5,180,3,3,100.0,0,0.0,105,570,368,1,0,0,2,0,117,1
Neris,BRA,DF,Vitória,32-122,1992,8.1,455,63,219,229,8,3,455,3,2,66.7,1,33.3,248,1660,1068,6,5,0,6,5,281,0
Rodrigo Nestor,BRA,"MF,FW",São Paulo,24-069,2000,9.4,564,9,67,284,219,14,564,20,6,30.0,13,65.0,333,1674,899,23,20,3,11,11,394,53
José Vitor Silva Neves,BRA,"MF,FW",Ath Paranaense,24-168,2000,2.0,154,3,20,81,57,4,154,15,5,33.3,9,60.0,84,487,204,4,6,1,10,8,104,6
Newton,BRA,MF,Criciúma,24-219,2000,18.7,936,49,242,518,190,17,936,20,12,60.0,4,20.0,506,2913,1467,27,20,4,28,11,644,48
Nikão,BRA,"FW,MF",Ath Paranaense,32-080,1992,10.2,592,5,56,265,277,34,592,17,8,47.1,7,41.2,356,1889,828,25,21,8,24,16,425,84
Nonato,BRA,MF,Fluminense,26-228,1998,2.3,153,6,43,71,40,1,153,4,1,25.0,3,75.0,76,247,136,2,4,0,3,2,101,7
Gustavo Nunes,BRA,"FW,MF",Grêmio,18-332,2005,13.8,682,2,67,248,387,40,682,97,51,52.6,38,39.2,447,3255,1692,52,46,17,47,41,513,99
Cauly Oliveira Souza,BRA,"MF,FW",Bahia,29-032,1995,24.0,1285,6,70,665,573,56,1285,75,32,42.7,36,48.0,807,3988,1957,55,45,17,63,32,1057,147
Leo Ortiz,BRA,"MF,DF",Flamengo,28-288,1996,15.2,853,53,248,515,96,12,853,11,6,54.5,4,36.4,486,2475,1499,12,14,2,6,2,572,9
Osvaldo,BRA,"MF,FW",Vitória,37-189,1987,11.9,442,6,70,177,200,26,441,33,12,36.4,19,57.6,307,1950,860,29,18,9,23,20,329,91
Otávio,BRA,MF,Atlético Mineiro,30-166,1994,15.9,1089,44,272,704,117,9,1089,15,9,60.0,6,40.0,643,3134,1331,16,13,2,10,7,773,13
Luis Oyama,BRA,MF,Juventude,27-261,1997,6.5,360,17,92,207,66,1,360,8,3,37.5,4,50.0,201,887,458,7,4,0,6,3,228,15
Pablo,BRA,"FW,MF",Ath Paranaense,32-116,1992,10.9,413,14,43,204,167,34,413,4,2,50.0,2,50.0,210,785,352,10,7,4,19,6,276,41
Pablo,BRA,DF,Botafogo (RJ),33-118,1991,0.3,23,4,7,16,0,0,23,1,1,100.0,0,0.0,5,28,17,0,0,0,1,0,16,0
Juan Pablo,BRA,DF,Cuiabá,22-175,2002,2.8,144,6,31,77,38,1,144,4,0,0.0,4,100.0,70,305,140,1,1,0,3,3,84,12
Ruan Pablo,BRA,MF,Bahia,16-086,2008,0.1,3,0,0,1,2,1,3,1,0,0.0,1,100.0,3,36,8,1,0,1,0,0,3,3
Bruno Pacheco,BRA,DF,Fortaleza,32-314,1991,12.7,663,38,210,339,128,12,663,28,17,60.7,5,17.9,300,1738,918,19,19,5,9,15,365,15
Brahian Palacios,COL,"DF,FW",Atlético Mineiro,21-328,2002,7.7,390,5,44,154,198,26,389,45,14,31.1,27,60.0,224,1761,971,35,24,10,22,16,280,90
Helibelton Palacios,COL,DF,Cruzeiro,31-128,1993,1.0,52,2,10,24,18,2,52,2,2,100.0,0,0.0,27,112,76,3,0,1,1,0,31,4
Sergio Palacios,COL,DF,Red Bull Bragantino,19-246,2005,0.3,8,2,3,5,1,0,8,0,0,,0,,5,44,30,0,0,0,1,0,4,0
Mateus Pasinato,BRA,GK,Cuiabá,32-111,1992,1.0,29,27,29,0,0,0,29,0,0,,0,,14,74,42,0,0,0,0,0,11,0
Alan Patrick,BRA,"MF,FW",Internacional,33-157,1991,12.0,716,2,32,322,373,37,713,34,21,61.8,11,32.4,422,2248,1084,25,30,4,23,29,524,72
Patryck,BRA,"DF,FW",São Paulo,21-273,2003,4.3,240,14,79,110,53,3,240,4,2,50.0,2,50.0,110,558,260,7,0,2,3,5,147,17
Patrick de Paula,BRA,MF,Criciúma,25-039,1999,2.7,136,11,44,74,19,0,136,1,1,100.0,0,0.0,72,334,179,3,1,0,1,1,80,2
Patrick de Paula,BRA,"MF,FW",Botafogo (RJ),25-039,1999,0.3,21,0,2,16,4,0,21,0,0,,0,,12,56,22,1,1,0,1,0,14,2
Paulinho,BRA,"FW,MF",Atlético Mineiro,24-094,2000,19.9,926,7,91,424,430,60,925,48,27,56.3,21,43.8,595,3656,1696,47,52,17,39,35,754,145
Paulinho,BRA,MF,Corinthians,36-084,1988,1.3,82,4,23,40,20,11,82,0,0,,0,,32,179,69,3,2,0,4,2,48,2
Caio Paulista,BRA,"DF,FW",Palmeiras,26-159,1998,7.1,510,14,121,242,152,13,510,29,14,48.3,14,48.3,306,1877,918,19,15,4,21,8,332,55
Cristian Pavón,ARG,"FW,MF",Grêmio,28-270,1996,9.9,513,5,50,200,272,36,513,31,15,48.4,13,41.9,321,1797,842,24,25,10,13,24,370,74
Dimitri Payet,FRA,"MF,FW",Vasco da Gama,37-202,1987,9.8,613,1,59,309,249,12,613,15,7,46.7,6,40.0,328,1589,678,14,18,2,15,15,474,57
Pedrão,BRA,DF,Atl Goianiense,31-304,1992,6.1,367,40,195,164,9,4,367,0,0,,0,,226,978,492,1,1,0,1,0,249,0
Pedrinho,BRA,"MF,DF",Atlético Mineiro,26-187,1998,2.3,171,1,18,101,52,3,171,4,3,75.0,1,25.0,106,580,223,5,4,0,12,5,134,25
Pedro,BRA,FW,Flamengo,27-119,1997,18.4,485,15,32,216,239,91,480,36,15,41.7,19,52.8,255,1007,375,16,8,10,38,21,349,74
