Player,Nation,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Mateus Claus,BRA,GK,Juventude,30-075,1994,3.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,2
Clayson,BRA,"FW,MF",Cuiabá,29-212,1995,15.0,7,5,1,4,2,3,26,11.5,23,17,1,16,7,14,14,0
Clayton,BRA,DF,Internacional,24-196,2000,2.0,1,0,1,0,0,0,1,0.0,1,2,2,0,1,2,10,0
Clayton,BRA,FW,Vasco da Gama,25-280,1999,1.6,3,3,1,0,2,1,1,100.0,0,1,1,0,1,4,2,0
Cleiton,BRA,DF,Flamengo,21-175,2003,1.1,2,2,2,0,0,1,2,50.0,1,0,0,0,0,2,0,0
Mateus Cocão,BRA,MF,Vasco da Gama,22-213,2002,16.5,64,39,29,32,3,25,49,51.0,24,31,6,25,24,88,13,1
Robert Conceição,BRA,"MF,DF",Atlético Mineiro,21-089,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Igor Coronado,BRA,"MF,FW",Corinthians,32-060,1992,13.4,29,15,10,12,7,13,30,43.3,17,26,4,22,9,38,7,0
Diego Costa,ESP,FW,Grêmio,36-010,1988,3.2,3,1,0,2,1,1,1,100.0,0,1,1,0,0,3,1,0
Douglas Costa,BRA,FW,Fluminense,34-033,1990,3.2,6,6,3,2,1,1,3,33.3,2,4,0,4,2,8,2,0
Philippe Coutinho,BRA,MF,Vasco da Gama,32-127,1992,3.4,7,4,1,3,3,3,3,100.0,0,0,0,0,4,11,0,0
Franco Cristaldo,ARG,"MF,FW",Grêmio,28-063,1996,19.1,30,21,6,20,4,9,30,30.0,21,17,1,16,11,41,12,0
Alejo Cruz,URU,"MF,FW",Atl Goianiense,24-046,2000,16.1,26,18,11,11,4,13,30,43.3,17,22,2,20,17,43,17,0
Tomás Cuello,ARG,"FW,MF",Ath Paranaense,24-226,2000,13.0,21,15,15,6,0,10,22,45.5,12,21,3,18,11,32,8,0
Víctor Cuesta,ARG,DF,Bahia,35-333,1988,5.6,12,9,4,7,1,7,10,70.0,3,7,2,5,5,17,23,0
Cuiabano,BRA,DF,Grêmio,21-244,2003,1.8,3,0,2,1,0,2,2,100.0,0,4,2,2,5,8,5,0
Cuiabano,BRA,DF,Botafogo (RJ),21-244,2003,13.4,41,29,22,15,4,20,30,66.7,10,17,2,15,21,62,45,0
Lucas Cunha,BRA,DF,Red Bull Bragantino,27-268,1997,5.7,9,7,7,1,1,4,7,57.1,3,7,6,1,3,12,32,0
Matheus Cunha,BRA,GK,Flamengo,23-146,2001,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Danielzinho,BRA,"MF,FW",Atl Goianiense,28-280,1996,1.1,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0
David,BRA,FW,Vasco da Gama,29-000,1995,17.6,21,15,8,10,3,6,21,28.6,15,10,1,9,9,30,10,1
David,BRA,"MF,FW",Juventude,24-282,2000,0.7,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,2,0
Giorgian De Arrascaeta,URU,MF,Flamengo,30-138,1994,10.0,14,10,3,6,5,7,25,28.0,18,12,1,11,4,18,3,0
Nicolás De La Cruz,URU,MF,Flamengo,27-138,1997,9.5,19,13,2,11,6,8,18,44.4,10,15,3,12,8,27,5,1
Sergio Antonio De Luiz Junior,BRA,MF,Criciúma,29-194,1995,0.2,1,1,1,0,0,0,2,0.0,2,0,0,0,0,1,0,0
Sergio Antonio De Luiz Junior,BRA,"FW,MF",Vasco da Gama,29-194,1995,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Denilson,BRA,MF,Cuiabá,23-208,2001,17.4,34,13,12,16,6,16,26,61.5,10,8,0,8,8,42,11,0
Derek,BRA,FW,Atl Goianiense,26-320,1997,5.2,11,6,1,7,3,3,6,50.0,3,10,0,10,2,13,2,0
Deyverson,BRA,FW,Atlético Mineiro,33-162,1991,6.0,2,0,1,0,1,0,2,0.0,2,4,1,3,0,2,9,0
Deyverson,BRA,FW,Cuiabá,33-162,1991,2.4,2,1,1,0,1,1,2,50.0,1,2,0,2,1,3,3,0
Lucas Di Yorio,ARG,FW,Ath Paranaense,27-330,1996,8.1,4,2,1,2,1,1,5,20.0,4,5,0,5,2,6,9,0
Matheus Dias,BRA,"FW,MF",Internacional,27-253,1997,0.8,3,2,1,2,0,3,5,60.0,2,0,0,0,1,4,0,0
Lautaro Díaz,ARG,FW,Cruzeiro,26-149,1998,6.6,8,7,1,4,3,2,3,66.7,1,2,0,2,3,11,7,0
Diego,BRA,DF,São Paulo,25-088,1999,9.9,13,8,8,5,0,6,11,54.5,5,10,5,5,12,25,49,0
Dodi,BRA,MF,Grêmio,28-183,1996,20.2,60,33,22,32,6,29,43,67.4,14,19,6,13,32,92,22,0
Maxime Dominguez,SUI,"FW,MF",Vasco da Gama,28-259,1996,0.7,2,0,1,1,0,0,3,0.0,3,1,0,1,1,3,1,0
Matheus Donelli,BRA,GK,Corinthians,22-153,2002,7.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Thiago dos Santos,BRA,DF,Fluminense,35-042,1989,14.9,25,16,22,3,0,19,31,61.3,12,18,12,6,23,48,68,1
Lucca Drummond,BRA,FW,Internacional,20-279,2004,1.8,2,0,0,1,1,0,0,,0,0,0,0,0,2,0,0
David Duarte,BRA,DF,Bahia,29-267,1995,0.8,0,0,0,0,0,0,0,,0,1,1,0,0,0,3,1
Dudu,BRA,MF,Vitória,25-134,1999,3.3,12,6,6,6,0,2,9,22.2,7,7,0,7,2,14,1,0
Dudu,BRA,"FW,MF",Palmeiras,32-284,1992,3.7,3,3,0,3,0,2,2,100.0,0,0,0,0,2,5,1,0
Edenílson,BRA,"MF,FW",Grêmio,34-304,1989,11.3,10,5,6,2,2,3,6,50.0,3,8,2,6,7,17,10,0
Éder,ITA,FW,Criciúma,37-337,1986,8.5,7,4,0,4,3,2,3,66.7,1,2,0,2,1,8,0,0
EDU,BRA,DF,Vitória,24-123,2000,2.0,4,2,3,0,1,1,2,50.0,1,3,2,1,1,5,14,0
Carlos Eduardo,BRA,"FW,MF",Vitória,28-007,1996,5.1,14,13,7,4,3,7,11,63.6,4,4,0,4,1,15,13,0
Carlos Eduardo,BRA,"FW,MF",Atlético Mineiro,20-146,2004,11.2,29,19,10,13,6,10,17,58.8,7,8,1,7,9,38,9,0
Carlos Eduardo,BRA,"FW,MF",Botafogo (RJ),35-000,1989,6.8,5,3,3,2,0,2,6,33.3,4,3,1,2,6,11,2,0
Alysson Edward,BRA,"MF,FW",Grêmio,18-165,2006,0.5,1,1,0,1,0,0,2,0.0,2,2,0,2,0,1,2,0
Eli,BRA,FW,Atl Goianiense,20-208,2004,0.2,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0
Kauã Elias,BRA,FW,Fluminense,18-203,2006,10.4,17,7,3,6,8,10,13,76.9,3,3,0,3,3,20,5,0
Rafael Elias,BRA,FW,Cruzeiro,25-188,1999,1.1,0,0,0,0,0,0,5,0.0,5,1,1,0,0,0,2,0
Eliédson,BRA,MF,Criciúma,21-214,2003,0.3,2,2,2,0,0,2,3,66.7,1,2,1,1,0,2,1,0
Rodrigo Ely,BRA,DF,Grêmio,30-349,1993,13.9,28,18,18,10,0,15,18,83.3,3,23,18,5,18,46,57,1
Emersonn,BRA,"FW,MF",Ath Paranaense,20-093,2004,1.8,3,1,0,3,0,0,1,0.0,1,1,0,1,1,4,2,0
Leandro Emmanuel Martínez,ARG,"MF,FW",Fortaleza,30-135,1994,5.8,15,7,6,7,2,9,18,50.0,9,12,3,9,2,17,2,2
Alan Empereur,BRA,DF,Cuiabá,30-221,1994,23.8,17,13,12,5,0,11,19,57.9,8,16,10,6,21,38,92,1
Endrick,BRA,"MF,FW",Palmeiras,18-088,2006,5.0,5,2,1,4,0,3,5,60.0,2,5,0,5,0,5,2,0
Erick,BRA,"MF,DF",Ath Paranaense,26-338,1997,20.9,34,26,18,13,3,11,35,31.4,24,40,8,32,33,67,39,0
Erick,BRA,"FW,MF",São Paulo,26-312,1997,5.7,9,5,4,4,1,1,3,33.3,2,3,0,3,4,13,5,1
Erick,BRA,FW,Juventude,27-288,1997,19.1,18,15,5,10,3,8,16,50.0,8,18,5,13,11,29,12,2
Esquerdinha,BRA,"DF,FW",Fluminense,18-232,2006,1.4,0,0,0,0,0,0,2,0.0,2,2,1,1,0,0,4,0
Lucas Esquivel,ARG,DF,Ath Paranaense,23-003,2001,20.6,52,34,20,28,4,23,48,47.9,25,20,6,14,25,77,70,0
Estevão,BRA,FW,Palmeiras,18-176,2006,15.7,23,18,12,5,6,11,32,34.4,21,8,0,8,6,29,7,0
Lucas Esteves,BRA,"DF,MF",Vitória,24-115,2000,24.6,44,32,29,13,2,21,34,61.8,13,25,6,19,22,66,63,0
Guilherme Estrella,BRA,MF,Vasco da Gama,19-178,2005,1.6,0,0,0,0,0,0,0,,0,1,0,1,3,3,0,0
Oscar Estupiñan,COL,"FW,MF",Bahia,27-293,1996,2.8,2,1,1,1,0,0,3,0.0,3,1,0,1,1,3,5,0
Lucas Evangelista,BRA,MF,Red Bull Bragantino,29-164,1995,19.7,31,16,13,16,2,15,26,57.7,11,20,8,12,13,44,21,0
