Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Matheus Martins,BRA,"MF,FW",Botafogo (RJ),21-093,2003,8,315,39,12.1,3.5,4,60,0,4,19,1,2.13,6,2,+4,+1.14,+0.44,5.6,3.3,+2.2,+0.64,+0.32
Gustavo Martins Santos,BRA,DF,Grêmio,22-067,2002,18,"1,331",74,51.0,14.8,16,78,12,2,39,2,1.28,15,20,-5,-0.34,-0.41,16.4,15.8,+0.6,+0.04,+0.06
Gonzalo Mastriani,URU,FW,Ath Paranaense,31-172,1993,18,871,48,35.8,9.7,10,74,1,8,16,5,1.00,8,9,-1,-0.10,+0.07,13.7,11.8,+1.9,+0.20,+0.29
Mateus,BRA,GK,Palmeiras,22-168,2002,0,,,,,0,,0,0,,11,,,,,,,,,,,
Fellipe Mateus,BRA,"MF,FW",Criciúma,33-248,1991,23,"1,451",63,55.6,16.1,15,79,2,8,33,0,1.35,22,17,+5,+0.31,+1.16,16.1,18.8,-2.7,-0.17,+0.21
Matheusinho,BRA,"MF,FW",Vitória,26-365,1997,26,"1,960",75,75.1,21.8,25,78,12,1,20,0,1.12,25,30,-5,-0.23,+0.74,21.0,26.3,-5.4,-0.25,-0.36
Matheusinho,BRA,MF,Criciúma,26-249,1998,21,"1,271",61,48.7,14.1,15,78,4,6,18,2,1.19,19,22,-3,-0.21,-0.01,17.7,18.3,-0.6,-0.04,+0.43
Matheuzinho,BRA,DF,Corinthians,24-039,2000,23,"1,524",66,58.4,16.9,15,86,10,8,29,5,0.96,17,21,-4,-0.24,+0.18,18.1,20.3,-2.1,-0.13,-0.10
Leandro Mathias,BRA,GK,São Paulo,19-338,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
Ricardo Mathias,BRA,"FW,MF",Internacional,18-084,2006,5,74,15,2.9,0.8,0,,0,5,15,8,1.60,4,0,+4,+4.86,+4.61,4.6,0.5,+4.2,+5.05,+4.50
Mauricio,BRA,MF,Internacional,23-148,2001,5,381,76,15.1,4.2,5,76,1,0,,0,2.00,3,3,0,0.00,-0.46,6.2,3.3,+2.9,+0.67,-0.01
Mauricio,BRA,MF,Palmeiras,23-148,2001,13,793,61,30.4,8.8,9,80,2,4,18,0,1.85,16,6,+10,+1.13,+0.34,12.3,6.5,+5.8,+0.66,-0.23
Max,BRA,"FW,MF",Atl Goianiense,22-111,2002,14,263,19,10.1,2.9,0,,0,14,19,3,0.64,4,6,-2,-0.68,+0.20,5.7,5.0,+0.7,+0.24,+0.55
Max,BRA,MF,Cuiabá,23-158,2001,18,"1,019",57,40.4,11.3,14,68,1,4,17,4,0.94,13,17,-4,-0.35,+0.25,11.4,14.6,-3.2,-0.29,+0.08
Maycon,BRA,MF,Corinthians,27-094,1997,2,47,24,1.8,0.5,0,,0,2,24,0,0.50,0,2,-2,-3.83,-3.58,0.6,1.2,-0.7,-1.31,-1.25
Mayk,BRA,DF,Grêmio,25-047,1999,5,262,52,10.0,2.9,3,85,1,2,4,13,1.20,3,5,-2,-0.69,-0.61,3.5,3.2,+0.3,+0.11,+0.11
