Player,Nation,Pos,Squad,Age,Born,90s,GoalsConceded,PKConceded,GoalsFK,GoalsCorner,CSC,PSxG,PSxG/SoT,PSxG+/-,PSxG/90,LaunchCompleted,LaunchAttempted,LaunchCompleted%,PassAttempted,ThrowAttempted,% of throws,PassAvgLen,GoalKicksAtt,% of GoalKicks(+35yards),GoalKicksAvgLen,OppCrosses,CrossesStopped,Stp%,NbrActionSweeper,NbrActionSweeper/90,AvgLenFromGoalLine
Aaron Ramsdale,ENG,GK,Arsenal,24,1998,3.3,3,0,0,1,0,2.9,0.32,-0.1,-0.04,18,55,32.7,86,13,45.3,38.2,19,84.2,65.0,25,2,8.0,7,2.33,17.5
Álex Remiro,ESP,GK,Real Sociedad,27,1995,8.0,4,0,0,1,0,5.7,0.48,+1.7,+0.21,41,85,48.2,229,29,31.4,32.0,29,44.8,40.1,58,1,1.7,10,1.25,19.4
Gerónimo Rulli,ARG,GK,Ajax,30,1992,2.0,3,1,0,1,0,3.3,0.26,+0.3,+0.16,3,13,23.1,47,9,17.0,28.5,10,50.0,41.8,28,2,7.1,0,0.00,7.9
Frederik Rønnow,DEN,GK,Union Berlin,29,1992,9.5,9,0,0,0,0,8.8,0.32,-0.2,-0.02,52,148,35.1,283,36,39.2,34.0,53,69.8,50.7,95,11,11.6,14,1.47,18.0
Jörg Siebenhandl,AUT,GK,Sturm Graz,32,1990,6.0,10,1,0,1,0,7.9,0.29,-2.1,-0.35,27,63,42.9,150,24,32.7,34.3,47,29.8,34.4,56,0,0.0,7,1.17,15.1
Rui Silva,POR,GK,Betis,28,1994,2.0,1,0,0,0,0,1.4,0.20,+0.4,+0.21,8,13,61.5,42,9,14.3,25.2,19,36.8,35.5,12,1,8.3,0,0.00,12.7
Mile Svilar,SRB,GK,Roma,22,1999,1.0,2,0,0,0,0,1.7,0.56,-0.3,-0.32,6,10,60.0,21,7,28.6,29.7,8,50.0,39.6,7,0,0.0,2,2.00,13.8
Wojciech Szczęsny,POL,GK,Juventus,32,1990,7.8,5,1,0,0,0,7.3,0.23,+2.3,+0.31,22,70,31.4,146,29,32.2,32.1,56,41.1,35.9,176,4,2.3,10,1.34,14.8
Muhammet Taha Tepe,TUR,GK,Trabzonspor,21,2001,1.0,3,1,0,0,0,3.1,0.42,+0.1,+0.07,2,6,33.3,14,4,35.7,33.1,5,20.0,34.0,11,0,0.0,1,1.00,42.0
Marc-André ter Stegen,GER,GK,Barcelona,30,1992,2.0,4,0,0,0,1,2.7,0.27,-0.3,-0.17,8,14,57.1,75,16,17.3,27.1,14,7.1,26.3,15,2,13.3,0,0.00,11.6
Anatolii Trubin,UKR,GK,Shakhtar,20,2001,4.3,11,1,0,1,0,10.2,0.30,-0.8,-0.19,31,66,47.0,157,13,33.1,32.0,23,60.9,50.8,59,3,5.1,4,1.00,11.5
Matt Turner,USA,GK,Arsenal,28,1994,5.0,3,1,0,1,0,4.8,0.31,+1.8,+0.36,25,61,41.0,143,22,35.0,32.6,23,47.8,40.2,32,2,6.3,13,2.60,16.6
Kostas Tzolakis,GRE,GK,Olympiacos,19,2002,2.0,5,0,0,0,0,2.9,0.19,-2.1,-1.06,9,30,30.0,64,7,39.1,34.7,10,50.0,38.7,24,0,0.0,2,1.00,22.6
Francis Uzoho,NGA,GK,AC Omonia,23,1998,3.5,6,1,0,0,0,8.8,0.38,+2.8,+0.81,7,51,13.7,83,18,32.5,32.2,51,47.1,37.8,46,1,2.2,0,0.00,9.4
Tomáš Vaclík,CZE,GK,Olympiacos,33,1989,2.0,5,0,0,1,0,3.3,0.25,-1.7,-0.87,3,18,16.7,51,12,15.7,27.3,20,50.0,43.0,36,5,13.9,1,0.50,8.6
Timon Wellenreuther,GER,GK,Feyenoord,26,1995,2.0,2,0,0,1,0,0.9,0.31,-1.1,-0.53,2,5,40.0,33,4,12.1,24.7,7,14.3,23.9,7,0,0.0,3,1.50,16.0
