Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Patrick van Aanholt,NED,DF,PSV Eindhoven,31,1990,1.5,2,1.33,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Myenty Abena,SUR,DF,Ferencváros,27,1994,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Matthis Abline,FRA,FW,Rennes,19,2003,1.6,3,1.91,1,0,1,1,0,0,0,0.00,0,0,0,0,0,0
Abner,BRA,DF,Betis,22,2000,1.3,1,0.78,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Pape Abou Cissé,SEN,DF,Olympiacos,26,1995,3.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tammy Abraham,ENG,FW,Roma,24,1997,9.6,24,2.58,11,0,0,6,7,0,7,0.75,4,0,0,2,1,0
Malik Abubakari,GHA,FW,HJK,22,2000,4.9,3,0.61,1,0,0,0,2,0,1,0.20,1,0,0,0,0,0
Marcos Acuña,ARG,DF,Sevilla,30,1991,7.9,15,1.89,13,0,1,0,1,0,0,0.00,0,0,0,0,0,0
Junior Adamu,AUT,FW,RB Salzburg,21,2001,1.2,1,0.87,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Antonio Adán,ESP,GK,Sporting CP,35,1987,6.3,2,0.33,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Simon Adingra,CIV,"FW,DF",Union SG,20,2002,4.6,12,2.60,6,0,2,2,1,1,4,0.87,2,0,0,1,0,1
Amine Adli,MAR,"FW,MF",Leverkusen,22,2000,3.1,21,6.70,14,1,5,1,0,0,3,0.96,2,1,0,0,0,0
David Affengruber,AUT,DF,Sturm Graz,21,2001,5.4,3,0.56,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ruben Aguilar,FRA,"DF,MF",Monaco,29,1993,1.4,2,1.45,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tosin Aiyegun,BEN,FW,Zürich,24,1998,5.3,19,3.57,10,1,4,4,0,0,2,0.38,1,0,1,0,0,0
Albian Ajeti,SUI,FW,Sturm Graz,25,1997,3.4,8,2.38,6,0,1,0,1,0,0,0.00,0,0,0,0,0,0
Samet Akaydın,TUR,DF,Fenerbahçe,28,1994,2.0,2,1.00,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Maghnes Akliouche,FRA,"FW,MF",Monaco,20,2002,0.5,4,8.00,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Paul Akouokou,CIV,MF,Betis,24,1997,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jordi Alba,ESP,DF,Barcelona,33,1989,0.7,5,6.82,4,0,0,1,0,0,1,1.36,1,0,0,0,0,0
Luis Alberto,ESP,MF,Lazio,29,1992,3.4,18,5.31,16,2,0,0,0,0,5,1.48,5,0,0,0,0,0
Doğan Alemdar,TUR,GK,Rennes,19,2002,1.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mohamed Ali Cho,FRA,"MF,FW",Real Sociedad,18,2004,1.3,1,0.79,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ezgjan Alioski,MKD,DF,Fenerbahçe,30,1992,3.5,8,2.28,7,0,0,1,0,0,2,0.57,1,0,0,1,0,0
Fidan Aliti,KVX,DF,Zürich,28,1993,3.5,7,1.99,6,0,0,0,1,0,1,0.28,0,0,0,0,1,0
Richard Almeida,AZE,MF,Qarabağ,33,1989,3.4,5,1.49,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marcos Alonso,ESP,DF,Barcelona,31,1990,0.8,1,1.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Omri Altman,ISR,"FW,MF",AÉK Lárnaka,28,1994,4.2,8,1.91,4,0,1,0,3,0,2,0.48,1,0,0,0,1,0
Edson Álvarez,MEX,MF,Ajax,24,1997,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nadiem Amiri,GER,"MF,FW",Leverkusen,25,1996,3.0,5,1.89,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Isak Amundsen,NOR,DF,Bodø/Glimt,22,1999,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Felipe Anderson,BRA,FW,Lazio,29,1993,4.9,25,5.14,20,0,2,1,1,1,2,0.41,2,0,0,0,0,0
Joel Andersson,SWE,DF,Midtjylland,25,1996,4.2,3,0.72,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Leandro Andrade,CPV,"FW,MF",Qarabağ,22,1999,0.8,2,2.43,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Valdemar Andreasen,DEN,FW,Midtjylland,17,2005,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Henry Andreou,CYP,MF,AÉK Lárnaka,21,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Robert Andrich,GER,MF,Leverkusen,27,1994,6.3,8,1.35,6,0,1,0,0,1,0,0.00,0,0,0,0,0,0
Oleksandr Andriyevskyi,UKR,MF,Dynamo Kyiv,28,1994,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Thanasis Androutsos,GRE,DF,Olympiacos,25,1997,1.0,3,3.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ángel,ESP,DF,AÉK Lárnaka,29,1993,4.9,7,1.42,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Karim Ansarifard,IRN,FW,AC Omonia,32,1990,2.2,2,0.92,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marcos Antônio,BRA,MF,Lazio,22,2000,1.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Antony,BRA,FW,Manchester Utd,22,2000,7.0,28,3.99,22,1,2,2,1,0,0,0.00,0,0,0,0,0,0
Dennis Appiah,FRA,"DF,FW",Nantes,30,1992,3.2,6,1.88,4,1,0,1,0,0,1,0.31,1,0,0,0,0,0
Youssef El-Arabi,MAR,"FW,MF",Olympiacos,35,1987,1.8,9,5.06,8,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Paulus Arajuuri,FIN,DF,HJK,34,1988,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Aritz Arambarri,ESP,DF,Real Sociedad,24,1998,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Willian Arão,BRA,MF,Fenerbahçe,29,1992,3.5,7,2.02,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ronald Araújo,URU,DF,Barcelona,23,1999,1.9,2,1.05,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Arthur,BRA,"DF,MF",Sporting CP,24,1998,2.0,6,3.35,6,0,0,0,0,0,1,0.56,1,0,0,0,0,0
Emam Ashour,EGY,"FW,MF",Midtjylland,24,1998,0.8,2,2.61,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Lorenz Assignon,TOG,DF,Rennes,22,2000,3.3,7,2.11,6,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Iyayi Atiemwen,NGA,FW,Sheriff Tiraspol,26,1996,3.6,11,3.02,6,1,1,3,0,0,1,0.27,0,0,0,1,0,0
Noah Atubolu,GER,GK,Freiburg,20,2002,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Donis Avdijaj,KVX,"MF,FW",Zürich,25,1996,0.9,6,6.59,6,0,0,0,0,0,1,1.10,1,0,0,0,0,0
