Player,Nation,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Salis Abdul Samed,GHA,MF,Lens,23,2000,1.4,68,4,12,41,16,0,68,1,1,100.0,0,0.0,44,253,103,3,3,0,1,2,48,0
Abner,BRA,DF,Betis,23,2000,4.4,282,8,61,152,70,9,282,7,4,57.1,3,42.9,135,574,251,8,3,4,6,3,172,21
Zakaria Aboukhlal,MAR,FW,Toulouse,23,2000,0.4,7,0,0,1,6,0,7,1,0,0.0,1,100.0,8,98,69,2,2,0,2,1,8,3
Tammy Abraham,ENG,FW,Roma,25,1997,0.9,32,2,5,16,12,6,32,1,0,0.0,0,0.0,15,55,19,0,1,0,4,2,21,3
Peter Abrahamsson,SWE,GK,Häcken,35,1988,6.0,199,180,198,2,0,0,199,0,0,,0,,105,520,325,0,0,0,0,1,92,0
Junior Adamu,AUT,FW,Freiburg,22,2001,1.4,55,2,7,29,21,2,55,6,3,50.0,3,50.0,24,151,106,2,3,0,6,1,33,8
Antonio Adán,ESP,GK,Sporting CP,36,1987,6.0,238,214,238,0,0,0,238,2,2,100.0,0,0.0,143,603,258,0,0,0,1,0,131,0
Peter Ademo,NGA,MF,Sheriff Tiraspol,20,2003,1.5,55,3,16,36,3,0,55,4,1,25.0,2,50.0,22,122,47,0,1,0,1,0,30,0
Simon Adingra,CIV,"FW,MF",Brighton,21,2002,5.9,263,7,29,71,165,41,263,19,10,52.6,9,47.4,196,1241,557,26,9,14,19,5,182,57
Amine Adli,MAR,"MF,FW",Leverkusen,23,2000,10.9,648,9,67,240,353,63,648,19,7,36.8,9,47.4,422,2139,1057,29,27,13,27,10,488,117
Yacine Adli,FRA,MF,Milan,23,2000,2.5,235,0,24,167,44,2,235,5,3,60.0,2,40.0,200,897,352,4,6,0,2,1,196,4
David Affengruber,AUT,DF,Sturm Graz,22,2001,5.9,304,58,181,111,13,9,304,1,0,0.0,1,100.0,125,545,207,1,0,1,3,1,131,2
Nayef Aguerd,MAR,DF,West Ham,27,1996,4.5,362,30,181,175,7,4,362,0,0,,0,,236,1269,768,1,1,0,1,0,262,0
Ruben Aguilar,FRA,DF,Lens,30,1993,1.2,85,3,23,37,25,1,85,0,0,,0,,41,205,85,1,0,0,2,0,38,6
Ilias Akhomach,MAR,"MF,FW",Villarreal,19,2004,4.5,191,4,13,53,128,16,191,32,16,50.0,14,43.8,140,975,500,19,11,9,14,5,140,44
David Akpan Ankeye,NGA,FW,Sheriff Tiraspol,21,2002,4.5,103,3,7,51,47,11,103,6,3,50.0,3,50.0,60,421,228,6,6,3,18,7,68,16
Chuba Akpom,ENG,"FW,MF",Ajax,27,1995,2.1,66,4,7,24,39,15,66,1,0,0.0,1,100.0,41,380,268,8,7,3,5,3,48,9
Kerem Aktürkoğlu,TUR,FW,Galatasaray,24,1998,1.6,61,1,7,28,27,8,61,5,2,40.0,3,60.0,44,346,175,7,5,3,9,3,49,14
Raúl Albiol,ESP,DF,Villarreal,37,1985,1.6,119,14,83,34,2,1,119,0,0,,0,,83,388,162,0,0,0,0,0,84,0
Trent Alexander-Arnold,ENG,DF,Liverpool,24,1998,3.1,350,6,94,175,87,4,350,12,7,58.3,4,33.3,233,1176,599,8,10,0,9,2,242,17
Sotiris Alexandropoulos,GRE,"MF,FW",Olympiacos,21,2001,2.7,113,0,6,60,48,12,113,6,3,50.0,3,50.0,72,425,199,6,2,6,6,3,82,6
Alisson,BRA,GK,Liverpool,30,1992,2.0,145,79,134,11,0,0,145,0,0,,0,,110,488,313,0,0,0,0,0,96,0
Barış Alper Yılmaz,TUR,"FW,DF",Galatasaray,23,2000,2.0,82,5,21,33,29,4,82,4,1,25.0,2,50.0,46,416,201,9,4,3,8,4,50,12
Adrià Altimira,ESP,DF,Villarreal,22,2001,3.1,241,6,52,120,69,1,241,6,3,50.0,3,50.0,159,781,399,6,6,1,3,3,165,9
Edson Álvarez,MEX,MF,West Ham,25,1997,5.5,378,17,104,238,40,7,378,10,4,40.0,5,50.0,203,1246,550,5,1,1,10,4,231,5
Mohamed Aly Camara,GUI,DF,Young Boys,25,1997,1.0,55,5,26,28,2,0,55,0,0,,0,,33,117,44,0,0,0,1,1,34,0
Romeo Amane,CIV,MF,Häcken,20,2003,4.1,256,7,26,139,93,14,256,12,7,58.3,5,41.7,159,973,550,19,10,6,9,9,203,18
Jaydon Amauri Banel,NED,MF,Ajax,18,2004,0.0,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Aurele Amenda,SUI,DF,Young Boys,20,2003,2.0,126,20,59,65,3,2,126,0,0,,0,,61,267,141,0,0,0,1,0,71,0
Michael Amir Murillo,PAN,"DF,MF",Marseille,27,1996,3.1,191,11,73,98,20,0,191,6,4,66.7,2,33.3,120,575,244,5,2,0,2,2,109,8
Mohamed Amoura,ALG,FW,Union SG,23,2000,4.9,168,2,11,60,102,33,168,22,12,54.5,8,36.4,98,911,503,21,7,11,25,4,107,40
Nordin Amrabat,MAR,"MF,FW",AEK Athens,36,1987,5.1,226,1,22,88,121,12,226,14,8,57.1,4,28.6,148,909,387,15,14,4,21,11,151,28
Andrés Andrade Cedeño,PAN,DF,LASK,24,1998,5.2,302,48,169,124,10,2,302,6,3,50.0,3,50.0,152,750,335,0,2,0,6,6,156,1
Leandro Andrade,CPV,"FW,MF",Qarabağ,23,1999,8.7,319,6,53,128,147,36,319,16,9,56.3,5,31.3,185,1361,763,27,14,7,21,8,210,55
Patrick Andrade,CPV,MF,Qarabağ,30,1993,2.8,111,7,36,61,14,2,111,3,2,66.7,1,33.3,36,142,55,0,1,0,2,3,59,0
Markus Andreas Kaasa,NOR,MF,Molde,26,1997,4.0,197,7,49,111,41,5,197,9,7,77.8,1,11.1,107,731,406,13,7,2,8,3,133,7
Robert Andrich,GER,"MF,DF",Leverkusen,28,1994,8.4,683,27,137,459,90,6,683,3,2,66.7,1,33.3,447,2183,1000,9,17,0,1,2,550,3
Angeliño,ESP,"DF,FW",Roma,26,1997,1.5,85,7,34,33,19,1,85,0,0,,0,,44,273,133,3,4,0,2,1,43,5
Goran Antonić,SRB,DF,TSC Bačka Top,32,1990,4.7,261,51,171,86,6,0,261,2,1,50.0,0,0.0,126,720,383,0,3,0,3,2,158,0
Michail Antonio,JAM,FW,West Ham,33,1990,3.6,105,3,6,50,51,20,105,7,4,57.1,3,42.9,53,292,154,5,2,2,11,7,71,19
Alexis Antunes,SUI,"MF,FW",Servette FC,23,2000,3.2,137,2,21,69,49,5,137,9,2,22.2,5,55.6,83,487,178,4,6,0,9,3,90,20
Houssem Aouar,ALG,MF,Roma,25,1998,4.4,206,5,33,115,61,5,206,12,6,50.0,5,41.7,149,744,327,8,11,1,12,6,151,21
