Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Felix Agu,GER,"DF,MF",Werder Bremen,Bundesliga,23,1999,17.9,886,61,302,363,229,24,886,35,14,40.0,17,48.6,460,2297,1223,32,16,7,32,10,495,90
Nayef Aguerd,MAR,DF,West Ham,Premier League,27,1996,20.6,1373,187,709,618,50,21,1373,5,3,60.0,2,40.0,861,4211,2388,10,8,0,10,2,912,3
Ruben Aguilar,FRA,DF,Lens,Ligue 1,30,1993,21.4,1533,64,326,699,518,38,1533,20,6,30.0,12,60.0,1039,5334,2333,36,37,2,31,10,970,162
Brandon Aguilera,CRC,FW,Nott'ham Forest,Premier League,20,2003,0.1,11,1,3,4,4,0,11,0,0,,0,,4,16,12,0,1,0,0,0,6,1
Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,Premier League,21,2002,3.9,240,6,46,123,75,8,240,13,7,53.8,5,38.5,150,1018,486,19,8,4,8,11,169,20
Anel Ahmedhodžić,BIH,DF,Sheffield Utd,Premier League,24,1999,29.4,1331,228,730,508,104,33,1331,21,11,52.4,9,42.9,603,3497,1946,15,15,3,14,11,693,21
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,27,1995,4.5,240,34,132,107,6,2,240,2,2,100.0,0,0.0,133,630,322,2,0,0,1,2,137,0
Ola Aina,NGA,DF,Nott'ham Forest,Premier League,26,1996,18.8,1019,62,340,462,228,13,1019,45,27,60.0,14,31.1,494,3139,1830,53,29,11,24,10,539,38
Rayan Aït-Nouri,ALG,"DF,MF",Wolves,Premier League,22,2001,25.9,1522,56,406,698,446,49,1522,115,62,53.9,39,33.9,868,4904,2435,67,48,8,51,56,1007,99
Tosin Aiyegun,BEN,"MF,FW",Lorient,Ligue 1,25,1998,10.0,291,10,54,120,123,21,291,26,12,46.2,13,50.0,227,1660,686,17,10,6,18,13,218,52
Kristoffer Ajer,NOR,DF,Brentford,Premier League,25,1998,20.4,1042,112,430,457,158,58,1042,12,10,83.3,2,16.7,464,2367,1435,22,11,5,16,6,563,31
Ludovic Ajorque,FRA,FW,Mainz 05,Bundesliga,29,1994,15.1,603,12,53,314,238,85,601,11,2,18.2,8,72.7,260,904,291,5,6,1,42,10,450,88
Manuel Akanji,SUI,"DF,MF",Manchester City,Premier League,28,1995,27.9,2544,163,779,1385,392,27,2544,4,2,50.0,2,50.0,1639,8282,4923,46,51,3,14,9,1983,36
Marley Aké,FRA,FW,Udinese,Serie A,22,2001,0.1,1,0,1,0,0,0,1,0,0,,0,,1,0,0,0,0,0,1,0,1,0
Nathan Aké,NED,DF,Manchester City,Premier League,28,1995,22.7,2026,105,634,1116,281,38,2026,10,5,50.0,3,30.0,1280,6039,3501,24,43,1,8,2,1507,18
Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,19,2004,16.8,745,12,89,271,403,70,745,128,57,44.5,59,46.1,491,3523,2006,68,47,27,49,36,551,160
Sergio Akieme,ESP,DF,Almería,La Liga,25,1997,18.6,959,54,338,420,216,20,959,40,21,52.5,18,45.0,498,2520,1141,27,23,2,15,16,525,72
Sergio Akieme,ESP,DF,Reims,Ligue 1,25,1997,9.1,443,36,135,195,119,11,443,18,8,44.4,9,50.0,259,1562,742,20,12,3,12,8,239,34
Ebenezer Akinsanmiro,NGA,MF,Inter,Serie A,18,2004,0.2,9,0,3,6,1,0,9,0,0,,0,,9,83,11,0,1,0,1,1,10,0
Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,21,2002,17.9,1055,10,101,457,513,79,1055,52,27,51.9,22,42.3,815,4602,1866,46,45,14,41,40,756,135
Paul Akouokou,CIV,MF,Betis,La Liga,25,1997,0.3,26,2,10,14,3,0,26,0,0,,0,,11,42,8,0,0,0,0,0,15,0
Paul Akouokou,CIV,MF,Lyon,Ligue 1,25,1997,3.4,231,16,52,142,37,1,231,4,3,75.0,0,0.0,168,633,179,0,4,0,4,1,149,2
Jean-Daniel Akpa-Akpro,CIV,MF,Monza,Serie A,30,1992,7.8,348,22,111,187,58,5,348,10,3,30.0,3,30.0,189,1226,591,11,9,1,13,7,215,12
David Akpan Ankeye,NGA,FW,Genoa,Serie A,21,2002,0.6,17,0,2,6,10,1,17,5,2,40.0,3,60.0,12,109,61,3,1,1,2,0,10,2
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,28,1995,12.2,861,72,360,449,59,5,861,13,9,69.2,4,30.8,483,2251,1054,10,11,2,10,1,564,9
David Alaba,AUT,DF,Real Madrid,La Liga,31,1992,12.8,1004,127,474,457,80,11,1004,0,0,,0,,699,3567,2011,9,11,0,5,1,730,13
Luis Alberto,ESP,MF,Lazio,Serie A,30,1992,25.7,1904,23,231,1004,690,61,1904,45,25,55.6,16,35.6,1018,5303,3192,83,62,10,33,24,1383,124
Raúl Albiol,ESP,DF,Villarreal,La Liga,37,1985,22.6,1476,244,853,605,26,14,1476,0,0,,0,,811,4596,2552,8,1,0,10,3,1019,0
Thiago Alcántara,ESP,MF,Liverpool,Premier League,32,1991,0.1,10,0,4,5,1,0,10,0,0,,0,,9,33,15,0,0,0,0,0,9,0
Carlos Alcaraz,ARG,MF,Juventus,Serie A,20,2002,4.2,221,7,22,133,69,12,221,9,3,33.3,5,55.6,141,766,310,6,13,1,8,4,162,9
Rubén Alcaraz,ESP,MF,Cádiz,La Liga,32,1991,34.8,1970,91,470,1193,328,28,1968,23,10,43.5,11,47.8,997,4688,1909,27,27,3,28,27,1135,37
Omar Alderete,PAR,DF,Getafe,La Liga,26,1996,24.4,1316,132,591,667,73,32,1316,13,9,69.2,3,23.1,655,4060,2701,23,13,0,8,5,684,9
Iván Alejo,ESP,MF,Cádiz,La Liga,28,1995,18.8,701,27,139,241,335,21,701,61,24,39.3,31,50.8,401,2974,1399,48,41,1,54,28,418,104
Carles Aleñá,ESP,MF,Getafe,La Liga,25,1998,11.3,546,14,74,251,223,22,546,28,6,21.4,20,71.4,308,1315,402,12,14,5,25,18,366,45
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,24,1998,23.9,2296,75,523,1217,582,34,2296,52,28,53.8,21,40.4,1250,5701,2724,45,48,7,27,6,1492,97
Aboubacar Ali,FRA,"MF,FW",Strasbourg,Ligue 1,17,2006,1.4,56,1,4,19,35,7,56,3,1,33.3,2,66.7,41,312,79,3,1,1,4,2,36,12
Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,La Liga,19,2004,2.8,106,0,10,47,53,9,106,20,7,35.0,9,45.0,69,590,363,16,11,4,10,2,68,19
