Player,Nation,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Rodrigo Abascal,URU,DF,Boavista,29,1994,27.5,1928,264,1103,718,118,19,1928,10,8,80.0,2,20.0,1060,4679,2625,17,14,1,18,1,1258,19
Antonio Adán,ESP,GK,Sporting CP,36,1987,22.0,623,521,612,12,0,0,623,1,1,100.0,0,0.0,370,1933,1233,0,0,0,1,0,300,0
Dennis Adeniran,ENG,MF,Portimonense,24,1999,0.1,4,0,1,2,1,0,4,0,0,,0,,2,10,0,0,0,0,0,0,2,0
Martin Agirregabiria,ESP,DF,Famalicão,27,1996,13.4,811,45,285,342,192,6,811,15,8,53.3,6,40.0,391,1564,916,18,20,2,11,4,473,66
Salvador Agra,POR,"FW,DF",Boavista,31,1991,27.3,1332,27,253,570,516,28,1332,53,21,39.6,30,56.6,714,3853,1743,60,38,12,42,27,882,174
Matheus Aiás,BRA,"FW,MF",Moreirense,26,1996,5.3,171,5,21,92,59,15,171,10,6,60.0,4,40.0,95,386,166,5,3,3,13,6,122,28
Alan,BRA,MF,Moreirense,23,2000,27.3,1400,11,120,796,506,48,1399,49,24,49.0,22,44.9,797,4210,2307,63,48,6,58,33,968,95
Rafael Alcobia,POR,DF,Portimonense,20,2003,2.3,156,14,106,49,2,0,156,0,0,,0,,80,386,282,2,0,0,1,1,119,0
Alemão,BRA,DF,Portimonense,20,2002,26.3,1441,278,879,536,33,17,1441,5,2,40.0,3,60.0,784,4811,2494,9,8,1,10,4,854,3
Ali Alipour,IRN,FW,Gil Vicente FC,27,1995,8.9,235,4,14,93,128,36,234,12,6,50.0,5,41.7,118,607,204,8,7,2,16,21,175,43
Almeida,BRA,DF,Estrela,23,2000,5.4,291,36,172,113,6,2,291,4,2,50.0,2,50.0,165,774,340,2,0,0,3,1,190,1
Pedro Álvaro,POR,DF,Estoril,23,2000,19.9,1128,196,702,398,35,24,1128,1,0,0.0,1,100.0,645,3208,1648,2,3,0,4,3,748,4
Pedro Amador,POR,DF,Moreirense,24,1998,12.6,757,40,255,327,184,6,757,19,5,26.3,14,73.7,310,1767,983,30,18,1,14,3,364,46
Artur Jorge Marques Amorim,POR,DF,Farense,28,1994,5.5,252,54,150,95,9,6,252,0,0,,0,,113,666,265,2,1,0,2,1,132,0
André André,POR,MF,Vitória,33,1989,7.3,453,8,67,277,114,16,453,23,12,52.2,8,34.8,277,1450,685,17,10,0,13,10,336,27
Andrew,BRA,GK,Gil Vicente FC,22,2001,32.0,1218,1071,1215,3,0,0,1218,0,0,,0,,585,2671,1481,0,0,0,1,0,490,0
Jeremy Antonisse,CUW,FW,Moreirense,21,2002,6.1,294,11,55,115,136,21,294,34,18,52.9,12,35.3,181,1346,712,21,13,6,18,8,196,51
Pedro Aparício,POR,"MF,FW",Moreirense,27,1995,3.7,163,3,20,81,65,13,163,11,7,63.6,4,36.4,104,499,229,7,2,3,11,6,107,16
Óscar Aranda,ESP,"FW,MF",Famalicão,21,2002,8.0,367,3,47,179,153,12,367,68,32,47.1,30,44.1,249,1876,840,27,23,6,28,11,251,24
Henrique Araújo,POR,FW,Famalicão,21,2002,7.6,236,5,23,117,96,28,236,13,2,15.4,9,69.2,123,505,239,6,5,2,20,5,163,32
Tiago Araújo,POR,"DF,MF",Estoril,22,2001,25.0,1542,65,494,640,427,37,1542,61,26,42.6,34,55.7,765,4245,2216,58,47,8,50,17,860,157
Tomás Araújo,POR,DF,Benfica,21,2002,5.4,486,41,209,252,27,7,486,3,1,33.3,2,66.7,258,1445,962,6,3,0,4,1,342,2
Gustavo Assuncao,POR,MF,Famalicão,23,2000,7.0,391,17,144,213,42,2,391,9,5,55.6,4,44.4,209,1023,554,7,4,0,5,6,240,3
Otavio Ataide,BRA,DF,Famalicão,21,2002,15.4,1058,155,663,360,41,13,1058,17,11,64.7,2,11.8,583,2663,1506,5,6,0,4,3,696,3
Otavio Ataide,BRA,DF,Porto,21,2002,12.0,954,71,360,529,69,11,954,8,4,50.0,3,37.5,630,3398,2212,14,12,3,9,5,744,4
Fredrik Aursnes,NOR,DF,Benfica,27,1995,31.0,2285,76,537,1038,722,82,2285,51,29,56.9,19,37.3,1227,6544,3326,88,63,22,31,11,1547,254
Chidozie Awaziem,NGA,DF,Boavista,26,1997,21.7,1424,189,829,559,42,22,1424,7,3,42.9,4,57.1,755,3483,1812,5,7,0,16,1,924,4
Abdul Awudu,GHA,"FW,MF",Vizela,22,2001,2.1,85,3,10,37,38,4,85,12,4,33.3,8,66.7,57,448,142,4,4,1,7,5,58,19
Amadou Ba-Sy,FRA,"FW,MF",Vizela,22,2001,1.3,54,0,1,22,31,10,54,8,0,0.0,7,87.5,30,174,48,3,2,1,6,2,35,10
Alexander Bah,DEN,DF,Benfica,25,1997,16.9,1333,44,321,618,402,27,1333,30,10,33.3,17,56.7,623,2800,1314,27,32,3,27,10,804,111
Elves Baldé,GNB,"FW,MF",Farense,23,1999,10.8,423,15,80,136,214,19,423,42,17,40.5,24,57.1,244,1729,839,32,23,7,24,21,262,73
Robson Bambu,BRA,DF,Arouca,25,1997,9.8,681,107,423,259,3,1,681,5,3,60.0,2,40.0,380,1722,935,2,0,0,8,1,483,0
Daniel Bandeira,POR,MF,Vitória,23,2000,7.8,474,13,79,277,124,5,474,27,16,59.3,11,40.7,278,1307,556,12,14,2,12,6,302,8
Simon Banza,COD,FW,Braga,26,1996,22.2,646,17,32,217,400,153,643,52,21,40.4,26,50.0,356,1432,350,10,13,8,72,27,492,125
Rafael Barbosa,POR,"MF,FW",Farense,27,1996,9.5,496,10,76,241,186,17,496,15,9,60.0,6,40.0,241,1266,607,14,15,5,18,15,314,51
Romário Baró,POR,"MF,FW",Porto,23,2000,2.5,149,4,14,77,59,10,149,12,4,33.3,7,58.3,87,433,170,4,5,0,6,3,113,21
Afonso Bastardo,POR,"FW,DF",Gil Vicente FC,18,2005,0.5,36,0,4,14,18,0,36,5,2,40.0,3,60.0,20,133,60,1,0,0,3,3,23,5
Afonso Bastardo,POR,MF,Sporting CP,18,2005,0.3,20,0,5,5,11,4,20,3,0,0.0,3,100.0,14,130,44,2,1,1,1,1,14,7
Gilberto Batista,GNB,DF,Moreirense,19,2003,2.5,153,27,102,50,2,2,153,1,1,100.0,0,0.0,97,495,270,1,0,0,1,0,101,0
Ricardo Batista,POR,GK,Casa Pia,36,1986,30.9,1118,1025,1116,2,0,0,1118,0,0,,0,,505,2731,1662,0,0,0,0,0,443,0
Roko Baturina,CRO,FW,Gil Vicente FC,23,2000,7.9,213,5,6,106,102,29,213,8,4,50.0,4,50.0,122,367,159,5,6,3,25,11,178,29
Bachir Belloumi,ALG,"FW,MF",Farense,21,2002,23.0,919,31,173,362,389,66,919,69,25,36.2,41,59.4,486,3322,1860,61,43,18,54,16,573,153
Fahem Benaissa Yahia,FRA,MF,Casa Pia,21,2002,0.1,13,0,3,6,4,0,13,0,0,,0,,4,12,5,0,1,0,0,0,6,0
Beni,ANG,MF,Casa Pia,21,2002,16.3,868,25,246,547,92,3,868,44,24,54.5,15,34.1,496,2646,998,16,12,2,30,24,587,15
Benny,POR,"MF,FW",Chaves,23,2000,14.1,592,13,106,231,264,17,592,22,7,31.8,15,68.2,294,1756,770,25,27,4,28,15,360,85
Berna,ANG,"FW,DF",Boavista,19,2003,3.6,217,8,56,109,55,5,217,9,5,55.6,4,44.4,101,581,283,5,6,0,11,5,131,22
Juan Bernat,ESP,DF,Benfica,30,1993,0.9,51,4,15,24,12,1,51,0,0,,0,,28,113,59,1,1,0,0,0,36,2
Emmanuel Boateng,GHA,FW,Rio Ave,27,1996,20.7,577,22,61,254,272,93,577,43,11,25.6,29,67.4,342,1663,716,26,18,12,71,35,424,93
Kiko Bondoso,POR,"FW,MF",Vizela,27,1995,2.1,98,1,14,35,51,10,98,9,4,44.4,5,55.6,62,320,117,5,3,2,5,0,69,22
Toni Borevkovic,CRO,DF,Vitória,26,1997,22.7,1054,153,572,451,34,22,1054,1,1,100.0,0,0.0,493,2297,1135,1,2,0,6,1,559,1
Gonçalo Borges,POR,"MF,FW",Porto,22,2001,3.2,188,5,26,32,132,31,188,20,11,55.0,8,40.0,126,1026,619,34,4,13,18,4,137,62
Cristian Borja,COL,DF,Braga,30,1993,27.2,1903,68,533,853,534,27,1903,33,18,54.5,13,39.4,977,4743,2458,60,41,7,25,21,1136,163
Róbert Boženík,SVK,FW,Boavista,23,1999,28.6,743,35,65,371,316,120,743,29,10,34.5,19,65.5,392,1722,551,20,11,6,78,48,519,111
Daniel Bragança,POR,MF,Sporting CP,24,1999,11.4,690,6,93,412,190,24,690,17,14,82.4,2,11.8,457,2006,774,14,16,2,9,8,513,32
Bruno Brigido,BRA,GK,Estrela,32,1991,26.0,906,808,903,3,0,0,906,0,0,,0,,438,2280,1171,0,0,0,1,0,355,0
Rafael Brito,POR,MF,Casa Pia,21,2002,3.8,213,9,54,134,28,1,213,5,3,60.0,2,40.0,97,522,211,4,0,1,3,3,120,6
Bruma,POR,"FW,MF",Braga,28,1994,19.1,1036,7,72,388,598,122,1036,121,63,52.1,53,43.8,701,4431,2387,87,45,38,46,37,795,203
Jonathan Buatu Mananga,ANG,DF,Gil Vicente FC,29,1993,5.0,263,39,184,72,9,7,263,0,0,,0,,129,548,203,0,0,0,0,0,179,1
Leonel Bucca,ARG,"MF,FW",Estrela,24,1999,9.1,425,15,93,227,114,13,425,36,20,55.6,16,44.4,216,867,333,9,10,2,19,14,244,25
André Bukia,COD,"MF,FW",Arouca,28,1995,1.7,127,0,11,45,72,6,127,6,2,33.3,4,66.7,82,564,299,16,6,3,9,3,97,28
Fabijan Buntić,CRO,GK,Vizela,26,1997,27.7,956,768,949,7,0,0,956,0,0,,0,,490,2795,1470,0,0,0,0,0,351,0
Aleksandar Busnić,SRB,"MF,FW",Vizela,25,1997,8.5,420,30,143,238,41,4,420,6,4,66.7,1,16.7,194,932,405,0,5,0,5,5,231,3
Oriol Busquets,ESP,MF,Arouca,24,1999,4.8,335,20,81,217,39,0,335,2,1,50.0,1,50.0,194,878,470,2,1,0,4,2,264,6
