Player,Nation,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Bilal Bafdili,BEL,"MF,FW",Mechelen,18,2004,1.9,86,2,12,35,40,6,86,9,3,33.3,6,66.7,61,317,93,4,3,0,12,3,57,16
Jonas Bager,DEN,DF,Charleroi,27,1996,16.7,816,100,365,397,57,9,816,4,1,25.0,3,75.0,469,2264,1119,6,11,0,9,0,402,5
Brandon Baiye,BEL,MF,Eupen,22,2000,23.0,1160,70,368,674,129,13,1160,24,10,41.7,12,50.0,732,3937,1655,19,20,5,18,17,633,20
Michel-Ange Balikwisha,BEL,"FW,MF",Antwerp,22,2001,19.8,1103,22,124,396,605,102,1103,42,15,35.7,23,54.8,780,5136,2244,85,47,34,48,32,721,202
William Balikwisha,COD,MF,Standard Liège,24,1999,12.1,697,7,95,384,236,24,697,43,28,65.1,14,32.6,555,4172,1717,59,31,11,28,18,514,83
Sacha Banse,BFA,MF,Standard Liège,22,2001,0.5,28,4,9,15,4,1,28,1,1,100.0,0,0.0,12,61,12,1,1,0,0,2,11,0
Ezechiel Banzuzi,NED,MF,OH Leuven,18,2005,19.4,906,70,208,492,223,35,906,32,14,43.8,16,50.0,578,3262,1241,18,20,3,33,30,555,50
Víctor Barberá,ESP,"FW,MF",Club Brugge,18,2004,0.4,21,0,1,14,6,2,21,1,0,0.0,1,100.0,14,47,2,0,1,0,6,1,17,4
Joselpho Barnes,GHA,"FW,MF",Sint-Truiden,21,2001,4.8,189,6,23,80,87,27,189,7,1,14.3,5,71.4,139,877,197,9,5,5,30,8,138,52
Jacob Barrett Laursen,DEN,DF,Standard Liège,28,1994,1.7,86,9,41,35,10,0,86,1,0,0.0,1,100.0,47,277,114,1,1,0,3,1,48,3
Norman Bassette,BEL,"FW,MF",Mechelen,18,2004,6.4,192,6,13,81,99,29,192,20,8,40.0,11,55.0,134,1072,306,14,11,6,22,12,136,51
Jelle Bataille,BEL,DF,Antwerp,24,1999,24.2,2182,53,450,1100,652,56,2182,33,17,51.5,16,48.5,1468,8126,3943,73,77,9,37,12,1399,190
David Bates,SCO,DF,Mechelen,26,1996,23.2,1608,227,893,674,46,23,1608,1,1,100.0,0,0.0,1143,5340,2268,1,3,0,9,1,1070,3
Emin Bayram,TUR,DF,Westerlo,20,2003,21.9,1605,218,770,769,88,27,1605,47,27,57.4,16,34.0,1028,6836,3309,20,13,3,29,11,912,11
Rafik Belghali,ALG,DF,Mechelen,21,2002,2.9,206,8,67,100,44,4,206,6,3,50.0,3,50.0,142,1026,460,7,7,1,4,1,123,25
Nadhir Benbouali,ALG,"FW,MF",Charleroi,23,2000,3.7,176,3,7,80,91,34,176,5,1,20.0,4,80.0,106,479,124,3,6,4,15,8,133,39
Ján Bernát,SVK,MF,Westerlo,22,2001,0.0,3,0,1,2,0,0,3,0,0,,0,,3,17,2,0,0,0,0,1,3,0
Antoine Bernier,BEL,"FW,MF",Charleroi,25,1997,7.4,259,3,31,97,137,36,259,24,9,37.5,13,54.2,172,1360,678,23,15,8,33,10,157,60
Adriano Bertaccini,BEL,"MF,FW",Sint-Truiden,22,2000,0.4,20,0,2,4,14,7,20,5,3,60.0,2,40.0,13,87,41,3,2,2,2,0,14,5
Mickaël Biron,MTQ,"FW,MF",RWD Molenbeek,25,1997,16.1,588,8,69,275,262,61,587,85,37,43.5,46,54.1,435,3066,1281,38,26,16,54,27,380,113
Nathan Bitumazala,FRA,"MF,FW",Eupen,20,2002,1.3,44,1,4,20,20,6,44,1,1,100.0,0,0.0,29,170,76,3,0,1,1,1,28,6
Eric Bocat,FRA,"DF,MF",Sint-Truiden,24,1999,27.2,1831,59,517,835,515,60,1831,116,46,39.7,60,51.7,1274,8810,4091,102,71,16,53,27,1113,181
Arnaud Bodart,BEL,GK,Standard Liège,25,1998,29.0,1026,888,1020,6,1,1,1026,0,0,,0,,691,4189,2315,0,0,0,0,0,433,0
Merveille Bokadi,COD,DF,Standard Liège,31,1992,14.5,959,141,461,464,43,16,959,25,17,68.0,6,24.0,659,4015,2155,6,6,1,12,10,556,6
Sinan Bolat,TUR,GK,Westerlo,34,1988,26.0,1035,869,1035,0,0,0,1035,0,0,,0,,764,4535,2658,0,0,0,0,0,532,0
Boli Bolingoli-Mbombo,BEL,DF,Mechelen,28,1995,0.9,61,5,14,37,11,0,61,4,2,50.0,2,50.0,45,319,180,3,1,0,1,1,40,2
Christopher Bonsu Baah,GHA,FW,Genk,18,2004,13.2,700,14,73,225,417,74,700,76,41,53.9,27,35.5,528,3937,1586,52,31,31,45,19,506,180
Jordan Bos,AUS,DF,Westerlo,20,2002,19.0,1140,52,311,523,329,47,1140,70,38,54.3,28,40.0,704,5285,2581,54,45,14,35,26,630,102
Mohamed Bouchouari,BEL,DF,Anderlecht,22,2000,0.0,6,0,1,2,3,1,6,1,1,100.0,0,0.0,5,32,16,1,1,0,0,0,4,1
Mehdi Boukamir,MAR,DF,Charleroi,19,2004,5.2,301,28,110,167,26,2,301,0,0,,0,,190,1129,597,4,7,0,4,3,167,3
Dedryck Boyata,BEL,"DF,MF",Club Brugge,32,1990,2.0,113,21,57,51,5,1,113,0,0,,0,,80,373,149,0,0,0,2,0,73,1
Jonatan Braut Brunes,NOR,FW,OH Leuven,22,2000,11.8,310,8,28,165,119,42,310,6,3,50.0,3,50.0,190,1024,211,8,7,6,24,6,201,31
Archie Brown,ENG,DF,Gent,21,2002,18.3,1298,40,272,579,473,51,1298,106,48,45.3,50,47.2,816,6542,2964,86,69,23,58,31,785,153
Massimo Bruno,BEL,"MF,FW",Kortrijk,29,1993,12.6,667,23,92,313,270,26,667,34,17,50.0,16,47.1,472,2647,1019,24,23,7,19,20,432,54
Tajon Buchanan,CAN,DF,Club Brugge,24,1999,9.2,625,13,133,286,214,28,625,30,8,26.7,20,66.7,433,2980,1393,40,18,15,27,5,391,64
Christian Burgess,ENG,DF,Union SG,31,1991,27.5,1742,174,876,825,54,35,1742,8,6,75.0,1,12.5,1080,6512,3321,15,5,1,10,2,939,3
Jean Butez,FRA,GK,Antwerp,28,1995,30.0,1449,1160,1425,24,0,0,1449,1,1,100.0,0,0.0,1176,6111,3068,0,0,0,1,0,907,0
Etienne Camara,FRA,MF,Charleroi,20,2003,3.8,243,10,63,126,57,4,243,6,3,50.0,3,50.0,131,625,233,3,4,0,4,2,133,8
Ilay Camara,BEL,"DF,MF",RWD Molenbeek,20,2003,17.8,943,63,276,378,298,47,943,37,10,27.0,26,70.3,522,3463,1399,42,25,15,54,13,462,105
Cihan Çanak,TUR,"DF,MF",Standard Liège,18,2005,6.9,394,13,76,152,175,15,394,32,15,46.9,15,46.9,257,2116,980,28,14,4,28,14,232,54
Alessio Castro-Montes,BEL,DF,Gent,26,1997,0.7,76,1,11,47,19,1,76,5,4,80.0,1,20.0,59,373,184,4,4,0,0,3,52,6
Alessio Castro-Montes,BEL,DF,Union SG,26,1997,20.8,1199,43,250,526,443,31,1199,50,21,42.0,25,50.0,803,5398,2658,60,47,7,30,20,731,116
Nacer Chadli,BEL,"MF,FW",Westerlo,33,1989,7.9,428,15,88,217,131,11,428,5,3,60.0,2,40.0,313,1936,809,21,13,3,15,5,298,38
Youssef Challouk,BEL,"MF,FW",Kortrijk,27,1995,0.5,31,0,0,10,21,1,31,1,1,100.0,0,0.0,26,131,82,2,1,0,1,0,26,4
Regan Charles-Cook,GRN,"FW,MF",Eupen,26,1997,14.9,530,12,61,216,268,52,530,50,14,28.0,34,68.0,380,3070,1235,38,22,25,45,23,348,103
Isaac Christie-Davies,WAL,MF,Eupen,25,1997,6.3,345,14,83,209,57,9,345,7,5,71.4,2,28.6,269,1689,832,8,14,0,10,9,251,14
Elias Cobbaut,BEL,DF,Mechelen,25,1997,24.0,1646,185,734,840,87,13,1646,10,4,40.0,4,40.0,1245,6749,3705,24,24,1,12,2,1161,12
Valentin Cojocaru,ROU,GK,OH Leuven,27,1995,3.0,110,100,108,2,0,0,110,0,0,,0,,76,362,247,0,0,0,0,0,47,0
Antoine Colassin,BEL,FW,Anderlecht,22,2001,0.1,10,0,1,5,4,1,10,0,0,,0,,7,39,18,1,0,1,2,0,8,0
Jo Coppens,BEL,GK,Sint-Truiden,32,1990,4.0,207,182,207,0,0,0,207,1,1,100.0,0,0.0,150,722,388,0,0,0,1,0,140,0
Kobe Corbanie,BEL,"DF,MF",Antwerp,18,2005,1.6,119,5,34,55,31,4,119,0,0,,0,,64,248,76,1,0,1,1,3,60,10
Gaëtan Coucke,BEL,GK,Mechelen,24,1998,30.0,1162,967,1146,16,0,0,1162,1,1,100.0,0,0.0,781,3970,2296,0,0,0,2,0,589,0
Soumaïla Coulibaly,FRA,DF,Antwerp,19,2003,15.1,1416,146,649,742,38,12,1416,6,3,50.0,2,33.3,1096,5828,2912,8,10,0,8,1,1067,2
Carlos Cuesta,COL,DF,Genk,24,1999,22.8,1482,152,647,795,49,15,1482,11,7,63.6,3,27.3,1072,7448,4512,40,11,0,16,6,994,3
Hugo Cuypers,BEL,FW,Gent,26,1997,18.1,659,15,48,294,328,108,656,34,8,23.5,24,70.6,449,2619,951,28,22,9,37,25,448,129
Oday Dabbagh,PLE,FW,Charleroi,24,1998,16.3,601,11,55,280,275,69,601,39,14,35.9,22,56.4,443,2768,900,31,22,11,47,26,443,113
Erdon Daci,MKD,FW,Westerlo,25,1998,7.7,263,5,18,138,109,31,263,8,4,50.0,4,50.0,194,1163,301,15,4,5,30,18,196,61
Jón Dagur Þorsteinsson,ISL,"FW,MF",OH Leuven,24,1998,20.3,1002,22,121,409,491,67,1001,78,28,35.9,43,55.1,711,4898,2135,62,43,20,44,23,651,142
Niklo Dailly,BEL,"MF,DF",RWD Molenbeek,21,2001,3.6,157,13,52,67,40,7,157,9,3,33.3,5,55.6,113,619,238,5,5,1,8,2,96,13
Jesper Daland,NOR,DF,Cercle Brugge,23,2000,28.1,1454,162,586,752,138,55,1454,22,13,59.1,8,36.4,695,4289,2032,14,18,1,32,11,517,14
Achraf Dari,MAR,DF,Charleroi,24,1999,3.5,190,25,117,72,4,4,190,1,1,100.0,0,0.0,90,501,206,0,0,0,2,1,78,0
Jason Davidson,AUS,DF,Eupen,32,1991,25.9,1874,153,727,809,360,18,1874,40,17,42.5,20,50.0,1171,7417,3646,55,39,3,26,10,1063,93
Isaak Davies,WAL,FW,Kortrijk,21,2001,19.2,459,5,28,201,247,78,459,33,15,45.5,15,45.5,281,2514,836,35,25,19,57,26,287,94
Maxim De Cuyper,BEL,DF,Club Brugge,22,2000,24.0,2036,54,455,934,663,55,2036,40,18,45.0,21,52.5,1330,7102,3274,61,49,14,35,14,1229,123
Ritchie De Laet,BEL,DF,Antwerp,34,1988,10.9,855,54,262,465,133,11,855,9,4,44.4,4,44.4,595,3128,1577,19,21,2,5,5,556,21
Dion De Neve,BEL,"DF,MF",Kortrijk,21,2002,21.4,1213,69,322,482,435,26,1213,54,26,48.1,27,50.0,685,5259,2103,62,37,6,45,14,588,165
Alexis De Sart,BEL,MF,RWD Molenbeek,26,1996,5.4,279,19,90,133,57,9,279,4,2,50.0,2,50.0,181,999,374,6,6,2,10,4,150,16
Julien De Sart,BEL,MF,Gent,28,1994,28.3,2141,89,461,1320,381,26,2138,24,16,66.7,6,25.0,1334,6585,2601,26,43,1,20,13,1226,35
Tibe De Vlieger,BEL,"MF,FW",Gent,17,2005,0.4,38,1,6,14,18,2,38,1,1,100.0,0,0.0,27,169,71,2,2,0,2,2,26,4
Nils De Wilde,BEL,MF,Cercle Brugge,20,2003,8.0,368,9,57,222,94,1,368,9,5,55.6,4,44.4,191,904,303,3,9,1,8,3,149,9
Zeno Debast,BEL,DF,Anderlecht,19,2003,27.5,2264,264,1007,1188,84,27,2264,26,12,46.2,10,38.5,1746,10734,5753,26,31,0,13,3,1602,6
