Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Felipe Augusto,BRA,"FW,MF",Corinthians,18,2004,3.6,4,1.11,2,0,1,0,1,0,0,0.00,0,0,0,0,0,0
Filipe Augusto,BRA,MF,Cuiabá,29,1993,11.8,23,1.94,14,7,1,0,1,0,1,0.08,1,0,0,0,0,0
Renato Augusto,BRA,MF,Corinthians,34,1988,14.2,79,5.54,51,15,1,6,4,2,7,0.49,5,1,0,0,1,0
Danilo Avelar,BRA,DF,América (MG),33,1989,22.0,29,1.32,21,3,0,4,0,1,4,0.18,3,1,0,0,0,0
Felipe Azevedo,BRA,"FW,MF",América (MG),36,1987,19.4,57,2.90,41,3,2,5,4,2,4,0.20,2,0,1,0,0,1
Matheus Babi,BRA,FW,Goiás,25,1997,9.8,17,1.74,7,0,0,3,7,0,1,0.10,0,0,0,0,1,0
Matheus Bahia,BRA,"DF,MF",Bahia,23,1999,5.8,13,2.24,11,1,0,0,1,0,0,0.00,0,0,0,0,0,0
Fabián Balbuena,PAR,DF,Corinthians,31,1991,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Robson Bambu,BRA,DF,Vasco da Gama,25,1997,14.2,9,0.63,7,1,0,0,0,1,0,0.00,0,0,0,0,0,0
Gabriel Baralhas,BRA,MF,Internacional,24,1998,2.6,3,1.15,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Danilo Barbosa,BRA,"MF,DF",Botafogo (RJ),26,1996,11.2,13,1.16,13,0,0,0,0,0,3,0.27,3,0,0,0,0,0
Diogo Barbosa,BRA,DF,Fluminense,30,1992,12.4,28,2.26,24,1,3,0,0,0,2,0.16,2,0,0,0,0,0
Diogo Barbosa,BRA,DF,Grêmio,30,1992,4.3,12,2.79,7,1,3,0,1,0,0,0.00,0,0,0,0,0,0
Gabriel Barbosa,BRA,FW,Flamengo,26,1996,17.1,46,2.69,33,6,0,7,0,0,5,0.29,3,0,0,2,0,0
Lucas Barbosa,BRA,"FW,MF",Santos,21,2001,1.1,2,1.75,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Lucas Barbosa,BRA,"MF,FW",Coritiba,21,2001,1.1,5,4.41,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Chrystian Barletta,BRA,"FW,MF",Corinthians,21,2001,1.4,4,2.83,2,0,0,0,2,0,0,0.00,0,0,0,0,0,0
Cauan Barros,BRA,MF,Vasco da Gama,18,2004,2.6,5,1.90,3,0,0,0,1,1,0,0.00,0,0,0,0,0,0
Gabriel Barros,BRA,"FW,MF",Internacional,21,2001,2.0,6,3.07,6,0,0,0,0,0,1,0.51,1,0,0,0,0,0
Bastos,ANG,DF,Botafogo (RJ),31,1991,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Fellipe Bastos,BRA,MF,Goiás,32,1990,0.4,1,2.50,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Diogo Batista,BRA,"DF,MF",Coritiba,19,2003,5.9,15,2.54,12,1,0,1,1,0,1,0.17,1,0,0,0,0,0
Rodrigo Battaglia,ARG,MF,Atlético Mineiro,31,1991,19.2,18,0.94,17,0,0,1,0,0,0,0.00,0,0,0,0,0,0
