Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Max Aarons,ENG,DF,Bournemouth,Premier League,23,2000,13.7,1,0,0,12,26,2,13,8,19,0,1,0,75,5,11,31.3
Brenden Aaronson,USA,"MF,FW",Union Berlin,Bundesliga,22,2000,14.1,3,1,1,15,25,5,22,2,18,0,0,0,88,13,16,44.8
Paxten Aaronson,USA,MF,Eint Frankfurt,Bundesliga,19,2003,1.1,0,0,0,6,4,0,0,0,2,0,0,0,5,3,0,100.0
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,17,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,1987,30.9,5,0,0,26,12,0,3,39,35,0,0,1,149,61,37,62.2
Salis Abdul Samed,GHA,MF,Lens,Ligue 1,23,2000,16.9,2,0,0,34,16,0,3,12,14,0,3,0,89,2,7,22.2
Nabil Aberdin,FRA,DF,Getafe,La Liga,20,2002,2.0,0,0,0,1,1,0,0,0,0,0,0,0,10,4,6,40.0
Laurent Abergel,FRA,MF,Lorient,Ligue 1,30,1993,31.8,4,0,0,36,36,1,34,61,52,0,0,0,226,15,14,51.7
Matthis Abline,FRA,FW,Nantes,Ligue 1,20,2003,11.6,1,0,0,10,13,6,7,3,4,1,0,0,39,15,27,35.7
Abner,BRA,DF,Betis,La Liga,23,2000,15.6,3,0,0,16,2,2,26,15,19,0,1,0,79,14,10,58.3
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,23,2000,8.4,2,0,0,17,15,8,5,1,8,1,0,0,21,6,7,46.2
Abdel Abqar,MAR,DF,Alavés,La Liga,24,1999,25.7,10,0,0,33,23,1,2,23,19,0,2,1,109,39,36,52.0
Tammy Abraham,ENG,FW,Roma,Serie A,25,1997,2.7,1,0,0,6,5,2,2,0,1,1,0,0,1,6,5,54.5
Francesco Acerbi,ITA,DF,Inter,Serie A,35,1988,26.5,1,0,0,19,24,3,9,32,13,0,0,0,102,70,37,65.4
Joshua Acheampong,ENG,DF,Chelsea,Premier League,17,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Marcos Acuña,ARG,DF,Sevilla,La Liga,31,1991,14.4,7,0,0,18,17,1,82,4,21,0,0,0,99,13,11,54.2
Akor Adams,NGA,FW,Montpellier,Ligue 1,23,2000,25.0,2,0,0,39,22,26,12,5,4,0,0,0,55,54,69,43.9
Tyler Adams,USA,MF,Bournemouth,Premier League,24,1999,1.3,0,0,0,0,3,0,1,4,3,0,0,0,7,2,3,40.0
Junior Adamu,AUT,"FW,MF",Freiburg,Bundesliga,22,2001,1.2,0,0,0,7,4,2,1,0,1,0,0,0,10,5,6,45.5
Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,30,1993,8.9,2,0,0,18,13,8,4,5,9,1,0,0,30,14,37,27.5
Tosin Adarabioyo,ENG,DF,Fulham,Premier League,25,1997,18.0,2,0,0,10,5,0,1,25,11,0,0,0,43,56,28,66.7
Elijah Adebayo,ENG,FW,Luton Town,Premier League,25,1998,15.8,1,0,0,27,16,13,5,6,1,0,0,0,34,43,43,50.0
Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,21,2002,10.1,6,1,1,20,19,1,25,3,14,0,0,0,60,14,9,60.9
Simon Adingra,CIV,FW,Brighton,Premier League,21,2002,24.7,3,0,0,29,19,17,76,19,20,1,0,0,118,8,12,40.0
Nathaniel Adjei,GHA,DF,Lorient,Ligue 1,20,2002,13.8,2,0,0,10,12,2,2,18,9,0,0,0,60,30,22,57.7
Amine Adli,MAR,"MF,FW",Leverkusen,Bundesliga,23,2000,10.0,5,0,0,14,28,7,23,6,7,0,0,0,36,21,22,48.8
Yacine Adli,FRA,MF,Milan,Serie A,23,2000,15.6,3,0,0,26,9,1,50,20,17,0,1,0,94,15,10,60.0
Adryelson,BRA,"DF,FW",Lyon,Ligue 1,25,1998,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Adson,BRA,"MF,FW",Nantes,Ligue 1,22,2000,2.6,0,0,0,4,4,0,2,2,6,0,0,0,11,0,2,0.0
Michel Aebischer,SUI,MF,Bologna,Serie A,26,1997,24.8,8,0,0,37,30,0,12,12,20,0,0,0,135,11,16,40.7
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,26,1997,28.8,1,0,0,31,10,2,6,55,41,0,3,0,217,45,32,58.4
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,22,2000,2.6,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,100.0
Lucien Agoume,FRA,MF,Inter,Serie A,21,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Lucien Agoume,FRA,MF,Sevilla,La Liga,21,2002,8.6,3,0,0,19,2,0,2,7,18,0,0,0,48,9,7,56.3
Felix Agu,GER,"DF,MF",Werder Bremen,Bundesliga,23,1999,17.9,2,0,0,15,44,2,46,13,29,3,0,0,71,15,24,38.5
Nayef Aguerd,MAR,DF,West Ham,Premier League,27,1996,20.6,3,1,1,10,6,0,5,17,14,0,1,0,102,48,32,60.0
Ruben Aguilar,FRA,DF,Lens,Ligue 1,30,1993,21.4,3,0,0,20,24,3,75,26,31,0,1,0,106,24,23,51.1
Brandon Aguilera,CRC,FW,Nott'ham Forest,Premier League,20,2003,0.1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,
Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,Premier League,21,2002,3.9,4,1,1,9,6,1,6,2,9,0,0,0,30,3,3,50.0
Anel Ahmedhodžić,BIH,DF,Sheffield Utd,Premier League,24,1999,29.4,11,1,1,34,13,2,6,35,36,0,0,0,107,51,37,58.0
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,27,1995,4.5,0,0,0,4,0,0,0,4,3,0,0,0,22,14,9,60.9
Ola Aina,NGA,DF,Nott'ham Forest,Premier League,26,1996,18.8,3,0,0,18,25,2,28,18,31,0,1,0,97,16,12,57.1
Rayan Aït-Nouri,ALG,"DF,MF",Wolves,Premier League,22,2001,25.9,7,0,0,25,53,8,41,15,44,1,1,0,136,21,25,45.7
Tosin Aiyegun,BEN,"MF,FW",Lorient,Ligue 1,25,1998,10.0,0,1,0,13,16,3,8,2,4,1,0,0,33,6,10,37.5
Kristoffer Ajer,NOR,DF,Brentford,Premier League,25,1998,20.4,5,0,0,25,10,1,22,25,21,0,0,0,60,63,23,73.3
Ludovic Ajorque,FRA,FW,Mainz 05,Bundesliga,29,1994,15.1,4,0,0,28,15,5,3,4,2,0,0,0,49,78,91,46.2
Manuel Akanji,SUI,"DF,MF",Manchester City,Premier League,28,1995,27.9,4,1,1,17,19,0,9,23,28,0,0,0,142,27,27,50.0
Marley Aké,FRA,FW,Udinese,Serie A,22,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
Nathan Aké,NED,DF,Manchester City,Premier League,28,1995,22.7,0,0,0,10,18,0,11,14,16,0,0,0,119,46,28,62.2
Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,19,2004,16.8,4,0,0,41,35,4,29,13,21,0,0,0,70,3,7,30.0
Sergio Akieme,ESP,DF,Almería,La Liga,25,1997,18.6,2,0,0,18,17,1,57,10,15,0,2,0,99,10,15,40.0
Sergio Akieme,ESP,DF,Reims,Ligue 1,25,1997,9.1,2,0,0,17,10,0,21,10,5,0,0,0,40,6,4,60.0
Ebenezer Akinsanmiro,NGA,MF,Inter,Serie A,18,2004,0.2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,
Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,21,2002,17.9,5,0,0,33,31,1,54,9,23,0,0,0,110,4,19,17.4
