Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Salis Abdul Samed,GHA,MF,Lens,23,2000,1.4,0,0,0,3,0,0,1,3,1,0,0,0,4,0,1,0.0
Abner,BRA,DF,Betis,23,2000,4.4,1,0,0,6,1,0,10,4,3,0,0,0,20,1,1,50.0
Zakaria Aboukhlal,MAR,FW,Toulouse,23,2000,0.4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
Tammy Abraham,ENG,FW,Roma,25,1997,0.9,0,0,0,1,4,0,0,1,0,0,0,0,1,8,7,53.3
Peter Abrahamsson,SWE,GK,Häcken,35,1988,6.0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,
Junior Adamu,AUT,FW,Freiburg,22,2001,1.4,0,0,0,6,3,0,0,1,2,0,0,0,8,3,2,60.0
Antonio Adán,ESP,GK,Sporting CP,36,1987,6.0,0,0,0,0,2,0,0,0,0,0,0,0,12,0,0,
Peter Ademo,NGA,MF,Sheriff Tiraspol,20,2003,1.5,0,0,0,3,2,0,0,0,3,0,0,0,14,1,1,50.0
Simon Adingra,CIV,"FW,MF",Brighton,21,2002,5.9,0,0,0,7,4,3,13,0,3,0,0,0,25,4,7,36.4
Amine Adli,MAR,"MF,FW",Leverkusen,23,2000,10.9,1,0,0,14,20,9,29,4,11,0,0,0,37,21,14,60.0
Yacine Adli,FRA,MF,Milan,23,2000,2.5,2,0,0,3,1,0,10,2,4,0,0,0,7,2,4,33.3
David Affengruber,AUT,DF,Sturm Graz,22,2001,5.9,2,0,0,9,2,2,1,6,11,0,0,0,30,19,8,70.4
Nayef Aguerd,MAR,DF,West Ham,27,1996,4.5,0,0,0,1,0,0,1,1,4,0,0,0,19,18,5,78.3
Ruben Aguilar,FRA,DF,Lens,30,1993,1.2,0,0,0,4,0,0,2,1,3,0,0,0,6,2,3,40.0
Ilias Akhomach,MAR,"MF,FW",Villarreal,19,2004,4.5,1,0,0,8,7,0,13,4,3,0,0,0,12,2,6,25.0
David Akpan Ankeye,NGA,FW,Sheriff Tiraspol,21,2002,4.5,0,0,0,5,5,2,1,0,5,0,0,0,9,4,10,28.6
Chuba Akpom,ENG,"FW,MF",Ajax,27,1995,2.1,0,0,0,2,4,3,2,2,1,0,0,0,10,7,4,63.6
Kerem Aktürkoğlu,TUR,FW,Galatasaray,24,1998,1.6,1,0,0,3,2,1,2,1,0,0,0,0,4,0,1,0.0
Raúl Albiol,ESP,DF,Villarreal,37,1985,1.6,1,0,0,1,0,0,0,1,1,0,0,0,4,3,0,100.0
Trent Alexander-Arnold,ENG,DF,Liverpool,24,1998,3.1,0,0,0,1,2,0,25,6,2,0,0,0,29,3,0,100.0
Sotiris Alexandropoulos,GRE,"MF,FW",Olympiacos,21,2001,2.7,1,0,0,2,6,0,2,0,4,0,0,0,8,4,7,36.4
Alisson,BRA,GK,Liverpool,30,1992,2.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
Barış Alper Yılmaz,TUR,"FW,DF",Galatasaray,23,2000,2.0,1,0,0,2,3,1,4,1,3,0,0,0,11,3,9,25.0
Adrià Altimira,ESP,DF,Villarreal,22,2001,3.1,1,0,0,4,3,0,9,2,5,0,0,0,14,1,4,20.0
Edson Álvarez,MEX,MF,West Ham,25,1997,5.5,4,0,0,15,9,0,0,6,6,0,0,0,37,7,5,58.3
Mohamed Aly Camara,GUI,DF,Young Boys,25,1997,1.0,2,1,1,3,0,0,0,1,2,0,0,0,6,1,1,50.0
Romeo Amane,CIV,MF,Häcken,20,2003,4.1,1,0,0,8,3,0,3,6,4,0,0,0,25,0,5,0.0
Jaydon Amauri Banel,NED,MF,Ajax,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.3
Aurele Amenda,SUI,DF,Young Boys,20,2003,2.0,1,0,0,9,0,0,0,1,3,0,0,1,17,4,2,66.7
Michael Amir Murillo,PAN,"DF,MF",Marseille,27,1996,3.1,0,0,0,2,2,0,3,3,2,0,0,0,17,6,3,66.7
Mohamed Amoura,ALG,FW,Union SG,23,2000,4.9,1,0,0,3,6,5,10,0,3,0,0,0,18,5,11,31.3
Nordin Amrabat,MAR,"MF,FW",AEK Athens,36,1987,5.1,3,0,0,16,5,7,24,0,5,0,1,0,19,2,3,40.0
Andrés Andrade Cedeño,PAN,DF,LASK,24,1998,5.2,0,0,0,2,4,0,4,9,9,0,0,0,34,8,6,57.1
Leandro Andrade,CPV,"FW,MF",Qarabağ,23,1999,8.7,1,0,0,6,7,0,11,8,5,0,0,0,41,2,8,20.0
Patrick Andrade,CPV,MF,Qarabağ,30,1993,2.8,2,0,0,3,1,0,0,4,5,0,0,0,12,0,3,0.0
Markus Andreas Kaasa,NOR,MF,Molde,26,1997,4.0,1,0,0,5,6,0,0,8,5,0,0,0,20,2,3,40.0
Robert Andrich,GER,"MF,DF",Leverkusen,28,1994,8.4,3,0,0,19,3,0,5,7,7,0,0,0,40,5,6,45.5
Angeliño,ESP,"DF,FW",Roma,26,1997,1.5,0,0,0,2,0,0,9,2,3,0,0,0,6,0,1,0.0
Goran Antonić,SRB,DF,TSC Bačka Top,32,1990,4.7,0,0,0,2,2,0,0,8,8,0,0,0,24,7,2,77.8
Michail Antonio,JAM,FW,West Ham,33,1990,3.6,2,0,0,9,4,1,3,0,1,0,0,0,7,9,14,39.1
Alexis Antunes,SUI,"MF,FW",Servette FC,23,2000,3.2,1,0,0,5,14,1,1,5,7,0,0,0,20,4,8,33.3
Houssem Aouar,ALG,MF,Roma,25,1998,4.4,0,0,0,10,8,2,1,2,5,0,0,0,23,4,4,50.0
Ayman Aourir,GER,MF,Leverkusen,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
