Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Ahmed Abdullahi,NGA,FW,Gent,19,2004,0.3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,
Shuto Abe,JPN,MF,RWD Molenbeek,25,1997,16.4,4,0,0,32,16,1,9,13,32,0,1,0,97,10,17,37.0
Abner,BRA,"DF,MF",RWD Molenbeek,27,1996,20.6,4,0,0,19,37,1,56,25,13,0,0,1,103,23,21,52.3
Francis Abu,GHA,MF,Cercle Brugge,22,2001,4.5,2,0,0,6,9,0,9,8,8,0,0,0,55,10,3,76.9
Tayo Adaramola,IRL,DF,RWD Molenbeek,19,2003,6.4,0,0,0,10,4,1,20,7,14,0,1,0,43,8,7,53.3
Noah Adedeji,BEL,"MF,FW",Genk,18,2005,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Jonathan Afolabi,IRL,FW,Kortrijk,23,2000,4.4,1,0,0,10,4,3,3,0,1,0,0,0,13,8,5,61.5
Brian Agbor,CMR,DF,Gent,22,2001,2.3,0,0,0,1,1,0,0,5,1,0,0,0,13,3,0,100.0
Takahiro Akimoto,JPN,DF,OH Leuven,25,1998,2.9,1,0,0,3,1,0,2,6,4,0,0,0,13,7,5,58.3
Carlos Alberto,BRA,"FW,MF",RWD Molenbeek,21,2002,7.3,0,0,0,9,7,1,2,9,8,0,0,0,27,8,19,29.6
Josimar Alcocer,CRC,"FW,MF",Westerlo,19,2004,0.3,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,100.0
Toby Alderweireld,BEL,DF,Antwerp,34,1989,28.9,2,0,0,11,4,1,7,24,19,1,1,1,152,64,51,55.7
Ryan Alebiosu,ENG,"DF,MF",Kortrijk,21,2001,3.9,1,0,0,7,3,0,23,2,2,0,0,0,13,3,6,33.3
Teddy Alloh,FRA,DF,Eupen,21,2002,2.2,1,0,0,5,2,1,5,3,3,0,0,0,6,0,5,0.0
Éder Álvarez Balanta,COL,MF,Club Brugge,30,1993,5.5,3,0,0,11,6,0,2,16,6,0,0,0,45,21,7,75.0
Steven Alzate,COL,MF,Standard Liège,24,1998,18.5,4,1,1,20,21,1,19,18,28,0,0,0,124,13,24,35.1
Thierry Ambrose,GLP,FW,Kortrijk,26,1997,0.6,0,0,0,1,0,0,2,1,1,0,0,0,0,3,5,37.5
Mohamed Amoura,ALG,FW,Union SG,23,2000,15.9,5,0,0,12,15,11,31,4,8,1,0,0,62,9,37,19.6
Francis Amuzu,BEL,FW,Anderlecht,23,1999,6.3,0,0,0,4,24,4,22,1,2,0,0,0,27,5,2,71.4
Frederic Ananou,TOG,"DF,MF",Sint-Truiden,25,1997,6.0,1,1,0,4,7,1,11,6,7,1,0,0,27,8,5,61.5
Stelios Andreou,CYP,DF,Charleroi,21,2002,26.8,5,0,0,23,7,0,6,37,37,0,0,0,141,35,35,50.0
Nilson Angulo,ECU,"FW,MF",Anderlecht,20,2003,0.5,1,0,0,1,4,2,3,2,0,0,0,0,10,1,2,33.3
Bill Antonio,ZIM,"MF,FW",Mechelen,20,2002,6.4,0,0,0,3,6,1,27,5,5,0,0,0,20,8,6,57.1
Kristian Arnstad,NOR,"DF,MF",Anderlecht,19,2003,7.2,2,0,0,14,10,0,11,5,5,0,0,0,43,5,13,27.8
Tolu Arokodare,NGA,FW,Genk,22,2000,14.5,1,0,0,23,18,11,2,6,2,0,0,0,34,81,47,63.3
Gerardo Arteaga,MEX,DF,Genk,24,1998,13.4,2,1,0,4,7,0,33,22,13,0,0,0,76,9,8,52.9
Isaac Asante,GHA,"DF,MF",Mechelen,20,2002,0.1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
Dirk Asare,BEL,MF,Mechelen,19,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Majeed Ashimeru,GHA,MF,Anderlecht,25,1997,1.3,0,0,0,2,3,0,0,6,4,0,0,0,15,1,1,50.0
Christalino Atemona,GER,DF,Kortrijk,21,2002,1.1,0,0,0,2,0,0,0,2,0,0,0,0,10,3,1,75.0
Lynnt Audoor,BEL,MF,Kortrijk,19,2003,4.5,2,0,0,10,11,0,2,10,3,0,0,0,28,7,5,58.3
Ludwig Augustinsson,SWE,DF,Anderlecht,29,1994,18.1,2,0,0,22,22,1,76,25,19,0,0,0,72,31,21,59.6
Felipe Augusto,BRA,"FW,MF",Cercle Brugge,19,2004,4.9,1,0,0,7,7,0,8,1,3,0,0,0,7,20,44,31.3
Felipe Avenatti,URU,"FW,MF",Kortrijk,30,1993,17.4,5,1,0,26,19,4,3,6,11,0,0,0,68,90,64,58.4
Gastón Ávila,ARG,DF,Antwerp,21,2001,2.0,0,0,0,3,7,0,4,0,3,0,0,0,14,2,2,50.0
Youssouph Badji,SEN,"FW,MF",Charleroi,21,2001,10.4,2,0,0,18,16,3,4,4,6,0,0,0,24,69,57,54.8
Bilal Bafdili,BEL,"MF,FW",Mechelen,18,2004,1.9,2,0,0,4,1,0,6,0,1,0,0,0,8,2,5,28.6
Jonas Bager,DEN,DF,Charleroi,27,1996,16.7,6,0,0,31,14,0,6,26,17,0,0,0,71,29,29,50.0
Brandon Baiye,BEL,MF,Eupen,22,2000,23.0,2,0,0,37,25,2,5,41,46,0,0,0,142,19,38,33.3
Michel-Ange Balikwisha,BEL,"FW,MF",Antwerp,22,2001,19.8,2,0,0,21,33,5,127,21,44,0,1,0,92,8,14,36.4
William Balikwisha,COD,MF,Standard Liège,24,1999,12.1,3,1,1,8,12,2,49,10,12,0,0,0,76,4,13,23.5
Sacha Banse,BFA,MF,Standard Liège,22,2001,0.5,0,0,0,1,0,0,0,0,1,0,0,0,3,0,2,0.0
Ezechiel Banzuzi,NED,MF,OH Leuven,18,2005,19.4,6,0,0,35,36,2,10,7,18,0,1,0,115,75,59,56.0
Víctor Barberá,ESP,"FW,MF",Club Brugge,18,2004,0.4,0,0,0,1,0,0,1,1,1,0,0,0,0,2,0,100.0
Joselpho Barnes,GHA,"FW,MF",Sint-Truiden,21,2001,4.8,2,0,0,16,8,8,4,0,2,0,0,0,17,10,20,33.3
Jacob Barrett Laursen,DEN,DF,Standard Liège,28,1994,1.7,1,0,0,1,1,0,1,0,2,0,0,0,0,0,3,0.0
Norman Bassette,BEL,"FW,MF",Mechelen,18,2004,6.4,0,0,0,14,11,9,9,2,4,1,0,0,14,18,20,47.4
Jelle Bataille,BEL,DF,Antwerp,24,1999,24.2,3,0,0,18,19,2,74,33,38,1,0,0,151,19,22,46.3
David Bates,SCO,DF,Mechelen,26,1996,23.2,5,0,0,25,12,0,0,27,16,0,0,0,94,74,35,67.9
Emin Bayram,TUR,DF,Westerlo,20,2003,21.9,8,0,0,28,24,1,6,63,39,0,1,0,135,81,39,67.5
Rafik Belghali,ALG,DF,Mechelen,21,2002,2.9,1,0,0,5,2,0,7,6,7,0,0,0,26,1,3,25.0
Nadhir Benbouali,ALG,"FW,MF",Charleroi,23,2000,3.7,0,0,0,6,3,7,1,0,4,0,0,0,7,22,28,44.0
Ján Bernát,SVK,MF,Westerlo,22,2001,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Antoine Bernier,BEL,"FW,MF",Charleroi,25,1997,7.4,1,0,0,10,20,3,9,5,9,0,0,0,31,7,18,28.0
Adriano Bertaccini,BEL,"MF,FW",Sint-Truiden,22,2000,0.4,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,100.0
Mickaël Biron,MTQ,"FW,MF",RWD Molenbeek,25,1997,16.1,1,0,0,19,25,12,27,7,17,0,0,0,83,0,19,0.0
Nathan Bitumazala,FRA,"MF,FW",Eupen,20,2002,1.3,2,1,1,2,1,0,3,0,0,0,0,0,4,2,9,18.2
Eric Bocat,FRA,"DF,MF",Sint-Truiden,24,1999,27.2,2,0,0,17,63,5,80,51,25,0,0,0,207,13,20,39.4
Arnaud Bodart,BEL,GK,Standard Liège,25,1998,29.0,0,0,0,0,2,0,0,0,0,0,0,0,22,10,1,90.9
