Player,Nation,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Ahmed Abdullahi,NGA,FW,Gent,19,2004,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Shuto Abe,JPN,MF,RWD Molenbeek,25,1997,16.4,47,32,23,17,7,18,46,39.1,28,21,6,15,13,60,37,0
Abner,BRA,"DF,MF",RWD Molenbeek,27,1996,20.6,23,13,11,7,5,14,24,58.3,10,15,1,14,25,48,57,1
Francis Abu,GHA,MF,Cercle Brugge,22,2001,4.5,18,8,4,12,2,11,13,84.6,2,7,0,7,8,26,2,0
Tayo Adaramola,IRL,DF,RWD Molenbeek,19,2003,6.4,21,14,13,8,0,12,17,70.6,5,7,1,6,7,28,19,1
Noah Adedeji,BEL,"MF,FW",Genk,18,2005,0.2,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0
Jonathan Afolabi,IRL,FW,Kortrijk,23,2000,4.4,2,1,1,1,0,1,3,33.3,2,0,0,0,0,2,1,0
Brian Agbor,CMR,DF,Gent,22,2001,2.3,2,1,2,0,0,0,1,0.0,1,5,4,1,5,7,12,1
Takahiro Akimoto,JPN,DF,OH Leuven,25,1998,2.9,5,4,3,2,0,2,4,50.0,2,2,1,1,6,11,9,0
Carlos Alberto,BRA,"FW,MF",RWD Molenbeek,21,2002,7.3,11,8,6,3,2,4,11,36.4,7,12,0,12,9,20,8,0
Josimar Alcocer,CRC,"FW,MF",Westerlo,19,2004,0.3,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
Toby Alderweireld,BEL,DF,Antwerp,34,1989,28.9,34,19,19,13,2,16,29,55.2,13,32,18,14,24,58,112,0
Ryan Alebiosu,ENG,"DF,MF",Kortrijk,21,2001,3.9,5,2,4,0,1,1,3,33.3,2,2,0,2,2,7,10,0
Teddy Alloh,FRA,DF,Eupen,21,2002,2.2,3,3,0,2,1,2,3,66.7,1,2,1,1,3,6,8,0
Éder Álvarez Balanta,COL,MF,Club Brugge,30,1993,5.5,12,6,4,6,2,6,14,42.9,8,11,2,9,16,28,12,0
Steven Alzate,COL,MF,Standard Liège,24,1998,18.5,44,28,15,23,6,22,37,59.5,15,27,2,25,18,62,20,1
Thierry Ambrose,GLP,FW,Kortrijk,26,1997,0.6,1,1,0,0,1,0,1,0.0,1,0,0,0,1,2,1,0
Mohamed Amoura,ALG,FW,Union SG,23,2000,15.9,17,8,2,6,9,9,28,32.1,19,9,0,9,4,21,0,0
Francis Amuzu,BEL,FW,Anderlecht,23,1999,6.3,6,2,2,1,3,4,6,66.7,2,3,1,2,1,7,2,0
Frederic Ananou,TOG,"DF,MF",Sint-Truiden,25,1997,6.0,12,7,4,4,4,6,15,40.0,9,7,2,5,6,18,7,0
Stelios Andreou,CYP,DF,Charleroi,21,2002,26.8,52,37,33,18,1,24,42,57.1,18,44,23,21,37,89,109,0
Nilson Angulo,ECU,"FW,MF",Anderlecht,20,2003,0.5,0,0,0,0,0,0,0,,0,2,0,2,2,2,0,0
Bill Antonio,ZIM,"MF,FW",Mechelen,20,2002,6.4,7,5,3,3,1,3,6,50.0,3,7,0,7,5,12,11,0
