Player,Nation,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Jordan Larsson,SWE,"FW,MF",FC Copenhagen,26,1997,1.2,0,0,0,0,0,0,3,0.0,3,0,0,0,1,1,0,0
Jamaal Lascelles,ENG,DF,Newcastle Utd,29,1993,5.0,5,5,3,1,1,3,3,100.0,0,6,3,3,0,5,16,0
Sandro Lauper,SUI,MF,Young Boys,26,1996,3.1,4,2,0,1,3,1,9,11.1,8,7,2,5,2,6,1,0
Manuel Lazzari,ITA,DF,Lazio,29,1993,4.7,10,7,3,7,0,6,15,40.0,9,13,3,10,5,15,6,0
Robin Le Normand,ESP,DF,Real Sociedad,26,1996,6.4,8,5,6,1,1,4,9,44.4,5,2,1,1,11,19,16,0
Rafael Leão,POR,FW,Milan,24,1999,4.9,8,1,5,1,2,2,5,40.0,3,2,0,2,2,10,1,0
Diogo Leite,POR,DF,Union Berlin,24,1999,6.0,11,5,9,2,0,7,16,43.8,9,15,9,6,5,16,30,0
Stav Lemkin,ISR,DF,Shakhtar,20,2003,0.7,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,1,0
Christopher Lenz,GER,DF,RB Leipzig,28,1994,1.0,6,6,5,1,0,4,8,50.0,4,4,0,4,0,6,1,0
Lukas Lerager,DEN,MF,FC Copenhagen,30,1993,6.0,17,8,9,6,2,10,18,55.6,8,9,1,8,8,25,13,0
Robert Lewandowski,POL,FW,Barcelona,34,1988,8.2,7,5,0,4,3,5,7,71.4,2,7,1,6,0,7,8,0
Rico Lewis,ENG,"MF,DF",Manchester City,18,2004,6.1,8,5,4,1,3,3,5,60.0,2,8,2,6,3,11,4,0
Matthijs de Ligt,NED,DF,Bayern Munich,23,1999,5.2,8,6,5,3,0,6,8,75.0,2,7,5,2,3,11,24,0
Victor Lindelöf,SWE,DF,Manchester Utd,29,1994,3.3,0,0,0,0,0,0,1,0.0,1,6,2,4,1,1,11,0
Jesper Lindstrøm,DEN,FW,Napoli,23,2000,0.7,6,3,1,3,2,3,4,75.0,1,1,0,1,0,6,0,0
Ondřej Lingr,CZE,"FW,MF",Feyenoord,24,1998,0.8,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,1,0
Samuel Lino,BRA,DF,Atlético Madrid,23,1999,5.6,12,10,8,2,2,7,18,38.9,11,14,0,14,2,14,4,0
Valentino Livramento,ENG,"DF,FW",Newcastle Utd,20,2002,3.0,9,6,3,5,1,4,5,80.0,1,5,1,4,1,10,9,1
Marcos Llorente,ESP,"MF,DF",Atlético Madrid,28,1995,7.2,10,9,7,2,1,6,12,50.0,6,10,2,8,3,13,8,0
Danny Loader,ENG,"MF,FW",Porto,22,2000,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Stanislav Lobotka,SVK,MF,Napoli,28,1994,7.5,11,5,6,5,0,6,15,40.0,9,7,2,5,10,21,7,1
Ruben Loftus-Cheek,ENG,MF,Milan,27,1996,3.6,3,3,1,1,1,1,2,50.0,1,1,0,1,0,3,2,0
Sean Longstaff,ENG,MF,Newcastle Utd,25,1997,3.9,7,3,3,4,0,2,5,40.0,3,7,1,6,2,9,2,0
Rony Lopes,POR,FW,Braga,27,1995,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Fermin López,ESP,MF,Barcelona,20,2003,3.1,10,7,2,8,0,4,11,36.4,7,3,0,3,2,12,0,0
Marcos López,PER,DF,Feyenoord,23,1999,0.5,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Hirving Lozano,MEX,FW,PSV Eindhoven,28,1995,4.2,5,4,2,3,0,2,8,25.0,6,5,0,5,2,7,4,0
Vladimir Lučić,SRB,"DF,FW",Red Star,21,2002,2.3,2,2,1,0,1,1,5,20.0,4,3,0,3,1,3,1,0
Florentino Luís,POR,MF,Benfica,23,1999,1.2,3,2,0,2,1,1,3,33.3,2,1,0,1,3,6,1,1
Castello Lukeba,FRA,DF,RB Leipzig,20,2002,6.9,7,3,6,1,0,6,10,60.0,4,7,3,4,16,23,16,2
Dodi Lukebakio,BEL,FW,Sevilla,25,1997,2.7,2,2,0,2,0,1,4,25.0,3,1,0,1,1,3,0,0
