Player,Nation,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Rodrigo Abascal,URU,DF,Boavista,29,1994,27.5,46,26,33,13,0,26,40,65.0,14,59,32,27,34,80,110,3
Antonio Adán,ESP,GK,Sporting CP,36,1987,22.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,1
Dennis Adeniran,ENG,MF,Portimonense,24,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0
Martin Agirregabiria,ESP,DF,Famalicão,27,1996,13.4,21,18,15,4,2,17,24,70.8,7,12,2,10,11,32,31,1
Salvador Agra,POR,"FW,DF",Boavista,31,1991,27.3,21,9,14,5,2,9,31,29.0,22,8,1,7,16,37,19,0
Matheus Aiás,BRA,"FW,MF",Moreirense,26,1996,5.3,4,2,2,0,2,1,10,10.0,9,7,4,3,4,8,2,0
Alan,BRA,MF,Moreirense,23,2000,27.3,44,32,7,25,12,9,29,31.0,20,24,2,22,7,51,5,0
Rafael Alcobia,POR,DF,Portimonense,20,2003,2.3,3,3,2,1,0,1,1,100.0,0,4,1,3,1,4,4,0
Alemão,BRA,DF,Portimonense,20,2002,26.3,49,34,39,10,0,27,39,69.2,12,49,33,16,30,79,137,1
Ali Alipour,IRN,FW,Gil Vicente FC,27,1995,8.9,9,4,0,3,6,2,5,40.0,3,6,0,6,0,9,4,0
Almeida,BRA,DF,Estrela,23,2000,5.4,6,5,3,3,0,3,7,42.9,4,6,4,2,3,9,19,0
Pedro Álvaro,POR,DF,Estoril,23,2000,19.9,11,7,11,0,0,7,12,58.3,5,21,15,6,23,34,96,0
Pedro Amador,POR,DF,Moreirense,24,1998,12.6,28,19,16,10,2,16,31,51.6,15,17,3,14,15,43,32,0
Artur Jorge Marques Amorim,POR,DF,Farense,28,1994,5.5,7,4,5,2,0,4,5,80.0,1,10,8,2,7,14,37,0
André André,POR,MF,Vitória,33,1989,7.3,9,4,3,5,1,6,10,60.0,4,9,1,8,4,13,7,0
Andrew,BRA,GK,Gil Vicente FC,22,2001,32.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,14,2
Jeremy Antonisse,CUW,FW,Moreirense,21,2002,6.1,13,8,8,5,0,8,20,40.0,12,8,1,7,5,18,9,0
Pedro Aparício,POR,"MF,FW",Moreirense,27,1995,3.7,2,1,1,1,0,1,6,16.7,5,0,0,0,1,3,3,0
Óscar Aranda,ESP,"FW,MF",Famalicão,21,2002,8.0,7,4,1,4,2,2,10,20.0,8,6,2,4,1,8,1,0
Henrique Araújo,POR,FW,Famalicão,21,2002,7.6,3,1,0,3,0,1,3,33.3,2,3,1,2,1,4,3,0
Tiago Araújo,POR,"DF,MF",Estoril,22,2001,25.0,34,22,17,14,3,21,48,43.8,27,23,0,23,27,61,67,1
Tomás Araújo,POR,DF,Benfica,21,2002,5.4,12,9,4,3,5,5,8,62.5,3,10,4,6,8,20,18,0
Gustavo Assuncao,POR,MF,Famalicão,23,2000,7.0,17,12,11,6,0,10,20,50.0,10,8,2,6,9,26,16,1
Otavio Ataide,BRA,DF,Famalicão,21,2002,15.4,31,21,24,5,2,20,31,64.5,11,33,21,12,25,56,66,0
Otavio Ataide,BRA,DF,Porto,21,2002,12.0,11,6,9,1,1,9,15,60.0,6,10,6,4,7,18,29,0
Fredrik Aursnes,NOR,DF,Benfica,27,1995,31.0,73,43,32,32,9,49,84,58.3,35,41,8,33,18,91,43,0
Chidozie Awaziem,NGA,DF,Boavista,26,1997,21.7,23,18,18,3,2,13,21,61.9,8,27,17,10,18,41,98,2
Abdul Awudu,GHA,"FW,MF",Vizela,22,2001,2.1,4,3,1,1,2,2,7,28.6,5,2,1,1,0,4,1,0
Amadou Ba-Sy,FRA,"FW,MF",Vizela,22,2001,1.3,1,1,0,1,0,0,1,0.0,1,2,1,1,1,2,0,0
Alexander Bah,DEN,DF,Benfica,25,1997,16.9,52,35,23,19,10,30,44,68.2,14,24,4,20,32,84,28,1
Elves Baldé,GNB,"FW,MF",Farense,23,1999,10.8,9,5,6,2,1,6,17,35.3,11,11,2,9,1,10,12,0
Robson Bambu,BRA,DF,Arouca,25,1997,9.8,15,12,9,6,0,7,11,63.6,4,12,8,4,9,24,35,0
Daniel Bandeira,POR,MF,Vitória,23,2000,7.8,8,6,3,3,2,3,7,42.9,4,6,0,6,11,19,11,0
Simon Banza,COD,FW,Braga,26,1996,22.2,11,6,4,2,5,1,10,10.0,9,16,1,15,8,19,14,0
Rafael Barbosa,POR,"MF,FW",Farense,27,1996,9.5,12,9,5,4,3,6,11,54.5,5,8,4,4,4,16,3,0
Romário Baró,POR,"MF,FW",Porto,23,2000,2.5,2,2,1,1,0,1,6,16.7,5,0,0,0,1,3,4,0
Afonso Bastardo,POR,"FW,DF",Gil Vicente FC,18,2005,0.5,1,1,0,0,1,0,1,0.0,1,1,0,1,1,2,0,0
Afonso Bastardo,POR,MF,Sporting CP,18,2005,0.3,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,1,0
Gilberto Batista,GNB,DF,Moreirense,19,2003,2.5,3,2,3,0,0,2,4,50.0,2,5,5,0,1,4,19,1
Ricardo Batista,POR,GK,Casa Pia,36,1986,30.9,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,6,1
Roko Baturina,CRO,FW,Gil Vicente FC,23,2000,7.9,1,1,0,0,1,0,3,0.0,3,2,0,2,0,1,5,0
Bachir Belloumi,ALG,"FW,MF",Farense,21,2002,23.0,41,28,19,17,5,17,41,41.5,24,38,6,32,21,62,32,0
Fahem Benaissa Yahia,FRA,MF,Casa Pia,21,2002,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Beni,ANG,MF,Casa Pia,21,2002,16.3,32,24,17,15,0,13,28,46.4,15,17,2,15,19,51,18,1
Benny,POR,"MF,FW",Chaves,23,2000,14.1,10,3,4,4,2,3,14,21.4,11,18,0,18,6,16,17,0
Berna,ANG,"FW,DF",Boavista,19,2003,3.6,15,11,8,5,2,5,10,50.0,5,5,2,3,5,20,4,0
Juan Bernat,ESP,DF,Benfica,30,1993,0.9,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,3,0
Emmanuel Boateng,GHA,FW,Rio Ave,27,1996,20.7,12,9,4,6,2,3,7,42.9,4,11,3,8,5,17,16,0
Kiko Bondoso,POR,"FW,MF",Vizela,27,1995,2.1,5,3,1,2,2,4,6,66.7,2,2,0,2,1,6,2,0
Toni Borevkovic,CRO,DF,Vitória,26,1997,22.7,22,14,20,2,0,22,28,78.6,6,25,11,14,36,58,108,0
Gonçalo Borges,POR,"MF,FW",Porto,22,2001,3.2,7,4,6,1,0,4,8,50.0,4,3,0,3,0,7,4,0
Cristian Borja,COL,DF,Braga,30,1993,27.2,61,33,36,23,2,23,42,54.8,19,25,5,20,22,83,55,0
Róbert Boženík,SVK,FW,Boavista,23,1999,28.6,16,10,0,12,4,5,16,31.3,11,12,1,11,4,20,34,0
Daniel Bragança,POR,MF,Sporting CP,24,1999,11.4,33,22,9,15,9,14,26,53.8,12,11,2,9,19,52,4,2
Bruno Brigido,BRA,GK,Estrela,32,1991,26.0,2,2,2,0,0,2,4,50.0,2,1,0,1,0,2,18,0
Rafael Brito,POR,MF,Casa Pia,21,2002,3.8,12,8,4,5,3,4,12,33.3,8,3,1,2,5,17,8,0
Bruma,POR,"FW,MF",Braga,28,1994,19.1,22,12,6,12,4,8,27,29.6,19,13,1,12,6,28,4,0
Jonathan Buatu Mananga,ANG,DF,Gil Vicente FC,29,1993,5.0,8,4,8,0,0,5,5,100.0,0,7,3,4,1,9,23,0
Leonel Bucca,ARG,"MF,FW",Estrela,24,1999,9.1,36,23,15,14,7,21,39,53.8,18,11,2,9,4,40,5,0
André Bukia,COD,"MF,FW",Arouca,28,1995,1.7,5,4,3,1,1,3,6,50.0,3,3,0,3,1,6,1,0
Fabijan Buntić,CRO,GK,Vizela,26,1997,27.7,0,0,0,0,0,0,0,,0,1,0,1,0,0,18,0
Aleksandar Busnić,SRB,"MF,FW",Vizela,25,1997,8.5,21,12,10,9,2,10,20,50.0,10,13,4,9,6,27,23,0
Oriol Busquets,ESP,MF,Arouca,24,1999,4.8,9,5,5,3,1,3,4,75.0,1,5,3,2,2,11,10,0
Rafael Bustamante,COL,MF,Vizela,23,1999,7.9,16,9,10,5,1,7,25,28.0,18,17,3,14,12,28,7,0
