Player,Nation,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Salis Abdul Samed,GHA,MF,Lens,23,2000,1.4,4,1,2,1,1,3,3,100.0,0,0,0,0,3,7,2,0
Abner,BRA,DF,Betis,23,2000,4.4,9,3,5,4,0,6,11,54.5,5,4,0,4,4,13,5,0
Zakaria Aboukhlal,MAR,FW,Toulouse,23,2000,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Tammy Abraham,ENG,FW,Roma,25,1997,0.9,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,2,1
Peter Abrahamsson,SWE,GK,Häcken,35,1988,6.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,2
Junior Adamu,AUT,FW,Freiburg,22,2001,1.4,5,2,2,3,0,3,3,100.0,0,2,0,2,1,6,2,0
Antonio Adán,ESP,GK,Sporting CP,36,1987,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Peter Ademo,NGA,MF,Sheriff Tiraspol,20,2003,1.5,4,3,1,3,0,1,1,100.0,0,1,0,1,0,4,0,0
Simon Adingra,CIV,"FW,MF",Brighton,21,2002,5.9,6,3,2,3,1,2,6,33.3,4,9,1,8,0,6,5,1
Amine Adli,MAR,"MF,FW",Leverkusen,23,2000,10.9,21,11,5,6,10,10,16,62.5,6,16,0,16,4,25,7,0
Yacine Adli,FRA,MF,Milan,23,2000,2.5,5,4,1,3,1,2,3,66.7,1,2,1,1,2,7,0,0
David Affengruber,AUT,DF,Sturm Graz,22,2001,5.9,15,11,12,3,0,9,19,47.4,10,6,4,2,6,21,36,1
Nayef Aguerd,MAR,DF,West Ham,27,1996,4.5,4,4,3,1,0,3,3,100.0,0,7,3,4,1,5,10,0
Ruben Aguilar,FRA,DF,Lens,30,1993,1.2,3,3,3,0,0,2,2,100.0,0,3,1,2,1,4,5,0
Ilias Akhomach,MAR,"MF,FW",Villarreal,19,2004,4.5,5,3,3,2,0,0,6,0.0,6,1,0,1,4,9,2,1
David Akpan Ankeye,NGA,FW,Sheriff Tiraspol,21,2002,4.5,6,5,2,3,1,0,0,,0,3,1,2,0,6,2,0
Chuba Akpom,ENG,"FW,MF",Ajax,27,1995,2.1,2,1,0,1,1,0,1,0.0,1,0,0,0,2,4,4,0
Kerem Aktürkoğlu,TUR,FW,Galatasaray,24,1998,1.6,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,1,0
Raúl Albiol,ESP,DF,Villarreal,37,1985,1.6,1,1,1,0,0,0,0,,0,1,1,0,1,2,9,0
Trent Alexander-Arnold,ENG,DF,Liverpool,24,1998,3.1,5,2,3,2,0,5,7,71.4,2,8,1,7,6,11,2,0
Sotiris Alexandropoulos,GRE,"MF,FW",Olympiacos,21,2001,2.7,5,4,3,2,0,1,4,25.0,3,4,0,4,0,5,0,0
Alisson,BRA,GK,Liverpool,30,1992,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Barış Alper Yılmaz,TUR,"FW,DF",Galatasaray,23,2000,2.0,5,3,4,0,1,4,5,80.0,1,2,0,2,1,6,2,1
Adrià Altimira,ESP,DF,Villarreal,22,2001,3.1,8,5,3,4,1,6,8,75.0,2,2,0,2,2,10,3,0
Edson Álvarez,MEX,MF,West Ham,25,1997,5.5,13,6,9,3,1,7,12,58.3,5,10,3,7,6,19,8,0
Mohamed Aly Camara,GUI,DF,Young Boys,25,1997,1.0,3,2,1,1,1,1,1,100.0,0,2,1,1,1,4,3,0
Romeo Amane,CIV,MF,Häcken,20,2003,4.1,5,4,2,1,2,2,5,40.0,3,0,0,0,6,11,2,0
Jaydon Amauri Banel,NED,MF,Ajax,18,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Aurele Amenda,SUI,DF,Young Boys,20,2003,2.0,3,3,2,1,0,0,1,0.0,1,6,4,2,1,4,8,0
Michael Amir Murillo,PAN,"DF,MF",Marseille,27,1996,3.1,4,2,3,1,0,2,3,66.7,1,5,0,5,3,7,5,0
Mohamed Amoura,ALG,FW,Union SG,23,2000,4.9,3,3,0,3,0,0,3,0.0,3,3,0,3,0,3,0,0
Nordin Amrabat,MAR,"MF,FW",AEK Athens,36,1987,5.1,6,5,2,3,1,5,12,41.7,7,8,0,8,0,6,0,0
Andrés Andrade Cedeño,PAN,DF,LASK,24,1998,5.2,16,9,11,5,0,3,6,50.0,3,9,5,4,9,25,21,0
Leandro Andrade,CPV,"FW,MF",Qarabağ,23,1999,8.7,11,5,6,1,4,6,17,35.3,11,17,0,17,8,19,4,0
Patrick Andrade,CPV,MF,Qarabağ,30,1993,2.8,10,5,5,5,0,7,9,77.8,2,4,1,3,4,14,3,0
Markus Andreas Kaasa,NOR,MF,Molde,26,1997,4.0,7,5,1,5,1,4,9,44.4,5,4,1,3,8,15,4,0
Robert Andrich,GER,"MF,DF",Leverkusen,28,1994,8.4,10,7,6,4,0,4,8,50.0,4,10,6,4,7,17,5,0
Angeliño,ESP,"DF,FW",Roma,26,1997,1.5,4,3,4,0,0,2,2,100.0,0,4,2,2,2,6,5,0
Goran Antonić,SRB,DF,TSC Bačka Top,32,1990,4.7,9,8,7,2,0,7,7,100.0,0,8,5,3,8,17,18,0
Michail Antonio,JAM,FW,West Ham,33,1990,3.6,1,1,1,0,0,1,2,50.0,1,2,1,1,0,1,2,0
Alexis Antunes,SUI,"MF,FW",Servette FC,23,2000,3.2,10,7,4,5,1,5,6,83.3,1,6,1,5,5,15,0,0
Houssem Aouar,ALG,MF,Roma,25,1998,4.4,7,5,2,4,1,2,6,33.3,4,5,0,5,2,9,3,0
Ayman Aourir,GER,MF,Leverkusen,18,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Kostas Apostolakis,GRE,DF,Sheriff Tiraspol,24,1999,2.2,8,4,7,1,0,5,6,83.3,1,7,2,5,2,10,7,0
Youssef El-Arabi,MAR,FW,Olympiacos,36,1987,0.4,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Willian Arão,BRA,"MF,DF",Panathinaikos,30,1992,4.3,10,7,6,4,0,3,3,100.0,0,5,2,3,1,11,6,1
Sergio Araujo,ARG,"MF,FW",AEK Athens,31,1992,2.3,2,2,1,0,1,1,3,33.3,2,1,0,1,1,3,2,0
Alphonse Areola,FRA,GK,West Ham,30,1993,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Zoran Arsenić,CRO,DF,RKS Raków,29,1994,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Alejandro Artunduaga,COL,DF,Sheriff Tiraspol,25,1997,5.5,13,10,10,3,0,7,15,46.7,8,11,1,10,8,21,13,0
Lorenz Assignon,TOG,DF,Rennes,23,2000,4.0,5,4,1,4,0,2,4,50.0,2,3,1,2,4,9,2,0
Giorgos Athanasiadis,GRE,GK,AEK Athens,30,1993,2.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,3
Noah Atubolu,GER,GK,Freiburg,21,2002,10.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,2
Pierre-Emerick Aubameyang,GAB,FW,Marseille,34,1989,11.4,4,3,1,1,2,1,4,25.0,3,14,2,12,3,7,8,0
Fredrik Aursnes,NOR,DF,Benfica,27,1995,5.6,19,13,9,9,1,12,14,85.7,2,8,2,6,4,23,14,0
Gastón Ávila,ARG,DF,Ajax,21,2001,1.0,1,0,1,0,0,0,1,0.0,1,1,1,0,1,2,5,1
