Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Max Aarons,ENG,DF,Bournemouth,Premier League,23,2000,13.7,29,19,20,7,2,20,34,58.8,14,9,5,4,8,37,27,0
Brenden Aaronson,USA,"MF,FW",Union Berlin,Bundesliga,22,2000,14.1,32,18,13,13,6,16,32,50.0,16,26,1,25,2,34,4,0
Paxten Aaronson,USA,MF,Eint Frankfurt,Bundesliga,19,2003,1.1,2,2,1,1,0,1,1,100.0,0,2,0,2,0,2,0,0
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,17,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,1987,30.9,64,35,36,23,5,26,45,57.8,19,51,32,19,39,103,109,2
Salis Abdul Samed,GHA,MF,Lens,Ligue 1,23,2000,16.9,21,14,8,10,3,8,18,44.4,10,12,1,11,12,33,18,0
Nabil Aberdin,FRA,DF,Getafe,La Liga,20,2002,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0
Laurent Abergel,FRA,MF,Lorient,Ligue 1,30,1993,31.8,85,52,43,34,8,38,96,39.6,58,29,6,23,61,146,61,3
Matthis Abline,FRA,FW,Nantes,Ligue 1,20,2003,11.6,9,4,4,3,2,3,8,37.5,5,3,0,3,3,12,5,0
Abner,BRA,DF,Betis,La Liga,23,2000,15.6,25,19,15,9,1,17,34,50.0,17,23,5,18,15,40,62,0
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,23,2000,8.4,9,8,1,5,3,3,12,25.0,9,9,1,8,1,10,2,0
Abdel Abqar,MAR,DF,Alavés,La Liga,24,1999,25.7,35,19,28,5,2,21,35,60.0,14,31,26,5,23,58,115,0
