Player,Pos,Squad,Age,Club,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Walid Cheddira,FW,Morocco,24,Bari,1998,2,0,64,0.7,0,0,0,0,0,0,2,1,0.5,0.5,0.0,0.5,1,3,4,0.00,0.00,0.00,0.00,0.00,1.24,0.00,1.24,1.24,1.24
Roozbeh Cheshmi,"DF,MF",IR Iran,28,Esteghlal,1993,2,1,58,0.6,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,1.55,0.00,1.55,1.55,1.55,0.08,0.00,0.08,0.08,0.08
Andreas Christensen,DF,Denmark,26,Barcelona,1996,3,3,270,3.0,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,2,20,1,0.33,0.00,0.33,0.33,0.33,0.12,0.00,0.12,0.12,0.12
Hong Chul,DF,Korea Republic,31,Daegu,1990,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,4,4,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13
José Cifuentes,MF,Ecuador,23,LAFC,1999,2,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,3,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Pathé Ciss,MF,Senegal,28,Rayo Vallecano,1994,3,2,146,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,9,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Sebastián Coates,DF,Uruguay,31,Sporting CP,1990,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,7,1,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Rubin Colwill,MF,Wales,20,Cardiff City,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21
Kingsley Coman,"FW,MF",France,26,Bayern Munich,1996,6,1,169,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,7,1,18,0.00,0.00,0.00,0.00,0.00,0.10,0.05,0.15,0.10,0.15
Eray Cömert,DF,Switzerland,24,Valencia,1998,2,0,46,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Anthony Contreras,"FW,MF",Costa Rica,22,Herediano,2000,3,2,125,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Andreas Cornelius,FW,Denmark,29,FC Copenhagen,1993,3,1,92,1.0,0,0,0,0,0,0,1,0,1.0,1.0,0.1,1.1,1,1,13,0.00,0.00,0.00,0.00,0.00,1.00,0.09,1.09,1.00,1.09
Ángel Correa,MF,Argentina,27,Atlético Madrid,1995,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Diogo Costa,GK,Portugal,22,Porto,1999,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Thibaut Courtois,GK,Belgium,30,Real Madrid,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jason Cummings,FW,Australia,26,Central Coast,1995,1,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aymen Dahmen,GK,Tunisia,25,CS Sfaxien,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Diogo Dalot,DF,Portugal,23,Manchester Utd,1999,3,3,258,2.9,0,2,2,0,0,0,0,0,0.0,0.0,0.7,0.8,6,10,12,0.00,0.70,0.70,0.00,0.70,0.01,0.25,0.27,0.01,0.27
Mikkel Damsgaard,"MF,FW",Denmark,21,Brentford,2000,3,1,150,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,2,10,9,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20
Danilo,DF,Brazil,30,Juventus,1991,3,3,281,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,25,16,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Achraf Dari,DF,Morocco,23,Brest,1999,3,2,187,2.1,1,0,1,1,0,0,1,0,0.6,0.6,0.0,0.6,0,3,0,0.48,0.00,0.48,0.48,0.48,0.30,0.00,0.30,0.30,0.30
Jonathan David,"FW,MF",Canada,22,Lille,2000,3,2,192,2.1,0,0,0,0,0,0,0,0,1.0,0.7,0.0,0.7,4,7,17,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.49,0.35,0.35
Alphonso Davies,"MF,DF",Canada,21,Bayern Munich,2000,3,3,270,3.0,1,0,1,1,0,1,1,0,1.1,0.3,0.5,0.8,11,3,20,0.33,0.00,0.33,0.33,0.33,0.36,0.17,0.53,0.09,0.27
Ben Davies,DF,Wales,29,Tottenham,1993,3,3,238,2.6,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,13,2,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13
Nasser Al-Dawsari,FW,Saudi Arabia,23,Al-Hilal,1998,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,1.27,1.27,0.00,1.27
Salem Al-Dawsari,MF,Saudi Arabia,30,Al-Hilal,1991,3,3,270,3.0,2,0,2,2,0,1,1,0,1.8,1.0,0.2,1.2,8,14,20,0.67,0.00,0.67,0.67,0.67,0.59,0.08,0.67,0.32,0.40
Giorgian De Arrascaeta,MF,Uruguay,28,Flamengo,1994,2,1,108,1.2,2,0,2,2,0,0,0,0,1.2,1.2,0.5,1.7,1,5,14,1.67,0.00,1.67,1.67,1.67,1.01,0.45,1.45,1.01,1.45
Kevin De Bruyne,"FW,MF",Belgium,30,Manchester City,1991,3,3,270,3.0,0,0,0,0,0,0,0,0,0.2,0.2,0.9,1.1,9,28,22,0.00,0.00,0.00,0.00,0.00,0.08,0.30,0.38,0.08,0.38
Charles De Ketelaere,FW,Belgium,21,Milan,2001,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nicolás De La Cruz,MF,Uruguay,25,River Plate,1997,2,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,2,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09
Rodrigo De Paul,MF,Argentina,28,Atlético Madrid,1994,7,7,599,6.7,0,0,0,0,0,0,0,0,0.9,0.9,0.3,1.2,16,37,20,0.00,0.00,0.00,0.00,0.00,0.14,0.05,0.19,0.14,0.19
Miloš Degenek,DF,Australia,28,Columbus Crew,1994,4,2,183,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Thomas Delaney,MF,Denmark,30,Sevilla,1991,1,1,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ousmane Dembélé,FW,France,25,Barcelona,1997,7,6,433,4.8,0,2,2,0,0,0,1,0,0.5,0.5,1.6,2.1,23,15,45,0.00,0.42,0.42,0.00,0.42,0.10,0.34,0.44,0.10,0.44
Leander Dendoncker,"DF,MF",Belgium,27,Aston Villa,1995,2,2,161,1.8,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.4,2,10,1,0.00,0.00,0.00,0.00,0.00,0.05,0.20,0.25,0.05,0.25
Sergiño Dest,DF,United States,21,Milan,2000,4,4,305,3.4,0,1,1,0,0,0,1,0,0.2,0.2,0.5,0.7,11,18,12,0.00,0.30,0.30,0.00,0.30,0.07,0.15,0.22,0.07,0.22
Ángel Di María,"MF,FW",Argentina,34,Juventus,1988,5,4,288,3.2,1,1,2,1,0,0,0,0,0.6,0.6,0.6,1.3,23,20,60,0.31,0.31,0.62,0.31,0.62,0.21,0.20,0.41,0.21,0.41
Boulaye Dia,FW,Senegal,25,Salernitana,1996,4,4,318,3.5,1,0,1,1,0,0,1,0,0.7,0.7,0.0,0.8,4,3,19,0.28,0.00,0.28,0.28,0.28,0.20,0.01,0.21,0.20,0.21
Abdou Diallo,DF,Senegal,26,RB Leipzig,1996,4,4,331,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,8,1,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Rúben Dias,DF,Portugal,25,Manchester City,1997,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,12,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Krépin Diatta,"FW,MF",Senegal,23,Monaco,1999,3,3,181,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,8,5,10,0.00,0.00,0.00,0.00,0.00,0.06,0.09,0.15,0.06,0.15
Famara Diedhiou,FW,Senegal,29,Alanyaspor,1992,2,1,92,1.0,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.98,0.00,0.98,0.98,0.98,0.19,0.03,0.22,0.19,0.22
Bamba Dieng,FW,Senegal,22,Marseille,2000,4,0,100,1.1,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,0,0,3,0.90,0.00,0.90,0.90,0.90,0.44,0.05,0.50,0.44,0.50
Eric Dier,DF,England,28,Tottenham,1994,2,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Axel Disasi,DF,France,24,Monaco,1998,3,1,92,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,7,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
Alexander Djiku,"DF,FW",Ghana,27,Strasbourg,1994,2,1,97,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ritsu Doan,FW,Japan,23,Freiburg,1998,4,2,217,2.4,2,0,2,2,0,0,0,0,0.5,0.5,0.2,0.7,1,7,6,0.83,0.00,0.83,0.83,0.83,0.21,0.07,0.28,0.21,0.28
Jeremy Doku,"MF,FW",Belgium,20,Rennes,2002,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kasper Dolberg,FW,Denmark,24,Sevilla,1997,3,1,114,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0,3,14,0.00,0.00,0.00,0.00,0.00,0.31,0.05,0.37,0.31,0.37
Mohamed Dräger,DF,Tunisia,25,Luzern,1996,2,2,132,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,4,9,0.00,0.00,0.00,0.00,0.00,0.14,0.01,0.15,0.14,0.15
Óscar Duarte,DF,Costa Rica,33,Al-Wehda,1989,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09
Mitchell Duke,FW,Australia,31,Fagi Okayama,1991,4,4,270,3.0,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,1,3,9,0.33,0.00,0.33,0.33,0.33,0.12,0.01,0.13,0.12,0.13
Denzel Dumfries,DF,Netherlands,26,Inter,1996,5,5,479,5.3,1,2,3,1,0,0,2,1,0.4,0.4,0.3,0.7,12,14,37,0.19,0.38,0.56,0.19,0.56,0.08,0.06,0.14,0.08,0.14
Paulo Dybala,FW,Argentina,28,Roma,1993,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,2,4,0.00,0.00,0.00,0.00,0.00,0.00,1.03,1.03,0.00,1.03
Enzo Ebosse,DF,Cameroon,23,Udinese,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ederson,GK,Brazil,28,Manchester City,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jorge Eduardo Sánchez,DF,Mexico,24,Ajax,1997,2,2,175,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,14,13,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Nico Elvedi,DF,Switzerland,25,Gladbach,1996,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,7,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Breel Embolo,FW,Switzerland,25,Monaco,1997,4,4,323,3.6,2,0,2,2,0,0,0,0,2.3,2.3,0.1,2.4,7,5,18,0.56,0.00,0.56,0.56,0.56,0.64,0.03,0.67,0.64,0.67
Youssef En-Nesyri,FW,Morocco,25,Sevilla,1997,7,7,542,6.0,2,0,2,2,0,0,0,0,1.2,1.2,0.0,1.3,2,1,14,0.33,0.00,0.33,0.33,0.33,0.21,0.01,0.21,0.21,0.21
Wataru Endo,MF,Japan,29,Stuttgart,1993,4,3,304,3.4,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.6,3,17,6,0.00,0.00,0.00,0.00,0.00,0.06,0.15,0.21,0.06,0.21
Devis Epassy,GK,Cameroon,29,Abha,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Christian Eriksen,MF,Denmark,30,Manchester Utd,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,5,21,18,0.00,0.00,0.00,0.00,0.00,0.06,0.14,0.20,0.06,0.20
Michael Estrada,FW,Ecuador,26,Cruz Azul,1996,3,3,225,2.5,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,9,7,0.00,0.00,0.00,0.00,0.00,0.13,0.01,0.13,0.13,0.13
Pervis Estupiñán,DF,Ecuador,24,Brighton,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,4,12,17,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.11,0.02,0.11
Stephen Eustáquio,MF,Canada,25,Porto,1996,2,2,125,1.4,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,0,14,2,0.00,0.00,0.00,0.00,0.00,0.13,0.11,0.24,0.13,0.24
Saeid Ezatolahi,MF,IR Iran,25,Vejle BK,1996,3,2,217,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,2,5,1,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.12,0.04,0.12
Abde Ezzalzouli,"FW,MF",Morocco,20,Osasuna,2001,3,0,93,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,1,2,6,0.00,0.00,0.00,0.00,0.00,0.09,0.39,0.49,0.09,0.49
Fabinho,MF,Brazil,28,Liverpool,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Collins Fai,DF,Cameroon,29,Al-Ta'ee,1992,3,3,270,3.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,5,11,5,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
Salman Al-Faraj,MF,Saudi Arabia,32,Al-Hilal,1989,1,1,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Christian Fassnacht,FW,Switzerland,28,Young Boys,1993,1,0,8,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,1,3,0.00,0.00,0.00,0.00,0.00,2.58,0.00,2.58,2.58,2.58
Abdul Fatawu Issahaku,FW,Ghana,18,Sporting CP,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ansu Fati,FW,Spain,19,Barcelona,2002,2,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
João Félix,FW,Portugal,22,Atlético Madrid,1999,4,4,331,3.7,1,2,3,1,0,0,1,0,0.8,0.8,0.4,1.3,10,10,24,0.27,0.54,0.82,0.27,0.82,0.23,0.11,0.34,0.23,0.34
Bruno Fernandes,"FW,MF",Portugal,27,Manchester Utd,1994,4,4,356,4.0,2,3,5,1,1,1,1,0,1.1,0.3,1.7,2.1,10,31,25,0.51,0.76,1.26,0.25,1.01,0.28,0.44,0.72,0.08,0.52
Edimilson Fernandes,"FW,DF",Switzerland,26,Mainz 05,1996,3,1,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.4,2,3,9,0.00,0.00,0.00,0.00,0.00,0.02,0.22,0.24,0.02,0.24
Enzo Fernández,MF,Argentina,21,Benfica,2001,7,5,564,6.3,1,1,2,1,0,0,1,0,0.3,0.3,0.9,1.2,16,34,6,0.16,0.16,0.32,0.16,0.32,0.05,0.16,0.21,0.05,0.21
Jesús Ferreira,FW,United States,21,FC Dallas,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Phil Foden,"FW,MF",England,22,Manchester City,2000,4,3,258,2.9,1,2,3,1,0,0,0,0,1.1,1.1,0.5,1.6,5,7,36,0.35,0.70,1.05,0.35,1.05,0.38,0.18,0.55,0.38,0.55
Youssouf Fofana,MF,France,23,Monaco,1999,6,2,227,2.5,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,6,11,4,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.14,0.07,0.14
Juan Foyth,DF,Argentina,24,Villarreal,1998,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alan Franco,MF,Ecuador,23,Talleres,1998,2,1,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Przemysław Frankowski,MF,Poland,27,Lens,1995,4,3,240,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.3,3,5,8,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.11,0.01,0.11
Fred,MF,Brazil,29,Manchester Utd,1993,4,2,142,1.6,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.6,0,11,5,0.00,0.00,0.00,0.00,0.00,0.23,0.16,0.39,0.23,0.39
Fabian Frei,MF,Switzerland,33,Basel,1989,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Remo Freuler,MF,Switzerland,30,Nott'ham Forest,1992,4,4,323,3.6,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,1,13,8,0.28,0.00,0.28,0.28,0.28,0.11,0.00,0.11,0.11,0.11
Keysher Fuller,"DF,MF",Costa Rica,27,Herediano,1994,3,3,253,2.8,1,0,1,1,0,0,0,0,0.4,0.4,0.2,0.5,1,2,5,0.36,0.00,0.36,0.36,0.36,0.14,0.05,0.19,0.14,0.19
Niclas Füllkrug,FW,Germany,29,Werder Bremen,1993,3,0,69,0.8,2,1,3,2,0,0,0,0,2.2,2.2,0.6,2.8,1,1,10,2.61,1.30,3.91,2.61,3.91,2.86,0.76,3.62,2.86,3.62
Rogelio Funes Mori,FW,Mexico,31,Monterrey,1991,1,0,5,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,1.23,0.00,1.23,1.23,1.23
Cody Gakpo,"FW,MF",Netherlands,23,PSV Eindhoven,1999,5,5,450,5.0,3,0,3,3,0,0,0,0,0.3,0.3,0.6,0.9,14,11,27,0.60,0.00,0.60,0.60,0.60,0.06,0.12,0.18,0.06,0.18
Hernán Galíndez,GK,Ecuador,35,SD Aucas,1987,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jesús Gallardo,DF,Mexico,27,Monterrey,1994,3,3,270,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,7,14,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
Idrissa Gana Gueye,MF,Senegal,32,Everton,1989,3,3,270,3.0,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,6,10,8,0.00,0.00,0.00,0.00,0.00,0.11,0.03,0.14,0.11,0.14
Gavi,MF,Spain,17,Barcelona,2004,4,4,284,3.2,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.2,6,10,23,0.32,0.00,0.32,0.32,0.32,0.04,0.03,0.07,0.04,0.07
Sultan Al-Ghanam,"DF,MF",Saudi Arabia,28,Al-Nassr,1994,3,1,126,1.4,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,4,5,11,0.00,0.00,0.00,0.00,0.00,0.12,0.05,0.17,0.12,0.17
Nader Ghandri,DF,Tunisia,27,Club Africain,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saman Ghoddos,MF,IR Iran,28,Brentford,1993,1,0,45,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,2,7,0.00,0.00,0.00,0.00,0.00,0.36,0.05,0.41,0.36,0.41
Ali Gholizadeh,"MF,FW",IR Iran,26,Charleroi,1996,3,2,199,2.2,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,4,5,11,0.00,0.45,0.45,0.00,0.45,0.01,0.07,0.09,0.01,0.09
Matthias Ginter,DF,Germany,28,Freiburg,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Olivier Giroud,FW,France,35,Milan,1986,6,6,419,4.7,4,0,4,4,0,0,1,0,3.4,3.4,0.1,3.5,1,9,10,0.86,0.00,0.86,0.86,0.86,0.72,0.03,0.76,0.72,0.76
Kamil Glik,DF,Poland,34,Benevento,1988,4,4,360,4.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
Serge Gnabry,"FW,MF",Germany,26,Bayern Munich,1995,3,3,263,2.9,1,1,2,1,0,0,0,0,1.1,1.1,1.5,2.6,4,7,25,0.34,0.34,0.68,0.34,0.68,0.37,0.51,0.88,0.37,0.88
Diego Godín,DF,Uruguay,36,Vélez Sarsfield,1986,2,2,151,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,4,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Maxi Gómez,FW,Uruguay,25,Trabzonspor,1996,2,0,30,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,1,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26
Papu Gómez,"MF,FW",Argentina,34,Sevilla,1988,2,2,107,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,5,9,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Shūichi Gonda,GK,Japan,33,S-Pulse,1989,4,4,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Craig Goodwin,MF,Australia,30,Adelaide,1991,4,3,234,2.6,1,1,2,1,0,0,0,0,0.3,0.3,0.6,0.9,3,10,15,0.38,0.38,0.77,0.38,0.77,0.11,0.25,0.36,0.11,0.36
Leon Goretzka,MF,Germany,27,Bayern Munich,1995,3,2,159,1.8,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,4,2,2,0.00,0.00,0.00,0.00,0.00,0.26,0.01,0.27,0.26,0.27
Mario Götze,MF,Germany,30,Eint Frankfurt,1992,2,0,36,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,2,6,0.00,0.00,0.00,0.00,0.00,0.21,0.29,0.50,0.21,0.50
Jack Grealish,FW,England,26,Manchester City,1995,5,0,86,1.0,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.8,4,7,12,1.05,0.00,1.05,1.05,1.05,0.69,0.12,0.81,0.69,0.81
Antoine Griezmann,MF,France,31,Atlético Madrid,1991,7,6,537,6.0,0,3,3,0,0,0,1,0,0.7,0.7,3.1,3.8,10,36,31,0.00,0.50,0.50,0.00,0.50,0.11,0.52,0.63,0.11,0.63
Kamil Grosicki,MF,Poland,34,Pogoń Szczecin,1988,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,1.69,1.69,0.00,1.69
Carlos Gruezo,MF,Ecuador,27,Augsburg,1995,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marko Grujić,MF,Serbia,26,Porto,1996,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,4,1,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26
Andrés Guardado,MF,Mexico,35,Betis,1986,1,1,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nemanja Gudelj,"MF,DF",Serbia,30,Sevilla,1991,2,1,92,1.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
