Player,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Tim Ream,DF,United States,34,1987,4,360,90,100.0,4.0,4,90,4,0,,0,1.25,3,4,-1,-0.25,,4.1,4.4,-0.3,-0.07,
Djorkaeff Reasco,FW,Ecuador,23,1999,1,27,27,10.0,0.3,0,,0,1,27,2,0.00,1,1,0,0.00,-0.37,0.7,0.6,+0.1,+0.49,+0.11
Ahmed Reda Tagnaouti,GK,Morocco,26,1996,0,,,,,0,,0,0,,7,,,,,,,,,,,
Andrew Redmayne,GK,Australia,33,1989,0,,,,,0,,0,0,,4,,,,,,,,,,,
Gio Reyna,FW,United States,19,2002,2,53,27,14.7,0.6,0,,0,2,27,2,0.50,1,1,0,0.00,+0.29,1.0,1.5,-0.5,-0.90,-0.96
Ramin Rezaeian,DF,IR Iran,32,1990,2,180,90,66.7,2.0,2,90,2,0,,1,1.50,2,1,+1,+0.50,+4.50,1.9,2.0,-0.2,-0.10,+0.66
Everton Ribeiro,MF,Brazil,33,1989,1,36,36,7.5,0.4,0,,0,1,36,4,0.00,0,1,-1,-2.50,-3.72,1.3,0.2,+1.1,+2.77,+0.98
Declan Rice,MF,England,23,1999,5,417,83,92.7,4.6,5,83,4,0,,0,2.00,12,4,+8,+1.73,-1.00,7.4,3.8,+3.6,+0.77,-1.89
Richarlison,FW,Brazil,25,1997,4,323,81,67.3,3.6,4,81,1,0,,1,2.50,6,1,+5,+1.39,+1.39,7.6,1.3,+6.4,+1.77,-0.27
Fabian Rieder,FW,Switzerland,20,2002,2,68,34,18.9,0.8,1,58,0,1,10,2,1.50,0,0,0,0.00,+1.23,0.4,0.5,-0.1,-0.16,-0.22
Ró-Ró,DF,Qatar,31,1990,3,262,87,97.0,2.9,3,87,2,0,,0,0.00,1,6,-5,-1.72,+9.53,1.3,3.3,-2.1,-0.72,-0.22
Connor Roberts,DF,Wales,26,1995,3,200,67,74.1,2.2,2,73,1,1,54,0,0.33,1,4,-3,-1.35,+1.22,2.5,3.4,-0.9,-0.41,+0.86
Antonee Robinson,DF,United States,24,1997,4,359,90,99.7,4.0,4,90,3,0,,0,1.25,3,4,-1,-0.25,-0.25,4.0,4.4,-0.4,-0.09,-6.84
Sergio Rochet,GK,Uruguay,29,1993,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,2,0,0.00,,3.7,3.5,+0.1,+0.05,
Joe Rodon,DF,Wales,24,1997,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,1,6,-5,-1.67,,2.7,4.6,-1.9,-0.63,
Rodri,DF,Spain,25,1996,4,390,98,100.0,4.3,4,98,4,0,,0,1.25,9,3,+6,+1.38,,6.2,3.4,+2.7,+0.68,+0.68
Charly Rodríguez,MF,Mexico,25,1997,2,34,17,12.6,0.4,0,,0,2,17,1,2.00,0,1,-1,-2.65,-2.65,0.5,0.8,-0.3,-0.79,-1.25
Guido Rodríguez,MF,Argentina,28,1994,1,56,56,8.1,0.6,1,56,0,0,,6,3.00,0,0,0,0.00,-0.99,0.2,0.3,-0.1,-0.16,-1.65
Kevin Rodríguez,FW,Ecuador,22,2000,2,2,1,0.7,0.0,0,,0,2,1,1,2.00,0,0,0,0.00,-0.34,0.1,0.0,+0.1,+5.49,+5.13
Ricardo Rodríguez,DF,Switzerland,29,1992,4,359,90,99.7,4.0,4,90,3,0,,0,1.50,5,9,-4,-1.00,-1.00,5.3,5.4,-0.1,-0.03,-17.13
Rodrygo,"MF,FW",Brazil,21,2001,5,181,36,37.7,2.0,1,54,0,4,32,0,2.00,2,1,+1,+0.50,-0.71,4.2,0.9,+3.3,+1.98,+0.18
Cristian Roldan,"FW,MF",United States,27,1995,0,,,,,0,,0,0,,4,,,,,,,,,,,
Mohamed Ali Ben Romdhane,MF,Tunisia,22,1999,1,73,73,27.0,0.8,1,73,0,0,,2,3.00,1,0,+1,+1.23,+1.69,0.5,0.2,+0.3,+0.37,+0.74
Cristian Romero,DF,Argentina,24,1998,7,547,78,79.3,6.1,6,88,4,1,22,0,2.00,14,6,+8,+1.32,+1.95,13.3,3.9,+9.3,+1.63,+1.07
Luis Romo,"DF,MF",Mexico,27,1995,0,,,,,0,,0,0,,3,,,,,,,,,,,
Cristiano Ronaldo,FW,Portugal,37,1985,5,290,58,64.4,3.2,3,77,0,2,29,0,1.80,6,2,+4,+1.24,+0.12,4.2,3.3,+0.9,+0.29,-0.02
Marten de Roon,MF,Netherlands,31,1991,5,184,37,38.3,2.0,3,57,0,2,7,0,2.20,5,1,+4,+1.96,+1.35,2.3,1.3,+1.0,+0.50,+1.26
Kye Rowles,DF,Australia,23,1998,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,4,6,-2,-0.50,,2.3,7.2,-4.9,-1.23,
Antonio Rüdiger,DF,Germany,29,1993,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,6,5,+1,+0.33,,10.1,3.4,+6.7,+2.22,
Bryan Ruiz,MF,Costa Rica,36,1985,1,30,30,11.1,0.3,0,,0,1,30,2,0.00,0,3,-3,-9.00,-7.13,0.0,0.9,-0.9,-2.57,+0.37
Gerónimo Rulli,GK,Argentina,30,1992,0,,,,,0,,0,0,,7,,,,,,,,,,,
Mathew Ryan,GK,Australia,30,1992,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,4,6,-2,-0.50,,2.3,7.2,-4.9,-1.23,
Frederik Rønnow,GK,Denmark,29,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,
José Sá,GK,Portugal,29,1993,0,,,,,0,,0,0,,5,,,,,,,,,,,
Youssouf Sabaly,DF,Senegal,29,1993,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,5,7,-2,-0.50,,4.5,3.4,+1.1,+0.27,
Abdelhamid Sabiri,MF,Morocco,25,1996,5,181,36,27.4,2.0,2,55,0,3,24,2,1.60,5,3,+2,+0.99,+1.18,3.1,1.6,+1.5,+0.90,+1.30
Romain Saïss,DF,Morocco,32,1990,6,466,78,70.6,5.2,6,78,4,0,,1,1.83,5,2,+3,+0.58,+1.51,4.0,4.3,-0.4,-0.07,+0.11
Bukayo Saka,FW,England,20,2001,4,288,72,64.0,3.2,4,72,0,0,,1,1.75,8,3,+5,+1.56,-0.66,3.8,2.4,+1.4,+0.45,-1.30
Hiroki Sakai,"MF,DF",Japan,32,1990,2,119,60,30.5,1.3,1,73,0,1,46,2,2.00,0,1,-1,-0.76,-1.42,1.2,3.0,-1.8,-1.87,-2.22
Youstin Salas,"DF,MF",Costa Rica,25,1996,2,47,24,17.4,0.5,0,,0,2,24,1,1.50,2,3,-1,-1.91,+0.91,1.1,4.4,-3.3,-6.30,-4.12
William Saliba,DF,France,21,2001,1,28,28,4.2,0.3,0,,0,1,28,6,0.00,0,0,0,0.00,-1.14,0.6,0.0,+0.6,+1.93,+1.47
Mohammed Salisu,DF,Ghana,23,1999,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,5,7,-2,-0.67,,4.1,5.6,-1.4,-0.48,
Tarek Salman,DF,Qatar,24,1997,1,8,8,3.0,0.1,0,,0,1,8,2,0.00,0,1,-1,-11.25,-9.53,0.2,0.2,0.0,-0.50,+0.22
Robert Sánchez,GK,Spain,24,1997,0,,,,,0,,0,0,,4,,,,,,,,,,,
Alex Sandro,DF,Brazil,31,1991,3,190,63,39.6,2.1,2,88,1,1,15,0,2.33,3,1,+2,+0.95,+0.02,3.4,0.6,+2.7,+1.41,-0.70
Leroy Sané,"FW,DF",Germany,26,1996,2,111,56,41.1,1.2,1,90,1,1,21,1,2.00,5,2,+3,+2.43,+3.56,6.7,1.3,+5.4,+4.38,+3.67
Na Sang-ho,FW,Korea Republic,25,1996,2,119,60,33.1,1.3,1,74,0,1,45,2,0.50,2,1,+1,+0.76,+2.25,1.9,0.9,+1.1,+0.80,+2.13
Pablo Sarabia,FW,Spain,30,1992,1,3,3,0.8,0.0,0,,0,1,3,3,1.00,0,0,0,0.00,-1.40,0.3,0.0,+0.3,,
Josh Sargent,FW,United States,22,2000,3,157,52,43.6,1.7,2,75,0,1,8,1,1.67,2,0,+2,+1.15,+2.48,1.7,1.1,+0.6,+0.36,+0.77
Jeremy Sarmiento,"MF,FW",Ecuador,19,2002,3,85,28,31.5,0.9,0,,0,3,28,0,1.33,1,1,0,0.00,-0.49,0.9,0.6,+0.3,+0.32,-0.10
Ismaila Sarr,"FW,MF",Senegal,24,1998,4,344,86,95.6,3.8,4,86,3,0,,0,1.50,4,6,-2,-0.52,-0.52,4.3,3.2,+1.1,+0.29,+0.31
Ferjani Sassi,"MF,DF",Tunisia,30,1992,2,48,24,17.8,0.5,0,,0,2,24,1,0.50,0,0,0,0.00,0.00,0.6,0.3,+0.3,+0.51,+0.82
Joe Scally,DF,United States,19,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
Fabian Schär,DF,Switzerland,30,1991,2,135,68,37.5,1.5,2,68,1,0,,2,1.50,3,4,-1,-0.67,+0.53,3.0,2.4,+0.6,+0.39,+0.59
Nico Schlotterbeck,DF,Germany,22,1999,2,94,47,34.8,1.0,1,90,1,1,4,1,0.50,1,2,-1,-0.96,-1.98,3.1,1.5,+1.6,+1.54,-1.04
Kasper Schmeichel,GK,Denmark,35,1986,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,1,3,-2,-0.67,,2.7,3.9,-1.2,-0.39,
Daniel Schmidt,GK,Japan,30,1992,0,,,,,0,,0,0,,4,,,,,,,,,,,
Haris Seferović,FW,Switzerland,30,1992,3,71,24,19.7,0.8,0,,0,3,24,1,1.00,1,4,-3,-3.80,-3.49,1.0,1.1,-0.1,-0.15,-0.21
Alidu Seidu,DF,Ghana,22,2000,2,155,78,57.4,1.7,2,78,1,0,,1,0.00,0,3,-3,-1.74,-2.52,1.6,3.3,-1.6,-0.95,-1.12
Antoine Semenyo,"FW,MF",Ghana,22,2000,2,20,10,7.4,0.2,0,,0,2,10,1,0.00,0,0,0,0.00,+0.72,0.6,0.2,+0.4,+1.75,+2.41
Patrick Sequeira,GK,Costa Rica,23,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,
Kim Seung-gyu,GK,Korea Republic,31,1990,4,360,90,100.0,4.0,4,90,4,0,,0,1.00,5,8,-3,-0.75,,4.6,7.1,-2.5,-0.63,
Paik Seung-ho,MF,Korea Republic,25,1997,1,26,26,7.2,0.3,0,,0,1,26,3,0.00,1,0,+1,+3.46,+4.54,0.2,0.3,-0.1,-0.30,+0.36
Yasser Al-Shahrani,DF,Saudi Arabia,30,1992,1,89,89,33.0,1.0,1,89,0,0,,0,3.00,2,1,+1,+1.01,+2.50,0.1,2.1,-2.0,-2.00,-1.48
Xherdan Shaqiri,"FW,MF",Switzerland,30,1991,3,229,76,63.6,2.5,3,76,1,0,,1,2.00,5,8,-3,-1.18,-0.49,4.7,4.2,+0.5,+0.18,+0.43
Riyadh Sharahili,MF,Saudi Arabia,29,1993,1,54,54,20.0,0.6,0,,0,1,54,0,0.00,1,2,-1,-1.67,-1.25,1.0,1.5,-0.5,-0.79,+0.27
Luke Shaw,DF,England,26,1995,5,424,85,94.2,4.7,5,85,4,0,,0,2.00,12,4,+8,+1.70,-1.76,7.4,3.8,+3.6,+0.76,-2.62
Saad Al Sheeb,GK,Qatar,32,1990,1,90,90,33.3,1.0,1,90,1,0,,2,0.00,0,2,-2,-2.00,0.00,0.3,1.2,-0.9,-0.86,-0.23
Saleh Al-Shehri,FW,Saudi Arabia,28,1993,3,223,74,82.6,2.5,3,74,0,0,,0,1.00,2,5,-3,-1.21,-3.13,2.1,4.8,-2.7,-1.09,-0.46
Gaku Shibasaki,MF,Japan,30,1992,0,,,,,0,,0,0,,4,,,,,,,,,,,
André Silva,FW,Portugal,26,1995,1,26,26,5.8,0.3,0,,0,1,26,4,0.00,0,1,-1,-3.46,-4.95,0.1,0.9,-0.8,-2.79,-3.28
António Silva,DF,Portugal,18,2003,1,90,90,20.0,1.0,1,90,1,0,,4,0.00,1,2,-1,-1.00,-2.75,1.3,1.7,-0.4,-0.42,-0.90
Bernardo Silva,MF,Portugal,27,1994,5,356,71,79.1,4.0,4,87,2,1,9,0,1.80,10,4,+6,+1.52,+1.52,6.5,4.8,+1.7,+0.42,+0.59
Thiago Silva,DF,Brazil,37,1984,4,390,98,81.3,4.3,4,98,4,0,,1,2.50,8,2,+6,+1.38,+2.38,9.5,1.6,+7.9,+1.98,+0.49
Unai Simón,GK,Spain,25,1997,4,390,98,100.0,4.3,4,98,4,0,,0,1.25,9,3,+6,+1.38,,6.2,3.4,+2.7,+0.68,+0.68
Xavi Simons,"FW,MF",Netherlands,19,2003,1,9,9,1.9,0.1,0,,0,1,9,4,3.00,0,0,0,0.00,-1.15,0.0,0.2,-0.2,-2.00,-1.75
Ellyes Skhiri,MF,Tunisia,27,1995,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,1,1,0,0.00,,2.3,2.8,-0.5,-0.17,
Michał Skóraś,MF,Poland,22,2000,1,45,45,12.5,0.5,0,,0,1,45,3,0.00,0,2,-2,-4.00,-4.00,0.1,1.7,-1.6,-3.22,-2.89
Łukasz Skorupski,GK,Poland,31,1991,0,,,,,0,,0,0,,4,,,,,,,,,,,
Andreas Skov Olsen,"FW,MF",Denmark,22,1999,2,132,66,48.9,1.5,2,66,0,0,,1,0.50,0,1,-1,-0.68,-0.03,0.8,1.4,-0.7,-0.45,-0.11
Robert Skov,DF,Denmark,26,1996,1,22,22,8.1,0.2,0,,0,1,22,2,0.00,0,0,0,0.00,+0.73,0.2,0.0,+0.2,+0.67,+1.16
Naïm Sliti,"MF,FW",Tunisia,29,1992,2,114,57,42.2,1.3,1,90,1,1,24,1,0.50,0,1,-1,-0.79,-1.37,0.9,1.7,-0.7,-0.59,-0.73
Matthew Smith,MF,Wales,22,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,
Carlos Soler,MF,Spain,25,1997,2,92,46,23.6,1.0,0,,0,2,46,2,2.00,3,0,+3,+2.93,+2.03,1.6,0.5,+1.1,+1.61,+1.16
Yuki Soma,"FW,MF",Japan,25,1997,1,81,81,20.8,0.9,1,81,0,0,,3,0.00,0,1,-1,-1.11,-1.69,0.7,0.1,+0.6,+0.63,+0.98
Yann Sommer,GK,Switzerland,33,1988,3,270,90,75.0,3.0,3,90,3,0,,0,1.00,2,7,-5,-1.67,-2.67,2.8,4.1,-1.3,-0.43,-1.80
Borna Sosa,DF,Croatia,24,1998,5,424,85,61.4,4.7,5,85,3,0,,1,1.20,4,4,0,0.00,-0.34,4.5,7.7,-3.2,-0.69,-0.42
Sebastián Sosa,GK,Uruguay,35,1986,0,,,,,0,,0,0,,3,,,,,,,,,,,
Marou Souaibou,FW,Cameroon,21,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
Harry Souttar,DF,Australia,23,1998,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,4,6,-2,-0.50,,2.3,7.2,-4.9,-1.23,
Djibril Sow,MF,Switzerland,25,1997,4,264,66,73.3,2.9,4,66,0,0,,0,1.50,4,5,-1,-0.34,+2.47,4.2,4.1,+0.1,+0.02,0.00
Kamal Sowah,"FW,MF",Ghana,22,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
Dayne St. Clair,GK,Canada,25,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,
Josip Stanišić,DF,Croatia,22,2000,1,90,90,13.0,1.0,1,90,1,0,,5,3.00,2,1,+1,+1.00,+1.00,0.7,1.2,-0.5,-0.53,-0.01
Renato Steffen,FW,Switzerland,30,1991,1,32,32,8.9,0.4,0,,0,1,32,2,0.00,0,1,-1,-2.81,-1.99,0.1,0.5,-0.4,-1.03,-1.16
Raheem Sterling,FW,England,27,1994,3,149,50,33.1,1.7,2,69,0,1,12,1,1.33,4,1,+3,+1.81,+0.02,2.4,1.0,+1.5,+0.88,-0.05
John Stones,DF,England,28,1994,5,434,87,96.4,4.8,5,87,3,0,,0,2.00,13,4,+9,+1.87,+1.87,8.3,3.8,+4.5,+0.94,+0.86
Jens Stryger Larsen,"DF,MF",Denmark,31,1991,0,,,,,0,,0,0,,3,,,,,,,,,,,
Luis Suárez,FW,Uruguay,35,1987,3,146,49,54.1,1.6,2,64,0,1,18,0,1.33,2,1,+1,+0.62,+1.34,2.4,2.5,-0.1,-0.04,-0.19
Luka Sučić,"FW,MF",Croatia,19,2002,0,,,,,0,,0,0,,7,,,,,,,,,,,
Niklas Süle,DF,Germany,26,1995,3,269,90,99.6,3.0,3,90,2,0,,0,1.33,6,5,+1,+0.33,+0.33,9.5,3.4,+6.1,+2.05,-44.55
Kamaldeen Sulemana,FW,Ghana,20,2002,2,58,29,21.5,0.6,0,,0,2,29,1,1.50,0,0,0,0.00,+0.85,0.7,0.8,-0.1,-0.10,+0.48
Josip Šutalo,DF,Croatia,22,2000,1,90,90,13.0,1.0,1,90,1,0,,6,3.00,2,1,+1,+1.00,+1.00,0.7,1.2,-0.5,-0.53,-0.01
Karol Świderski,FW,Poland,25,1997,1,45,45,12.5,0.5,1,45,0,0,,3,0.00,0,0,0,0.00,+0.57,0.2,1.8,-1.6,-3.10,-2.76
Wojciech Szczęsny,GK,Poland,32,1990,4,360,90,100.0,4.0,4,90,4,0,,0,1.00,3,5,-2,-0.50,,4.5,7.3,-2.7,-0.69,
Damian Szymański,MF,Poland,26,1995,1,29,29,8.1,0.3,0,,0,1,29,3,0.00,0,1,-1,-3.10,-2.83,0.0,1.1,-1.1,-3.40,-2.95
Sebastian Szymański,MF,Poland,23,1999,2,134,67,37.2,1.5,2,67,0,0,,2,0.50,0,1,-1,-0.67,-0.27,1.6,1.7,-0.2,-0.12,+0.90
Dušan Tadić,"MF,FW",Serbia,33,1988,3,257,86,95.2,2.9,3,86,2,0,,0,0.33,5,8,-3,-1.05,-1.05,3.3,7.0,-3.8,-1.32,-0.16
Kim Tae-hwan,"DF,MF",Korea Republic,32,1989,0,,,,,0,,0,0,,4,,,,,,,,,,,
Nicolás Tagliafico,DF,Argentina,29,1992,6,373,62,54.1,4.1,3,93,1,3,31,1,1.83,8,8,0,0.00,-1.99,9.7,3.5,+6.2,+1.62,+0.53
Alfredo Talavera,GK,Mexico,39,1982,0,,,,,0,,0,0,,3,,,,,,,,,,,
Montassar Talbi,DF,Tunisia,24,1998,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,1,1,0,0.00,,2.3,2.8,-0.5,-0.17,
Hassan Al Tambakti,DF,Saudi Arabia,23,1999,2,180,90,66.7,2.0,2,90,2,0,,1,1.50,3,3,0,0.00,+2.00,1.3,4.5,-3.2,-1.60,-1.76
Ao Tanaka,MF,Japan,23,1998,3,171,57,43.8,1.9,2,78,0,1,15,1,2.33,2,2,0,0.00,-0.41,1.8,3.6,-1.8,-1.01,-1.43
Shogo Taniguchi,DF,Japan,30,1991,2,210,105,53.8,2.3,2,105,2,0,,2,2.00,3,2,+1,+0.43,+0.43,2.7,2.5,+0.2,+0.09,+0.45
Mehdi Taremi,FW,IR Iran,29,1992,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,4,7,-3,-1.00,,3.2,4.2,-0.9,-0.32,
Kenneth Taylor,MF,Netherlands,20,2002,1,5,5,1.0,0.1,0,,0,1,5,4,3.00,0,0,0,0.00,-1.14,0.0,0.0,0.0,+0.09,+0.36
Aurélien Tchouaméni,MF,France,22,2000,7,621,89,94.1,6.9,7,89,5,0,,0,2.29,14,7,+7,+1.01,-1.29,13.2,8.9,+4.2,+0.65,+1.16
Yeltsin Tejeda,MF,Costa Rica,30,1992,3,269,90,99.6,3.0,3,90,2,0,,0,1.00,3,11,-8,-2.68,-2.68,1.4,9.6,-8.2,-2.74,+43.87
Alex Telles,DF,Brazil,29,1992,2,59,30,12.3,0.7,1,54,0,1,5,1,1.50,0,0,0,0.00,-1.07,1.4,0.2,+1.2,+1.79,-0.08
Marc-André ter Stegen,GK,Germany,30,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,
Arthur Theate,DF,Belgium,22,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
Sorba Thomas,MF,Wales,22,1999,1,1,1,0.4,0.0,0,,0,1,1,2,1.00,0,0,0,0.00,+1.67,0.0,0.0,0.0,0.00,+0.63
Marcus Thuram,"FW,MF",France,24,1997,5,151,30,22.9,1.7,0,,0,5,30,2,2.60,6,3,+3,+1.79,+0.90,4.7,4.0,+0.7,+0.54,+0.01
Youri Tielemans,MF,Belgium,25,1997,3,95,32,35.2,1.1,1,45,0,2,25,0,1.33,1,2,-1,-0.95,-0.95,1.6,3.2,-1.6,-1.48,-2.37
Marco Tilio,MF,Australia,20,2001,0,,,,,0,,0,0,,4,,,,,,,,,,,
Jurriën Timber,DF,Netherlands,20,2001,4,390,98,81.3,4.3,4,98,4,0,,1,2.00,8,4,+4,+0.92,-1.08,3.9,5.2,-1.2,-0.31,-0.15
Karl Toko Ekambi,"FW,MF",Cameroon,29,1992,3,166,55,61.5,1.8,2,70,0,1,27,0,1.33,4,4,0,0.00,0.00,3.1,3.9,-0.8,-0.42,+0.95
Nouhou Tolo,DF,Cameroon,24,1997,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,4,4,0,0.00,,3.4,5.8,-2.3,-0.78,
Takehiro Tomiyasu,"DF,MF",Japan,23,1998,3,187,62,47.9,2.1,1,120,1,2,34,1,2.33,3,1,+2,+0.96,+1.41,2.9,3.2,-0.3,-0.17,-0.02
Mehdi Torabi,MF,IR Iran,27,1994,3,62,21,23.0,0.7,0,,0,3,21,0,1.00,4,2,+2,+2.90,+5.07,1.9,1.5,+0.5,+0.68,+1.29
Lucas Torreira,MF,Uruguay,26,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,
Félix Torres Caicedo,DF,Ecuador,25,1997,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,4,3,+1,+0.33,,3.7,2.6,+1.2,+0.39,
Facundo Torres,"FW,MF",Uruguay,22,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
Ferrán Torres,FW,Spain,22,2000,4,217,54,55.6,2.4,3,61,0,1,34,0,1.25,4,0,+4,+1.66,+0.62,3.4,0.6,+2.7,+1.13,+1.12
Gerson Torres,MF,Costa Rica,24,1997,1,64,64,23.7,0.7,1,64,0,0,,2,3.00,0,0,0,0.00,+3.50,0.0,0.5,-0.4,-0.61,+2.99
Pau Torres,DF,Spain,25,1997,1,90,90,23.1,1.0,1,90,1,0,,3,0.00,1,2,-1,-1.00,-3.10,1.0,1.4,-0.4,-0.42,-1.36
Kevin Trapp,GK,Germany,31,1990,0,,,,,0,,0,0,,3,,,,,,,,,,,
Kieran Trippier,DF,England,31,1990,3,206,69,45.8,2.3,2,90,2,1,26,2,2.33,7,2,+5,+2.18,+0.71,4.1,2.2,+1.9,+0.82,-0.18
Leandro Trossard,"FW,MF",Belgium,27,1994,3,103,34,38.1,1.1,1,58,0,2,23,0,1.33,0,1,-1,-0.87,-0.87,1.4,1.4,0.0,-0.01,-0.10
Matt Turner,GK,United States,27,1994,4,360,90,100.0,4.0,4,90,4,0,,0,1.25,3,4,-1,-0.25,,4.1,4.4,-0.3,-0.07,
Ayase Ueda,FW,Japan,23,1998,1,45,45,11.5,0.5,1,45,0,0,,3,0.00,0,0,0,0.00,-0.26,0.0,0.0,0.0,-0.03,+0.15
Manuel Ugarte Ribeiro,MF,Uruguay,21,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,
Ike Ugbo,FW,Canada,23,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,
Hwang Ui-jo,"FW,MF",Korea Republic,29,1992,4,106,27,29.4,1.2,1,73,0,3,11,0,1.00,1,0,+1,+0.85,+2.27,1.7,0.7,+0.9,+0.78,+2.00
Dayot Upamecano,DF,France,23,1998,5,480,96,72.7,5.3,5,96,5,0,,2,2.60,14,7,+7,+1.31,+0.81,10.9,8.5,+2.4,+0.49,-0.12
Enner Valencia,"FW,MF",Ecuador,32,1989,3,255,85,94.4,2.8,3,85,1,0,,0,1.33,4,3,+1,+0.35,+0.35,3.6,2.5,+1.1,+0.38,-0.20
Federico Valverde,MF,Uruguay,23,1998,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,2,0,0.00,,3.7,3.5,+0.1,+0.05,
Virgil van Dijk,DF,Netherlands,30,1991,5,480,96,100.0,5.3,5,96,5,0,,0,2.20,10,4,+6,+1.13,,4.6,6.1,-1.5,-0.29,-0.29
Hans Vanaken,"FW,MF",Belgium,29,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,
Raphaël Varane,DF,France,29,1993,6,518,86,78.5,5.8,6,86,3,0,,1,2.17,10,7,+3,+0.52,-2.65,7.1,9.0,-2.0,-0.34,-4.04
Guillermo Varela,DF,Uruguay,29,1993,3,183,61,67.8,2.0,2,90,2,1,3,0,1.33,2,2,0,0.00,0.00,3.1,3.0,+0.2,+0.08,+0.08
Ruben Vargas,FW,Switzerland,23,1998,4,285,71,79.2,3.2,4,71,0,0,,0,1.50,5,6,-1,-0.32,+3.28,4.7,4.4,+0.3,+0.10,+0.38
Johan Vásquez,DF,Mexico,23,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,
Matías Vecino,MF,Uruguay,30,1991,3,195,65,72.2,2.2,2,69,0,1,57,0,1.33,0,1,-1,-0.46,-1.66,1.6,1.7,0.0,-0.01,-0.22
Alexis Vega,FW,Mexico,24,1997,3,193,64,71.5,2.1,3,64,0,0,,0,1.33,0,1,-1,-0.47,-0.47,1.9,1.3,+0.7,+0.31,+0.02
Miloš Veljković,DF,Serbia,26,1995,3,221,74,81.9,2.5,3,74,1,0,,0,0.33,5,8,-3,-1.22,-1.22,3.0,6.2,-3.2,-1.30,+0.09
Johan Venegas,"FW,MF",Costa Rica,33,1988,1,73,73,27.0,0.8,1,73,0,0,,2,0.00,2,2,0,0.00,+3.65,1.3,3.0,-1.7,-2.11,+1.08
Jordan Veretout,MF,France,29,1993,1,62,62,9.4,0.7,1,62,0,0,,6,0.00,0,1,-1,-1.45,-2.81,0.2,0.5,-0.3,-0.44,-1.07
Jan Vertonghen,DF,Belgium,35,1987,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,1,2,-1,-0.33,,4.7,4.6,+0.2,+0.05,
Domagoj Vida,"DF,MF",Croatia,33,1989,0,,,,,0,,0,0,,6,,,,,,,,,,,
Matías Viña,DF,Uruguay,24,1997,2,17,9,6.3,0.2,0,,0,2,9,1,0.50,0,1,-1,-5.29,-5.65,0.2,1.0,-0.8,-4.38,-4.73
Vitinha,MF,Portugal,22,2000,3,120,40,26.7,1.3,1,81,0,2,20,2,1.00,2,1,+1,+0.75,-0.61,1.8,1.8,0.0,+0.01,-0.40
Steven Vitória,DF,Canada,35,1987,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,2,7,-5,-1.67,,4.2,3.9,+0.3,+0.11,
Dušan Vlahović,FW,Serbia,22,2000,2,79,40,29.3,0.9,1,54,0,1,25,1,0.00,2,4,-2,-2.28,-1.81,1.2,2.1,-0.9,-0.98,+0.47
Nikola Vlašić,"FW,MF",Croatia,24,1997,6,209,35,30.3,2.3,1,45,0,5,33,1,1.50,2,2,0,0.00,-0.19,2.5,3.3,-0.7,-0.43,+0.13
Stefan de Vrij,DF,Netherlands,30,1992,0,,,,,0,,0,0,,5,,,,,,,,,,,
Danny Vukovic,GK,Australia,37,1985,0,,,,,0,,0,0,,4,,,,,,,,,,,
Mohammed Waad,"MF,DF",Qatar,22,1999,2,28,14,10.4,0.3,0,,0,2,14,1,0.00,0,1,-1,-3.21,-1.35,0.2,0.3,-0.1,-0.17,+0.60
