Player,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Mohammed Muntari,"FW,MF",Qatar,28,1993,3,63,21,23.3,0.7,0,,0,3,21,0,0.00,1,1,0,0.00,+2.61,0.3,0.3,0.0,+0.02,+0.95
Yunus Musah,MF,United States,19,2002,4,343,86,95.3,3.8,4,86,3,0,,0,1.25,3,3,0,0.00,+5.29,3.9,3.5,+0.5,+0.12,+4.33
Jamal Musiala,"MF,FW",Germany,19,2003,3,258,86,95.6,2.9,3,86,2,0,,0,1.33,6,4,+2,+0.70,+8.20,9.5,3.3,+6.2,+2.17,-1.02
Fernando Muslera,GK,Uruguay,35,1986,0,,,,,0,,0,0,,3,,,,,,,,,,,
Joakim Mæhle,DF,Denmark,25,1997,3,249,83,92.2,2.8,3,83,2,0,,0,0.33,1,3,-2,-0.72,-0.72,2.5,3.8,-1.3,-0.49,-1.19
Moussa N'Diaye,DF,Senegal,19,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
Georges-Kévin N'Koudou,"FW,MF",Cameroon,27,1995,2,27,14,10.0,0.3,0,,0,2,14,1,0.50,0,0,0,0.00,0.00,0.1,0.4,-0.3,-1.06,-0.31
Yuto Nagatomo,"MF,DF",Japan,35,1986,4,209,52,53.6,2.3,4,52,0,0,,0,1.75,1,3,-2,-0.86,-2.35,1.3,3.4,-2.1,-0.89,-1.59
Sami Al-Najei,MF,Saudi Arabia,25,1997,1,45,45,16.7,0.5,1,45,0,0,,2,0.00,0,1,-1,-2.00,-1.60,0.9,0.3,+0.6,+1.24,+2.69
Moustapha Name,MF,Senegal,27,1995,0,,,,,0,,0,0,,4,,,,,,,,,,,
Keylor Navas,GK,Costa Rica,35,1986,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,3,11,-8,-2.67,,1.4,10.1,-8.7,-2.90,
Iliman Ndiaye,"FW,MF",Senegal,22,2000,3,135,45,37.5,1.5,2,60,0,1,16,1,2.00,3,4,-1,-0.67,-0.27,2.7,1.5,+1.2,+0.77,+0.81
Victor Nelsson,DF,Denmark,23,1998,1,90,90,33.3,1.0,1,90,1,0,,2,0.00,1,2,-1,-1.00,-0.50,0.6,2.4,-1.8,-1.76,-2.04
Manuel Neuer,GK,Germany,36,1986,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,6,5,+1,+0.33,,10.1,3.4,+6.7,+2.22,
Rúben Neves,MF,Portugal,25,1997,5,268,54,59.6,3.0,4,65,0,1,10,0,1.80,4,3,+1,+0.34,-2.14,3.3,2.9,+0.4,+0.13,-0.41
Neymar,MF,Brazil,30,1992,3,279,93,58.1,3.1,3,93,1,0,,0,2.33,7,2,+5,+1.61,+1.61,8.0,1.2,+6.8,+2.47,+1.26
Moumi Ngamaleu,"FW,MF",Cameroon,27,1994,2,95,48,35.2,1.1,1,85,0,1,10,1,1.50,0,0,0,0.00,0.00,0.3,1.7,-1.4,-1.29,-0.78
Simon Ngapandouetnbu,GK,Cameroon,19,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,
Jerome Ngom Mbekeli,MF,Cameroon,23,1998,1,5,5,1.9,0.1,0,,0,1,5,2,3.00,1,0,+1,+18.00,+18.34,0.1,1.0,-0.9,-15.50,-14.99
Payam Niazmand,GK,IR Iran,27,1995,0,,,,,0,,0,0,,3,,,,,,,,,,,
Nicolas Nkoulou,DF,Cameroon,32,1990,2,180,90,66.7,2.0,2,90,2,0,,0,0.50,3,4,-1,-0.50,-1.50,3.0,3.3,-0.4,-0.18,+1.80
Andries Noppert,GK,Netherlands,28,1994,5,480,96,100.0,5.3,5,96,5,0,,0,2.20,10,4,+6,+1.13,,4.6,6.1,-1.5,-0.29,-0.29
Ahmad Nourollahi,MF,IR Iran,29,1993,3,223,74,82.6,2.5,3,74,0,0,,0,1.00,1,6,-5,-2.02,-5.85,1.6,3.1,-1.5,-0.60,-1.61
Jean-Pierre Nsame,FW,Cameroon,29,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,
Olivier Ntcham,MF,Cameroon,26,1996,1,25,25,9.3,0.3,0,,0,1,25,2,3.00,1,0,+1,+3.60,+3.97,0.2,1.2,-1.0,-3.84,-3.34
Matheus Nunes,MF,Portugal,23,1998,2,73,37,16.2,0.8,1,64,0,1,9,3,1.50,2,1,+1,+1.23,+0.04,2.2,0.8,+1.4,+1.70,+1.67
Darwin Núñez,FW,Uruguay,22,1999,3,240,80,88.9,2.7,3,80,1,0,,0,1.33,2,1,+1,+0.37,+3.37,3.0,2.0,+1.1,+0.40,+3.17
Manaf Nurudeen,GK,Ghana,23,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,
Christian Nørgaard,MF,Denmark,28,1994,1,6,6,2.2,0.1,0,,0,1,6,2,0.00,0,1,-1,-15.00,-14.66,0.0,0.7,-0.7,-10.09,-9.91
Guillermo Ochoa,GK,Mexico,36,1985,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,3,-1,-0.33,,3.3,2.4,+0.9,+0.30,
