Player,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Bernardo Silva,MF,Portugal,27,1994,4.0,256,292,87.7,4160,778,142,153,92.8,88,93,94.6,20,30,66.7,0,0.4,0.3,-0.4,5,16,1,0,18
Thiago Silva,DF,Brazil,37,1984,4.3,322,344,93.6,6145,2410,115,120,95.8,174,181,96.1,32,39,82.1,1,0.9,0.6,+0.1,4,15,3,1,21
Unai Simón,GK,Spain,25,1997,4.3,150,160,93.8,3167,2017,38,38,100.0,92,95,96.8,20,27,74.1,0,0.0,0.0,0.0,0,0,0,0,1
Xavi Simons,"FW,MF",Netherlands,19,2003,0.1,6,10,60.0,89,36,4,7,57.1,2,2,100.0,0,0,,0,0.0,0.1,0.0,0,0,2,0,3
Ellyes Skhiri,MF,Tunisia,27,1995,3.0,109,127,85.8,1976,841,44,46,95.7,52,59,88.1,12,19,63.2,0,0.1,0.1,-0.1,3,14,2,0,17
Michał Skóraś,MF,Poland,22,2000,0.5,8,9,88.9,127,4,1,2,50.0,6,6,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Andreas Skov Olsen,"FW,MF",Denmark,22,1999,1.5,43,63,68.3,652,116,25,28,89.3,15,20,75.0,3,4,75.0,0,0.0,0.1,0.0,0,2,1,0,4
Robert Skov,DF,Denmark,26,1996,0.2,17,21,81.0,281,55,7,8,87.5,9,9,100.0,1,3,33.3,0,0.0,0.4,0.0,0,1,1,1,2
Naïm Sliti,"MF,FW",Tunisia,29,1992,1.3,29,51,56.9,557,202,11,17,64.7,12,16,75.0,5,16,31.3,0,0.1,0.1,-0.1,2,3,3,1,9
Carlos Soler,MF,Spain,25,1997,1.0,78,83,94.0,1300,278,38,39,97.4,30,31,96.8,8,9,88.9,0,0.2,0.1,-0.2,2,12,1,0,10
