Player,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Karim Ansarifard,"FW,MF",IR Iran,32,1990,0.4,0,1,0,0.0,2.57,0.00,0.00,,21.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Antony,FW,Brazil,22,2000,1.9,0,6,2,33.3,3.14,1.05,0.00,0.00,22.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Uriel Antuna,"FW,MF",Mexico,24,1997,0.9,0,2,1,50.0,2.34,1.17,0.00,0.00,16.2,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Néstor Araujo,DF,Mexico,30,1991,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Takuma Asano,FW,Japan,27,1994,1.8,1,8,2,25.0,4.36,1.09,0.13,0.50,13.2,0,0,0,0.7,0.7,0.08,+0.3,+0.3
Marco Asensio,FW,Spain,26,1996,2.5,1,10,2,20.0,3.93,0.79,0.10,0.50,20.1,0,0,0,1.2,1.2,0.12,-0.2,-0.2
Ali Assadalla,MF,Qatar,29,1993,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Lawrence Ati-Zigi,GK,Ghana,25,1996,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Nathaniel Atkinson,DF,Australia,23,1999,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Yahya Attiat Allah,DF,Morocco,27,1995,3.5,0,2,0,0.0,0.57,0.00,0.00,,13.0,0,0,0,0.2,0.2,0.11,-0.2,-0.2
André Ayew,"MF,FW",Ghana,32,1989,2.2,1,1,1,100.0,0.45,0.45,1.00,1.00,17.3,0,0,1,1.1,0.4,0.36,-0.1,+0.6
Jordan Ayew,FW,Ghana,30,1991,1.5,0,1,1,100.0,0.66,0.66,0.00,0.00,21.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Sardar Azmoun,FW,IR Iran,27,1995,1.4,0,5,3,60.0,3.57,2.14,0.00,0.00,13.9,0,0,0,0.9,0.9,0.19,-0.9,-0.9
César Azpilicueta,DF,Spain,32,1989,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Srđan Babić,DF,Serbia,26,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Keanu Baccus,MF,Australia,24,1998,1.3,0,1,0,0.0,0.79,0.00,0.00,,23.9,0,0,0,0.0,0.0,0.05,0.0,0.0
Alexander Bah,DF,Denmark,24,1997,0.5,0,2,0,0.0,3.91,0.00,0.00,,19.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Hattan Bahebri,MF,Saudi Arabia,29,1992,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Alejandro Balde,DF,Spain,18,2003,1.4,0,1,0,0.0,0.71,0.00,0.00,,11.3,0,0,0,0.0,0.0,0.05,0.0,0.0
Gareth Bale,FW,Wales,32,1989,2.5,1,1,1,100.0,0.40,0.40,0.00,0.00,46.6,0,1,1,0.8,0.0,0.02,+0.2,0.0
Fodé Ballo-Touré,DF,Senegal,25,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Badr Banoun,DF,Morocco,28,1993,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Borna Barišić,DF,Croatia,29,1992,1.3,0,1,0,0.0,0.75,0.00,0.00,,24.8,0,0,0,0.0,0.0,0.02,0.0,0.0
Meshaal Barsham,GK,Qatar,24,1998,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Christian Bassogog,MF,Cameroon,26,1995,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Michy Batshuayi,FW,Belgium,28,1993,1.7,1,6,2,33.3,3.58,1.19,0.17,0.50,15.4,0,0,0,0.8,0.8,0.13,+0.2,+0.2
Jan Bednarek,DF,Poland,26,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Aziz Behich,DF,Australia,31,1990,4.0,0,2,0,0.0,0.50,0.00,0.00,,16.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Alireza Beiranvand,GK,IR Iran,29,1992,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jude Bellingham,MF,England,18,2003,4.6,1,5,3,60.0,1.09,0.65,0.20,0.33,12.4,0,0,0,0.6,0.6,0.11,+0.4,+0.4
Anis Ben Slimane,MF,Tunisia,21,2001,1.6,0,1,1,100.0,0.61,0.61,0.00,0.00,9.6,0,0,0,0.1,0.1,0.11,-0.1,-0.1
Jewison Bennette,MF,Costa Rica,17,2004,1.1,0,1,0,0.0,0.87,0.00,0.00,,28.6,0,0,0,0.0,0.0,0.04,0.0,0.0
Rodrigo Bentancur,MF,Uruguay,24,1997,2.4,0,3,1,33.3,1.27,0.42,0.00,0.00,15.8,0,0,0,0.6,0.6,0.21,-0.6,-0.6
Bartosz Bereszyński,DF,Poland,29,1992,3.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Steven Berghuis,MF,Netherlands,30,1991,2.2,0,5,0,0.0,2.25,0.00,0.00,,22.5,1,0,0,0.3,0.3,0.05,-0.3,-0.3
Steven Bergwijn,FW,Netherlands,24,1997,2.4,0,2,0,0.0,0.85,0.00,0.00,,15.5,0,0,0,0.5,0.5,0.25,-0.5,-0.5
Krystian Bielik,MF,Poland,24,1998,2.4,0,2,0,0.0,0.83,0.00,0.00,,15.8,0,0,0,0.2,0.2,0.09,-0.2,-0.2
Daley Blind,DF,Netherlands,32,1990,4.7,1,5,2,40.0,1.06,0.43,0.20,0.50,12.3,0,0,0,0.4,0.4,0.08,+0.6,+0.6
Celso Borges,MF,Costa Rica,34,1988,2.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Milan Borjan,GK,Canada,34,1987,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Karim Boudiaf,MF,Qatar,31,1990,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Sofiane Boufal,FW,Morocco,28,1993,5.3,0,7,1,14.3,1.33,0.19,0.00,0.00,21.0,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Yassine Bounou,GK,Morocco,31,1991,6.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Martin Braithwaite,"FW,MF",Denmark,31,1991,1.1,0,1,0,0.0,0.87,0.00,0.00,,11.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Mohammed Al-Breik,DF,Saudi Arabia,29,1992,0.7,0,2,1,50.0,2.77,1.38,0.00,0.00,20.4,0,0,0,0.4,0.0,0.01,-0.4,0.0
Gleison Bremer,DF,Brazil,25,1997,1.2,0,1,0,0.0,0.83,0.00,0.00,,5.5,0,0,0,0.2,0.2,0.17,-0.2,-0.2
Dylan Bronn,DF,Tunisia,26,1995,1.8,0,1,0,0.0,0.56,0.00,0.00,,17.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Marcelo Brozović,MF,Croatia,29,1992,6.1,0,4,2,50.0,0.65,0.33,0.00,0.00,17.4,0,0,0,0.5,0.5,0.13,-0.5,-0.5
Tajon Buchanan,"MF,DF",Canada,23,1999,2.9,0,5,0,0.0,1.73,0.00,0.00,,15.0,0,0,0,0.9,0.9,0.19,-0.9,-0.9
Ante Budimir,FW,Croatia,30,1991,0.6,0,1,0,0.0,1.64,0.00,0.00,,10.8,0,0,0,0.2,0.2,0.18,-0.2,-0.2
Osman Bukari,MF,Ghana,23,1998,0.7,1,3,1,33.3,4.58,1.53,0.33,1.00,17.6,0,0,0,0.5,0.5,0.17,+0.5,+0.5
Ali Al-Bulaihi,DF,Saudi Arabia,32,1989,2.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Firas Al-Buraikan,"MF,FW",Saudi Arabia,22,2000,3.0,0,2,0,0.0,0.67,0.00,0.00,,15.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Sergio Busquets,MF,Spain,33,1988,4.0,0,2,0,0.0,0.50,0.00,0.00,,20.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Martín Cáceres,DF,Uruguay,35,1987,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Moisés Caicedo,MF,Ecuador,20,2001,3.0,1,3,1,33.3,1.00,0.33,0.33,1.00,16.0,0,0,0,0.5,0.5,0.17,+0.5,+0.5
Francisco Calvo,DF,Costa Rica,29,1992,2.0,0,1,0,0.0,0.50,0.00,0.00,,28.8,0,0,0,0.0,0.0,0.01,0.0,0.0
