Player,Pos,Squad,Age,Club,Born,MatchesPlayed,Starts,Min,90s,GoalsConceded,GoalsConceded90,SoTAgainst,Saves,Saves%,W,D,L,CleanSheet,CleanSheet%,PKatt,PKConcede,PKSaved,PKMissed,PKSaved%
Alisson,GK,Brazil,29,Liverpool,1992,4,4,379,4.2,2,0.47,7,5,71.4,3,1,0,2,50.0,0,0,0,0,
Lawrence Ati-Zigi,GK,Ghana,25,St. Gallen,1996,3,3,270,3.0,7,2.33,17,10,64.7,1,0,2,0,0.0,1,1,0,0,0.0
Meshaal Barsham,GK,Qatar,24,Al Sadd,1998,2,2,180,2.0,5,2.50,9,4,44.4,0,0,2,0,0.0,0,0,0,0,
Alireza Beiranvand,GK,IR Iran,29,Persepolis,1992,2,2,109,1.2,1,0.83,5,4,80.0,0,0,2,0,0.0,0,0,0,0,
Milan Borjan,GK,Canada,34,Red Star,1987,3,3,270,3.0,7,2.33,15,8,53.3,0,0,3,0,0.0,0,0,0,0,
Yassine Bounou,GK,Morocco,31,Sevilla,1991,6,6,570,6.3,5,0.79,11,7,54.5,2,2,2,3,50.0,0,0,0,0,
Diogo Costa,GK,Portugal,22,Porto,1999,5,5,450,5.0,6,1.20,17,11,64.7,3,0,2,1,20.0,0,0,0,0,
Thibaut Courtois,GK,Belgium,30,Real Madrid,1992,3,3,270,3.0,2,0.67,11,8,81.8,1,1,1,2,66.7,1,0,1,0,100.0
Aymen Dahmen,GK,Tunisia,25,CS Sfaxien,1997,3,3,270,3.0,1,0.33,10,9,90.0,1,1,1,2,66.7,0,0,0,0,
Ederson,GK,Brazil,28,Manchester City,1993,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,
Devis Epassy,GK,Cameroon,29,Abha,1993,2,2,180,2.0,3,1.50,12,9,75.0,1,1,0,1,50.0,0,0,0,0,
Hernán Galíndez,GK,Ecuador,35,SD Aucas,1987,3,3,270,3.0,3,1.00,4,1,50.0,1,1,1,1,33.3,1,1,0,0,0.0
Shūichi Gonda,GK,Japan,33,S-Pulse,1989,4,4,390,4.3,4,0.92,19,15,84.2,2,1,1,0,0.0,1,1,0,0,0.0
Wayne Hennessey,GK,Wales,35,Nott'ham Forest,1987,2,2,175,1.9,1,0.51,5,4,80.0,0,1,1,0,0.0,0,0,0,0,
Hossein Hosseini,GK,IR Iran,29,Esteghlal,1992,2,1,161,1.8,6,3.35,10,4,40.0,1,0,0,1,100.0,0,0,0,0,
