Player,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Jordan Ayew,FW,Ghana,30,1991,1.5,3,3,1,2,0,0,1,0.0,1,0,0,0,1,4,1,0
Sardar Azmoun,FW,IR Iran,27,1995,1.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
César Azpilicueta,DF,Spain,32,1989,1.5,1,0,1,0,0,0,0,,0,2,0,2,1,2,0,0
Srđan Babić,DF,Serbia,26,1996,0.1,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,1,0
Keanu Baccus,MF,Australia,24,1998,1.3,1,1,1,0,0,0,2,0.0,2,5,0,5,2,3,1,0
Alexander Bah,DF,Denmark,24,1997,0.5,4,4,2,1,1,2,3,66.7,1,2,0,2,2,6,0,0
Hattan Bahebri,MF,Saudi Arabia,29,1992,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Alejandro Balde,DF,Spain,18,2003,1.4,6,6,2,2,2,2,2,100.0,0,2,0,2,0,6,2,0
Gareth Bale,FW,Wales,32,1989,2.5,1,1,1,0,0,0,2,0.0,2,1,0,1,1,2,1,0
Fodé Ballo-Touré,DF,Senegal,25,1997,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Badr Banoun,DF,Morocco,28,1993,0.6,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,0
Borna Barišić,DF,Croatia,29,1992,1.3,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,4,0
Meshaal Barsham,GK,Qatar,24,1998,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
Christian Bassogog,MF,Cameroon,26,1995,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Michy Batshuayi,FW,Belgium,28,1993,1.7,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0
Jan Bednarek,DF,Poland,26,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Aziz Behich,DF,Australia,31,1990,4.0,8,3,5,3,0,5,6,83.3,1,6,2,4,3,11,12,0
Alireza Beiranvand,GK,IR Iran,29,1992,1.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Jude Bellingham,MF,England,18,2003,4.6,16,15,5,6,5,5,6,83.3,1,10,0,10,5,21,0,0
Anis Ben Slimane,MF,Tunisia,21,2001,1.6,3,1,2,1,0,0,0,,0,2,0,2,1,4,1,0
Jewison Bennette,MF,Costa Rica,17,2004,1.1,0,0,0,0,0,0,3,0.0,3,2,0,2,0,0,0,0
Rodrigo Bentancur,MF,Uruguay,24,1997,2.4,9,8,4,4,1,3,3,100.0,0,3,0,3,7,16,5,0
Bartosz Bereszyński,DF,Poland,29,1992,3.8,6,2,6,0,0,3,6,50.0,3,4,1,3,2,8,17,0
Steven Berghuis,MF,Netherlands,30,1991,2.2,2,1,1,0,1,1,2,50.0,1,1,0,1,0,2,0,0
Steven Bergwijn,FW,Netherlands,24,1997,2.4,1,1,1,0,0,0,1,0.0,1,2,0,2,0,1,0,0
Krystian Bielik,MF,Poland,24,1998,2.4,5,3,1,3,1,2,4,50.0,2,1,0,1,5,10,6,0
Daley Blind,DF,Netherlands,32,1990,4.7,14,9,6,5,3,6,9,66.7,3,6,1,5,5,19,4,0
Celso Borges,MF,Costa Rica,34,1988,2.8,5,1,2,3,0,2,5,40.0,3,8,3,5,4,9,7,0
Milan Borjan,GK,Canada,34,1987,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1
Karim Boudiaf,MF,Qatar,31,1990,2.1,2,1,0,2,0,2,5,40.0,3,0,0,0,0,2,3,0
