Player,Nation,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Christopher Bonsu Baah,GHA,"FW,MF",Genk,19-324,2004,7.6,19,14,5,11,3,5,8,62.5,3,3,0,3,4,23,6,0
Jordan Bos,AUS,DF,Westerlo,22-004,2002,3.3,3,2,1,1,1,0,2,0.0,2,8,1,7,6,9,12,0
Sofiane Boufal,MAR,MF,Union SG,31-046,1993,1.2,7,4,5,1,1,3,4,75.0,1,1,0,1,1,8,0,0
Amine Boukamir,BEL,MF,Charleroi,18-010,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Rosen Bozhinov,BUL,DF,Antwerp,19-284,2005,0.0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,1
Bilal Brahimi,ALG,"MF,FW",Sint-Truiden,24-233,2000,4.9,1,1,0,1,0,0,5,0.0,5,2,0,2,2,3,1,1
Archie Brown,ENG,DF,Gent,22-158,2002,11.0,18,12,10,5,3,9,15,60.0,6,18,4,14,7,25,31,2
Bruninho,BRA,"MF,FW",Cercle Brugge,21-233,2003,3.5,1,0,1,0,0,1,6,16.7,5,1,0,1,1,2,2,0
Paris Brunner,GER,"MF,FW",Cercle Brugge,18-261,2006,0.8,2,0,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0
Massimo Bruno,BEL,MF,Kortrijk,31-046,1993,4.7,13,6,8,3,2,6,12,50.0,6,8,1,7,1,14,7,0
Marko Bulat,CRO,"MF,FW",Standard Liège,23-037,2001,10.6,18,14,6,7,5,8,16,50.0,8,8,4,4,10,28,9,0
Christian Burgess,ENG,DF,Union SG,33-026,1991,5.0,7,3,4,3,0,6,9,66.7,3,8,4,4,3,10,20,0
Welat Cagro,BEL,MF,Beerschot,25-155,1999,5.9,13,8,4,7,2,4,8,50.0,4,10,0,10,5,18,2,0
Alexandro Calut,BEL,"DF,MF",Standard Liège,21-194,2003,1.3,2,1,1,1,0,0,1,0.0,1,0,0,0,2,4,3,0
Etienne Camara,FRA,MF,Charleroi,21-217,2003,9.8,21,12,7,13,1,7,16,43.8,9,9,2,7,6,27,7,0
Ilay Camara,BEL,DF,Standard Liège,21-289,2003,7.7,14,10,9,5,0,12,18,66.7,6,8,1,7,5,19,10,0
Alessio Castro-Montes,BEL,"DF,FW",Union SG,27-169,1997,9.2,16,8,6,6,4,7,17,41.2,10,16,2,14,8,24,8,0
Tjaronn Chery,SUR,"MF,FW",Antwerp,36-151,1988,10.4,8,5,4,3,1,3,8,37.5,5,1,0,1,0,8,3,0
Antoine Colassin,BEL,"FW,MF",Beerschot,23-250,2001,2.9,9,6,3,3,3,6,6,100.0,0,4,0,4,1,10,5,0
Kobe Cools,BEL,DF,Dender,27-100,1997,12.0,16,6,12,3,1,5,8,62.5,3,22,19,3,23,39,87,1
Colin Coosemans,BEL,GK,Anderlecht,32-091,1992,12.0,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,10,1
Jo Coppens,BEL,GK,Sint-Truiden,33-317,1990,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Kobe Corbanie,BEL,"MF,DF",Antwerp,19-176,2005,4.8,10,8,5,5,0,6,8,75.0,2,7,4,3,5,15,7,0
Ayrton Costa,ARG,DF,Antwerp,25-113,1999,10.1,31,21,21,8,2,20,35,57.1,15,18,4,14,23,54,29,0
Carlos Cuesta,COL,DF,Genk,25-238,1999,2.5,6,5,2,4,0,1,1,100.0,0,1,0,1,1,7,7,0
Oday Dabbagh,PLE,FW,Charleroi,25-335,1998,3.3,2,2,0,1,1,0,1,0.0,1,1,0,1,0,2,0,0
Colin Dagba,FRA,"FW,DF",Beerschot,26-054,1998,3.0,16,8,9,4,3,7,14,50.0,7,6,2,4,3,19,5,0
Jón Dagur Þorsteinsson,ISL,"MF,FW",OH Leuven,25-342,1998,1.0,1,1,0,0,1,0,1,0.0,1,0,0,0,1,2,1,0
Jesper Daland,NOR,DF,Cercle Brugge,24-301,2000,2.0,3,2,2,1,0,1,1,100.0,0,3,2,1,2,5,10,0
Tobi David,CAN,FW,Union SG,23-122,2001,1.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
Maxim De Cuyper,BEL,DF,Club Brugge,23-316,2000,11.1,18,13,15,3,0,9,17,52.9,8,12,3,9,5,23,25,1
Dion De Neve,BEL,DF,Kortrijk,22-143,2002,8.1,20,9,12,5,3,10,16,62.5,6,14,1,13,5,25,20,0
Kamiel Van De Perre,BEL,MF,Union SG,20-264,2004,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Nils De Wilde,BEL,MF,Cercle Brugge,21-280,2003,0.3,0,0,0,0,0,0,3,0.0,3,1,0,1,0,0,2,0
Ortwin De Wolf,BEL,GK,Mechelen,27-193,1997,12.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,6,2
Max Dean,ENG,FW,Gent,20-255,2004,4.5,2,1,0,1,1,1,6,16.7,5,2,0,2,0,2,2,0
Théo Defourny,BEL,GK,Charleroi,32-191,1992,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Tristan Degreef,BEL,"MF,FW",Anderlecht,19-288,2005,1.1,1,1,0,1,0,1,2,50.0,1,1,0,1,1,2,2,0
Brecht Dejaegere,BEL,MF,Kortrijk,33-157,1991,5.1,15,10,4,8,3,4,10,40.0,6,13,3,10,11,26,4,0
Maxime Delanghe,BEL,GK,Cercle Brugge,23-163,2001,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0
Mathias Delorge,BEL,MF,Gent,20-094,2004,11.8,29,17,7,20,2,18,36,50.0,18,11,3,8,15,44,17,1
Isaías Delpupo,ARG,"MF,FW",Sint-Truiden,21-216,2003,0.3,2,0,0,2,0,2,2,100.0,0,2,0,2,0,2,1,0
Bas van den Eynden,BEL,DF,Mechelen,22-300,2002,5.0,8,6,6,2,0,3,6,50.0,3,14,9,5,7,15,31,0
Leander Dendoncker,BEL,"DF,MF",Anderlecht,29-201,1995,6.0,11,9,6,4,1,3,11,27.3,8,7,3,4,7,18,14,0
Kévin Denkey,TOG,FW,Cercle Brugge,23-338,2000,10.4,4,3,0,2,2,1,1,100.0,0,6,0,6,0,4,2,0
Alfie Devine,ENG,MF,Westerlo,20-093,2004,5.5,8,3,2,4,2,5,8,62.5,3,2,0,2,6,14,3,0
Julien Devriendt,BEL,GK,Dender,25-343,1998,1.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Gilles Dewaele,BEL,DF,Kortrijk,28-263,1996,4.9,4,3,2,1,1,2,5,40.0,3,2,1,1,5,9,12,0
Ibrahim Diakité,GUI,"DF,MF",Cercle Brugge,21-002,2003,4.0,7,4,4,3,0,4,5,80.0,1,14,2,12,7,14,17,0
Guillaume Dietsch,FRA,GK,Dender,23-199,2001,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Alouis Diriken,BEL,MF,Sint-Truiden,20-303,2004,1.6,2,0,1,1,0,1,3,33.3,2,0,0,0,2,4,1,0
Kasper Dolberg,DEN,FW,Anderlecht,27-027,1997,9.6,4,4,2,1,1,2,6,33.3,4,2,0,2,0,4,5,1
Mahamadou Doumbia,MLI,MF,Antwerp,20-171,2004,10.4,19,14,8,10,1,5,13,38.5,8,9,4,5,9,28,12,1
Souleyman Doumbia,CIV,DF,Standard Liège,28-039,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Vetle Dragsnes,NOR,DF,Charleroi,30-270,1994,11.3,17,11,10,6,1,8,21,38.1,13,12,3,9,6,23,28,0
Anders Dreyer,DEN,"FW,MF",Anderlecht,26-184,1998,8.1,5,4,1,3,1,1,3,33.3,2,4,1,3,1,6,4,0
Olivier Dumont,BEL,"FW,MF",Sint-Truiden,22-241,2002,1.9,7,5,6,1,0,3,6,50.0,3,0,0,0,1,8,3,0
Dennis Eckert,GER,FW,Standard Liège,27-298,1997,4.4,4,2,0,3,1,0,1,0.0,1,2,0,2,2,6,3,0
Dennis Eckert,GER,FW,Union SG,27-298,1997,2.2,1,0,0,0,1,0,1,0.0,1,3,1,2,0,1,0,0
Samuel Edozie,ENG,"FW,MF",Anderlecht,21-279,2003,4.0,4,3,2,0,2,2,2,100.0,0,1,0,1,0,4,0,0
Malamine Efekele,FRA,"MF,FW",Cercle Brugge,20-106,2004,1.6,1,1,0,1,0,0,0,,0,0,0,0,1,2,2,0
Jurgen Ekkelenkamp,NED,MF,Antwerp,24-211,2000,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Matthieu Epolo,BEL,GK,Standard Liège,20-292,2004,12.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,8,1
Alieu Fadera,GAM,MF,Genk,22-365,2001,2.0,11,10,7,1,3,3,7,42.9,4,4,0,4,2,13,0,1
Noah Fadiga,SEN,DF,Gent,24-335,1999,8.4,9,6,4,4,1,3,4,75.0,1,10,1,9,4,13,10,0
Omar Fayed,EGY,MF,Beerschot,21-121,2003,0.3,4,3,2,2,0,2,2,100.0,0,0,0,0,0,4,2,0
Matias Fernandez-Pardo,BEL,"MF,FW",Gent,19-273,2005,1.8,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,0,0
Andrés Ferrari,URU,"FW,DF",Sint-Truiden,21-304,2003,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Fabio Ferraro,BEL,DF,Dender,22-060,2002,10.6,24,16,15,5,4,17,29,58.6,12,15,1,14,11,35,35,0
Nacho Ferri,ESP,FW,Kortrijk,20-028,2004,8.3,9,9,2,2,5,2,6,33.3,4,7,1,6,0,9,5,0
Karol Fila,POL,DF,Dender,26-142,1998,2.8,6,4,3,2,1,3,7,42.9,4,3,0,3,6,12,3,0
Mathias Fixelles,BEL,MF,Westerlo,28-083,1996,0.0,3,1,0,3,0,2,2,100.0,0,0,0,0,0,3,0,0
Alexis Flips,FRA,FW,Anderlecht,24-289,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Alexis Flips,FRA,"FW,MF",Charleroi,24-289,2000,2.2,5,0,5,0,0,3,7,42.9,4,1,0,1,2,7,3,0
