Player,Nation,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Mohamed Ali Ben Romdhane,TUN,FW,Ferencváros,25-041,1999,0.6,2,2,2,0,0,1,2,50.0,1,1,0,1,0,2,0,0
Cristian Romero,ARG,DF,Tottenham,26-173,1998,1.0,3,1,2,1,0,2,3,66.7,1,3,1,2,1,4,6,0
Philippe Rommens,BEL,MF,Ferencváros,27-058,1997,1.0,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0
Bart van Rooij,NED,DF,Twente,23-144,2001,2.0,6,6,4,0,2,3,5,60.0,2,3,1,2,1,7,4,0
Pablo Rosario,NED,MF,Nice,27-284,1997,1.8,2,0,0,1,1,1,3,33.3,2,1,1,0,0,2,0,1
Otto Rosengren,SWE,MF,Malmö,21-154,2003,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Colin Rosler,NOR,DF,Malmö,24-178,2000,2.0,2,1,2,0,0,1,1,100.0,0,1,0,1,1,3,8,0
Daan Rots,NED,MF,Twente,23-084,2001,0.4,1,0,0,0,1,0,2,0.0,2,1,0,1,2,3,0,0
Nicolò Rovella,ITA,MF,Lazio,22-318,2001,1.5,7,2,2,4,1,5,8,62.5,3,0,0,0,4,11,2,0
Valentyn Rubchynskyi,UKR,"MF,FW",Dynamo Kyiv,22-245,2002,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Daniele Rugani,ITA,DF,Ajax,30-080,1994,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
Georgi Rusev,BUL,FW,Ludogorets,26-107,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Rwan,BRA,"FW,MF",Ludogorets,23-150,2001,1.7,1,0,0,1,0,0,2,0.0,2,0,0,0,0,1,1,0
Noah Sadiki,COD,MF,Union SG,19-305,2004,1.9,3,1,0,2,1,2,3,66.7,1,1,0,1,0,3,2,0
Ibrahim Sadiq,GHA,FW,AZ Alkmaar,24-163,2000,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Umar Sadiq,NGA,FW,Real Sociedad,27-258,1997,0.5,1,0,0,1,0,0,0,,0,1,0,1,0,1,5,0
Allan Saint-Maximin,FRA,FW,Fenerbahçe,27-219,1997,0.3,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
Anass Salah-Eddine,NED,DF,Twente,22-273,2002,2.0,5,4,2,3,0,4,5,80.0,1,1,0,1,4,9,5,0
Saldanha,BRA,MF,Ferencváros,25-060,1999,0.9,3,2,1,2,0,1,2,50.0,1,2,0,2,0,3,0,0
Ulrik Saltnes,NOR,MF,Bodø/Glimt,31-342,1992,1.2,3,3,3,0,0,0,1,0.0,1,2,1,1,3,6,2,0
Oihan Sancet,ESP,MF,Athletic Club,24-175,2000,1.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
Davinson Sánchez,COL,DF,Galatasaray,28-127,1996,2.0,6,4,2,4,0,2,4,50.0,2,2,0,2,2,8,8,0
Kauã Santos,BRA,GK,Eint Frankfurt,21-189,2003,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
Gabriel Sara,BRA,MF,Galatasaray,25-113,1999,2.0,4,4,2,1,1,1,1,100.0,0,4,0,4,2,6,0,0
Killian Sardella,BEL,DF,Anderlecht,22-168,2002,1.3,2,2,2,0,0,1,2,50.0,1,4,2,2,1,3,6,0
Joan Sastre Vanrell,ESP,DF,PAOK,27-170,1997,0.8,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0
Roberts Savaļnieks,LVA,DF,FK Rīgas FS,31-256,1993,1.0,0,0,0,0,0,0,1,0.0,1,4,1,3,3,3,3,0
Stefan Schwab,AUT,MF,PAOK,34-020,1990,0.4,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
Stephan El Shaarawy,ITA,DF,Roma,31-356,1992,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Mykola Shaparenko,UKR,MF,Dynamo Kyiv,26-013,1998,1.7,1,0,0,1,0,0,1,0.0,1,3,0,3,2,3,4,0
Volodymyr Shepelyev,UKR,MF,Dynamo Kyiv,27-138,1997,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Raz Shlomo,ISR,DF,Maccabi Tel Aviv,25-065,1999,2.0,4,3,2,1,1,2,4,50.0,2,1,1,0,5,9,9,0
Eldor Shomurodov,UZB,FW,Roma,29-110,1995,0.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Shola Shoretire,ENG,FW,PAOK,20-258,2004,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
Luka Silagadze,GEO,MF,FK Rīgas FS,25-179,1999,0.2,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
Matheus Silva,BRA,DF,Qarabağ,27-014,1997,0.9,1,1,1,0,0,0,0,,0,0,0,0,2,3,2,0
Rafa Silva,POR,"MF,FW",Beşiktaş,31-153,1993,1.7,1,1,1,0,0,0,0,,0,3,0,3,0,1,0,0
Jan-Carlo Simic,SRB,DF,Anderlecht,19-168,2005,2.0,1,1,0,1,0,1,1,100.0,0,4,3,1,2,3,14,0
Doguhan Simsir,DEN,MF,Midtjylland,22-120,2002,1.5,4,1,0,3,1,3,3,100.0,0,1,0,1,0,4,0,0
Issouf Sissokho,MLI,MF,Maccabi Tel Aviv,22-261,2002,2.0,7,6,1,5,1,2,10,20.0,8,1,0,1,5,12,1,0
Fredrik Sjøvold,NOR,DF,Bodø/Glimt,21-061,2003,1.5,4,2,1,2,1,4,6,66.7,2,1,0,1,4,8,6,0
Ellyes Skhiri,TUN,MF,Eint Frankfurt,29-160,1995,1.2,5,3,3,1,1,1,4,25.0,3,2,0,2,3,8,1,0
Alexandr Sojka,,MF,Viktoria Plzeň,21-198,2003,0.2,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
Dominic Solanke,ENG,"FW,MF",Tottenham,27-033,1997,1.0,3,1,1,2,0,0,2,0.0,2,0,0,0,1,4,1,0
Son,ESP,DF,Ludogorets,30-201,1994,2.0,3,3,3,0,0,2,3,66.7,1,3,0,3,0,3,6,1
Matìas Soulé,ARG,"MF,FW",Roma,21-185,2003,1.2,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0
John Souttar,SCO,DF,Rangers,28-022,1996,2.0,0,0,0,0,0,0,0,,0,3,3,0,0,0,11,0
Çağlar Söyüncü,TUR,DF,Fenerbahçe,28-147,1996,1.0,5,0,4,1,0,2,3,66.7,1,1,1,0,0,5,0,0
Anton Stach,GER,DF,Hoffenheim,25-337,1998,1.0,1,1,1,0,0,1,1,100.0,0,1,1,0,2,3,5,0
Marko Stamenic,NZL,MF,Olympiacos,22-241,2002,0.3,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Marius Ştefănescu,ROU,FW,FCSB,26-064,1998,0.7,4,1,2,2,0,3,4,75.0,1,1,0,1,1,5,1,0
Sem Steijn,NED,MF,Twente,22-335,2001,1.6,1,1,1,0,0,1,2,50.0,1,3,2,1,1,2,0,0
Orri Steinn Óskarsson,ISL,FW,Real Sociedad,20-049,2004,0.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Dujon Sterling,ENG,FW,Rangers,24-359,1999,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Nemanja Stojić,SRB,DF,Maccabi Tel Aviv,26-276,1998,2.0,1,1,1,0,0,1,2,50.0,1,7,6,1,2,3,12,0
Mario Stroeykens,BEL,"FW,MF",Anderlecht,20-018,2004,1.7,6,4,2,4,0,0,0,,0,1,0,1,2,8,0,0
Jens Stryger Larsen,DEN,DF,Malmö,33-239,1991,2.0,1,1,0,1,0,1,3,33.3,2,2,0,2,2,3,6,0
Elvis Stuglis,LVA,"DF,FW",FK Rīgas FS,31-105,1993,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0
Luka Sučić,CRO,MF,Real Sociedad,22-039,2002,0.2,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Pavel Šulc,CZE,MF,Viktoria Plzeň,23-293,2000,2.0,5,2,1,2,2,2,4,50.0,2,3,0,3,1,6,3,0
Adrian Șut,ROU,MF,FCSB,25-170,1999,1.3,3,2,0,1,2,0,1,0.0,1,4,1,3,0,3,5,0
Josip Šutalo,CRO,DF,Ajax,24-232,2000,2.0,4,3,4,0,0,1,1,100.0,0,3,2,1,5,9,10,0
