Player,Nation,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Tidjany Chabrol,FRA,FW,Gil Vicente FC,22-115,2002,3.7,6,4,3,3,0,4,8,50.0,4,3,0,3,0,6,5,0
Till Cissokho,FRA,DF,Estrela,24-273,2000,4.0,1,0,1,0,0,0,1,0.0,1,0,0,0,2,3,12,1
Clayton,BRA,DF,AVS Futebol,24-217,2000,2.0,0,0,0,0,0,0,3,0.0,3,5,1,4,1,1,7,0
Clayton,BRA,FW,Rio Ave,25-301,1999,9.6,4,1,0,3,1,1,6,16.7,5,3,1,2,1,5,7,0
Diego Collado,ESP,"MF,FW",Gil Vicente FC,23-303,2001,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Fábio Conceição,POR,"DF,MF",Rio Ave,23-193,2001,3.2,7,5,3,2,2,3,8,37.5,5,3,1,2,2,9,4,0
Leo Cordeiro,BRA,MF,Estrela,29-041,1995,8.5,11,7,3,7,1,6,15,40.0,9,16,3,13,3,14,4,1
Félix Correia,POR,"FW,MF",Gil Vicente FC,23-290,2001,9.9,11,7,6,5,0,7,14,50.0,7,6,0,6,14,25,17,0
Alberto costa,POR,DF,Vitória,21-039,2003,1.5,0,0,0,0,0,0,1,0.0,1,4,0,4,1,1,9,0
Bruno Xavier Almeida Costa,POR,"MF,FW",Nacional,27-202,1997,2.1,1,0,1,0,0,1,5,20.0,4,3,1,2,0,1,0,0
Diogo Costa,POR,GK,Porto,25-049,1999,10.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Gonçalo Costa,POR,DF,Estoril,24-263,2000,0.3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0
Hélder Costa,ANG,FW,Estoril,30-300,1994,2.3,2,0,1,0,1,1,5,20.0,4,1,0,1,0,2,0,0
João Costa,POR,FW,Santa Clara,24-245,2000,1.4,3,1,1,1,1,2,3,66.7,1,1,0,1,0,3,1,0
Michel Costa,BRA,MF,Estoril,22-323,2001,6.6,8,3,2,5,1,1,9,11.1,8,12,3,9,7,15,9,0
Sandro Cruz,ANG,DF,Gil Vicente FC,23-179,2001,7.8,15,7,7,5,3,9,16,56.3,7,8,2,6,8,23,22,0
Augusto Dabo,POR,DF,Boavista,20-239,2004,1.0,1,0,0,0,1,1,2,50.0,1,2,1,1,0,1,6,0
Amadou Dante,MLI,"DF,MF",Arouca,24-031,2000,5.6,14,9,11,2,1,9,18,50.0,9,7,1,6,8,22,11,1
Mathias De Amorim,FRA,MF,Famalicão,19-333,2004,1.0,1,1,0,0,1,0,2,0.0,2,0,0,0,3,4,1,0
Zeno Debast,BEL,DF,Sporting CP,21-014,2003,6.3,10,8,5,5,0,5,7,71.4,2,6,2,4,5,15,7,0
Depú,ANG,FW,Gil Vicente FC,24-304,2000,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Derick,BRA,"DF,MF",Farense,31-067,1993,4.3,3,0,0,2,1,0,8,0.0,8,10,1,9,2,5,12,0
Ángel Di María,ARG,FW,Benfica,36-267,1988,5.6,7,3,2,1,4,2,7,28.6,5,4,0,4,2,9,0,0
Matheus Dias,BRA,MF,Nacional,27-274,1997,8.2,31,19,18,11,2,14,27,51.9,13,16,6,10,13,44,27,3
Tiago Dias,POR,FW,Casa Pia,26-187,1998,0.3,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0
Ousmane Diomande,CIV,DF,Sporting CP,20-339,2003,7.8,11,6,5,6,0,6,9,66.7,3,2,1,1,8,19,17,1
Tiago Djaló,POR,DF,Porto,24-212,2000,2.0,3,1,2,1,0,1,1,100.0,0,1,1,0,1,4,5,1
Maxime Dominguez,SUI,MF,Gil Vicente FC,28-280,1996,2.8,8,3,4,4,0,3,4,75.0,1,3,0,3,3,11,1,0
Issiar Dramé,MLI,DF,Estrela,25-265,1999,2.8,4,3,4,0,0,2,3,66.7,1,1,0,1,8,12,14,1
Dudu,BRA,"FW,MF",Nacional,25-089,1999,0.3,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Marcus Edwards,ENG,"FW,MF",Sporting CP,25-340,1998,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Ricardo Esgaio,POR,"FW,DF",Sporting CP,31-175,1993,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Tiago Esgaio,POR,"DF,MF",Arouca,29-098,1995,9.9,30,17,19,9,2,16,22,72.7,6,15,5,10,14,44,40,0
Dario Essugo,POR,MF,Sporting CP,19-238,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Luís Esteves,POR,MF,Nacional,26-212,1998,8.9,11,8,5,6,0,7,21,33.3,14,9,2,7,6,17,4,1
Stephen Eustáquio,CAN,MF,Porto,27-322,1996,3.5,10,5,2,6,2,4,7,57.1,3,9,0,9,4,14,3,0
Evanilson,BRA,FW,Porto,25-032,1999,0.1,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0
Fabiano,BRA,DF,Moreirense,24-238,2000,6.3,9,7,7,1,1,7,9,77.8,2,7,2,5,8,17,20,1
Claudio Falcão,BRA,"MF,DF",Farense,30-127,1994,9.7,41,23,18,19,4,16,26,61.5,10,14,5,9,13,54,26,1
Jorge Filipe Oliveira Fernandes,POR,DF,Vitória,27-219,1997,1.5,0,0,0,0,0,0,1,0.0,1,0,0,0,3,3,7,0
Martim Fernandes,POR,DF,Porto,18-294,2006,6.1,13,6,6,6,1,5,12,41.7,7,11,1,10,7,20,4,0
Mateus Fernandes,POR,"FW,MF",Sporting CP,20-120,2004,0.3,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0
Roger Fernandes,GNB,"FW,MF",Braga,18-352,2005,6.0,10,3,3,7,0,3,7,42.9,4,4,0,4,2,12,4,0
Rúben Fernandes,POR,DF,Gil Vicente FC,38-185,1986,9.8,6,4,2,4,0,5,7,71.4,2,8,5,3,14,20,40,0
Roberto Férnandez,ESP,FW,Braga,22-127,2002,4.4,3,1,0,1,2,2,4,50.0,2,3,0,3,0,3,1,0
João Ferreira Barros,POR,"MF,FW",Boavista,18-302,2006,1.1,5,3,3,1,1,2,5,40.0,3,1,0,1,1,6,1,0
Filipe Ferreira,POR,DF,Boavista,34-041,1990,9.5,10,8,4,4,2,5,10,50.0,5,7,4,3,11,21,31,1
Fernando Ferreira Fonseca,POR,DF,AVS Futebol,27-238,1997,6.3,13,8,8,1,4,11,17,64.7,6,11,2,9,12,25,12,0
João Ferreira,POR,DF,Braga,23-230,2001,5.3,12,8,5,7,0,6,7,85.7,1,7,6,1,7,19,18,0
Marcelo dos Santos Ferreira,BRA,DF,Moreirense,35-103,1989,10.0,19,11,15,4,0,9,12,75.0,3,16,13,3,10,29,61,0
Pedro Ferreira,POR,MF,Santa Clara,26-307,1998,8.6,35,21,11,16,8,8,14,57.1,6,15,0,15,16,51,10,0
Tiago Ferreira,POR,FW,Estrela,22-234,2002,0.4,3,2,0,1,2,0,0,,0,0,0,0,1,4,0,0
Daniel Figueira,POR,GK,Estoril,26-110,1998,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Tiago Fonseca Morais,POR,"FW,MF",Rio Ave,21-065,2003,5.3,6,4,1,2,3,2,6,33.3,4,7,2,5,3,9,1,0
José Fontán,ESP,DF,Arouca,24-270,2000,6.9,6,3,5,1,0,3,9,33.3,6,13,10,3,4,10,25,0
José Fonte,POR,DF,Casa Pia,40-321,1983,6.0,7,5,6,0,1,1,2,50.0,1,6,4,2,7,14,26,3
Lucas França,BRA,GK,Nacional,28-293,1996,9.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0
André Franco,POR,"FW,MF",Porto,26-209,1998,1.1,1,1,0,1,0,0,2,0.0,2,0,0,0,3,4,1,0
Afonso freitas,POR,DF,Nacional,24-214,2000,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
Iván Fresneda,ESP,DF,Sporting CP,20-040,2004,0.5,1,1,0,1,0,0,0,,0,0,0,0,1,2,0,0
Godfried Frimpong,NED,DF,Moreirense,25-109,1999,10.0,14,10,8,6,0,9,11,81.8,2,9,2,7,13,27,46,0
Kanya Fujimoto,JPN,"MF,FW",Gil Vicente FC,25-129,1999,9.0,3,1,2,0,1,1,6,16.7,5,6,2,4,5,8,7,0
Taichi Fukui,JPN,MF,Arouca,20-115,2004,9.4,15,10,3,10,2,7,15,46.7,8,9,6,3,12,27,17,0
Tiago Gabriel,POR,DF,Estrela,19-317,2004,4.9,9,7,7,2,0,5,7,71.4,2,5,3,2,9,18,20,2
Galeno,BRA,"DF,FW",Porto,27-016,1997,7.9,7,3,4,0,3,4,7,57.1,3,10,3,7,8,15,11,0
Nino Galović,CRO,DF,Arouca,32-124,1992,1.0,0,0,0,0,0,0,0,,0,2,2,0,1,1,2,0
García,BRA,DF,Nacional,22-308,2002,9.0,22,19,14,7,1,15,23,65.2,8,11,6,5,15,37,21,0
Fabrício Garcia,CPV,FW,Estoril,23-187,2001,6.0,8,7,3,3,2,2,7,28.6,5,3,0,3,1,9,0,0
Santiago García,ESP,MF,Gil Vicente FC,23-070,2001,3.9,11,6,6,4,1,3,7,42.9,4,5,1,4,4,15,7,0
Bruno Gaspar,ANG,DF,Vitória,31-200,1993,8.5,15,11,7,5,3,7,12,58.3,5,11,0,11,3,18,13,0
Mory Gbane,CIV,MF,Gil Vicente FC,23-318,2000,7.1,21,12,8,13,0,16,23,69.6,7,4,3,1,12,33,20,0
Geovanny,POR,MF,Farense,20-116,2004,1.8,3,2,1,2,0,2,5,40.0,3,3,2,1,0,3,1,0
André Geraldes,POR,"MF,DF",Casa Pia,33-189,1991,6.8,9,3,8,1,0,5,6,83.3,1,9,3,6,3,12,22,0
Ismaël Gharbi,ESP,"MF,FW",Braga,20-211,2004,1.8,2,0,0,1,1,1,4,25.0,3,2,0,2,0,2,0,0
José Gomes,POR,DF,Nacional,28-110,1996,8.7,15,10,6,7,2,3,8,37.5,5,12,6,6,9,24,30,0
Pedro gomes,POR,DF,Boavista,21-156,2003,9.1,28,19,17,10,1,16,23,69.6,7,14,4,10,12,40,32,1
Vítor Gomes,POR,MF,Rio Ave,36-318,1987,0.4,1,0,0,0,1,0,1,0.0,1,0,0,0,1,2,5,0
Victor Gomez,ESP,DF,Braga,24-220,2000,5.1,5,2,2,2,1,5,10,50.0,5,5,0,5,4,9,10,0
Nuno Gonçalo Moreira,POR,"FW,MF",Casa Pia,25-144,1999,7.2,17,13,6,8,3,9,18,50.0,9,8,0,8,5,22,6,0
João Gonçalves,POR,GK,Boavista,24-002,2000,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Pedro Gonçalves,POR,"FW,MF",Sporting CP,26-132,1998,6.2,8,2,1,3,4,3,10,30.0,7,5,1,4,2,10,0,0
Cristo González,ESP,MF,Arouca,27-014,1997,2.0,2,1,1,0,1,1,4,25.0,3,1,1,0,0,2,1,0
Mario González,ESP,FW,Famalicão,28-256,1996,3.8,2,1,0,1,1,1,3,33.3,2,1,0,1,0,2,1,0
Nicolás González,ESP,MF,Porto,22-309,2002,9.4,20,7,4,13,3,7,13,53.8,6,3,1,2,3,23,8,0
Jean Gorby,FRA,MF,Braga,22-105,2002,3.3,8,3,2,6,0,4,6,66.7,2,5,3,2,3,11,5,0
João Goulart Silva,POR,DF,Casa Pia,24-285,2000,10.0,15,11,11,3,1,12,14,85.7,2,13,9,4,12,27,50,0
Tiago Gouveia,POR,"FW,DF",Benfica,23-142,2001,0.9,2,2,1,1,0,0,0,,0,1,0,1,0,2,0,0
Pablo Gozalbez,ESP,"MF,DF",Arouca,23-191,2001,0.8,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
João Graça,POR,"MF,FW",Rio Ave,29-142,1995,2.0,7,3,3,4,0,6,10,60.0,4,8,2,6,1,8,4,0
Samuel Granada,BRA,FW,AVS Futebol,24-271,2000,2.7,1,1,1,0,0,0,0,,0,1,0,1,0,1,5,0
Jaume Grau,ESP,MF,AVS Futebol,27-186,1997,6.4,17,10,9,7,1,11,26,42.3,15,11,2,9,8,25,7,1
Marko Grujić,SRB,MF,Porto,28-208,1996,0.4,0,0,0,0,0,0,0,,0,1,1,0,0,0,2,0
Rafik Guitane,FRA,"FW,MF",Estoril,25-165,1999,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Rafik Guitane,FRA,FW,Braga,25-165,1999,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Deniz Gül,SWE,FW,Porto,20-128,2004,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
Viktor Gyökeres,SWE,FW,Sporting CP,26-156,1998,9.8,3,2,0,0,3,1,3,33.3,2,0,0,0,0,3,6,0
Justin de Haas,NED,DF,Famalicão,24-280,2000,9.0,12,7,9,3,0,9,11,81.8,2,12,9,3,13,25,35,0
Tomás Händel,POR,MF,Vitória,23-346,2000,9.5,17,11,8,7,2,12,17,70.6,5,7,2,5,15,32,12,0
Conrad Harder,DEN,"FW,MF",Sporting CP,19-214,2005,1.7,0,0,0,0,0,0,1,0.0,1,2,0,2,1,1,2,0
Thiago Helguera,URU,MF,Braga,18-226,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Gustavo Henrique,BRA,"MF,FW",Estrela,25-189,1999,2.5,7,4,3,4,0,5,9,55.6,4,4,0,4,2,9,5,0
Morten Hjulmand,DEN,MF,Sporting CP,25-135,1999,6.3,12,9,3,8,1,6,14,42.9,8,5,3,2,7,19,4,0
Jordan Holsgrove,SCO,MF,Estoril,25-058,1999,3.6,5,3,1,2,2,2,4,50.0,2,3,2,1,1,6,5,0
Lukáš Horníček,CZE,GK,Braga,22-117,2002,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
André Horta,POR,MF,Braga,28-000,1996,4.3,14,10,3,9,2,6,11,54.5,5,3,0,3,0,14,3,0
Ricardo Horta,POR,"MF,FW",Braga,30-053,1994,9.0,12,5,1,7,4,2,8,25.0,6,6,1,5,3,15,4,0
Igor,BRA,MF,Estrela,21-245,2003,3.9,9,7,3,6,0,5,11,45.5,6,5,2,3,5,14,4,0
André Inácio,BRA,MF,Estrela,22-258,2002,4.3,6,2,3,2,1,2,8,25.0,6,5,0,5,2,8,2,0
Gonçalo Inácio,POR,DF,Sporting CP,23-074,2001,7.6,12,7,2,6,4,7,12,58.3,5,7,2,5,12,24,11,0
Isaac,BRA,FW,Nacional,20-226,2004,2.7,4,2,2,1,1,1,2,50.0,1,3,0,3,0,4,3,0
Ismael,POR,MF,Moreirense,25-227,1999,8.8,29,18,9,18,2,10,16,62.5,6,11,5,6,16,45,19,0
Franco Israel,URU,GK,Sporting CP,24-199,2000,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ivan Jaime Pajuelo,ESP,FW,Porto,24-042,2000,4.1,1,1,1,0,0,1,2,50.0,1,2,0,2,2,3,3,0
Jason,ESP,FW,Arouca,30-124,1994,7.7,3,2,1,1,1,2,10,20.0,8,7,1,6,6,9,6,0
Jhonatan,BRA,GK,Rio Ave,33-183,1991,8.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,3
Luiz Lúcio Reis Júnior,BRA,GK,Famalicão,23-298,2001,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Issa Kaboré,BFA,DF,Benfica,23-179,2001,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Kaio,BRA,FW,Vitória,20-266,2004,7.2,12,7,4,4,4,6,14,42.9,8,8,1,7,5,17,1,0
Issiaka Kamate,FRA,"FW,MF",AVS Futebol,20-097,2004,3.7,7,5,5,2,0,4,5,80.0,1,1,0,1,5,12,3,0
Kazu,BRA,DF,Gil Vicente FC,24-234,2000,2.0,3,1,1,1,1,3,4,75.0,1,2,0,2,2,5,5,0
Keliano,ANG,MF,Estrela,21-296,2003,2.8,12,7,4,6,2,9,11,81.8,2,0,0,0,5,17,6,0
Kewin,BRA,GK,Moreirense,29-013,1995,10.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,10,1
