Player,Nation,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Tammy Abraham,ENG,FW,Milan,27-037,1997,1.2,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,2,0
Francesco Acerbi,ITA,DF,Inter,36-272,1988,1.3,0,0,0,0,0,0,1,0.0,1,4,2,2,1,1,6,0
Arijan Ademi,MKD,MF,Dinamo Zagreb,33-163,1991,1.8,2,1,1,0,1,0,1,0.0,1,1,0,1,3,5,2,0
Karim Adeyemi,GER,FW,Dortmund,22-295,2002,1.5,2,2,0,1,1,1,1,100.0,0,2,0,2,3,5,0,0
Amine Adli,MAR,MF,Leverkusen,24-182,2000,1.3,3,2,1,0,2,2,6,33.3,4,1,0,1,0,3,3,0
Vasilije Adžić,MNE,FW,Juventus,18-180,2006,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Michel Aebischer,SUI,MF,Bologna,27-307,1997,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Emanuel Aiwum,AUT,DF,Sturm Graz,23-319,2000,4.0,4,3,2,2,0,0,2,0.0,2,4,1,3,6,10,25,1
Ludovic Ajorque,FRA,FW,Brest,30-257,1994,3.7,3,0,0,3,0,1,1,100.0,0,3,0,3,0,3,0,0
Manuel Akanji,SUI,DF,Manchester City,29-112,1995,3.7,2,2,0,2,0,2,3,66.7,1,4,1,3,2,4,5,0
Nathan Aké,NED,DF,Manchester City,29-264,1995,0.8,1,1,1,0,0,0,0,,0,1,1,0,1,2,3,0
Maghnes Akliouche,FRA,"FW,MF",Monaco,22-257,2002,4.0,4,2,0,3,1,2,10,20.0,8,3,0,3,3,7,2,0
Kerem Aktürkoğlu,TUR,FW,Benfica,26-018,1998,3.4,2,2,1,1,0,2,8,25.0,6,2,0,2,5,7,6,0
Trent Alexander-Arnold,ENG,DF,Liverpool,26-032,1998,3.5,7,4,4,3,0,4,8,50.0,4,4,0,4,3,10,0,1
Alisson,BRA,GK,Liverpool,32-037,1992,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Julián Álvarez,ARG,"FW,MF",Atlético Madrid,24-282,2000,3.1,4,4,1,3,0,0,2,0.0,2,2,0,2,2,6,1,0
Mohamed Aly Camara,GUI,DF,Young Boys,27-072,1997,2.0,4,3,2,2,0,0,1,0.0,1,7,6,1,2,6,9,1
Jordan Amavi,FRA,DF,Brest,30-244,1994,0.9,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,2,0
Zeki Amdouni,SUI,FW,Benfica,23-340,2000,1.2,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0
Benjamin André,FRA,MF,Lille,34-097,1990,4.0,6,5,4,1,1,3,8,37.5,5,5,1,4,5,11,8,0
Robert Andrich,GER,MF,Leverkusen,30-047,1994,1.4,6,3,5,0,1,2,4,50.0,2,2,2,0,5,11,4,0
Waldemar Anton,GER,DF,Dortmund,28-111,1996,1.8,3,2,2,1,0,3,3,100.0,0,3,3,0,4,7,5,0
Maximiliano Araújo,URU,"DF,MF",Sporting CP,24-267,2000,1.9,5,3,4,0,1,3,11,27.3,8,4,2,2,2,7,2,1
Tomás Araújo,POR,DF,Benfica,22-176,2002,3.0,13,5,11,2,0,9,11,81.8,2,2,1,1,5,18,12,0
Marko Arnautović,AUT,FW,Inter,35-203,1989,1.4,1,0,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0
Marco Asensio,ESP,FW,Paris S-G,28-292,1996,1.4,1,1,1,0,0,0,0,,0,2,0,2,0,1,1,0
Kristjan Asllani,ALB,MF,Inter,22-244,2002,0.5,3,2,2,1,0,0,0,,0,0,0,0,1,4,3,1
Yaser Asprilla,COL,"FW,MF",Girona,20-355,2003,0.5,2,2,0,2,0,0,0,,0,2,0,2,0,2,0,0
Zachary Athekame,SUI,DF,Young Boys,19-331,2004,2.4,6,4,4,2,0,2,6,33.3,4,4,3,1,5,11,10,0
Carlos Augusto,BRA,DF,Inter,25-306,1999,2.6,0,0,0,0,0,0,1,0.0,1,4,2,2,3,3,8,0
Yann Aurel Bisseck,GER,DF,Inter,23-345,2000,3.0,1,1,1,0,0,0,0,,0,6,4,2,5,6,18,0
Fredrik Aursnes,NOR,MF,Benfica,28-334,1995,3.4,8,3,6,1,1,5,6,83.3,1,5,3,2,2,10,5,0
Ayman Azhil,MAR,MF,Dortmund,23-212,2001,0.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,0,0
Isaac Babadi,NED,"FW,MF",PSV Eindhoven,19-216,2005,0.2,1,0,0,1,0,1,2,50.0,1,0,0,0,1,2,0,0
Alexander Bah,DEN,DF,Benfica,26-335,1997,2.3,8,5,3,4,1,2,8,25.0,6,3,0,3,4,12,7,0
Samson Baidoo,AUT,DF,RB Salzburg,20-222,2004,2.8,7,7,5,2,0,5,8,62.5,3,3,0,3,4,11,9,0
Leon Bailey,JAM,FW,Aston Villa,27-091,1997,2.1,1,1,0,1,0,1,3,33.3,2,2,0,2,0,1,1,1
Stefan Bajcetic,ESP,MF,RB Salzburg,20-017,2004,1.4,3,0,1,2,0,2,4,50.0,2,2,0,2,1,4,2,0
Kenan Bajrić,SVN,DF,Slovan Bratislava,29-324,1994,4.0,7,6,6,0,1,5,6,83.3,1,5,1,4,2,9,18,0
Johan Bakayoko,BEL,FW,PSV Eindhoven,21-202,2003,3.9,4,3,2,2,0,4,6,66.7,2,2,0,2,2,6,2,0
Mitchel Bakker,NED,"DF,FW",Lille,24-141,2000,2.0,3,2,0,3,0,1,3,33.3,2,2,0,2,1,4,2,0
Alejandro Balde,ESP,DF,Barcelona,21-021,2003,3.0,1,0,1,0,0,1,3,33.3,2,3,1,2,2,3,0,0
David von Ballmoos,SUI,GK,Young Boys,29-314,1994,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Folarin Balogun,USA,FW,Monaco,23-128,2001,0.7,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Bradley Barcola,FRA,FW,Paris S-G,22-067,2002,3.6,4,3,1,2,1,2,4,50.0,2,7,0,7,5,9,2,0
Nicolò Barella,ITA,MF,Inter,27-275,1997,2.3,2,2,2,0,0,0,6,0.0,6,4,0,4,2,4,2,1
Ross Barkley,ENG,MF,Aston Villa,30-339,1993,0.9,3,1,3,0,0,3,5,60.0,2,2,2,0,1,4,3,0
Leandro Barreiro Martins,LUX,MF,Benfica,24-310,2000,0.1,1,1,0,1,0,0,0,,0,1,0,1,1,2,0,0
Pablo Barrios,ESP,MF,Atlético Madrid,21-146,2003,1.0,3,2,1,1,1,2,4,50.0,2,1,0,1,5,8,2,1
Tigran Barseghyan,ARM,"FW,MF",Slovan Bratislava,31-047,1993,3.7,3,3,1,1,1,2,2,100.0,0,3,0,3,0,3,1,0
Alessandro Bastoni,ITA,DF,Inter,25-209,1999,2.0,4,4,3,1,0,1,2,50.0,1,4,1,3,2,6,3,3
Martin Baturina,CRO,"MF,FW",Dinamo Zagreb,21-266,2003,3.3,6,6,1,3,2,4,6,66.7,2,5,1,4,2,8,1,0
Christoph Baumgartner,AUT,"MF,FW",RB Leipzig,25-099,1999,2.0,5,4,2,3,0,2,4,50.0,2,3,0,3,0,5,2,0
Donny van de Beek,NED,"MF,FW",Girona,27-204,1997,3.1,6,2,1,4,1,4,6,66.7,2,5,1,4,1,7,2,0
Thomas Beelen,NED,DF,Feyenoord,23-150,2001,2.6,3,3,3,0,0,2,8,25.0,6,4,3,1,3,6,4,1
Maximilian Beier,GER,"FW,MF",Dortmund,22-022,2002,1.5,4,2,0,3,1,1,4,25.0,3,1,0,1,1,5,0,0
