Player,Nation,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Lewis Ferguson,SCO,MF,Bologna,25-075,1999,0.1,10,0,2,8,0,0,10,0,0,,0,,5,6,0,0,0,0,1,0,6,1
Edimilson Fernandes,SUI,MF,Brest,28-206,1996,2.5,109,4,18,73,19,2,109,1,0,0.0,1,100.0,55,226,62,0,0,0,0,5,66,1
Matias Fernandez-Pardo,BEL,"MF,FW",Lille,19-278,2005,1.3,37,0,9,19,13,1,37,3,1,33.3,2,66.7,24,242,173,3,3,1,4,2,25,3
Ryan Flamingo,NED,DF,PSV Eindhoven,21-312,2002,4.0,290,25,125,163,5,2,290,1,1,100.0,0,0.0,193,775,340,2,2,0,0,0,231,0
Phil Foden,ENG,MF,Manchester City,24-163,2000,3.4,246,2,8,84,154,17,246,8,3,37.5,3,37.5,148,648,286,4,9,2,5,5,197,26
Youssouf Fofana,FRA,MF,Milan,25-302,1999,3.8,258,6,63,162,37,4,258,12,6,50.0,6,50.0,182,992,458,2,7,1,0,8,204,4
James Forrest,SCO,FW,Celtic,33-123,1991,0.3,17,1,4,5,8,2,17,0,0,,0,,11,81,58,2,1,2,1,0,10,5
Héctor Fort,ESP,DF,Barcelona,18-097,2006,0.3,28,0,1,15,12,0,28,1,1,100.0,0,0.0,11,50,30,0,0,0,0,0,20,3
Alejandro Francés,ESP,DF,Girona,22-098,2002,1.0,99,4,12,67,20,0,99,0,0,,0,,70,402,241,2,3,1,0,1,69,2
Lassina Franck Traoré,BFA,FW,Shakhtar,23-300,2001,0.5,19,1,4,4,11,2,19,0,0,,0,,6,19,2,0,0,0,0,0,13,2
Bartol Franjić,CRO,MF,Shakhtar,24-298,2000,0.0,2,1,1,1,0,0,2,0,0,,0,,1,8,8,0,0,0,0,0,0,0
Davide Frattesi,ITA,MF,Inter,25-016,1999,2.1,59,3,15,35,10,2,59,1,0,0.0,1,100.0,35,161,84,0,0,0,3,1,37,4
Remo Freuler,SUI,MF,Bologna,32-206,1992,3.9,206,7,62,123,22,0,206,1,1,100.0,0,0.0,114,494,204,2,1,0,5,0,132,2
Jeremie Frimpong,NED,DF,Leverkusen,23-333,2000,3.3,131,5,27,48,56,17,131,6,1,16.7,3,50.0,73,541,313,16,5,6,4,5,98,28
Chris Führich,GER,FW,Stuttgart,26-303,1998,1.8,124,6,13,34,77,8,124,4,1,25.0,3,75.0,75,383,210,6,6,2,3,3,84,22
