Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
James Abankwah,IRL,DF,Udinese,Serie A,20-275,2004,0.0,1,0,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,18-195,2006,0.0,4,0,3,1,0,0,4,0,0,,0,,2,16,9,1,0,0,1,0,3,0
Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue 1,37-019,1987,5.0,283,59,173,103,7,3,283,2,1,50.0,1,50.0,138,747,426,2,0,0,6,1,175,3
Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,24-335,1999,6.9,509,7,66,264,185,16,507,41,12,29.3,29,70.7,276,1721,1010,28,19,8,13,13,361,32
Mohamed Abdelmoneim,EGY,DF,Nice,Ligue 1,25-259,1999,1.8,92,12,48,41,3,0,92,0,0,,0,,40,175,98,1,0,0,1,0,50,0
Ali Abdi,TUN,"DF,MF",Nice,Ligue 1,30-302,1993,2.5,133,11,48,46,39,6,133,1,0,0.0,1,100.0,53,208,107,3,2,2,6,2,64,13
Abel,ESP,DF,Osasuna,La Liga,24-057,2000,6.8,373,19,124,166,87,2,373,10,5,50.0,5,50.0,122,735,386,13,17,1,5,3,141,14
Nabil Aberdin,FRA,MF,Getafe,La Liga,22-055,2002,2.6,75,6,18,48,9,2,75,3,2,66.7,1,33.3,31,130,64,2,0,0,1,0,29,2
Oliver Abildgaard,DEN,MF,Como,Serie A,28-129,1996,0.1,2,0,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Matthis Abline,FRA,FW,Nantes,Ligue 1,21-203,2003,6.2,176,10,16,61,103,32,176,19,5,26.3,13,68.4,124,786,316,16,7,10,21,13,155,43
Abner,BRA,DF,Lyon,Ligue 1,24-143,2000,5.2,332,14,63,145,125,14,332,5,2,40.0,3,60.0,158,751,466,13,4,4,10,3,204,34
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,24-242,2000,5.3,150,0,6,59,89,25,149,8,3,37.5,5,62.5,91,443,218,8,6,3,14,7,108,39
Abdel Abqar,MAR,DF,Alavés,La Liga,25-221,1999,7.5,289,33,137,139,15,5,289,0,0,,0,,123,874,552,6,4,0,6,0,119,0
Tammy Abraham,ENG,FW,Roma,Serie A,27-015,1997,0.0,4,0,0,2,2,1,4,0,0,,0,,3,2,1,0,0,0,1,0,4,2
Tammy Abraham,ENG,FW,Milan,Serie A,27-015,1997,3.9,90,5,7,42,41,23,88,6,1,16.7,5,83.3,40,136,36,1,1,1,6,2,55,23
Federico Accornero,ITA,MF,Genoa,Serie A,20-255,2004,0.1,8,1,2,3,3,0,8,0,0,,0,,5,25,18,0,1,0,2,0,5,0
Francesco Acerbi,ITA,DF,Inter,Serie A,36-250,1988,6.0,531,45,208,291,33,6,531,0,0,,0,,372,1720,867,5,8,0,1,1,428,4
Akor Adams,NGA,FW,Montpellier,Ligue 1,24-262,2000,6.1,119,3,10,55,54,24,119,7,2,28.6,4,57.1,59,248,90,4,0,4,6,8,87,25
Che Adams,SCO,"FW,MF",Torino,Serie A,28-096,1996,4.3,134,2,10,68,57,12,134,2,1,50.0,1,50.0,77,337,107,3,3,0,9,4,96,20
Junior Adamu,AUT,FW,Freiburg,Bundesliga,23-133,2001,5.5,172,4,18,81,77,23,172,7,6,85.7,1,14.3,89,367,152,4,2,1,17,7,109,23
Tosin Adarabioyo,ENG,DF,Chelsea,Premier League,27-023,1997,1.3,115,23,74,42,0,0,115,1,1,100.0,0,0.0,68,244,154,0,0,0,0,0,88,0
Martin Adeline,FRA,MF,Reims,Ligue 1,20-320,2003,0.3,14,2,8,4,2,1,14,0,0,,0,,6,35,9,1,0,1,0,0,9,1
Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,22-273,2002,3.4,135,2,12,60,68,17,135,22,12,54.5,9,40.9,81,689,351,12,10,8,10,5,101,29
Simon Adingra,CIV,"FW,MF",Brighton,Premier League,22-290,2002,1.5,102,0,8,32,64,11,102,6,0,0.0,6,100.0,65,445,216,5,5,3,9,2,72,35
Amine Adli,MAR,"MF,FW",Leverkusen,Bundesliga,24-160,2000,1.6,96,2,11,27,59,12,96,11,4,36.4,6,54.5,52,381,211,8,8,2,4,2,75,20
Yacine Adli,FRA,MF,Fiorentina,Serie A,24-080,2000,1.6,123,4,22,74,28,2,123,2,2,100.0,0,0.0,72,515,232,5,3,1,0,0,85,2
Adryelson,BRA,DF,Lyon,Ligue 1,26-208,1998,0.0,5,1,2,3,0,0,5,0,0,,0,,1,0,0,0,0,0,0,0,1,0
Michel Aebischer,SUI,MF,Bologna,Serie A,27-285,1997,4.2,234,6,33,138,64,7,234,3,1,33.3,1,33.3,127,500,180,4,6,2,4,3,165,9
Oladapo Afolayan,ENG,"FW,MF",St. Pauli,Bundesliga,26-248,1998,3.8,152,2,17,59,80,17,152,27,14,51.9,11,40.7,97,629,253,9,6,4,11,12,106,23
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,27-122,1997,7.0,527,114,305,206,18,3,527,8,6,75.0,2,25.0,294,1647,931,4,5,0,2,4,347,0
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,23-296,2000,5.4,166,140,165,1,0,0,166,0,0,,0,,80,530,273,0,0,0,1,0,66,0
Lucien Agoume,FRA,MF,Sevilla,La Liga,22-251,2002,6.0,411,15,96,246,75,5,411,10,8,80.0,2,20.0,211,1004,446,8,9,1,10,5,287,10
Felix Agu,GER,DF,Werder Bremen,Bundesliga,25-020,1999,5.6,284,17,90,113,82,14,284,5,1,20.0,4,80.0,144,779,401,12,4,3,9,3,179,44
Álvaro Aguado,ESP,MF,Espanyol,La Liga,28-169,1996,2.5,157,3,28,90,40,0,157,4,2,50.0,1,25.0,90,731,390,7,3,0,4,2,104,2
Nayef Aguerd,MAR,DF,Real Sociedad,La Liga,28-201,1996,4.7,427,31,167,245,15,4,427,1,1,100.0,0,0.0,301,1731,1071,7,6,0,1,0,330,0
Ruben Aguilar,FRA,DF,Lens,Ligue 1,31-174,1993,3.0,236,2,53,106,81,8,236,3,1,33.3,2,66.7,106,450,184,2,5,0,4,1,130,28
Honest Ahanor,ITA,DF,Genoa,Serie A,16-237,2008,0.8,16,1,4,4,8,0,16,1,0,0.0,0,0.0,10,80,24,1,0,0,1,1,8,2
Jean-Eudes Aholou,CIV,MF,Angers,Ligue 1,30-211,1994,5.1,280,10,57,173,54,9,280,12,6,50.0,5,41.7,133,607,345,7,2,1,8,5,186,6
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,29-018,1995,0.0,8,0,4,4,0,0,8,0,0,,0,,7,9,8,0,0,0,0,1,6,0
Ayman Aiki,FRA,"FW,MF",Saint-Étienne,Ligue 1,19-114,2005,1.0,31,0,7,15,9,1,31,3,0,0.0,3,100.0,24,109,44,2,1,0,4,6,25,6
Ola Aina,NGA,DF,Nott'ham Forest,Premier League,28-009,1996,6.6,377,31,135,173,79,2,377,11,6,54.5,4,36.4,161,1124,727,16,9,3,5,7,176,9
Rayan Aït-Nouri,ALG,"DF,MF",Wolves,Premier League,23-133,2001,6.3,353,22,87,154,117,14,353,16,8,50.0,7,43.8,187,908,416,13,13,3,6,4,210,25
Kristoffer Ajer,NOR,DF,Brentford,Premier League,26-183,1998,6.1,300,23,125,130,49,7,300,8,4,50.0,4,50.0,156,990,582,12,7,0,6,6,190,11
Ludovic Ajorque,FRA,FW,Brest,Ligue 1,30-235,1994,5.5,185,6,12,105,69,16,185,8,4,50.0,4,50.0,75,254,55,1,3,1,9,1,134,24
Manuel Akanji,SUI,DF,Manchester City,Premier League,29-090,1995,6.7,647,38,160,301,186,5,647,1,1,100.0,0,0.0,399,2054,1240,14,20,0,3,2,529,3
Ümit Akdag,ROU,DF,Toulouse,Ligue 1,21-011,2003,0.9,70,3,28,41,1,0,70,0,0,,0,,33,88,32,0,0,0,0,0,37,0
Nathan Aké,NED,DF,Manchester City,Premier League,29-242,1995,0.0,9,1,3,1,5,0,9,0,0,,0,,4,28,7,0,0,0,0,1,5,0
Ilias Akhomach,MAR,MF,Villarreal,La Liga,20-184,2004,4.3,191,6,33,59,101,22,191,28,12,42.9,12,42.9,128,850,506,20,12,15,11,6,134,44
Sergio Akieme,ESP,DF,Reims,Ligue 1,26-306,1997,4.0,154,12,76,47,33,4,154,7,5,71.4,2,28.6,77,503,316,10,3,1,5,1,79,7
Maghnes Akliouche,FRA,"FW,MF",Monaco,Ligue 1,22-235,2002,4.2,250,4,39,108,107,17,250,19,9,47.4,10,52.6,158,1061,523,17,10,8,11,6,190,32
Clément Akpa,CIV,DF,Auxerre,Ligue 1,22-328,2001,4.8,331,19,100,153,79,1,331,6,1,16.7,4,66.7,180,1019,569,15,11,0,2,3,194,23
David Akpan Ankeye,NGA,FW,Genoa,Serie A,22-246,2002,0.3,6,0,1,3,2,0,6,0,0,,0,,3,13,8,0,0,0,0,1,7,2
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,29-181,1995,6.0,410,66,193,191,27,1,410,6,3,50.0,3,50.0,246,1147,525,6,4,0,2,1,256,8
Andreas Albers,DEN,FW,St. Pauli,Bundesliga,34-208,1990,0.3,19,0,1,4,14,4,19,0,0,,0,,8,22,1,0,0,0,0,4,18,4
Raúl Albiol,ESP,DF,Villarreal,La Liga,39-043,1985,5.2,329,62,194,131,4,1,329,0,0,,0,,151,632,246,0,1,0,1,1,224,0
Carlos Alcaraz,ARG,MF,Southampton,Premier League,21-322,2002,0.1,17,0,1,8,9,2,17,2,0,0.0,2,100.0,12,112,98,4,1,0,0,0,12,1
Omar Alderete,PAR,DF,Getafe,La Liga,27-296,1996,8.0,378,50,178,163,39,16,378,7,3,42.9,4,57.1,133,914,519,7,6,1,5,2,130,0
Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,26-286,1998,3.4,112,2,17,60,38,8,112,4,3,75.0,1,25.0,59,318,126,2,2,0,3,3,64,7
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,26-010,1998,6.5,499,14,130,214,155,11,499,12,4,33.3,7,58.3,258,1404,798,19,13,4,8,10,329,25
Alfon,ESP,"FW,MF",Celta Vigo,La Liga,25-166,1999,2.1,68,0,4,14,50,17,68,10,5,50.0,5,50.0,50,292,165,9,5,4,4,4,60,20
Mohamed Ali Cho,FRA,FW,Nice,Ligue 1,20-272,2004,4.8,182,3,16,74,97,18,182,17,2,11.8,11,64.7,125,849,389,13,10,6,19,7,145,37
Faride Alidou,GER,"FW,MF",Hellas Verona,Serie A,23-091,2001,0.7,26,2,3,9,16,0,26,3,2,66.7,1,33.3,15,69,29,0,2,0,1,1,18,2
Alisson,BRA,GK,Liverpool,Premier League,32-015,1992,5.9,227,167,223,4,0,0,227,0,0,,0,,151,566,312,0,0,0,0,0,162,0
Jim Allevinah,GAB,FW,Angers,Ligue 1,29-233,1995,2.5,101,2,20,45,38,8,101,6,2,33.3,4,66.7,59,373,119,2,4,1,3,4,78,18
Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,La Liga,24-140,2000,4.6,238,2,26,137,78,14,238,7,2,28.6,4,57.1,137,626,283,8,11,3,8,5,171,17
Iker Almena,ESP,"FW,DF",Girona,La Liga,20-166,2004,0.5,39,2,4,6,30,1,39,3,2,66.7,1,33.3,32,233,152,6,3,1,1,0,31,10
Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,30-250,1994,0.4,21,1,3,8,10,3,21,1,0,0.0,1,100.0,14,63,29,1,2,1,0,0,13,4
Pontus Almqvist,SWE,FW,Parma,Serie A,25-099,1999,1.9,96,2,16,33,50,12,96,5,2,40.0,2,40.0,60,454,276,11,3,6,3,1,61,14
Marcos Alonso,ESP,"DF,MF",Celta Vigo,La Liga,33-294,1990,4.1,359,25,120,196,48,4,359,4,2,50.0,2,50.0,260,1418,891,12,5,1,3,0,270,18
Giorgio Altare,ITA,DF,Venezia,Serie A,26-069,1998,2.2,132,16,63,54,16,5,132,1,1,100.0,0,0.0,76,375,169,2,4,0,1,5,79,2
Adrià Altimira,ESP,"FW,DF",Leganés,La Liga,23-203,2001,3.0,121,6,29,58,37,1,121,8,4,50.0,2,25.0,72,358,183,4,4,0,4,2,73,14
Sergi Altimira,ESP,MF,Betis,La Liga,23-053,2001,3.9,266,5,41,167,62,2,266,4,4,100.0,0,0.0,158,611,281,5,3,0,5,3,190,6
Edson Álvarez,MEX,"MF,DF",West Ham,Premier League,26-359,1997,2.7,175,8,57,94,27,2,175,4,1,25.0,2,50.0,103,554,220,1,5,0,1,2,117,3
Hugo Álvarez,ESP,"MF,DF",Celta Vigo,La Liga,21-107,2003,7.5,535,13,122,214,205,31,535,33,14,42.4,19,57.6,323,1751,1026,33,18,19,14,7,350,74
