Player,Nation,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Florian Grillitsch,AUT,"MF,DF",Hoffenheim,29-090,1995,2.4,205,11,62,121,25,1,205,2,0,0.0,2,100.0,113,444,234,2,3,1,3,1,154,1
Denny Gropper,ISR,DF,Ludogorets,25-234,1999,0.0,2,0,0,0,2,0,2,0,0,,0,,1,3,2,0,1,0,0,0,1,0
Marko Grujić,SRB,MF,Porto,28-206,1996,0.9,57,5,15,22,20,3,57,0,0,,0,,33,165,41,0,2,0,0,1,38,0
Mattéo Guendouzi,FRA,MF,Lazio,25-205,1999,1.0,45,2,10,29,6,1,45,0,0,,0,,29,136,69,2,1,1,1,0,24,2
Eduardo Guerrero,PAN,FW,Dynamo Kyiv,24-258,2000,1.1,37,1,2,16,19,5,37,2,0,0.0,2,100.0,23,127,28,0,1,0,2,3,27,3
Evann Guessand,CIV,"FW,MF",Nice,23-127,2001,1.9,76,2,7,29,47,12,75,12,8,66.7,4,33.3,53,366,249,6,6,2,12,2,51,9
Rafik Guitane,FRA,FW,Braga,25-163,1999,0.5,31,0,4,3,24,4,31,1,1,100.0,0,0.0,22,154,85,3,1,1,1,0,19,3
Deniz Gül,SWE,"MF,FW",Porto,20-126,2004,0.4,16,1,3,8,7,5,16,0,0,,0,,9,125,109,2,2,0,2,0,8,2
Jostein Gundersen,NOR,DF,Bodø/Glimt,28-217,1996,1.2,97,20,55,41,1,0,97,0,0,,0,,67,312,186,0,1,0,1,0,66,0
Mert Günok,TUR,GK,Beşiktaş,35-249,1989,1.0,41,38,40,1,0,0,41,0,0,,0,,27,132,70,0,0,0,0,0,18,0
Gorka Guruzeta,ESP,FW,Athletic Club,28-054,1996,2.5,85,2,9,46,30,12,85,3,1,33.3,2,66.7,47,178,77,0,0,0,3,2,62,11
Günay Güvenç,,GK,Galatasaray,33-133,1991,3.0,126,103,124,2,0,0,126,0,0,,0,,88,369,243,0,0,0,0,0,79,0
Anouar Ait El Hadj,BEL,MF,Union SG,22-199,2002,0.3,16,0,1,5,10,0,16,0,0,,0,,9,76,25,1,1,0,0,0,11,1
El Hadji Diouf,SEN,"DF,FW",Slavia Prague,19-313,2004,2.1,138,8,26,64,49,7,138,5,3,60.0,2,40.0,70,411,219,8,4,1,3,2,88,16
Nikita Haikin,RUS,GK,Bodø/Glimt,29-117,1995,3.0,181,154,180,1,0,0,181,1,1,100.0,0,0.0,121,604,409,0,0,0,1,0,100,0
Jorrel Hato,NED,DF,Ajax,18-243,2006,3.0,164,8,55,89,21,2,164,6,3,50.0,3,50.0,84,367,184,3,6,1,0,1,86,2
Milan Havel,CZE,DF,Viktoria Plzeň,30-090,1994,2.0,63,13,19,25,19,2,63,4,1,25.0,3,75.0,22,102,59,2,0,0,3,1,23,3
Simon Hedlund,SWE,"MF,DF",Elfsborg,31-239,1993,3.0,92,15,38,29,27,5,92,2,1,50.0,1,50.0,37,269,126,4,3,1,2,1,39,10
Lukáš Hejda,CZE,DF,Viktoria Plzeň,34-241,1990,0.2,5,3,4,1,0,0,5,0,0,,0,,1,0,0,0,0,0,0,0,1,0
Mustafa Hekimoğlu,TUR,FW,Beşiktaş,17-197,2007,0.6,13,0,0,3,10,4,13,0,0,,0,,6,57,36,2,1,1,2,1,8,1
Jordan Henderson,ENG,MF,Ajax,34-141,1990,2.0,188,2,36,125,29,1,188,0,0,,0,,117,394,152,3,3,0,2,2,149,0
Gustav Henriksson,SWE,DF,Elfsborg,26-276,1998,1.0,41,22,34,5,2,2,41,0,0,,0,,8,33,13,0,0,0,0,0,7,0
Mario Hermoso,ESP,DF,Roma,29-140,1995,3.0,307,23,97,167,46,7,307,1,0,0.0,1,100.0,236,1153,391,2,6,0,3,3,220,4
Ander Herrera,ESP,MF,Athletic Club,35-083,1989,0.6,39,1,9,23,7,0,39,0,0,,0,,23,75,9,0,1,0,1,0,20,0
Son Heung-min,KOR,"MF,FW",Tottenham,32-120,1992,0.8,38,0,2,22,17,1,38,2,0,0.0,1,50.0,26,164,51,2,1,0,0,1,33,10
Santiago Hezze,ARG,MF,Olympiacos,23-014,2001,3.0,177,14,39,107,31,1,177,5,3,60.0,2,40.0,72,292,121,1,1,0,5,6,84,5
Mees Hilgers,IDN,DF,Twente,23-176,2001,3.0,190,29,105,74,14,4,190,1,1,100.0,0,0.0,117,739,418,4,6,0,0,1,122,1
Adam Hložek,CZE,"FW,MF",Hoffenheim,22-103,2002,2.8,97,3,9,45,48,16,97,12,6,50.0,4,33.3,57,398,196,7,4,6,4,4,64,3
Tomáš Holeš,CZE,DF,Slavia Prague,31-219,1993,2.0,131,9,61,57,13,0,131,1,1,100.0,0,0.0,51,370,258,0,3,0,2,1,96,0
Sebastian Holmén,SWE,DF,Elfsborg,32-190,1992,1.9,87,14,47,33,8,3,87,2,2,100.0,0,0.0,30,131,94,1,1,0,0,0,43,0
Emil Holten,DEN,"FW,DF",Elfsborg,28-089,1996,0.1,10,0,0,7,3,0,10,0,0,,0,,5,27,8,0,0,1,0,1,7,3
André Horta,POR,MF,Braga,27-364,1996,2.1,166,2,21,108,39,1,166,6,4,66.7,2,33.3,114,482,254,6,3,0,2,3,128,3
Ricardo Horta,POR,"MF,FW",Braga,30-051,1994,3.0,143,1,11,63,70,22,143,7,3,42.9,4,57.1,77,291,100,2,1,1,2,4,89,16
Niklas Hult,SWE,"MF,DF",Elfsborg,34-266,1990,3.0,133,7,50,59,26,3,133,2,1,50.0,1,50.0,70,433,131,1,2,0,1,1,75,13
Abbas Huseynov,AZE,DF,Qarabağ,29-145,1995,2.0,98,6,31,35,33,3,98,2,0,0.0,2,100.0,67,294,137,3,4,0,0,2,64,13
Badavi Huseynov,AZE,DF,Qarabağ,33-117,1991,2.3,138,13,74,62,4,0,138,0,0,,0,,85,368,214,0,0,0,0,0,82,0
Rasmus Højlund,DEN,FW,Manchester Utd,21-275,2003,1.3,26,1,3,5,19,6,26,3,1,33.3,2,66.7,15,66,31,1,0,2,2,2,18,3
Mauro Icardi,ARG,FW,Galatasaray,31-260,1993,2.1,75,2,3,40,32,13,75,1,0,0.0,1,100.0,48,216,55,0,1,0,1,1,62,8
Hamza Igmane,MAR,FW,Rangers,22-003,2002,0.4,16,0,1,6,9,4,16,1,0,0.0,1,100.0,10,75,34,1,2,1,1,0,13,4
Jānis Ikaunieks,LVA,"FW,MF",FK Rīgas FS,29-263,1995,3.0,174,7,25,94,55,14,174,8,4,50.0,4,50.0,111,606,263,9,5,3,5,4,121,22
Ciro Immobile,ITA,FW,Beşiktaş,34-259,1990,2.4,90,4,9,38,43,11,89,6,5,83.3,1,16.7,39,288,121,7,2,1,7,3,57,13
Gustav Isaksen,DEN,FW,Lazio,23-200,2001,0.5,32,1,5,10,17,6,32,1,0,0.0,0,0.0,26,200,125,5,4,2,1,0,27,8
Aleksei Isayev,AZE,MF,Qarabağ,28-362,1995,0.1,4,0,1,3,0,0,4,0,0,,0,,2,2,2,0,0,0,0,0,2,0
Franjo Ivanović,CRO,FW,Union SG,21-035,2003,2.3,91,0,7,30,56,16,90,17,12,70.6,4,23.5,52,348,87,4,2,4,14,10,59,17
Ivan Jaime Pajuelo,ESP,"MF,FW",Porto,24-040,2000,1.4,76,1,12,28,37,10,76,4,1,25.0,3,75.0,53,344,180,5,3,3,3,1,57,12
Ismail Jakobs,SEN,DF,Galatasaray,25-080,1999,2.0,164,4,33,69,63,3,164,2,0,0.0,2,100.0,83,440,245,2,5,1,2,2,99,25
Marko Janković,MNE,MF,Qarabağ,29-119,1995,1.3,123,0,19,71,33,2,123,0,0,,0,,96,418,167,1,1,0,5,2,100,4
Pontus Jansson,SWE,DF,Malmö,33-266,1991,3.0,197,49,120,67,12,5,197,1,0,0.0,0,0.0,103,388,209,2,2,0,1,0,118,0
Mikel Jauregizar,ESP,MF,Athletic Club,20-359,2003,1.0,70,1,10,49,12,0,70,2,1,50.0,0,0.0,36,135,47,0,0,0,1,0,42,0
Martin Jedlička,CZE,GK,Viktoria Plzeň,26-286,1998,3.0,103,85,103,0,0,0,103,0,0,,0,,54,320,203,0,0,0,0,0,38,0
Jefté,BRA,DF,Rangers,20-320,2003,2.0,141,4,23,84,37,1,141,9,6,66.7,3,33.3,71,638,356,10,8,1,2,2,82,12
Elias Jelert,DEN,DF,Galatasaray,21-146,2003,0.1,5,2,3,1,1,0,5,0,0,,0,,2,7,5,0,0,0,0,0,1,0
Václav Jemelka,CZE,DF,Viktoria Plzeň,29-135,1995,3.0,165,14,53,91,21,2,165,0,0,,0,,65,312,140,1,2,0,4,0,86,3
Oliver Jensen,DEN,MF,Midtjylland,22-240,2002,0.7,26,0,6,10,10,2,26,1,0,0.0,1,100.0,13,69,21,1,2,0,1,2,13,0
Victor Jensen,DEN,DF,Midtjylland,21-033,2003,0.5,28,3,9,15,4,1,28,0,0,,0,,10,62,42,1,1,0,0,0,12,1
Erik Jirka,SVK,"DF,FW",Viktoria Plzeň,27-047,1997,1.1,57,6,16,26,15,1,57,1,1,100.0,0,0.0,20,118,80,4,1,1,3,1,25,4
Mikel Johnsen,DEN,MF,Midtjylland,18-039,2006,0.2,13,0,0,5,8,1,13,2,1,50.0,1,50.0,10,84,24,0,1,1,2,1,12,5
Brennan Johnson,WAL,"FW,MF",Tottenham,23-166,2001,1.3,50,2,6,12,32,8,50,2,1,50.0,1,50.0,38,152,43,1,2,1,1,2,45,20
Juninho,BRA,FW,Qarabağ,27-350,1996,2.9,48,0,0,15,34,9,48,4,2,50.0,1,25.0,27,166,98,2,4,2,5,1,31,10
