Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Pedro Rocha Neves,BRA,MF,,30-016,1994,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pedro Rocha Neves,BRA,"FW,MF",,30-016,1994,4,0,48,0.5,0,1,1,0,0,0,0,0,0.1,0.1,0.6,0.7,2,1,5,0.00,1.87,1.87,0.00,1.87,0.15,1.09,1.24,0.15,1.24
Sergio Rochet,URU,GK,,31-207,1993,18,18,"1,620",18.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yeferson Rodallega,COL,DF,Goianiense,23-328,2000,2,1,105,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rodrigo,BRA,MF,Paulo,20-214,2004,3,0,62,0.7,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,5,1,4,0.00,0.00,0.00,0.00,0.00,0.67,0.05,0.72,0.67,0.72
Arthur Rodrigues,BRA,"FW,MF",,20-247,2004,3,0,82,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,3,0,3,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.21,0.09,0.21
Emerson Rodríguez,COL,FW,da Gama,24-052,2000,9,5,440,4.9,1,0,1,1,0,0,1,0,0.5,0.5,0.3,0.9,23,10,59,0.20,0.00,0.20,0.20,0.20,0.11,0.07,0.18,0.11,0.18
Emiliano Rodríguez,URU,FW,Goianiense,21-092,2003,21,14,"1,096",12.2,0,0,0,0,0,0,2,0,2.8,2.8,0.5,3.4,10,13,64,0.00,0.00,0.00,0.00,0.00,0.23,0.04,0.27,0.23,0.27
James Rodríguez,COL,MF,Paulo,33-096,1991,2,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Luciano Rodríguez,URU,"FW,MF",,21-092,2003,10,1,242,2.7,1,0,1,1,0,0,0,0,1.9,1.9,0.4,2.2,8,13,16,0.37,0.00,0.37,0.37,0.37,0.69,0.13,0.82,0.69,0.82
