Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
José Andrés Martínez,VEN,MF,Corinthians,30-071,1994,5,5,381,4.2,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.2,4,22,3,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Wilker Ángel,VEN,DF,Criciúma,31-213,1993,11,10,879,9.8,1,0,1,1,0,0,2,0,0.5,0.5,0.0,0.5,1,15,3,0.10,0.00,0.10,0.10,0.10,0.05,0.00,0.05,0.05,0.05
Anthoni,BRA,GK,Internacional,22-268,2002,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marcos Antônio,BRA,MF,São Paulo,24-126,2000,6,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,6,23,6,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Guilherme Arana,BRA,DF,Atlético Mineiro,27-186,1997,14,11,"1,122",12.5,1,1,2,1,0,0,4,0,0.6,0.6,0.9,1.5,40,84,106,0.08,0.08,0.16,0.08,0.16,0.04,0.07,0.12,0.04,0.12
Charles Aránguiz,CHI,MF,Internacional,35-183,1989,7,2,287,3.2,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,1,9,10,0.00,0.00,0.00,0.00,0.00,0.14,0.02,0.16,0.14,0.16
Luiz Araújo,BRA,"FW,MF",Flamengo,28-137,1996,23,15,"1,505",16.7,3,5,8,3,0,0,3,0,2.1,2.1,4.6,6.7,52,70,119,0.18,0.30,0.48,0.18,0.48,0.13,0.27,0.40,0.13,0.40
Matheus Araújo,BRA,MF,Corinthians,22-148,2002,4,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Michel Araujo,URU,"DF,FW",São Paulo,28-019,1996,18,9,819,9.1,0,1,1,0,0,0,4,0,1.2,1.2,1.7,2.8,22,44,47,0.00,0.11,0.11,0.00,0.11,0.13,0.18,0.31,0.13,0.31
Alexander Aravena,CHI,"FW,MF",Grêmio,22-041,2002,9,4,314,3.5,2,1,3,2,0,0,0,0,1.0,1.0,0.6,1.6,5,6,27,0.57,0.29,0.86,0.57,0.86,0.29,0.18,0.46,0.29,0.46
Robert Arboleda,ECU,DF,São Paulo,32-361,1991,24,23,"2,044",22.7,2,0,2,2,0,0,3,0,1.0,1.0,0.5,1.5,1,37,2,0.09,0.00,0.09,0.09,0.09,0.04,0.02,0.06,0.04,0.06
Lucas Arcanjo,BRA,GK,Vitória,26-070,1998,28,28,"2,520",28.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Matias Arezo,URU,"FW,MF",Grêmio,21-331,2002,6,0,75,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,0,2,7,0.00,0.00,0.00,0.00,0.00,0.29,0.03,0.32,0.29,0.32
Jhon Arias,COL,FW,Fluminense,27-026,1997,18,18,"1,612",17.9,4,2,6,4,0,0,4,0,2.9,2.9,1.9,4.8,69,52,124,0.22,0.11,0.33,0.22,0.33,0.16,0.10,0.27,0.16,0.27
Santiago Arias,COL,DF,Bahia,32-278,1992,18,17,"1,550",17.2,0,1,1,0,0,0,2,1,0.5,0.5,2.6,3.1,45,95,146,0.00,0.06,0.06,0.00,0.06,0.03,0.15,0.18,0.03,0.18
Arthur,BRA,FW,Cruzeiro,26-106,1998,21,14,"1,273",14.1,2,1,3,2,0,0,1,0,1.6,1.6,0.8,2.5,48,35,130,0.14,0.07,0.21,0.14,0.21,0.11,0.06,0.17,0.11,0.17
Arthur,BRA,FW,Criciúma,32-124,1992,26,14,"1,355",15.1,5,1,6,5,0,0,3,0,4.8,4.8,1.5,6.3,9,23,74,0.33,0.07,0.40,0.33,0.40,0.32,0.10,0.42,0.32,0.42
Arthur,BRA,FW,Corinthians,21-219,2003,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arthur,BRA,"FW,MF",Red Bull Bragantino,21-219,2003,4,0,101,1.1,0,0,0,0,0,0,1,0,0.1,0.1,1.0,1.1,0,1,4,0.00,0.00,0.00,0.00,0.00,0.06,0.88,0.94,0.06,0.94
Filipe Augusto,BRA,MF,Cuiabá,31-066,1993,12,3,390,4.3,0,0,0,0,0,0,4,0,0.3,0.3,0.1,0.3,2,14,6,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07
Renato Augusto,BRA,"MF,FW",Fluminense,36-252,1988,12,2,317,3.5,1,0,1,1,0,0,0,0,0.4,0.4,0.1,0.6,7,18,8,0.28,0.00,0.28,0.28,0.28,0.13,0.03,0.16,0.13,0.16
Yarlen Augusto,BRA,MF,Botafogo (RJ),18-240,2006,4,0,79,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,6,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Pablo Baianinho,BRA,"MF,DF",Vitória,21-075,2003,2,0,29,0.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,0,2,0.00,0.00,0.00,0.00,0.00,0.16,0.09,0.26,0.16,0.26
Gabriel Baralhas,BRA,MF,Atl Goianiense,26-007,1998,25,23,"1,763",19.6,1,2,3,1,0,0,6,0,2.0,2.0,1.7,3.6,14,85,48,0.05,0.10,0.15,0.05,0.15,0.10,0.08,0.18,0.10,0.18
Danilo Barbosa,BRA,MF,Botafogo (RJ),28-232,1996,24,14,"1,143",12.7,3,1,4,3,0,0,4,0,1.3,1.3,0.4,1.7,9,53,13,0.24,0.08,0.31,0.24,0.31,0.10,0.03,0.13,0.10,0.13
Diogo Barbosa,BRA,DF,Fluminense,32-061,1992,17,12,"1,133",12.6,0,0,0,0,0,0,6,0,0.0,0.0,0.5,0.5,28,53,45,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
Gabriel Barbosa,BRA,"FW,MF",Flamengo,28-048,1996,14,3,481,5.3,2,1,3,1,1,1,2,0,3.0,2.2,0.5,2.7,13,18,26,0.37,0.19,0.56,0.19,0.37,0.55,0.10,0.65,0.40,0.50
Lucas Barbosa,BRA,FW,Juventude,23-238,2001,25,24,"1,883",20.9,4,1,5,4,0,0,9,1,4.3,4.3,2.2,6.5,47,69,124,0.19,0.05,0.24,0.19,0.24,0.20,0.10,0.30,0.20,0.30
Alexander Barboza,ARG,DF,Botafogo (RJ),29-215,1995,19,16,"1,404",15.6,0,1,1,0,0,0,6,1,0.4,0.4,0.9,1.3,8,57,6,0.00,0.06,0.06,0.00,0.06,0.03,0.06,0.08,0.03,0.08
Mateo Barcia,URU,"MF,FW",Criciúma,23-241,2001,4,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Álvaro Barreal,ARG,"MF,FW",Cruzeiro,24-061,2000,22,13,"1,181",13.1,2,4,6,2,0,0,5,0,1.9,1.9,1.6,3.4,16,53,87,0.15,0.30,0.46,0.15,0.46,0.14,0.12,0.26,0.14,0.26
Barreto,BRA,MF,Criciúma,28-312,1995,22,22,"1,759",19.5,2,1,3,2,0,0,3,0,2.4,2.4,0.6,3.0,15,77,29,0.10,0.05,0.15,0.10,0.15,0.12,0.03,0.15,0.12,0.15
Gabriel Barros,BRA,"FW,MF",Atl Goianiense,22-358,2001,2,1,79,0.9,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05
Bastos,ANG,DF,Botafogo (RJ),33-204,1991,27,26,"2,257",25.1,3,0,3,3,0,0,5,0,1.1,1.1,0.1,1.1,9,86,4,0.12,0.00,0.12,0.12,0.12,0.04,0.00,0.05,0.04,0.05
Rodrigo Battaglia,ARG,"DF,MF",Atlético Mineiro,33-097,1991,21,21,"1,835",20.4,0,0,0,0,0,0,7,2,0.4,0.4,0.1,0.5,18,70,6,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
José Luis Rodríguez Bebanz,URU,DF,Vasco da Gama,27-217,1997,14,5,554,6.2,0,1,1,0,0,0,0,0,0.2,0.2,1.2,1.4,12,26,49,0.00,0.16,0.16,0.00,0.16,0.04,0.19,0.23,0.04,0.23
Muriel Becker,BRA,GK,Vitória,37-246,1987,1,1,90,1.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ramiro Benetti,BRA,MF,Cruzeiro,31-148,1993,21,13,"1,081",12.0,1,0,1,1,0,0,2,0,0.5,0.5,0.6,1.2,7,40,27,0.08,0.00,0.08,0.08,0.08,0.04,0.05,0.10,0.04,0.10
Bento,BRA,GK,Ath Paranaense,25-129,1999,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alexandro Bernabei,ARG,DF,Internacional,24-023,2000,14,14,"1,253",13.9,2,2,4,2,0,0,1,0,0.9,0.9,2.6,3.5,36,66,53,0.14,0.14,0.29,0.14,0.29,0.07,0.19,0.25,0.07,0.25
Facundo Bernal,URU,MF,Fluminense,21-057,2003,7,5,455,5.1,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.2,2,15,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.05,0.03,0.05
Bernard,BRA,"MF,FW",Atlético Mineiro,32-039,1992,10,7,576,6.4,0,0,0,0,0,0,1,0,0.4,0.4,1.2,1.6,20,38,56,0.00,0.00,0.00,0.00,0.00,0.07,0.19,0.25,0.07,0.25
Raul Bicalho,BRA,DF,Corinthians,25-176,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Matheus Bidu,BRA,DF,Corinthians,25-166,1999,14,8,773,8.6,1,0,1,1,0,0,2,0,0.6,0.6,0.6,1.2,21,36,28,0.12,0.00,0.12,0.12,0.12,0.07,0.07,0.13,0.07,0.13
Biel,BRA,"FW,MF",Bahia,23-199,2001,20,3,691,7.7,4,4,8,4,0,0,2,0,3.8,3.8,3.0,6.8,31,31,79,0.52,0.52,1.04,0.52,1.04,0.50,0.39,0.89,0.50,0.89
Biro,BRA,"MF,DF",Corinthians,20-180,2004,3,0,16,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,3,3,0.00,0.00,0.00,0.00,0.00,0.51,0.00,0.51,0.51,0.51
Damián Bobadilla,PAR,MF,São Paulo,23-098,2001,17,14,"1,015",11.3,1,0,1,1,0,0,3,0,0.9,0.9,0.8,1.7,7,57,13,0.09,0.00,0.09,0.09,0.09,0.08,0.07,0.15,0.08,0.15
Yannick Bolasie,COD,FW,Criciúma,35-146,1989,25,21,"1,808",20.1,6,3,9,6,0,0,3,0,6.7,6.7,0.9,7.6,56,42,130,0.30,0.15,0.45,0.30,0.45,0.33,0.05,0.38,0.33,0.38
Thiago Borbas,URU,FW,Red Bull Bragantino,22-193,2002,21,9,956,10.6,2,0,2,2,0,0,3,0,2.0,2.0,0.3,2.4,2,12,40,0.19,0.00,0.19,0.19,0.19,0.19,0.03,0.23,0.19,0.23
Marllon Borges,BRA,DF,Cuiabá,32-184,1992,25,25,"2,161",24.0,1,0,1,1,0,0,3,0,1.0,1.0,0.4,1.5,3,48,1,0.04,0.00,0.04,0.04,0.04,0.04,0.02,0.06,0.04,0.06
Pedro Borges,BRA,MF,Fortaleza,27-228,1997,26,12,"1,160",12.9,0,1,1,0,0,0,7,0,0.1,0.1,0.2,0.3,2,51,9,0.00,0.08,0.08,0.00,0.08,0.01,0.02,0.03,0.01,0.03
Rafael Borré,COL,FW,Internacional,29-032,1995,14,14,"1,134",12.6,6,1,7,6,0,1,5,0,8.8,8.0,0.7,8.7,12,26,82,0.48,0.08,0.56,0.48,0.56,0.70,0.06,0.75,0.63,0.69
Danilo Boza,BRA,DF,Juventude,26-164,1998,23,23,"2,028",22.5,2,0,2,2,0,0,2,0,1.5,1.5,0.1,1.7,16,61,9,0.09,0.00,0.09,0.09,0.09,0.07,0.01,0.07,0.07,0.07
Martin Braithwaite,DEN,FW,Grêmio,33-134,1991,9,9,713,7.9,5,1,6,5,0,0,0,0,3.6,3.6,1.1,4.7,11,13,43,0.63,0.13,0.76,0.63,0.76,0.46,0.14,0.60,0.46,0.60
Breno,BRA,FW,Fortaleza,28-267,1996,25,21,"1,681",18.7,4,3,7,4,0,0,4,0,4.1,4.1,1.3,5.3,74,39,135,0.21,0.16,0.37,0.21,0.37,0.22,0.07,0.29,0.22,0.29
Breno,BRA,MF,Corinthians,19-240,2005,20,15,"1,222",13.6,0,0,0,0,0,0,5,0,0.8,0.8,0.4,1.2,15,74,41,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09
José Breno,BRA,MF,Vitória,20-133,2004,1,0,9,0.1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Emanuel Brítez,ARG,DF,Fortaleza,32-205,1992,23,23,"1,983",22.0,0,2,2,0,0,0,10,2,1.0,1.0,1.9,3.0,11,52,15,0.00,0.09,0.09,0.00,0.09,0.05,0.09,0.13,0.05,0.13
Bruninho,BRA,"FW,MF",Red Bull Bragantino,21-217,2003,2,1,79,0.9,0,1,1,0,0,0,0,0,0.2,0.2,0.1,0.2,0,4,7,0.00,1.14,1.14,0.00,1.14,0.18,0.08,0.26,0.18,0.26
Fabrício Bruno,BRA,DF,Flamengo,28-248,1996,21,20,"1,761",19.6,1,0,1,1,0,0,3,0,0.4,0.4,0.2,0.6,6,79,6,0.05,0.00,0.05,0.05,0.05,0.02,0.01,0.03,0.02,0.03
Fabricio Bustos,ARG,DF,Internacional,28-172,1996,11,9,864,9.6,1,1,2,1,0,0,4,0,0.7,0.7,0.8,1.5,12,63,64,0.10,0.10,0.21,0.10,0.21,0.08,0.08,0.16,0.08,0.16
Rafael Cabral,BRA,GK,Grêmio,34-150,1990,6,5,457,5.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cacá,BRA,DF,Corinthians,25-175,1999,23,23,"2,053",22.8,3,1,4,3,0,0,4,1,3.4,3.4,0.2,3.6,9,42,1,0.13,0.04,0.18,0.13,0.18,0.15,0.01,0.16,0.15,0.16
Raúl Cáceres,PAR,DF,Vitória,33-029,1991,14,10,982,10.9,0,1,1,0,0,0,0,0,0.1,0.1,1.4,1.4,30,26,61,0.00,0.09,0.09,0.00,0.09,0.01,0.12,0.13,0.01,0.13
Caetano,BRA,DF,Corinthians,25-115,1999,5,4,281,3.1,0,0,0,0,0,0,2,1,0.1,0.1,0.1,0.2,0,8,0,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05
Jonathan Cafu,BRA,"FW,MF",Cuiabá,33-099,1991,22,14,"1,219",13.5,1,2,3,1,0,0,1,0,2.2,2.2,1.0,3.3,35,37,109,0.07,0.15,0.22,0.07,0.22,0.16,0.08,0.24,0.16,0.24
Rodrigo Caio,BRA,DF,Grêmio,31-061,1993,3,2,197,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Caíque,BRA,GK,Grêmio,27-078,1997,4,4,353,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Calebe,BRA,"FW,MF",Fortaleza,24-170,2000,4,0,47,0.5,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,3,5,4,0.00,0.00,0.00,0.00,0.00,0.32,0.36,0.69,0.32,0.69
Lucas Calegari,BRA,DF,Fluminense,22-233,2002,2,0,80,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jonathan Calleri,ARG,FW,São Paulo,31-024,1993,24,21,"1,782",19.8,5,3,8,5,0,0,6,0,4.9,4.9,1.1,5.9,23,25,97,0.25,0.15,0.40,0.25,0.40,0.25,0.05,0.30,0.25,0.30
Patric Calmon PK,BRA,DF,Vitória,30-104,1994,10,7,495,5.5,0,1,1,0,0,0,0,1,0.1,0.1,0.7,0.8,14,22,35,0.00,0.18,0.18,0.00,0.18,0.02,0.12,0.14,0.02,0.14
Gustavo Campanharo,BRA,MF,Atl Goianiense,32-196,1992,2,0,17,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,3,0,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.61,0.61,0.61
Joel Campbell,CRC,"MF,FW",Atl Goianiense,32-113,1992,8,6,542,6.0,2,0,2,1,1,1,3,0,1.8,1.0,0.5,1.5,21,50,36,0.33,0.00,0.33,0.17,0.17,0.30,0.08,0.38,0.17,0.25
Camutanga,BRA,DF,Vitória,31-020,1993,5,5,449,5.0,0,0,0,0,0,0,1,1,0.2,0.2,0.0,0.2,0,10,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
