Player,Nation,Pos,Squad,Age,Born,90s,GoalsConceded,PKConceded,GoalsFK,GoalsCorner,CSC,PSxG,PSxG/SoT,PSxG+/-,PSxG/90,LaunchCompleted,LaunchAttempted,LaunchCompleted%,PassAttempted,ThrowAttempted,% of throws,PassAvgLen,GoalKicksAtt,% of GoalKicks(+35yards),GoalKicksAvgLen,OppCrosses,CrossesStopped,Stp%,NbrActionSweeper,NbrActionSweeper/90,AvgLenFromGoalLine
Adriel,BRA,GK,Grêmio,22,2001,2.0,1,0,0,0,0,1.8,0.23,+0.8,+0.40,13,48,27.1,34,5,61.8,44.2,29,93.1,63.5,50,2,4.0,2,1.00,18.0
Washington Aguerre,URU,GK,América (MG),29,1993,2.0,4,0,0,1,0,3.1,0.44,-0.9,-0.47,4,14,28.6,25,10,40.0,37.0,16,25.0,27.1,47,4,8.5,0,0.00,6.8
Anderson,BRA,GK,Cruzeiro,24,1998,1.0,0,0,0,0,0,0.0,0.03,0.0,+0.03,3,6,50.0,15,3,33.3,32.5,3,33.3,32.0,3,0,0.0,0,0.00,10.0
Bento,BRA,GK,Ath Paranaense,23,1999,33.0,37,4,1,5,0,36.8,0.22,-0.2,-0.01,113,387,29.2,589,128,42.1,37.9,290,47.9,40.6,490,35,7.1,21,0.64,11.9
Brenno,BRA,GK,Grêmio,23,1999,1.0,1,0,0,1,0,0.9,0.43,-0.1,-0.15,2,4,50.0,16,6,12.5,21.8,3,66.7,38.0,7,0,0.0,0,0.00,13.5
Rafael Cabral,BRA,GK,Cruzeiro,32,1990,37.0,32,2,2,3,0,42.4,0.29,+10.4,+0.28,173,415,41.7,920,155,32.7,32.8,298,38.3,35.3,487,19,3.9,20,0.54,13.4
Caíque,BRA,GK,Grêmio,25,1997,4.0,3,1,0,0,0,6.1,0.30,+3.1,+0.78,17,51,33.3,62,22,56.5,43.4,33,48.5,37.8,85,8,9.4,1,0.25,8.2
João Carlos,BRA,GK,Cuiabá,34,1988,3.0,4,0,0,0,0,4.3,0.36,+0.3,+0.09,15,30,50.0,41,10,46.3,39.2,25,44.0,37.4,34,2,5.9,0,0.00,6.3
Cássio,BRA,GK,Corinthians,35,1987,36.8,48,6,0,8,1,55.2,0.27,+8.2,+0.22,165,354,46.6,735,146,33.9,33.8,369,28.5,29.8,638,27,4.2,14,0.38,10.8
Matheus Cavichioli,BRA,GK,América (MG),36,1986,15.0,31,2,0,1,2,27.3,0.31,-1.7,-0.12,98,205,47.8,261,58,54.8,40.3,115,53.9,40.4,275,24,8.7,18,1.20,13.3
Gabriel Chapecó,BRA,GK,Grêmio,22,2000,31.0,51,4,0,8,1,50.8,0.31,+0.8,+0.02,143,412,34.7,514,121,45.5,38.4,315,56.5,41.6,502,31,6.2,21,0.68,11.2
Mateus Claus,BRA,GK,Bahia,28,1994,0.6,2,0,0,0,0,1.0,0.34,-1.0,-1.69,1,1,100.0,7,1,14.3,23.7,5,0.0,19.4,4,0,0.0,0,0.00,
Matheus Cunha,BRA,GK,Flamengo,21,2001,17.6,22,3,0,2,0,28.5,0.27,+6.5,+0.37,65,181,35.9,624,82,25.2,28.4,102,23.5,27.0,275,9,3.3,23,1.31,16.7
Vitor Eudes,BRA,GK,Fluminense,24,1998,1.0,1,0,0,0,0,0.7,0.14,-0.3,-0.29,0,2,0.0,21,6,9.5,21.7,3,0.0,6.3,9,0,0.0,0,0.00,15.0
Éverson,BRA,GK,Atlético Mineiro,32,1990,36.0,31,2,1,1,1,40.8,0.30,+10.8,+0.30,190,472,40.3,887,132,43.9,37.1,175,47.4,40.6,526,30,5.7,36,1.00,14.1
Fábio,BRA,GK,Fluminense,42,1980,35.0,41,5,0,4,1,48.4,0.31,+8.4,+0.24,44,123,35.8,753,170,11.4,22.1,294,12.6,15.4,509,42,8.3,29,0.83,12.6
Marcos Felipe,BRA,GK,Bahia,26,1996,37.0,51,6,1,4,1,57.6,0.29,+7.6,+0.20,198,505,39.2,884,139,41.6,36.0,251,54.6,43.0,455,27,5.9,39,1.05,14.7
Danilo Fernandes,BRA,GK,Bahia,34,1988,0.4,,,,,,1.5,0.25,,,1,6,16.7,10,1,40.0,35.3,4,50.0,34.5,7,1,14.3,,,10.0
Gatito Fernández,PAR,GK,Botafogo (RJ),34,1988,0.5,1,0,0,0,0,1.8,0.45,+0.8,+1.59,2,4,50.0,10,3,40.0,30.4,3,0.0,20.0,3,1,33.3,3,6.00,18.4
Gabriel,BRA,GK,Coritiba,30,1992,30.7,60,7,1,9,2,51.7,0.27,-6.3,-0.20,158,463,34.1,742,153,45.3,38.3,256,49.6,40.8,531,42,7.9,28,0.91,12.3
Jandrei,BRA,GK,São Paulo,29,1993,5.0,4,2,0,0,0,5.7,0.22,+1.7,+0.33,39,93,41.9,188,25,36.7,35.5,50,48.0,41.6,64,3,4.7,4,0.80,15.2
Léo Jardim,BRA,GK,Vasco da Gama,27,1995,38.0,51,4,2,5,0,52.9,0.27,+1.9,+0.05,137,369,37.1,634,144,37.7,34.3,315,41.3,35.6,600,34,5.7,15,0.39,10.6
John,BRA,GK,Internacional,26,1996,9.0,5,0,0,2,0,12.1,0.32,+7.1,+0.79,27,84,32.1,149,33,40.3,34.2,70,34.3,30.6,172,2,1.2,13,1.44,13.8
Jori,BRA,GK,América (MG),26,1996,11.0,25,2,1,3,1,24.2,0.32,+0.2,+0.02,36,107,33.6,177,62,33.9,33.7,95,49.5,38.8,209,15,7.2,8,0.73,10.8
Keiller,BRA,GK,Internacional,26,1996,10.0,15,1,1,0,0,16.6,0.35,+1.6,+0.16,33,99,33.3,175,33,42.9,36.6,79,30.4,33.0,122,7,5.7,5,0.50,11.0
Maurício Kozlinski,BRA,GK,Fortaleza,31,1991,1.0,0,0,0,0,0,0.2,0.23,+0.2,+0.23,0,3,0.0,14,2,21.4,24.1,2,0.0,12.0,17,1,5.9,0,0.00,7.8
Leonardo Linck,BRA,GK,Ath Paranaense,21,2001,5.0,6,0,0,1,0,9.9,0.30,+3.9,+0.77,24,75,32.0,102,24,55.9,43.3,30,60.0,48.9,71,1,1.4,3,0.60,17.8
Marcelo Lomba,BRA,GK,Palmeiras,36,1986,3.0,3,1,0,0,0,5.5,0.31,+2.5,+0.84,14,38,36.8,78,18,35.9,32.7,23,43.5,30.9,46,5,10.9,0,0.00,3.7
Lucão,BRA,GK,Red Bull Bragantino,21,2001,5.0,8,1,0,0,0,5.5,0.32,-2.5,-0.50,14,42,33.3,106,26,27.4,29.9,44,29.5,28.3,57,1,1.8,7,1.40,17.4
Pedro Luccas,BRA,GK,Coritiba,19,2004,3.0,4,1,0,1,0,4.4,0.16,+0.4,+0.14,18,50,36.0,67,13,37.3,36.8,32,78.1,53.0,92,5,5.4,0,0.00,4.5
