Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Rodrigo Abascal,URU,DF,Boavista,29,1994,29,29,"2,479",27.5,2,0,2,2,0,0,8,0,1.4,1.4,0.6,2.0,17,83,19,0.07,0.00,0.07,0.07,0.07,0.05,0.02,0.07,0.05,0.07
Antonio Adán,ESP,GK,Sporting CP,36,1987,22,22,"1,980",22.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dennis Adeniran,ENG,MF,Portimonense,24,1999,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Martin Agirregabiria,ESP,DF,Famalicão,27,1996,24,13,"1,207",13.4,0,0,0,0,0,0,4,0,0.1,0.1,0.6,0.7,18,52,66,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
Salvador Agra,POR,"FW,DF",Boavista,31,1991,31,31,"2,459",27.3,3,1,4,3,0,0,7,0,2.3,2.3,3.6,5.9,60,89,174,0.11,0.04,0.15,0.11,0.15,0.08,0.13,0.22,0.08,0.22
Matheus Aiás,BRA,"FW,MF",Moreirense,26,1996,18,5,477,5.3,2,0,2,2,0,0,0,0,1.9,1.9,0.2,2.1,5,14,28,0.38,0.00,0.38,0.38,0.38,0.36,0.04,0.40,0.36,0.40
Alan,BRA,MF,Moreirense,23,2000,33,29,"2,454",27.3,3,4,7,3,0,1,5,0,3.9,3.1,4.0,7.0,63,164,95,0.11,0.15,0.26,0.11,0.26,0.14,0.15,0.29,0.11,0.26
Rafael Alcobia,POR,DF,Portimonense,20,2003,3,2,203,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,4,0,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
Alemão,BRA,DF,Portimonense,20,2002,27,27,"2,367",26.3,2,0,2,2,0,0,7,0,0.7,0.7,0.4,1.1,9,43,3,0.08,0.00,0.08,0.08,0.08,0.03,0.01,0.04,0.03,0.04
Ali Alipour,IRN,FW,Gil Vicente FC,27,1995,19,9,804,8.9,2,0,2,1,1,1,1,0,2.7,1.9,1.0,2.9,8,11,43,0.22,0.00,0.22,0.11,0.11,0.30,0.11,0.41,0.21,0.32
Almeida,BRA,DF,Estrela,23,2000,7,5,486,5.4,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,2,10,1,0.00,0.19,0.19,0.00,0.19,0.01,0.01,0.02,0.01,0.02
Pedro Álvaro,POR,DF,Estoril,23,2000,20,20,"1,787",19.9,0,1,1,0,0,0,6,1,0.5,0.5,1.1,1.6,2,31,4,0.00,0.05,0.05,0.00,0.05,0.03,0.06,0.08,0.03,0.08
Pedro Amador,POR,DF,Moreirense,24,1998,21,14,"1,130",12.6,0,1,1,0,0,0,0,0,0.1,0.1,0.7,0.9,30,27,46,0.00,0.08,0.08,0.00,0.08,0.01,0.06,0.07,0.01,0.07
Artur Jorge Marques Amorim,POR,DF,Farense,28,1994,9,5,493,5.5,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,2,6,0,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06
André André,POR,MF,Vitória,33,1989,18,6,653,7.3,0,3,3,0,0,0,9,0,0.4,0.4,2.5,2.9,17,46,27,0.00,0.41,0.41,0.00,0.41,0.05,0.35,0.40,0.05,0.40
Andrew,BRA,GK,Gil Vicente FC,22,2001,32,32,"2,880",32.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jeremy Antonisse,CUW,FW,Moreirense,21,2002,24,2,548,6.1,0,1,1,0,0,0,6,1,1.6,1.6,1.5,3.2,21,23,51,0.00,0.16,0.16,0.00,0.16,0.27,0.25,0.52,0.27,0.52
Pedro Aparício,POR,"MF,FW",Moreirense,27,1995,15,2,329,3.7,1,0,1,1,0,0,2,0,0.9,0.9,0.5,1.3,7,20,16,0.27,0.00,0.27,0.27,0.27,0.24,0.12,0.37,0.24,0.37
Óscar Aranda,ESP,"FW,MF",Famalicão,21,2002,21,8,717,8.0,1,0,1,1,0,0,3,0,0.9,0.9,0.8,1.7,27,40,24,0.13,0.00,0.13,0.13,0.13,0.11,0.10,0.21,0.11,0.21
Henrique Araújo,POR,FW,Famalicão,21,2002,20,7,680,7.6,0,0,0,0,0,0,1,0,1.4,1.4,0.8,2.1,6,11,32,0.00,0.00,0.00,0.00,0.00,0.18,0.10,0.28,0.18,0.28
Tiago Araújo,POR,"DF,MF",Estoril,22,2001,29,27,"2,253",25.0,2,1,3,2,0,0,4,0,1.6,1.6,3.2,4.8,58,71,157,0.08,0.04,0.12,0.08,0.12,0.06,0.12,0.19,0.06,0.19
Tomás Araújo,POR,DF,Benfica,21,2002,13,5,482,5.4,1,0,1,1,0,0,0,0,0.4,0.4,0.3,0.7,6,25,2,0.19,0.00,0.19,0.19,0.19,0.08,0.05,0.13,0.08,0.13
Gustavo Assuncao,POR,MF,Famalicão,23,2000,20,5,627,7.0,0,0,0,0,0,0,5,1,0.1,0.1,0.2,0.3,7,23,3,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05
Otavio Ataide,BRA,DF,Famalicão,21,2002,17,15,"1,382",15.4,2,0,2,2,0,0,4,0,0.9,0.9,0.2,1.1,5,45,3,0.13,0.00,0.13,0.13,0.13,0.06,0.02,0.07,0.06,0.07
