Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Salis Abdul Samed,GHA,MF,Lens,23,2000,2,1,129,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Abner,BRA,DF,Betis,23,2000,5,4,398,4.4,0,1,1,0,0,0,1,0,0.2,0.2,0.7,0.9,8,23,21,0.00,0.23,0.23,0.00,0.23,0.04,0.16,0.20,0.04,0.20
Zakaria Aboukhlal,MAR,FW,Toulouse,23,2000,1,1,39,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tammy Abraham,ENG,FW,Roma,25,1997,4,0,83,0.9,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,0,1,3,0.00,0.00,0.00,0.00,0.00,1.08,0.00,1.08,1.08,1.08
Peter Abrahamsson,SWE,GK,Häcken,35,1988,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Junior Adamu,AUT,FW,Freiburg,22,2001,6,1,129,1.4,1,1,2,1,0,0,0,0,0.2,0.2,0.6,0.8,2,2,8,0.70,0.70,1.40,0.70,1.40,0.14,0.44,0.58,0.14,0.58
Antonio Adán,ESP,GK,Sporting CP,36,1987,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Peter Ademo,NGA,MF,Sheriff Tiraspol,20,2003,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Simon Adingra,CIV,"FW,MF",Brighton,21,2002,8,6,533,5.9,1,2,3,1,0,0,0,0,1.9,1.9,1.6,3.5,26,17,57,0.17,0.34,0.51,0.17,0.51,0.32,0.26,0.58,0.32,0.58
Amine Adli,MAR,"MF,FW",Leverkusen,23,2000,13,11,979,10.9,1,2,3,1,0,0,1,0,3.4,3.4,2.6,6.0,29,33,117,0.09,0.18,0.28,0.09,0.28,0.31,0.24,0.55,0.31,0.55
Yacine Adli,FRA,MF,Milan,23,2000,4,2,222,2.5,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,4,21,4,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.12,0.04,0.12
David Affengruber,AUT,DF,Sturm Graz,22,2001,6,6,528,5.9,0,0,0,0,0,0,2,0,0.5,0.5,0.2,0.7,1,10,2,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.12,0.09,0.12
Nayef Aguerd,MAR,DF,West Ham,27,1996,6,5,409,4.5,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,1,16,0,0.22,0.00,0.22,0.22,0.22,0.10,0.00,0.10,0.10,0.10
