Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Patrick van Aanholt,NED,"MF,DF",PSV Eindhoven,32,1990,2,1,99,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,3,2,0.00,0.00,0.00,0.00,0.00,0.15,0.03,0.18,0.15,0.18
Brenden Aaronson,USA,MF,Union Berlin,22,2000,6,1,137,1.5,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0,2,4,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.31,0.31,0.31
Salis Abdul Samed,GHA,MF,Lens,23,2000,6,6,495,5.5,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.4,4,13,4,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.08,0.04,0.08
Francesco Acerbi,ITA,DF,Inter,35,1988,6,4,423,4.7,0,1,1,0,0,0,1,0,0.2,0.2,0.3,0.5,5,22,5,0.00,0.21,0.21,0.00,0.21,0.05,0.06,0.12,0.05,0.12
Elias Achouri,TUN,"FW,MF",FC Copenhagen,24,1999,8,7,552,6.1,0,1,1,0,0,0,0,0,0.3,0.3,0.9,1.2,17,16,38,0.00,0.16,0.16,0.00,0.16,0.05,0.14,0.19,0.05,0.19
Marcos Acuña,ARG,DF,Sevilla,31,1991,3,2,198,2.2,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,2,5,5,0.00,0.45,0.45,0.00,0.45,0.07,0.21,0.27,0.07,0.27
Karim Adeyemi,GER,FW,Dortmund,21,2002,12,8,707,7.9,2,1,3,2,0,0,0,0,1.8,1.8,1.4,3.2,26,12,50,0.25,0.13,0.38,0.25,0.38,0.23,0.18,0.41,0.23,0.41
Yacine Adli,FRA,MF,Milan,23,2000,3,1,123,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,4,11,1,0.00,0.00,0.00,0.00,0.00,0.10,0.08,0.18,0.10,0.18
Ruben Aguilar,FRA,DF,Lens,30,1993,2,1,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Manuel Akanji,SUI,"DF,MF",Manchester City,28,1995,8,7,665,7.4,2,0,2,2,0,0,2,0,1.0,1.0,0.6,1.5,15,47,13,0.27,0.00,0.27,0.27,0.27,0.13,0.08,0.20,0.13,0.20
Nathan Aké,NED,"DF,MF",Manchester City,28,1995,7,3,384,4.3,0,0,0,0,0,0,0,0,0.9,0.9,0.4,1.3,10,32,6,0.00,0.00,0.00,0.00,0.00,0.22,0.08,0.30,0.22,0.30
Kerem Aktürkoğlu,TUR,"MF,FW",Galatasaray,24,1998,6,5,440,4.9,2,0,2,2,0,0,0,0,2.1,2.1,0.9,3.0,11,13,33,0.41,0.00,0.41,0.41,0.41,0.43,0.19,0.62,0.43,0.62
