Player,Nation,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Richard,BRA,MF,Cruzeiro,28,1994,3.8,223,253,88.1,4000,882,92,102,90.2,104,114,91.2,21,26,80.8,0,0.1,0.1,-0.1,3,19,0,0,8
Rikelme,BRA,DF,Cuiabá,19,2003,26.0,760,1068,71.2,12183,5529,409,467,87.6,279,387,72.1,55,148,37.2,1,1.4,1.6,-0.4,18,57,21,13,80
Tomás Rincón,VEN,MF,Santos,35,1988,13.2,492,577,85.3,8392,2221,228,244,93.4,208,245,84.9,44,63,69.8,1,0.6,0.4,+0.4,10,34,5,2,39
Richard Ríos,COL,MF,Palmeiras,22,2000,20.6,634,792,80.1,11147,2057,287,334,85.9,275,321,85.7,60,81,74.1,1,0.9,1.2,+0.1,10,53,9,4,63
Robert,BRA,"MF,FW",Cruzeiro,17,2005,2.1,25,40,62.5,322,31,16,17,94.1,8,16,50.0,0,4,0.0,0,0.0,0.0,0.0,1,1,0,0,0
Zé Roberto,BRA,"FW,MF",Coritiba,29,1993,5.8,86,134,64.2,1201,400,51,72,70.8,24,37,64.9,5,8,62.5,1,0.7,0.5,+0.3,6,13,4,0,14
Robson,BRA,"MF,FW",Coritiba,31,1991,26.1,457,722,63.3,7178,2419,265,350,75.7,143,217,65.9,38,87,43.7,4,2.3,2.7,+1.7,24,42,24,10,68
Kaique Rocha,BRA,DF,Ath Paranaense,21,2001,7.2,266,304,87.5,4887,1900,92,98,93.9,152,165,92.1,18,30,60.0,0,0.1,0.0,-0.1,2,6,0,0,9
Marcos Rocha,BRA,DF,Palmeiras,34,1988,14.0,861,1081,79.6,18413,8040,261,292,89.4,421,489,86.1,169,261,64.8,1,0.9,1.4,+0.1,19,104,20,7,94
Pedro Rocha Neves,BRA,FW,Fortaleza,28,1994,0.4,6,8,75.0,79,26,3,4,75.0,3,3,100.0,0,0,,0,0.1,0.0,-0.1,1,0,0,0,0
Sergio Rochet,URU,GK,Internacional,29,1993,19.0,372,537,69.3,10227,7597,63,63,100.0,194,198,98.0,114,272,41.9,0,0.0,0.0,0.0,0,2,0,0,1
Rodrigo,BRA,"MF,FW",São Paulo,18,2004,2.6,109,151,72.2,1413,320,71,84,84.5,28,39,71.8,4,9,44.4,0,0.0,0.2,0.0,0,8,4,2,8
James Rodríguez,COL,"MF,FW",São Paulo,31,1991,7.1,401,485,82.7,6744,1931,213,230,92.6,129,147,87.8,46,79,58.2,2,1.3,1.1,+0.7,14,65,5,0,65
Rodriguinho,BRA,"DF,MF",América (MG),19,2003,13.9,470,641,73.3,7594,2700,261,295,88.5,150,197,76.1,41,96,42.7,3,2.8,3.2,+0.2,21,27,20,9,36
Matías Rojas,PAR,"MF,FW",Corinthians,27,1995,7.0,248,342,72.5,4178,1279,135,159,84.9,71,93,76.3,31,65,47.7,1,1.0,1.1,0.0,15,40,0,0,30
Romarinho,BRA,"FW,MF",Fortaleza,28,1994,3.2,129,160,80.6,1949,402,78,87,89.7,36,44,81.8,10,12,83.3,0,0.9,0.9,-0.9,7,13,4,2,18
Ángel Romero,PAR,FW,Corinthians,30,1992,13.3,352,492,71.5,5018,1451,208,245,84.9,110,153,71.9,17,36,47.2,1,2.7,1.9,-1.7,25,28,19,14,49
Silvio Romero,ARG,FW,Fortaleza,34,1988,4.4,54,81,66.7,771,155,33,43,76.7,12,20,60.0,4,6,66.7,1,1.2,0.5,-0.2,9,2,4,1,5
Rômulo,BRA,"FW,MF",Ath Paranaense,20,2002,5.7,131,192,68.2,1821,449,85,105,81.0,35,50,70.0,5,12,41.7,0,0.1,0.2,-0.1,4,7,4,1,11
Romulo,BRA,"MF,DF",Internacional,22,2000,13.5,521,629,82.8,8517,1957,242,278,87.1,242,269,90.0,23,46,50.0,0,0.2,0.3,-0.2,3,42,6,1,37
Ronald,BRA,MF,Grêmio,19,2003,4.6,213,251,84.9,3682,985,90,103,87.4,103,116,88.8,16,20,80.0,0,0.3,0.3,-0.3,5,19,0,0,21
Ronald,BRA,MF,Cuiabá,25,1997,6.5,284,353,80.5,4457,1340,142,166,85.5,110,127,86.6,21,39,53.8,1,1.0,1.0,0.0,12,30,11,4,49
Budiga Roni,BRA,MF,Corinthians,23,1999,7.5,356,411,86.6,5895,1526,170,185,91.9,151,172,87.8,26,36,72.2,0,0.3,0.2,-0.3,5,26,2,0,24
Lucas Ronier,BRA,"FW,MF",Coritiba,18,2004,0.6,22,30,73.3,377,102,10,12,83.3,9,12,75.0,2,3,66.7,0,0.0,0.0,0.0,0,1,1,0,3
Rony,BRA,FW,Palmeiras,27,1995,18.2,179,253,70.8,2564,451,114,146,78.1,44,62,71.0,13,19,68.4,0,1.8,1.0,-1.8,22,3,10,5,11
Vitor Roque,BRA,FW,Ath Paranaense,17,2005,19.0,195,267,73.0,2515,390,128,158,81.0,49,59,83.1,4,9,44.4,3,1.2,0.9,+1.8,18,12,6,0,22
Diego Rosa,BRA,"MF,DF",Bahia,20,2002,2.7,110,140,78.6,1985,577,51,54,94.4,45,54,83.3,13,27,48.1,0,0.0,0.1,0.0,1,13,1,0,13
Rossi,BRA,"MF,FW",Vasco da Gama,29,1993,4.4,101,175,57.7,1597,710,50,61,82.0,38,67,56.7,8,25,32.0,4,0.8,1.1,+3.2,13,13,6,4,21
Agustín Rossi,ARG,GK,Flamengo,27,1995,15.0,393,511,76.9,10362,7197,86,86,100.0,181,183,98.9,124,238,52.1,0,0.0,0.0,0.0,0,10,1,0,0
Rubens,BRA,"DF,MF",Atlético Mineiro,21,2001,15.0,596,772,77.2,9294,2800,318,364,87.4,231,286,80.8,32,65,49.2,1,1.1,0.9,-0.1,9,42,10,4,53
