Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Tammy Abraham,ENG,FW,Milan,27-037,1997,3,1,104,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Francesco Acerbi,ITA,DF,Inter,36-272,1988,2,1,117,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Arijan Ademi,MKD,MF,Dinamo Zagreb,33-163,1991,4,2,160,1.8,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,2,5,5,0.00,0.00,0.00,0.00,0.00,0.17,0.15,0.32,0.17,0.32
Karim Adeyemi,GER,FW,Dortmund,22-295,2002,2,2,133,1.5,3,0,3,3,0,0,0,0,0.4,0.4,0.3,0.6,10,3,11,2.03,0.00,2.03,2.03,2.03,0.26,0.17,0.43,0.26,0.43
Amine Adli,MAR,MF,Leverkusen,24-182,2000,3,1,118,1.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,6,10,0.00,0.00,0.00,0.00,0.00,0.13,0.03,0.17,0.13,0.17
Vasilije Adžić,MNE,FW,Juventus,18-180,2006,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Michel Aebischer,SUI,MF,Bologna,27-307,1997,1,0,29,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Emanuel Aiwum,AUT,DF,Sturm Graz,23-319,2000,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,8,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ludovic Ajorque,FRA,FW,Brest,30-257,1994,4,4,336,3.7,0,2,2,0,0,0,2,0,0.5,0.5,1.8,2.4,2,4,20,0.00,0.54,0.54,0.00,0.54,0.15,0.49,0.64,0.15,0.64
Manuel Akanji,SUI,DF,Manchester City,29-112,1995,4,4,329,3.7,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.3,6,37,1,0.00,0.27,0.27,0.00,0.27,0.03,0.04,0.07,0.03,0.07
